problem,seed,method,stress,n,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,dp_calls,dp_actions,dp_fallbacks,dp_expanded,dp_budget_hits,aux_calls,aux_positive,joint_steps,runtime_s,certificate,shortcuts,shortcut_saved_m,residual_calls,residual_replaced,residual_retired,rollout_calls,rollout_replaced
3,2610001,78,0,13,13,3172.454673,244.0349748462,12147.27337777,112,103,5,0,93,17,5,19119,0,18,18,29,0.067899083,seven_point_per_channel,6,21.6788778706,0,0,0,0,0
3,2610002,78,0,12,12,2884.751293,240.3959410833,10633.75644827,117,104,3,0,62,15,4,13609,0,20,20,26,0.07537775,seven_point_per_channel,6,5.383600448642,0,0,0,0,0
3,2610003,78,0,13,13,2643.705839,203.3619876154,9683.529186857,107,98,3,0,112,18,3,23580,0,19,18,28,0.084016208,seven_point_per_channel,3,17.41707660216,0,0,0,0,0
3,2610004,78,0,15,15,2996.808445,199.7872296667,11704.04224212,97,87,3,0,206,24,1,42346,0,26,25,32,0.15577825,seven_point_per_channel,3,1.964852224984,0,0,0,0,0
3,2610005,78,0,12,12,3058.396482,254.8663735,11631.98239329,110,101,7,0,117,24,3,21401,0,16,16,34,0.092973291,seven_point_per_channel,3,11.85318832687,0,0,0,0,0
3,2610006,78,0,12,12,2813.951006,234.4959171667,10419.75502833,111,103,4,0,119,17,2,25068,0,25,25,26,0.094752708,seven_point_per_channel,4,0.5584720824136,0,0,0,0,0
3,2610007,78,0,10,10,3081.040631,308.1040631,11075.20315251,134,119,9,2,64,17,6,14392,0,9,9,30,0.046560625,seven_point_per_channel,6,26.65585263856,0,0,0,0,0
3,2610008,78,0,11,11,3068.848282,278.9862074545,11509.24141781,119,108,3,0,99,17,1,19860,0,20,20,25,0.071942542,seven_point_per_channel,6,1.565513156518,0,0,0,0,0
3,2610009,78,0,10,10,2776.008246,277.6008246,10305.04122268,111,104,2,0,95,14,2,18239,0,16,16,23,0.068253708,seven_point_per_channel,2,1.768218541294,0,0,0,0,0
3,2610010,78,0,11,11,2586.186017,235.1078197273,9285.930063639,112,108,2,0,92,14,4,21773,0,15,15,25,0.07942275,seven_point_per_channel,4,3.990091029502,0,0,0,0,0
3,2610011,78,0,10,10,3371.430227,337.1430227,13047.15114972,120,112,0,0,72,13,3,14654,0,9,9,23,0.047337125,seven_point_per_channel,5,22.93419952149,0,0,0,0,0
3,2610012,78,0,15,15,3504.884105,233.6589403333,13719.42052646,111,98,11,0,114,28,4,22078,0,23,20,39,0.075953334,seven_point_per_channel,7,29.08027419771,0,0,0,0,0
3,2610013,78,0,13,13,2924.515017,224.9626936154,11042.5750919,106,103,6,0,142,25,2,27679,0,18,17,34,0.105034417,seven_point_per_channel,4,1.599185784018,0,0,0,0,0
3,2610014,78,0,11,11,2860.475556,260.0432323636,10862.37778021,105,102,2,0,128,20,0,24920,0,16,16,27,0.0930435,seven_point_per_channel,1,0.8264129993968,0,0,0,0,0
3,2610015,78,0,15,15,2990.581673,199.3721115333,11492.90837034,102,95,4,0,168,20,4,35692,0,22,22,31,0.131334208,seven_point_per_channel,9,38.69829327119,0,0,0,0,0
