problem,seed,method,n,directional_n,time_s,avg_s,move_m,measures,switches,miss,scans,discovery_measures,discovery_switches,Jsum,local_measures,local_switches,discovery_same_channel_savings,cpu_s
3,2610001,78,13,0,3172.454673,244.034974846154,12147.2733777717,112,103,5,7,84,82,35,28,21,2,0.164300959
3,2610002,78,12,0,2884.751293,240.395941083333,10633.7564482718,117,104,3,7,85,83,29,32,21,2,0.1105275
3,2610003,78,13,0,2643.705839,203.361987615385,9683.52918685711,107,98,3,7,79,77,30,28,21,2,0.217807791
3,2610004,78,15,0,2996.808445,199.787229666667,11704.042242115,97,87,3,7,63,62,28,34,25,1,0.413108208
3,2610005,78,12,0,3058.396482,254.8663735,11631.9823932895,110,101,7,7,82,80,26,28,21,2,0.230902417
3,2610006,78,12,0,2813.951006,234.495917166667,10419.7550283257,111,103,4,7,82,80,26,29,23,2,0.240361542
3,2610007,78,10,0,3081.040631,308.1040631,11075.2031525103,134,119,9,7,107,106,37,27,13,1,0.12097825
3,2610008,78,11,0,3068.848282,278.986207454545,11509.2414178142,119,108,3,7,93,90,30,26,18,3,0.197225958
3,2610009,78,10,0,2776.008246,277.6008246,10305.0412226802,111,104,2,7,90,87,20,21,17,3,0.186210667
3,2610010,78,11,0,2586.186017,235.107819727273,9285.93006363935,112,108,2,7,89,88,26,23,20,1,0.213582208
3,2610011,78,10,0,3371.430227,337.1430227,13047.1511497168,120,112,0,7,101,99,31,19,13,2,0.154008625
3,2610012,78,15,0,3504.884105,233.658940333333,13719.420526456,111,98,11,7,73,72,38,38,26,1,0.203016
3,2610013,78,13,0,2924.515017,224.962693615385,11042.5750919037,106,103,6,7,79,77,30,27,26,2,0.235075959
3,2610014,78,11,0,2860.475556,260.043232363636,10862.3777802107,105,102,2,7,82,81,19,23,21,1,0.20334575
3,2610015,78,15,0,2990.581673,199.372111533333,11492.9083703424,102,95,4,7,71,70,36,31,25,1,0.277323542
3,2610016,78,10,0,2915.775472,291.5775472,10883.8773546497,114,107,4,7,87,85,17,27,22,2,0.199479042
3,2610017,78,10,0,2689.86816,268.986816,9489.34080190756,122,117,5,7,98,96,28,24,21,2,0.105814
3,2610018,78,16,0,3115.592825,194.7245515625,11957.9641385167,105,95,8,6,61,60,37,44,35,1,0.263963084
3,2610019,78,12,0,2609.699662,217.474971833333,9398.49830353629,111,106,3,7,81,80,25,30,26,1,0.191137208
3,2610020,78,16,0,3493.940897,218.3713060625,14009.7044956936,101,92,5,6,59,58,35,42,34,1,0.2903915
3,2610021,78,16,0,3072.604993,192.0378120625,12023.0249670495,97,91,4,6,60,58,36,37,33,2,0.265118708
3,2610022,78,10,0,2887.857175,288.7857175,10679.2858789588,117,111,2,7,96,94,26,21,17,2,0.085899083
3,2610023,78,13,0,3085.311143,237.331626384615,11836.5557015202,106,102,7,7,79,78,30,27,24,1,0.238665125
3,2610024,78,10,0,2671.251881,267.1251881,9576.25939260983,116,111,5,7,90,88,20,26,23,2,0.191732875
3,2610025,78,15,0,3288.238508,219.215900533333,12611.1925487229,116,105,2,7,79,78,44,37,27,1,0.291800625
3,2610026,78,12,0,2923.335372,243.611281,10856.6768693246,114,110,4,7,90,89,34,24,21,1,0.18055525
3,2610027,78,14,0,2891.879366,206.562811857143,11054.3968360423,102,92,3,7,68,65,26,34,27,3,0.202099
3,2610028,78,10,0,2605.535001,260.5535001,9497.67501280928,109,105,2,7,87,86,17,22,19,1,0.190718083
3,2610029,78,12,0,2540.275092,211.689591,9261.37545463813,104,99,3,7,77,76,21,27,23,1,0.217103292
3,2610030,78,13,0,3018.012411,232.154800846154,11510.0620501634,107,101,5,7,78,77,29,29,24,1,0.272878
3,2610031,78,13,0,2998.603129,230.661779153846,11253.0156442788,112,108,5,7,84,83,35,28,25,1,0.185733375
3,2610032,78,15,0,3207.383238,213.8255492,12206.9161920911,114,106,5,7,78,77,43,36,29,1,0.298288167
3,2610033,78,10,0,3087.90886,308.790886,11874.5443060848,110,104,3,7,87,86,17,23,18,1,0.188689333
3,2610034,78,15,0,3217.849292,214.523286133333,11899.246452284,126,121,4,7,91,90,56,35,31,1,0.15414075
3,2610035,78,15,0,3018.189822,201.2126548,11305.9491052777,115,107,0,7,74,73,39,41,34,1,0.193061042
3,2610036,78,14,0,3681.867586,262.990541857143,14599.3379164865,112,102,10,7,80,79,38,32,23,1,0.317719208
3,2610037,78,11,0,2663.276552,242.116050181818,9716.38276502448,111,104,2,7,84,82,21,27,22,2,0.189168792
3,2610038,78,16,0,2994.012493,187.1257808125,11375.0624599092,106,97,4,7,72,71,44,34,26,1,0.279996083
3,2610039,78,10,0,2981.168528,298.1168528,11050.842646938,119,114,4,7,99,98,29,20,16,1,0.107034542
3,2610040,78,10,0,2918.306095,291.8306095,10996.5304739365,112,106,1,7,92,90,22,20,16,2,0.141557667
3,2610041,78,14,0,3186.336363,227.5954545,12176.6818188354,113,107,3,7,82,80,40,31,27,2,0.185529583
3,2610042,78,12,0,2946.564213,245.54701775,11047.8210847156,112,105,4,7,85,83,29,27,22,2,0.20552125
