h,a,b,points,route_m
950,0,0,31,28500
950,0,0.208333,29,25847.9
950,0,0.791667,29,25847.9
950,0.125,0.416667,29,26116.7
950,0.125,0.458333,29,26116.7
950,0.166667,0.208333,29,25959.2
950,0.166667,0.25,29,25995.1
950,0.166667,0.291667,29,26031.7
950,0.166667,0.333333,29,26068.9
950,0.166667,0.375,29,26106.5
950,0.166667,0.416667,29,26144.4
950,0.166667,0.458333,29,26106.5
950,0.166667,0.5,29,26068.9
950,0.166667,0.541667,29,26031.7
950,0.166667,0.583333,29,25995.1
950,0.166667,0.625,29,25959.2
950,0.208333,0,29,25847.9
950,0.208333,0.166667,29,25959.2
950,0.208333,0.208333,28,25042.8
950,0.208333,0.25,28,25077.6
950,0.208333,0.291667,28,25113.3
950,0.208333,0.333333,28,25149.6
950,0.208333,0.375,28,25186.4
950,0.208333,0.416667,28,25186.4
950,0.208333,0.458333,28,25149.6
950,0.208333,0.5,28,25113.3
950,0.208333,0.541667,28,25077.6
950,0.208333,0.583333,28,25042.8
950,0.25,0.208333,28,25077.6
950,0.25,0.25,28,25111.4
950,0.25,0.291667,28,25146.1
950,0.25,0.333333,28,25181.6
950,0.25,0.375,28,25217.6
950,0.25,0.416667,28,25181.6
950,0.25,0.458333,28,25146.1
950,0.25,0.5,28,25111.4
950,0.25,0.541667,28,25077.6
950,0.291667,0.208333,28,25113.3
950,0.291667,0.25,28,25146.1
950,0.291667,0.291667,28,25179.9
950,0.291667,0.333333,28,25214.6
950,0.291667,0.375,28,25214.6
950,0.291667,0.416667,28,25179.9
950,0.291667,0.458333,28,25146.1
950,0.291667,0.5,28,25113.3
950,0.333333,0.208333,28,25149.6
950,0.333333,0.25,28,25181.6
950,0.333333,0.291667,28,25214.6
950,0.333333,0.333333,28,25248.5
950,0.333333,0.375,28,25214.6
950,0.333333,0.416667,28,25181.6
950,0.333333,0.458333,28,25149.6
950,0.375,0.208333,28,25186.4
950,0.375,0.25,28,25217.6
950,0.375,0.291667,28,25214.6
950,0.375,0.333333,28,25214.6
950,0.375,0.375,28,25217.6
950,0.375,0.416667,28,25186.4
950,0.416667,0.208333,28,25186.4
950,0.416667,0.25,28,25181.6
950,0.416667,0.291667,28,25179.9
950,0.416667,0.333333,28,25181.6
950,0.416667,0.375,28,25186.4
950,0.416667,0.791667,28,25042.8
950,0.458333,0.208333,28,25149.6
950,0.458333,0.25,28,25146.1
950,0.458333,0.291667,28,25146.1
950,0.458333,0.333333,28,25149.6
950,0.458333,0.75,28,25077.6
950,0.458333,0.791667,28,25077.6
950,0.5,0.208333,28,25113.3
950,0.5,0.25,28,25111.4
950,0.5,0.291667,28,25113.3
950,0.5,0.708333,28,25113.3
950,0.5,0.75,28,25111.4
950,0.5,0.791667,28,25113.3
950,0.541667,0.208333,28,25077.6
950,0.541667,0.25,28,25077.6
950,0.541667,0.666667,28,25149.6
950,0.541667,0.708333,28,25146.1
950,0.541667,0.75,28,25146.1
950,0.541667,0.791667,28,25149.6
950,0.583333,0.208333,28,25042.8
950,0.583333,0.625,28,25186.4
950,0.583333,0.666667,28,25181.6
950,0.583333,0.708333,28,25179.9
950,0.583333,0.75,28,25181.6
950,0.583333,0.791667,28,25186.4
950,0.625,0.583333,28,25186.4
950,0.625,0.625,28,25217.6
950,0.625,0.666667,28,25214.6
950,0.625,0.708333,28,25214.6
950,0.625,0.75,28,25217.6
