problem,seed,variant,stress,error,total,cleared,ratio,time_s,avg_s,move_m,measures,switches,miss,fallbacks,audits,runtime_s,certificate
3,90001,6,0,0,13,13,1,3519.350982,270.719306308,14551.7549096,92,84,0,0,31,0.0008859,seven_point_per_channel
3,90002,6,0,0,13,13,1,3697.000573,284.384659462,15380.0028593,93,88,1,0,30,0.0007677,seven_point_per_channel
3,90003,6,0,0,11,11,1,3446.375616,313.306874182,13671.878084,110,98,3,0,32,0.0005758,seven_point_per_channel
3,90004,6,0,0,10,10,1,3024.290446,302.4290446,11886.4522347,101,92,0,0,25,0.0005704,seven_point_per_channel
3,90005,6,0,0,13,13,1,4012.078026,308.621386615,16515.3901382,109,96,1,2,37,0.0006215,seven_point_per_channel
3,90006,6,0,0,15,15,1,4297.374766,286.491651067,18176.8738462,98,91,2,0,34,0.0006354,seven_point_per_channel
3,90007,6,0,0,11,11,1,3195.496938,290.499721636,12707.4846816,100,93,2,0,26,0.000484,seven_point_per_channel
3,90008,6,0,0,10,10,1,3382.805879,338.2805879,13379.0294077,111,102,0,0,27,0.0004067,seven_point_per_channel
3,90009,6,0,0,15,15,1,3671.804651,244.786976733,15579.0232569,81,76,0,0,32,0.0014567,seven_point_per_channel
3,90010,6,0,0,12,12,1,3480.288168,290.024014,14096.4408465,102,91,0,0,34,0.0009015,seven_point_per_channel
3,90011,6,0,0,10,10,1,3275.796308,327.5796308,13133.9815437,100,96,1,0,22,0.0004867,seven_point_per_channel
3,90012,6,0,0,15,15,1,3224.383256,214.958883733,12981.9162948,94,83,0,1,38,0.0010506,seven_point_per_channel
3,90013,6,0,0,11,11,1,3205.730026,291.430002364,12873.6501216,97,91,0,0,24,0.0007215,seven_point_per_channel
3,90014,6,0,0,10,10,1,2982.802057,298.2802057,11484.0102805,107,101,0,1,24,0.0004403,seven_point_per_channel
3,90015,6,0,0,13,13,1,4321.434355,332.418027308,17782.1717812,118,110,0,0,32,0.0003559,seven_point_per_channel
3,90016,6,0,0,15,15,1,4365.078252,291.0052168,18805.3912653,89,81,1,0,33,0.0011147,seven_point_per_channel
3,90017,6,0,0,11,11,1,3714.442491,337.676590091,14962.2124589,112,107,0,0,25,0.0003539,seven_point_per_channel
3,90018,6,0,0,11,11,1,3384.762289,307.705662636,13823.8114463,95,90,0,0,25,0.0007754,seven_point_per_channel
3,90019,6,0,0,10,10,1,3329.026963,332.9026963,13240.1348097,106,101,0,0,23,0.0004437,seven_point_per_channel
3,90020,6,0,0,10,10,1,3817.957823,381.7957823,15294.7891318,119,111,1,0,25,0.0003365,seven_point_per_channel
3,90021,6,0,0,16,16,1,3848.030515,240.501907187,16315.1525765,86,75,0,1,37,0.0011956,upper_bound_16
3,90022,6,0,0,14,14,1,4424.319417,316.0228155,18696.5970822,104,92,1,1,37,0.0006542,seven_point_per_channel
3,90023,6,0,0,16,16,1,4059.197463,253.699841437,17250.9873232,89,81,1,0,38,0.0008539,upper_bound_16
3,90024,6,0,0,10,10,1,3737.943381,373.7943381,15134.7169229,111,100,2,1,29,0.0005128,seven_point_per_channel
3,90025,6,0,0,14,14,1,3543.797729,253.128409214,14588.9886388,94,83,1,2,37,0.0009853,seven_point_per_channel
3,90026,6,0,0,11,11,1,3177.131224,288.830111273,12540.6561298,102,95,3,1,28,0.0005502,seven_point_per_channel
3,90027,6,0,0,10,10,1,3159.500903,315.9500903,12412.5045126,105,99,1,0,22,0.0005164,seven_point_per_channel
3,90028,6,0,0,11,11,1,4193.961183,381.269198455,17334.805928,113,104,1,1,27,0.0003146,seven_point_per_channel
3,90029,6,0,0,13,13,1,3154.198378,242.630644462,12690.9918981,93,83,1,1,34,0.0008173,seven_point_per_channel
3,90030,6,0,0,14,14,1,3938.543255,281.324518214,16617.7162864,92,85,0,0,33,0.0007569,seven_point_per_channel
3,90031,6,0,0,16,16,1,3534.38814,220.89925875,14761.9407014,85,77,0,0,37,0.0011123,upper_bound_16
3,90032,6,0,0,15,15,1,3877.675844,258.511722933,16338.3792229,90,85,0,0,32,0.0008618,seven_point_per_channel
3,90033,6,0,0,12,12,1,3457.81155,288.1509625,14054.0577521,98,94,1,0,27,0.0005386,seven_point_per_channel
3,90034,6,0,0,14,14,1,3402.191772,243.013698,13910.9588696,93,85,0,0,31,0.0009024,seven_point_per_channel
3,90035,6,0,0,16,16,1,3699.398248,231.2123905,15746.9912565,79,72,1,0,37,0.0012843,upper_bound_16
3,90036,6,0,0,16,16,1,3334.416955,208.401059688,13647.0847749,88,82,1,0,35,0.0008935,upper_bound_16
3,90037,6,0,0,11,11,1,3399.226756,309.020614182,13761.133774,100,92,0,0,26,0.0006098,seven_point_per_channel
3,90038,6,0,0,16,16,1,3992.271841,249.516990063,16611.359224,100,87,1,0,43,0.0006822,upper_bound_16
3,90039,6,0,0,14,14,1,3471.863474,247.990248143,14224.3173693,94,84,1,0,35,0.0008522,seven_point_per_channel
3,90040,6,0,0,16,16,1,3419.816696,213.7385435,14279.083488,82,71,1,0,40,0.0019413,upper_bound_16
3,90041,6,0,0,13,13,1,3768.392713,289.876362538,15321.9635822,107,101,1,0,31,0.0004427,seven_point_per_channel
3,90042,6,0,0,13,13,1,3268.065789,251.389676077,13250.3289548,93,88,0,0,27,0.0008332,seven_point_per_channel
3,90043,6,0,0,16,16,1,3229.4941,201.84338125,13332.4705226,82,73,0,0,39,0.0014132,upper_bound_16
3,90044,6,0,0,13,13,1,3449.92648,265.37896,14074.6323974,96,90,0,0,30,0.000734,seven_point_per_channel
3,90045,6,0,0,14,14,1,3921.565375,280.1118125,15817.8268787,116,105,1,0,38,0.0004386,seven_point_per_channel
3,90046,6,0,0,10,10,1,3279.618368,327.9618368,12683.0918409,117,108,0,0,25,0.0003793,seven_point_per_channel
3,90047,6,0,0,16,16,1,4001.861172,250.11632325,16779.3058627,95,88,1,0,37,0.000759,upper_bound_16
3,90048,6,0,0,16,16,1,3838.448969,239.903060563,16567.244841,76,65,0,0,39,0.0025,upper_bound_16
3,90049,6,0,0,14,14,1,3247.096128,231.935437714,13135.4806512,93,85,0,0,30,0.0008345,seven_point_per_channel
3,90050,6,0,0,16,16,1,4842.230046,302.639377875,21111.1502488,92,77,1,1,44,0.0012161,upper_bound_16
3,90051,6,0,0,16,16,1,4264.151788,266.50948675,18115.7589367,95,86,0,0,38,0.0008713,upper_bound_16
3,90052,6,0,0,10,10,1,3201.322945,320.1322945,12346.6147276,115,107,0,0,24,0.0003543,seven_point_per_channel
3,90053,6,0,0,15,15,1,3822.540772,254.836051467,16257.703876,84,76,0,0,36,0.0016484,seven_point_per_channel
3,90054,6,0,0,14,14,1,3821.873594,272.990971,15934.3679846,95,90,0,0,32,0.0006065,seven_point_per_channel
3,90055,6,0,0,12,12,1,3503.212017,291.93433475,14041.060093,107,100,0,1,30,0.0005152,seven_point_per_channel
3,90056,6,0,0,13,13,1,3267.416892,251.339760923,12607.084463,115,106,0,0,33,0.0004592,seven_point_per_channel
3,90057,6,0,0,16,16,1,4314.014476,269.62590475,18210.0723888,100,86,2,1,42,0.0008167,upper_bound_16
3,90058,6,0,0,10,10,1,3212.696112,321.2696112,12603.4805565,108,102,0,0,23,0.0004112,seven_point_per_channel
3,90059,6,0,0,10,10,1,3686.555641,368.6555641,14667.7782052,117,112,2,0,23,0.0002937,seven_point_per_channel
3,90060,6,0,0,13,13,1,3818.35082,293.719293846,15531.7541202,109,102,0,0,31,0.0005187,seven_point_per_channel
3,90061,6,0,0,12,12,1,3769.069558,314.089129833,15475.3477977,104,94,0,0,32,0.0005888,seven_point_per_channel
3,90062,6,0,0,11,11,1,3783.80141,343.981946364,15414.0070573,109,101,0,0,27,0.0004114,seven_point_per_channel
3,90063,6,0,0,11,11,1,3149.770819,286.342801727,12518.8541046,99,96,0,0,24,0.0004953,seven_point_per_channel
3,90064,6,0,0,14,14,1,3201.174271,228.655305071,12765.8713635,97,87,2,0,37,0.0008779,seven_point_per_channel
3,90065,6,0,0,15,15,1,4370.058566,291.337237733,18465.2928343,102,92,0,0,35,0.0006587,seven_point_per_channel
3,90066,6,0,0,14,14,1,3427.150389,244.796456357,13925.7519381,97,87,0,0,35,0.0006744,seven_point_per_channel
3,90067,6,0,0,14,14,1,3701.52144,264.394388571,14967.6071968,107,103,0,0,30,0.0004491,seven_point_per_channel
3,90068,6,0,0,15,15,1,4323.470982,288.2313988,18397.3549065,96,86,1,1,37,0.000923,seven_point_per_channel
3,90069,6,0,0,11,11,1,3585.340524,325.940047636,14521.702632,105,98,1,0,27,0.0005196,seven_point_per_channel
3,90070,6,0,0,14,14,1,4260.070428,304.290744857,17590.3521427,113,107,0,0,32,0.0004359,seven_point_per_channel
3,90071,6,0,0,14,14,1,3770.967494,269.354821,15439.8374771,103,98,0,0,32,0.0005331,seven_point_per_channel
3,90072,6,0,0,12,12,1,3667.048574,305.587381167,14470.242876,119,106,4,0,35,0.0004627,seven_point_per_channel
3,90073,6,0,0,11,11,1,3733.535398,339.412308909,14942.6770011,116,107,1,0,29,0.0003964,seven_point_per_channel
3,90074,6,0,0,12,12,1,3836.731638,319.7276365,16038.6581898,96,89,0,0,27,0.0006433,seven_point_per_channel
3,90075,6,0,0,14,14,1,3699.413435,264.243816786,15172.0671848,100,95,0,0,31,0.0005565,seven_point_per_channel
3,90076,6,0,0,15,15,1,3642.483939,242.8322626,14882.4197036,100,88,1,0,38,0.0009405,seven_point_per_channel
3,90077,6,0,0,13,13,1,3812.419059,293.263004538,15632.0952849,105,93,1,0,36,0.0006474,seven_point_per_channel
3,90078,6,0,0,12,12,1,3391.785655,282.648804583,13663.9282792,101,94,0,0,29,0.0006871,seven_point_per_channel
3,90079,6,0,0,15,15,1,4221.492092,281.432806133,17572.4604615,106,96,2,0,39,0.0006566,seven_point_per_channel
3,90080,6,0,0,14,14,1,3979.056249,284.2183035,16465.2812467,104,96,0,0,32,0.0005649,seven_point_per_channel
3,90081,6,0,0,13,13,1,4254.09624,327.238172308,17835.4811991,105,94,1,0,34,0.0006054,seven_point_per_channel
3,90082,6,0,0,11,11,1,3323.737808,302.157982545,13258.6890456,104,97,0,0,27,0.0006004,seven_point_per_channel
3,90083,6,0,0,16,16,1,3962.918881,247.682430063,16484.5944272,99,88,1,1,41,0.0005984,upper_bound_16
3,90084,6,0,0,11,11,1,3663.497107,333.045191545,14652.4855348,114,105,1,0,27,0.0004049,seven_point_per_channel
3,90085,6,0,0,11,11,1,3750.037369,340.912488091,14880.1868499,121,111,1,1,30,0.0003358,seven_point_per_channel
