problem,seed,variant,stress,error,total,cleared,ratio,time_s,avg_s,move_m,measures,switches,miss,fallbacks,audits,runtime_s,certificate
3,110001,6,1,1,12,12,1,4738.197532,394.849794333,19500.9876573,128,120,6,0,30,0.0004997,seven_point_per_channel
3,110002,6,1,1,16,16,1,4990.713267,311.919579188,21048.5663428,117,113,1,0,33,0.0006841,upper_bound_16
3,110003,6,1,1,10,10,1,4557.174405,455.7174405,18695.8720448,129,123,0,0,20,0.0003109,seven_point_per_channel
3,110004,6,1,1,15,15,1,4840.017495,322.667833,20280.0874908,119,114,0,0,33,0.0006388,seven_point_per_channel
3,110005,6,1,1,14,14,1,4766.470242,340.462160143,19932.3512173,119,115,0,0,30,0.0004558,seven_point_per_channel
3,110006,6,1,1,13,13,1,4708.671867,362.205528231,19618.3593394,121,115,0,0,29,0.0004313,seven_point_per_channel
3,110007,6,1,1,10,10,1,4557.174405,455.7174405,18695.8720448,129,123,0,0,20,0.0002971,seven_point_per_channel
3,110008,6,1,1,14,14,1,4766.470242,340.462160143,19932.3512173,119,115,0,0,30,0.0004569,seven_point_per_channel
3,110009,6,1,1,11,11,1,4878.265176,443.478652364,20256.32589,130,122,0,0,22,0.0004622,seven_point_per_channel
3,110010,6,1,1,15,15,1,4838.017495,322.534499667,20280.0874908,119,112,0,0,33,0.0007184,seven_point_per_channel
3,110011,6,1,1,11,11,1,4879.265176,443.569561455,20256.32589,130,123,0,0,22,0.0003727,seven_point_per_channel
3,110012,6,1,1,15,15,1,4838.017495,322.534499667,20280.0874908,119,112,0,0,33,0.0005123,seven_point_per_channel
3,110013,6,1,1,12,12,1,4738.197532,394.849794333,19500.9876573,128,120,6,0,30,0.000423,seven_point_per_channel
3,110014,6,1,1,10,10,1,4557.174405,455.7174405,18695.8720448,129,123,0,0,20,0.0002936,seven_point_per_channel
3,110015,6,1,1,10,10,1,4557.174405,455.7174405,18695.8720448,129,123,0,0,20,0.0002928,seven_point_per_channel
3,110016,6,1,1,12,12,1,4738.197532,394.849794333,19500.9876573,128,120,6,0,30,0.0004183,seven_point_per_channel
3,110017,6,1,1,13,13,1,4709.671867,362.282451308,19618.3593394,121,116,0,0,29,0.0005643,seven_point_per_channel
3,110018,6,1,1,16,16,1,4990.713267,311.919579188,21048.5663428,117,113,1,0,33,0.0005683,upper_bound_16
3,110019,6,1,1,14,14,1,4766.470242,340.462160143,19932.3512173,119,115,0,0,30,0.0004913,seven_point_per_channel
3,110020,6,1,1,13,13,1,4709.671867,362.282451308,19618.3593394,121,116,0,0,29,0.0004558,seven_point_per_channel
3,110021,6,1,1,13,13,1,4709.671867,362.282451308,19618.3593394,121,116,0,0,29,0.0004528,seven_point_per_channel
3,110022,6,1,1,14,14,1,4766.470242,340.462160143,19932.3512173,119,115,0,0,30,0.0004556,seven_point_per_channel
3,110023,6,1,1,12,12,1,4737.197532,394.766461,19500.9876573,128,119,6,0,30,0.0004273,seven_point_per_channel
3,110024,6,1,1,12,12,1,4738.197532,394.849794333,19500.9876573,128,120,6,0,30,0.0004285,seven_point_per_channel
