problem,seed,variant,stress,error,total,cleared,ratio,time_s,avg_s,move_m,measures,switches,miss,fallbacks,audits,runtime_s,certificate
3,120001,6,2,2,11,11,1,4558.106148,414.373286182,19325.5307511,105,95,6,0,26,0.0004737,seven_point_per_channel
3,120002,6,2,2,10,10,1,4291.679123,429.1679123,18068.395632,104,96,4,0,24,0.0004521,seven_point_per_channel
3,120003,6,2,2,13,13,1,4649.851349,357.680873,20034.2567572,95,85,6,0,30,0.0005618,seven_point_per_channel
3,120004,6,2,2,16,16,1,5376.267144,336.0166965,23936.3357308,82,69,10,0,42,0.0008378,upper_bound_16
3,120005,6,2,2,11,11,1,4411.828828,401.075348,18594.1441547,105,95,6,0,26,0.0004522,seven_point_per_channel
3,120006,6,2,2,12,12,1,4858.655137,404.887928083,20888.2756889,102,90,7,0,31,0.0006538,seven_point_per_channel
3,120007,6,2,2,14,14,1,5003.036368,357.359740571,21865.1818378,92,82,6,0,34,0.0007973,seven_point_per_channel
3,120008,6,2,2,10,10,1,4232.462329,423.2462329,17777.3116583,104,95,4,0,24,0.0005253,seven_point_per_channel
3,120009,6,2,2,11,11,1,4323.502359,393.045669,18157.5118117,105,94,6,0,26,0.000456,seven_point_per_channel
3,120010,6,2,2,13,13,1,4843.479889,372.575376077,21002.3994484,95,85,6,0,30,0.0005843,seven_point_per_channel
3,120011,6,2,2,14,14,1,5110.366837,365.026202643,22436.834188,91,80,6,0,34,0.0009792,seven_point_per_channel
3,120012,6,2,2,16,16,1,5296.99939,331.062461875,23544.9969832,82,68,10,0,42,0.0009657,upper_bound_16
3,120013,6,2,2,16,16,1,5274.358492,329.64740575,23426.7924916,82,69,10,0,42,0.0009481,upper_bound_16
3,120014,6,2,2,12,12,1,4871.460978,405.9550815,20947.304899,102,91,7,0,31,0.0005707,seven_point_per_channel
3,120015,6,2,2,12,12,1,4914.081531,409.50679425,21120.4076535,103,91,8,0,32,0.0005781,seven_point_per_channel
3,120016,6,2,2,11,11,1,4323.502359,393.045669,18157.5118117,105,94,6,0,26,0.0004408,seven_point_per_channel
3,120017,6,2,2,16,16,1,5266.629641,329.164352563,23398.1482272,82,67,10,0,42,0.000945,upper_bound_16
3,120018,6,2,2,12,12,1,4941.552205,411.796017083,21257.7610274,103,91,8,0,32,0.0005834,seven_point_per_channel
3,120019,6,2,2,15,15,1,4844.189084,322.945938933,21335.9454201,83,75,4,0,32,0.0006762,seven_point_per_channel
3,120020,6,2,2,12,12,1,4873.515022,406.126251833,20957.5751195,102,91,7,0,31,0.0005634,seven_point_per_channel
3,120021,6,2,2,11,11,1,4295.205539,390.473230818,18011.0277099,105,95,6,0,26,0.0004274,seven_point_per_channel
3,120022,6,2,2,10,10,1,4413.950336,441.3950336,18679.7516856,104,96,4,0,24,0.0004641,seven_point_per_channel
3,120023,6,2,2,11,11,1,4437.12269,403.37479,18720.6134621,105,95,6,0,26,0.0005443,seven_point_per_channel
3,120024,6,2,2,10,10,1,4136.341308,413.6341308,17291.7065534,104,96,4,0,24,0.0004913,seven_point_per_channel
3,120025,6,2,2,11,11,1,4297.207018,390.655183455,18021.0351071,105,95,6,0,26,0.0004372,seven_point_per_channel
3,120026,6,2,2,11,11,1,4411.828828,401.075348,18594.1441547,105,95,6,0,26,0.0004304,seven_point_per_channel
3,120027,6,2,2,11,11,1,4294.205539,390.382321727,18011.0277099,105,94,6,0,26,0.0004354,seven_point_per_channel
3,120028,6,2,2,10,10,1,4233.118658,423.3118658,17775.5933033,104,96,4,0,24,0.0004476,seven_point_per_channel
3,120029,6,2,2,12,12,1,4804.230081,400.35250675,20571.1504064,103,91,8,0,32,0.0005748,seven_point_per_channel
3,120030,6,2,2,10,10,1,4197.972923,419.7972923,17599.8646167,104,96,4,0,24,0.000449,seven_point_per_channel
