problem,seed,variant,stress,error,total,cleared,ratio,time_s,avg_s,move_m,measures,switches,miss,fallbacks,audits,runtime_s,certificate
3,130001,6,0,3,15,15,1,3500.920614,233.3947076,13994.6030938,105,96,2,0,34,0.0006678,seven_point_per_channel
3,130002,6,0,3,16,16,1,3857.189877,241.074367312,16250.9493858,89,82,0,0,35,0.0010531,upper_bound_16
3,130003,6,0,3,16,16,1,4405.180533,275.323783312,18415.9026874,108,102,0,0,36,0.0005559,upper_bound_16
3,130004,6,0,3,15,15,1,4569.9735,304.6649,19359.8675023,105,95,1,0,37,0.0006285,seven_point_per_channel
3,130005,6,0,3,16,16,1,3664.207523,229.012970188,15616.0376242,77,67,3,1,41,0.0021923,upper_bound_16
3,130006,6,0,3,10,10,1,3430.616534,343.0616534,13683.0826726,108,101,1,0,23,0.0004841,seven_point_per_channel
3,130007,6,0,3,16,16,1,3418.209953,213.638122063,14511.0497611,74,66,0,0,35,0.002202,upper_bound_16
3,130008,6,0,3,15,15,1,3983.318184,265.5545456,16601.5909328,99,90,1,0,34,0.0007787,seven_point_per_channel
3,130009,6,0,3,11,11,1,3613.590588,328.508235273,14632.9529492,106,96,2,0,30,0.0006536,seven_point_per_channel
3,130010,6,0,3,10,10,1,3563.082352,356.3082352,14075.4117667,117,110,1,0,23,0.0003706,seven_point_per_channel
3,130011,6,0,3,15,15,1,3851.004875,256.733658333,15915.0243804,101,88,0,0,40,0.0010799,seven_point_per_channel
3,130012,6,0,3,10,10,1,3587.118726,358.7118726,14455.5936335,108,100,2,0,26,0.0005885,seven_point_per_channel
3,130013,6,0,3,16,16,1,3798.707604,237.41922525,15938.5380311,89,80,2,0,40,0.0011536,upper_bound_16
3,130014,6,0,3,11,11,1,3690.120358,335.465487091,15120.6018088,103,90,2,1,32,0.0009134,seven_point_per_channel
3,130015,6,0,3,14,14,1,3808.481498,272.034392714,15882.4074877,95,87,0,0,32,0.0009772,seven_point_per_channel
3,130016,6,0,3,10,10,1,3779.712243,377.9712243,15318.5612222,112,106,0,0,23,0.0004266,seven_point_per_channel
3,130017,6,0,3,16,16,1,3617.97558,226.12347375,15129.8779107,87,77,0,0,34,0.0018723,upper_bound_16
3,130018,6,0,3,14,14,1,3913.358374,279.525598143,16051.7918613,107,98,0,0,35,0.0006687,seven_point_per_channel
3,130019,6,0,3,11,11,1,3168.287114,288.026101273,12551.4355698,101,95,1,0,26,0.0006768,seven_point_per_channel
3,130020,6,0,3,10,10,1,3355.621656,335.5621656,13323.1082804,108,98,1,0,27,0.000542,seven_point_per_channel
3,130021,6,0,3,15,15,1,3382.158735,225.477249,14220.7936888,78,70,1,0,34,0.0019771,seven_point_per_channel
3,130022,6,0,3,15,15,1,4705.428708,313.6952472,19937.1435381,109,95,1,0,39,0.0007676,seven_point_per_channel
3,130023,6,0,3,16,16,1,3382.094421,211.380901312,14340.4720977,74,64,0,1,40,0.0024654,upper_bound_16
3,130024,6,0,3,11,11,1,3666.626105,333.329645909,14583.1305343,117,110,0,1,28,0.0005296,seven_point_per_channel
3,130025,6,0,3,12,12,1,3951.344994,329.2787495,16291.7249707,107,98,0,0,28,0.0006062,seven_point_per_channel
3,130026,6,0,3,13,13,1,4489.657518,345.358270615,18828.2875886,111,98,2,0,32,0.0006183,seven_point_per_channel
3,130027,6,0,3,14,14,1,3945.73938,281.838527143,16443.696901,99,92,0,0,32,0.000701,seven_point_per_channel
3,130028,6,0,3,14,14,1,3797.457448,271.246960571,15667.2872397,99,90,3,0,34,0.0008176,seven_point_per_channel
3,130029,6,0,3,16,16,1,4027.152293,251.697018313,17035.7614698,91,82,1,0,37,0.000796,upper_bound_16
3,130030,6,0,3,12,12,1,3581.599139,298.466594917,14377.995697,108,100,2,0,30,0.0006087,seven_point_per_channel
3,130031,6,0,3,15,15,1,3759.397335,250.626489,15651.9866832,94,81,1,2,40,0.0015174,seven_point_per_channel
3,130032,6,0,3,16,16,1,3964.339544,247.7712215,16496.6977231,99,90,0,0,38,0.0010272,upper_bound_16
3,130033,6,0,3,16,16,1,4137.474452,258.59215325,17337.3722728,99,89,2,0,40,0.000899,upper_bound_16
3,130034,6,0,3,12,12,1,3775.62006,314.635005,15353.1002921,109,100,0,1,31,0.0005861,seven_point_per_channel
3,130035,6,0,3,11,11,1,3085.314581,280.483143727,11791.5728913,113,104,1,1,29,0.0005176,seven_point_per_channel
3,130036,6,0,3,11,11,1,3602.936873,327.539715727,14594.6843533,106,96,1,0,30,0.00062,seven_point_per_channel
3,130037,6,0,3,15,15,1,3938.591249,262.572749933,16637.9562477,90,86,0,0,33,0.001045,seven_point_per_channel
3,130038,6,0,3,16,16,1,4046.688503,252.918031437,17048.4425226,94,84,1,0,39,0.0012284,upper_bound_16
3,130039,6,0,3,10,10,1,3634.00084,363.400084,14655.0041993,109,105,1,0,22,0.0005148,seven_point_per_channel
