problem,seed,variant,stress,error,total,cleared,ratio,time_s,avg_s,move_m,measures,switches,miss,fallbacks,audits,runtime_s,certificate
3,150001,6,3,1,14,14,1,4450.822517,317.915894071,20014.1125935,64,58,0,0,16,0.0003869,seven_point_per_channel
3,150002,6,3,1,11,11,1,3890.370679,353.670061727,16806.8534013,80,74,0,0,12,0.0003673,seven_point_per_channel
3,150003,6,3,1,10,10,1,3921.370679,392.1370679,16806.8534013,86,80,0,0,12,0.0002473,seven_point_per_channel
3,150004,6,3,1,14,14,1,4450.822517,317.915894071,20014.1125935,64,58,0,0,16,0.0003401,seven_point_per_channel
3,150005,6,3,1,16,16,1,3137.103819,196.068988687,14420.5191039,29,28,0,0,18,0.0006019,upper_bound_16
3,150006,6,3,1,11,11,1,3890.337719,353.667065364,16806.6886017,80,74,0,0,12,0.0003869,seven_point_per_channel
3,150007,6,3,1,10,10,1,3921.337719,392.1337719,16806.6886017,86,80,0,0,12,0.0002903,seven_point_per_channel
3,150008,6,3,1,16,16,1,3137.103819,196.068988687,14420.5191039,29,28,0,0,18,0.0003833,upper_bound_16
3,150009,6,3,1,12,12,1,3859.370679,321.61422325,16806.8534013,74,68,0,0,12,0.0002329,seven_point_per_channel
3,150010,6,3,1,15,15,1,4745.106491,316.340432733,21610.532464,59,53,0,0,18,0.0004078,seven_point_per_channel
3,150011,6,3,1,15,15,1,4745.106491,316.340432733,21610.532464,59,53,0,0,18,0.0003908,seven_point_per_channel
3,150012,6,3,1,15,15,1,4745.106491,316.340432733,21610.532464,59,53,0,0,18,0.0003899,seven_point_per_channel
3,150013,6,3,1,14,14,1,4450.756409,317.911172071,20013.7820537,64,58,0,0,16,0.0004532,seven_point_per_channel
3,150014,6,3,1,12,12,1,3859.403827,321.616985583,16807.0191415,74,68,0,0,12,0.000233,seven_point_per_channel
3,150015,6,3,1,13,13,1,4155.514899,319.654992231,18412.574506,69,63,0,0,14,0.0004767,seven_point_per_channel
3,150016,6,3,1,15,15,1,4745.106491,316.340432733,21610.532464,59,53,0,0,18,0.0004427,seven_point_per_channel
3,150017,6,3,1,13,13,1,4155.514899,319.654992231,18412.574506,69,63,0,0,14,0.0003189,seven_point_per_channel
3,150018,6,3,1,13,13,1,4155.547859,319.657527615,18412.7393056,69,63,0,0,14,0.0003051,seven_point_per_channel
3,150019,6,3,1,12,12,1,3859.370679,321.61422325,16806.8534013,74,68,0,0,12,0.0002428,seven_point_per_channel
3,150020,6,3,1,12,12,1,3859.337719,321.611476583,16806.6886017,74,68,0,0,12,0.0002395,seven_point_per_channel
3,150021,6,3,1,13,13,1,4155.514899,319.654992231,18412.574506,69,63,0,0,14,0.0002873,seven_point_per_channel
