problem,seed,variant,stress,error,total,cleared,ratio,time_s,avg_s,move_m,measures,switches,miss,fallbacks,audits,runtime_s,certificate
3,140001,6,0,4,12,12,1,3439.218937,286.601578083,13796.0947039,103,90,5,0,34,0.0008829,seven_point_per_channel
3,140002,6,0,4,15,15,1,4174.977211,278.331814067,17424.8860603,102,84,7,1,45,0.0013651,seven_point_per_channel
3,140003,6,0,4,11,11,1,3717.834825,337.984984091,14689.1741179,122,109,2,1,32,0.000483,seven_point_per_channel
3,140004,6,0,4,11,11,1,3499.593618,318.144874364,13982.9680992,108,99,3,0,28,0.0006408,seven_point_per_channel
3,140005,6,0,4,12,12,1,3557.106232,296.425519333,14425.5311604,102,90,4,1,34,0.0009833,seven_point_per_channel
3,140006,6,0,4,13,13,1,3688.738927,283.749148231,15003.694635,104,91,4,1,36,0.0008549,seven_point_per_channel
3,140007,6,0,4,15,15,1,4241.976874,282.798458267,17634.8843735,105,88,9,1,45,0.0010529,seven_point_per_channel
3,140008,6,0,4,15,15,1,4533.76555,302.251036667,19033.8277553,109,98,3,0,37,0.0007774,seven_point_per_channel
3,140009,6,0,4,14,14,1,3937.46105,281.247217857,16112.3052474,107,95,5,1,39,0.0007266,seven_point_per_channel
3,140010,6,0,4,16,16,1,3273.750373,204.609398312,13488.7518722,82,74,4,0,37,0.0015425,upper_bound_16
3,140011,6,0,4,11,11,1,3500.942641,318.267512818,14184.7132115,101,95,3,0,27,0.0007007,seven_point_per_channel
3,140012,6,0,4,16,16,1,4093.470851,255.841928188,17482.3542528,86,78,3,0,37,0.0011288,upper_bound_16
3,140013,6,0,4,12,12,1,3943.181029,328.598419083,16110.9051397,110,99,4,1,33,0.0006648,seven_point_per_channel
3,140014,6,0,4,15,15,1,3928.617887,261.907859133,16503.0894307,92,81,4,0,38,0.0013138,seven_point_per_channel
3,140015,6,0,4,12,12,1,3732.148228,311.012352333,15290.7411424,101,91,6,0,33,0.0007966,seven_point_per_channel
3,140016,6,0,4,12,12,1,3553.715675,296.142972917,14403.5783736,101,93,5,0,30,0.0006954,seven_point_per_channel
3,140017,6,0,4,14,14,1,3659.163919,261.368851357,15125.8196007,92,77,9,0,39,0.0014318,seven_point_per_channel
3,140018,6,0,4,12,12,1,3708.371043,309.03092025,14731.8552211,117,108,3,0,32,0.0005243,seven_point_per_channel
3,140019,6,0,4,14,14,1,3660.919174,261.494226714,14924.5958703,100,85,7,1,41,0.0011905,seven_point_per_channel
3,140020,6,0,4,14,14,1,4042.311059,288.736504214,16856.5552788,100,86,5,1,39,0.0010575,seven_point_per_channel
3,140021,6,0,4,10,10,1,3382.212322,338.2212322,13381.0616128,109,99,4,0,27,0.0006483,seven_point_per_channel
3,140022,6,0,4,14,14,1,3422.559222,244.468515857,13957.7961136,94,82,3,1,38,0.0015073,seven_point_per_channel
3,140023,6,0,4,15,15,1,3368.04669,224.536446,14050.2334557,81,72,2,0,38,0.0020459,seven_point_per_channel
3,140024,6,0,4,13,13,1,3713.48175,285.652442308,15237.4087591,99,91,5,0,33,0.0007,seven_point_per_channel
3,140025,6,0,4,11,11,1,3716.097606,337.827055091,14800.4880372,116,109,4,0,28,0.0004857,seven_point_per_channel
3,140026,6,0,4,16,16,1,4510.171752,281.8857345,19355.8587626,93,73,7,2,49,0.0017221,upper_bound_16
3,140027,6,0,4,14,14,1,3880.652613,277.189472357,15753.2630703,110,98,4,1,39,0.0006749,seven_point_per_channel
3,140028,6,0,4,13,13,1,4312.897369,331.761336077,17914.4868489,111,98,4,1,36,0.0006991,seven_point_per_channel
3,140029,6,0,4,10,10,1,3267.59518,326.759518,12737.9759019,112,101,3,2,28,0.0007612,seven_point_per_channel
3,140030,6,0,4,10,10,1,2924.630814,292.4630814,11348.1540768,101,91,3,0,28,0.0009568,seven_point_per_channel
3,140031,6,0,4,11,11,1,3547.812992,322.528453818,14214.0649621,108,95,5,0,33,0.0008027,seven_point_per_channel
3,140032,6,0,4,15,15,1,3484.468162,232.297877467,14167.3408043,96,81,5,0,42,0.0013815,seven_point_per_channel
3,140033,6,0,4,10,10,1,3316.269797,331.6269797,13121.348985,107,98,3,0,26,0.0005623,seven_point_per_channel
3,140034,6,0,4,13,13,1,3666.428181,282.032937,15102.1409056,96,83,6,0,37,0.0010325,seven_point_per_channel
3,140035,6,0,4,16,16,1,3807.928776,237.9955485,16219.6438848,80,66,6,1,45,0.0024877,upper_bound_16
3,140036,6,0,4,14,14,1,4096.073894,292.576706714,17050.3694757,102,91,5,0,38,0.000704,seven_point_per_channel
3,140037,6,0,4,10,10,1,3357.754475,335.7754475,12923.7723782,120,111,4,0,26,0.0004422,seven_point_per_channel
3,140038,6,0,4,10,10,1,3380.97539,338.097539,13449.8769598,107,94,4,0,29,0.0007455,seven_point_per_channel
3,140039,6,0,4,12,12,1,3571.659945,297.63832875,14233.2997267,110,97,6,1,35,0.0007506,seven_point_per_channel
3,140040,6,0,4,13,13,1,3917.77539,301.367337692,15953.8769585,109,96,7,0,38,0.0008632,seven_point_per_channel
3,140041,6,0,4,15,15,1,3538.833179,235.922211933,14524.1659074,93,79,5,0,41,0.0013892,seven_point_per_channel
3,140042,6,0,4,10,10,1,2838.149279,283.8149279,10835.7463989,103,94,4,0,27,0.0006956,seven_point_per_channel
3,140043,6,0,4,13,13,1,4046.014376,311.231875077,16595.0718833,111,95,4,1,38,0.0006952,seven_point_per_channel
3,140044,6,0,4,16,16,1,4332.934666,270.808416625,18549.6733398,91,73,5,2,46,0.0015269,upper_bound_16
3,140045,6,0,4,15,15,1,4058.570183,270.571345533,16957.8509173,99,88,3,0,38,0.0011547,seven_point_per_channel
3,140046,6,0,4,16,16,1,4224.526639,264.032914937,17872.6331978,95,80,5,1,46,0.0016524,upper_bound_16
3,140047,6,0,4,11,11,1,3357.581028,305.234638909,13407.9051439,103,91,5,0,32,0.0009846,seven_point_per_channel
3,140048,6,0,4,13,13,1,4026.142854,309.703296462,16550.7142721,108,99,4,0,34,0.0007079,seven_point_per_channel
