problem,seed,method,stress,n,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,dp_calls,dp_actions,dp_fallbacks,dp_expanded,dp_budget_hits,aux_calls,aux_positive,joint_steps,runtime_s,certificate,shortcuts,shortcut_saved_m,residual_calls,residual_replaced,residual_retired,rollout_calls,rollout_replaced
3,2610001,84,0,13,13,3172.454673,244.0349748462,12147.27337777,112,103,5,0,93,17,5,19119,0,18,18,29,0.067619625,seven_point_per_channel,6,21.6788778706,0,0,0,0,0
3,2610002,84,0,12,12,2884.751293,240.3959410833,10633.75644827,117,104,3,0,62,15,4,13609,0,20,20,26,0.067452875,seven_point_per_channel,6,5.383600448642,0,0,0,0,0
3,2610003,84,0,13,13,2643.705839,203.3619876154,9683.529186857,107,98,3,0,112,18,3,23580,0,19,18,28,0.082760042,seven_point_per_channel,3,17.41707660216,0,0,0,0,0
3,2610004,84,0,15,15,2996.808445,199.7872296667,11704.04224212,97,87,3,0,206,24,1,42346,0,26,25,32,0.15822,seven_point_per_channel,3,1.964852224984,0,0,0,0,0
3,2610005,84,0,12,12,3058.396482,254.8663735,11631.98239329,110,101,7,0,117,24,3,21401,0,16,16,34,0.105755583,seven_point_per_channel,3,11.85318832687,0,0,0,0,0
3,2610006,84,0,12,12,2813.951006,234.4959171667,10419.75502833,111,103,4,0,119,17,2,25068,0,25,25,26,0.093894125,seven_point_per_channel,4,0.5584720824136,0,0,0,0,0
3,2610007,84,0,10,10,3081.040631,308.1040631,11075.20315251,134,119,9,2,64,17,6,14392,0,9,9,30,0.04863225,seven_point_per_channel,6,26.65585263856,0,0,0,0,0
3,2610008,84,0,11,11,3068.848282,278.9862074545,11509.24141781,119,108,3,0,99,17,1,19860,0,20,20,25,0.07069625,seven_point_per_channel,6,1.565513156518,0,0,0,0,0
3,2610009,84,0,10,10,2776.008246,277.6008246,10305.04122268,111,104,2,0,95,14,2,18239,0,16,16,23,0.06719625,seven_point_per_channel,2,1.768218541294,0,0,0,0,0
3,2610010,84,0,11,11,2586.186017,235.1078197273,9285.930063639,112,108,2,0,92,14,4,21773,0,15,15,25,0.0788945,seven_point_per_channel,4,3.990091029502,0,0,0,0,0
3,2610011,84,0,10,10,3371.430227,337.1430227,13047.15114972,120,112,0,0,72,13,3,14654,0,9,9,23,0.047734125,seven_point_per_channel,5,22.93419952149,0,0,0,0,0
3,2610012,84,0,15,15,3504.884105,233.6589403333,13719.42052646,111,98,11,0,114,28,4,22078,0,23,20,39,0.0751325,seven_point_per_channel,7,29.08027419771,0,0,0,0,0
3,2610013,84,0,13,13,2924.515017,224.9626936154,11042.5750919,106,103,6,0,142,25,2,27679,0,18,17,34,0.104317333,seven_point_per_channel,4,1.599185784018,0,0,0,0,0
3,2610014,84,0,11,11,2860.475556,260.0432323636,10862.37778021,105,102,2,0,128,20,0,24920,0,16,16,27,0.093225083,seven_point_per_channel,1,0.8264129993968,0,0,0,0,0
3,2610015,84,0,15,15,2990.581673,199.3721115333,11492.90837034,102,95,4,0,168,20,4,35692,0,22,22,31,0.127561209,seven_point_per_channel,9,38.69829327119,0,0,0,0,0
3,2610016,84,0,10,10,2915.775472,291.5775472,10883.87735465,114,107,4,0,132,15,4,23865,0,17,17,26,0.089257667,seven_point_per_channel,4,3.070136265897,0,0,0,0,0
3,2610017,84,0,10,10,2689.86816,268.986816,9489.340801908,122,117,5,0,74,18,2,14120,0,17,14,27,0.046160833,seven_point_per_channel,1,0,0,0,0,0,0
3,2610018,84,0,16,16,3115.592825,194.7245515625,11957.96413852,105,95,8,0,169,32,3,34303,0,30,30,41,0.116777459,upper_bound_16,7,0.1008075190239,0,0,0,0,0
3,2610019,84,0,12,12,2609.699662,217.4749718333,9398.498303536,111,106,3,0,103,16,4,24261,0,21,21,27,0.08669625,seven_point_per_channel,0,0,0,0,0,0,0
3,2610020,84,0,16,16,3493.940897,218.3713060625,14009.70449569,101,92,5,0,177,23,3,36841,0,32,31,32,0.144925583,upper_bound_16,5,19.82393646212,0,0,0,0,0
3,2610021,84,0,16,16,3072.604993,192.0378120625,12023.02496705,97,91,4,0,162,22,3,33816,0,29,26,31,0.118985791,upper_bound_16,7,0.5151557435784,0,0,0,0,0
3,2610022,84,0,10,10,2887.857175,288.7857175,10679.28587896,117,111,2,0,52,12,4,11156,0,12,12,23,0.038626583,seven_point_per_channel,1,5.835525279272,0,0,0,0,0
3,2610023,84,0,13,13,3085.311143,237.3316263846,11836.55570152,106,102,7,0,137,23,3,30505,0,19,19,33,0.106323959,seven_point_per_channel,2,0.3901042415018,0,0,0,0,0
3,2610024,84,0,10,10,2671.251881,267.1251881,9576.25939261,116,111,5,0,116,17,2,21513,0,20,20,26,0.084178292,seven_point_per_channel,4,8.392520351643,0,0,0,0,0
3,2610025,84,0,15,15,3288.238508,219.2159005333,12611.19254872,116,105,2,1,170,24,4,38220,0,19,19,35,0.133271084,seven_point_per_channel,5,16.558945914,0,0,0,0,0
3,2610026,84,0,12,12,2923.335372,243.611281,10856.67686932,114,110,4,0,101,18,2,23856,0,18,18,27,0.079674167,seven_point_per_channel,0,0,0,0,0,0,0
3,2610027,84,0,14,14,2891.879366,206.5628118571,11054.39683604,102,92,3,0,123,18,2,25259,0,28,28,27,0.089134458,seven_point_per_channel,5,4.230093796197,0,0,0,0,0
3,2610028,84,0,10,10,2605.535001,260.5535001,9497.675012809,109,105,2,0,108,15,1,23812,0,17,16,23,0.085753041,seven_point_per_channel,1,-1.818989403546e-12,0,0,0,0,0
3,2610029,84,0,12,12,2540.275092,211.689591,9261.375454638,104,99,3,0,123,14,2,26477,0,24,23,23,0.09493075,seven_point_per_channel,2,0.009848055640759,0,0,0,0,0
3,2610030,84,0,13,13,3018.012411,232.1548008462,11510.06205016,107,101,5,0,139,25,0,31548,0,22,19,32,0.105824625,seven_point_per_channel,4,0.252590484477,0,0,0,0,0
3,2610031,84,0,13,13,2998.603129,230.6617791538,11253.01564428,112,108,5,0,112,20,2,22478,0,22,22,29,0.079019792,seven_point_per_channel,2,0,0,0,0,0,0
3,2610032,84,0,15,15,3207.383238,213.8255492,12206.91619209,114,106,5,0,163,21,3,33340,0,31,28,31,0.119770875,seven_point_per_channel,4,0,0,0,0,0,0
3,2610033,84,0,10,10,3087.90886,308.790886,11874.54430608,110,104,3,0,105,13,4,22831,0,14,14,24,0.081190375,seven_point_per_channel,4,18.37724789273,0,0,0,0,0
3,2610034,84,0,15,15,3217.849292,214.5232861333,11899.24645228,126,121,4,0,99,21,2,18754,0,28,27,30,0.064268917,seven_point_per_channel,3,-1.818989403546e-12,0,0,0,0,0
