problem,seed,method,stress,n,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,dp_calls,dp_actions,dp_fallbacks,dp_expanded,dp_budget_hits,aux_calls,aux_positive,joint_steps,runtime_s,certificate,shortcuts,shortcut_saved_m,residual_calls,residual_replaced,residual_retired,rollout_calls,rollout_replaced
3,2650001,84,4,15,15,3198.450117,213.2300078,12507.2505999,102,94,6,0,147,20,3,26965,0,32,32,30,0.139228667,seven_point_per_channel,5,13.71736074185,0,0,0,0,0
3,2650002,84,4,13,13,2860.258741,220.0199031538,10886.29369526,102,96,4,0,119,18,3,26753,0,16,16,28,0.137135333,seven_point_per_channel,5,12.71674260673,0,0,0,0,0
3,2650003,84,4,11,11,2808.35457,255.3049609091,10016.77284643,125,116,3,0,68,20,1,15017,0,19,19,28,0.072310333,seven_point_per_channel,0,0,0,0,0,0,0
3,2650004,84,4,11,11,2861.1583,260.1053,10425.79149866,119,114,4,0,72,18,3,15900,0,14,14,28,0.074667417,seven_point_per_channel,4,54.99912146768,0,0,0,0,0
3,2650005,84,4,13,13,2755.523248,211.9633267692,10182.61625413,110,98,2,0,136,12,5,29317,0,31,31,24,0.163455958,seven_point_per_channel,5,12.51874049088,0,0,0,0,0
3,2650006,84,4,10,10,2761.216961,276.1216961,10021.08479201,118,108,3,0,69,12,3,14386,0,18,17,22,0.075118166,seven_point_per_channel,5,1.520177050343,0,0,0,0,0
3,2650007,84,4,12,12,2959.272678,246.6060565,11011.36339234,115,110,4,0,70,22,1,14158,0,15,14,30,0.068930625,seven_point_per_channel,2,1.457618100882,0,0,0,0,0
3,2650008,84,4,16,16,3094.329426,193.395589125,11721.64714585,112,104,2,0,154,22,4,31129,0,29,28,33,0.156785292,upper_bound_16,4,6.53227163396,0,0,0,0,0
3,2650009,84,4,12,12,3019.634805,251.63623375,11168.17403975,118,112,8,0,84,21,3,17816,0,14,14,31,0.077788333,seven_point_per_channel,5,2.120612306993,0,0,0,0,0
3,2650010,84,4,11,11,3141.008912,285.5462647273,12230.04456023,106,101,3,0,134,17,0,26722,0,20,20,24,0.131284208,seven_point_per_channel,4,3.863520848994,0,0,0,0,0
3,2650011,84,4,13,13,2899.284668,223.0218975385,10926.42333937,109,101,1,0,114,17,2,19690,0,18,18,26,0.101618,seven_point_per_channel,6,8.336029681324,0,0,0,0,0
3,2650012,84,4,16,16,2571.121217,160.6950760625,9875.606092165,86,80,2,0,178,22,1,35242,0,31,29,28,0.176880709,upper_bound_16,5,0.3782592225871,0,0,0,0,0
3,2650013,84,4,10,10,2850.500439,285.0500439,10227.50219333,125,118,4,0,60,16,2,12649,0,17,17,25,0.065224458,seven_point_per_channel,1,9.646753572475,0,0,0,0,0
3,2650014,84,4,12,12,2992.823117,249.4019264167,11094.1155933,118,109,5,0,94,23,0,19104,0,26,25,30,0.102352209,seven_point_per_channel,0,0,0,0,0,0,0
3,2650015,84,4,15,15,3344.338356,222.9558904,12931.69178144,112,102,7,0,147,23,4,31250,0,34,34,34,0.15957025,seven_point_per_channel,6,9.449060331808,0,0,0,0,0
3,2650016,84,4,13,13,2892.130713,222.4715933077,10625.65356214,114,111,7,0,118,25,3,23729,0,20,19,35,0.120904167,seven_point_per_channel,3,12.12239403051,0,0,0,0,0
3,2650017,84,4,11,11,3297.869544,299.8063221818,12384.3477294,127,119,4,0,58,18,5,12374,0,11,11,30,0.052444208,seven_point_per_channel,6,27.38338361411,0,0,0,0,0
3,2650018,84,4,11,11,2944.541956,267.6856323636,10907.70978931,115,112,7,0,92,21,2,19438,0,16,16,30,0.096570291,seven_point_per_channel,4,2.171226741637,0,0,0,0,0
3,2650019,84,4,15,15,3294.716736,219.6477824,12608.58365557,115,105,6,0,119,25,4,26869,0,21,21,36,0.133605625,seven_point_per_channel,4,1.370475445214,0,0,0,0,0
3,2650020,84,4,11,11,2754.164318,250.3785743636,10225.82160118,108,105,3,0,134,16,1,26607,0,21,21,24,0.133508,seven_point_per_channel,3,0.001975673781999,0,0,0,0,0
3,2650021,84,4,16,16,3415.657604,213.47860025,13203.28801621,113,100,10,0,124,31,4,26969,0,18,16,42,0.13215275,upper_bound_16,6,3.445503359837,0,0,0,0,0
3,2650022,84,4,12,12,3178.011571,264.8342975833,12260.05785267,111,105,2,0,113,16,3,26052,0,16,15,26,0.134251417,seven_point_per_channel,3,0,0,0,0,0,0
3,2650023,84,4,10,10,3031.868661,303.1868661,11169.3433077,123,118,5,0,82,20,2,15712,0,11,9,29,0.070260708,seven_point_per_channel,4,1.504701265549,0,0,0,0,0
3,2650024,84,4,12,12,3294.40981,274.5341508333,12662.04904698,116,110,4,0,98,18,4,19034,0,16,15,29,0.099449666,seven_point_per_channel,6,30.01895414326,0,0,0,0,0
3,2650025,84,4,15,15,2962.801784,197.5201189333,11329.0089228,103,98,3,0,159,21,2,30626,0,25,25,30,0.158369958,seven_point_per_channel,5,0.6772573770468,0,0,0,0,0
3,2650026,84,4,14,14,3731.089788,266.5064134286,14835.44893805,113,108,7,0,200,23,4,43122,0,23,21,34,0.197051292,seven_point_per_channel,6,19.38052760912,0,0,0,0,0
3,2650027,84,4,10,10,2773.839608,277.3839608,10064.19803478,117,114,4,0,78,18,1,16024,0,16,16,26,0.079204542,seven_point_per_channel,2,0.8230294180266,0,0,0,0,0
3,2650028,84,4,13,13,2993.689639,230.2838183846,11263.4481996,112,107,3,0,136,16,5,31155,0,21,21,28,0.155923333,seven_point_per_channel,6,14.93603707006,0,0,0,0,0
3,2650029,84,4,14,14,2948.90683,210.6362021429,11219.53415451,106,99,2,0,115,19,2,22935,0,22,22,28,0.123977166,seven_point_per_channel,4,12.09856261998,0,0,0,0,0
3,2650030,84,4,10,10,2923.727489,292.3727489,10618.63744457,124,115,5,0,94,17,4,19548,0,14,13,28,0.094049083,seven_point_per_channel,1,7.44884373847,0,0,0,0,0
3,2650031,84,4,15,15,3187.920636,212.5280424,11874.60318111,122,110,6,0,66,23,4,12500,0,22,22,34,0.059462166,seven_point_per_channel,9,40.58957719325,0,0,0,0,0
3,2650032,84,4,16,16,2933.994081,183.3746300625,11444.9703925,94,86,3,0,138,23,3,29261,0,23,21,32,0.15566375,upper_bound_16,4,0.3550717662092,0,0,0,0,0
3,2650033,84,4,12,12,3134.459138,261.2049281667,11912.29568774,114,107,5,0,75,17,3,15563,0,15,15,27,0.071581375,seven_point_per_channel,4,18.30579572996,0,0,0,0,0
3,2650034,84,4,14,14,3130.165103,223.5832216429,11950.82551452,111,103,4,0,141,20,3,27461,0,21,19,30,0.131327041,seven_point_per_channel,6,12.49488991478,0,0,0,0,0
3,2650035,84,4,11,11,2812.177281,255.6524800909,10350.88641582,112,106,7,0,94,19,3,19640,0,14,13,29,0.095926792,seven_point_per_channel,3,2.850147098328,0,0,0,0,0
3,2650036,84,4,12,12,3123.108999,260.25908325,11415.54499497,127,118,9,0,98,21,6,20112,0,14,14,34,0.106356167,seven_point_per_channel,7,49.57437590652,0,0,0,0,0
3,2650037,84,4,10,10,2653.18696,265.318696,9065.93480005,130,122,6,0,43,17,2,8028,0,15,14,26,0.034541125,seven_point_per_channel,3,0.1235383400744,0,0,0,0,0
3,2650038,84,4,11,11,2884.243008,262.2039098182,10731.21504007,113,109,3,0,70,16,2,14582,0,13,13,25,0.068082125,seven_point_per_channel,5,22.87113355024,0,0,0,0,0
3,2650039,84,4,12,12,2801.269671,233.43913925,10461.34833239,109,101,1,0,80,16,0,15110,0,25,24,23,0.078284208,seven_point_per_channel,3,0,0,0,0,0,0
3,2650040,84,4,16,16,2941.791128,183.8619455,10763.95565145,114,106,11,0,182,29,6,39660,0,28,27,42,0.18626575,upper_bound_16,7,22.61230433888,0,0,0,0,0
4,2650001,84,4,15,15,5612.773979,374.1849319333,21253.86989866,212,200,9,4,445,52,4,122601,0,0,0,77,2.672256125,convex_mesh_per_channel,2,4.330356967213,376,6,0,0,0
4,2650002,84,4,13,13,5918.608755,455.2775965385,21618.0437854,251,239,12,5,178,39,5,48269,0,0,0,65,1.601394917,convex_mesh_per_channel,1,0,375,5,0,0,0
4,2650003,84,4,11,11,5480.134909,498.1940826364,19500.67453764,254,243,4,2,186,33,2,54569,0,0,0,56,1.848486292,convex_mesh_per_channel,1,0.151692794745,376,6,0,0,0
4,2650004,84,4,11,11,6254.248111,568.5680100909,22106.24056388,284,271,29,5,171,27,5,41742,0,0,0,53,1.703608542,convex_mesh_per_channel,0,0,375,5,0,0,0
4,2650005,84,4,13,13,5985.239471,460.4030362308,22316.19736426,234,218,23,4,258,45,4,63793,0,0,0,70,1.896926375,convex_mesh_per_channel,1,10.11097880448,376,6,0,0,0
4,2650006,84,4,10,10,6039.904109,603.9904109,21749.52054792,272,256,8,3,124,30,3,28699,0,0,0,54,1.674487375,convex_mesh_per_channel,0,0,376,6,0,0,0
4,2650007,84,4,12,12,5811.001098,484.2500915,20060.00548804,287,274,10,4,123,37,4,35765,0,0,0,62,1.372925,convex_mesh_per_channel,1,2.107544464925,376,6,0,0,0
