problem,seed,method,n,directional_n,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,scans,skipped_discovery,certificate,runtime_s
4,2813001,78,13,6,13,5610.228138,431.5560106154,21561.14068921,204,189,8,5,21,0,convex_mesh_per_channel,0.49193025
4,2813002,78,13,3,13,5680.713183,436.9779371538,21203.56592293,224,213,14,4,21,0,convex_mesh_per_channel,0.847724875
4,2813003,78,13,9,13,6344.103783,488.0079833077,22480.51890522,291,277,17,4,21,0,convex_mesh_per_channel,0.375754708
4,2813004,78,13,10,13,6281.79849,483.2152684615,23253.99244366,255,246,15,3,21,0,convex_mesh_per_channel,1.068062084
4,2813005,78,13,11,13,6156.540882,473.5800678462,22807.70441613,253,241,8,3,21,0,convex_mesh_per_channel,0.592096333
4,2813006,78,13,5,13,5993.725437,461.0558028462,22038.62718185,231,216,50,8,21,0,convex_mesh_per_channel,0.655836833
4,2813007,78,13,8,13,5908.051317,454.4654859231,21350.25657701,257,243,15,3,21,0,convex_mesh_per_channel,0.743054125
4,2813008,78,13,12,13,5980.929183,460.0714756154,22019.64592755,248,236,12,4,21,0,convex_mesh_per_channel,0.638262667
4,2813009,78,13,11,13,5885.67502,452.7442323077,21993.37512318,233,221,12,4,21,0,convex_mesh_per_channel,0.802454667
4,2813010,78,13,6,13,6367.79262,489.8302015385,23203.9631076,266,254,26,2,21,0,convex_mesh_per_channel,0.363230334
4,2813011,78,13,11,13,5988.055541,460.619657,21655.27770768,262,249,11,5,21,0,convex_mesh_per_channel,0.700418833
4,2813012,78,13,3,13,5808.55655,446.8120423077,21422.78275016,239,228,12,6,21,0,convex_mesh_per_channel,0.688535625
4,2813013,78,13,8,13,6203.091319,477.1608706923,22220.45658772,281,271,6,6,21,0,convex_mesh_per_channel,0.343535708
4,2813014,78,13,2,13,5646.815562,434.3704278462,21449.0778142,215,202,5,5,21,0,convex_mesh_per_channel,1.110533958
4,2813015,78,13,4,13,6016.878489,462.8368068462,22189.39246187,247,234,15,3,21,0,convex_mesh_per_channel,0.558201958
4,2813016,78,13,9,13,5689.673636,437.6672027692,20613.36816511,249,236,7,3,21,0,convex_mesh_per_channel,0.422562
4,2813017,78,13,4,13,5932.381347,456.3370266923,21766.90674195,244,231,21,6,21,0,convex_mesh_per_channel,0.666318583
4,2813018,78,13,9,13,5810.59509,446.9688530769,21902.97545281,228,216,3,5,21,0,convex_mesh_per_channel,0.714522083
4,2813019,78,13,4,13,5480.365269,421.5665591538,20526.82634667,216,203,9,4,21,0,convex_mesh_per_channel,0.773863875
4,2813020,78,13,11,13,5949.54272,457.6571323077,21022.71360571,277,262,11,3,21,0,convex_mesh_per_channel,0.340338166
4,2813021,78,13,9,13,5873.539924,451.8107633846,21507.69961157,241,230,24,3,21,0,convex_mesh_per_channel,0.529594416
4,2813022,78,13,2,13,5678.373427,436.7979559231,20936.86715025,233,216,15,3,21,0,convex_mesh_per_channel,0.740438041
4,2813023,78,13,3,13,5787.64647,445.2035746154,21638.23234244,229,217,11,3,21,0,convex_mesh_per_channel,0.627675625
4,2813024,78,13,9,13,5529.668919,425.3591476154,20393.34461532,229,214,9,5,21,0,convex_mesh_per_channel,0.456313208
4,2813025,78,13,11,13,6019.873163,463.0671663846,21654.36580703,254,240,38,5,21,0,convex_mesh_per_channel,0.584549
4,2813026,78,13,12,13,6305.257626,485.0198173846,23201.28812798,257,243,24,6,21,0,convex_mesh_per_channel,0.509631834
4,2813027,78,13,6,13,5833.106151,448.7004731538,21715.53078841,221,209,37,3,21,0,convex_mesh_per_channel,0.844886875
4,2813028,78,13,12,13,5982.433915,460.1872242308,22282.16955535,232,211,30,5,21,0,convex_mesh_per_channel,0.524745542
4,2813029,78,13,9,13,5943.15419,457.1657069231,21450.77096501,260,249,13,5,21,0,convex_mesh_per_channel,0.539147209
4,2813030,78,13,3,13,5576.788823,428.9837556154,20838.94410911,225,213,2,3,21,0,convex_mesh_per_channel,0.966559667
4,2813031,78,13,8,13,5793.621185,445.6631680769,21513.10593388,231,217,18,6,21,0,convex_mesh_per_channel,0.792262333
4,2813032,78,13,2,13,5459.45926,419.9584046154,20552.29629986,211,199,10,4,21,0,convex_mesh_per_channel,0.912539417
4,2813033,78,13,3,13,5472.889975,420.9915365385,19999.44988178,235,224,3,1,21,0,convex_mesh_per_channel,0.641265083
4,2813034,78,13,1,13,5603.930925,431.0716096154,20354.65462407,246,235,1,2,21,0,convex_mesh_per_channel,0.515645917
4,2813035,78,13,8,13,6065.038955,466.5414580769,21355.19478816,281,267,19,4,21,0,convex_mesh_per_channel,0.335971334
4,2813036,78,13,6,13,6085.55576,468.1196738462,21727.77880004,265,254,32,8,21,0,convex_mesh_per_channel,0.32761325
4,2813037,78,13,9,13,5523.413878,424.8779906154,20857.06936863,207,195,19,5,21,0,convex_mesh_per_channel,0.715671917
4,2813038,78,13,7,13,6354.498409,488.8075699231,22507.49207071,285,273,30,5,21,0,convex_mesh_per_channel,0.757648333
4,2813039,78,13,10,13,5428.084781,417.5449831538,20535.42390988,209,193,6,5,21,0,convex_mesh_per_channel,0.761829333
4,2813040,78,13,1,13,5592.094558,430.1611198462,20330.47279544,243,228,6,4,21,0,convex_mesh_per_channel,0.554654833
