problem,seed,method,n,directional_n,time_s,avg_s,move_m,measures,switches,miss,scans,discovery_measures,discovery_switches,Jsum,local_measures,local_switches,discovery_same_channel_savings,cpu_s
4,2610001,78,13,11,5914.738299,454.979869153846,22158.6915060312,231,218,15,21,209,198,62,22,20,11,0.890152625
4,2610002,78,12,5,5799.880886,483.323407166667,21069.404423167,247,234,19,21,231,219,63,16,15,12,0.605985833
4,2610003,78,13,3,5716.814824,439.754986461538,20929.0741228787,241,231,10,21,214,204,67,27,27,10,1.732392084
4,2610004,78,15,2,5322.846905,354.856460333333,21229.2345223228,168,159,1,21,137,129,32,31,30,8,2.178870208
4,2610005,78,12,6,5803.558618,483.629884833333,20317.7931054425,276,264,12,21,253,242,85,23,22,11,1.138410833
4,2610006,78,12,1,5815.716494,484.643041166667,21248.5824814696,249,231,10,21,225,210,57,24,21,15,1.413247333
4,2610007,78,10,8,6265.954106,626.5954106,21599.7705490733,312,300,12,21,298,286,88,14,14,12,0.2969545
4,2610008,78,11,10,5804.52204,527.683821818182,20522.6102158177,273,256,8,21,260,246,71,13,10,14,0.399462333
4,2610009,78,10,7,5878.141707,587.8141707,20795.708527567,273,256,16,21,258,244,48,15,12,14,0.337652666
4,2610010,78,11,5,6210.641637,564.603785181818,22188.2081918095,286,273,5,21,263,252,74,23,21,11,0.579875875
4,2610011,78,10,7,6058.699571,605.8699571,21063.4978568336,300,287,3,21,285,273,75,15,14,12,0.278856834
4,2610012,78,15,2,5315.184973,354.345664866667,20525.9248611087,186,172,11,21,159,147,54,27,25,12,1.486638
4,2610013,78,13,3,5506.680477,423.590805923077,20273.4023834319,231,217,5,21,207,196,60,24,21,11,1.351715
4,2610014,78,11,7,6175.686087,561.426007909091,22078.4304290802,275,261,23,21,252,242,63,23,19,10,0.941651041
4,2610015,78,15,3,5285.255769,352.3503846,20041.278836534,200,184,6,21,168,157,63,32,27,11,1.40276775
4,2610016,78,10,3,5684.450501,568.4450501,20532.2525150185,254,243,5,21,239,228,29,15,15,11,0.71846675
4,2610017,78,10,1,5648.699653,564.8699653,19793.498268638,273,260,5,21,255,242,45,18,18,13,0.995206583
4,2610018,78,16,6,5404.28021,337.767513125,21211.4010473084,176,163,13,19,145,135,69,31,28,10,1.532879292
