problem,seed,variant,stress,error,total,cleared,ratio,time_s,avg_s,move_m,measures,switches,miss,fallbacks,audits,runtime_s,certificate
3,40001,0,1,1,15,15,1,5796.599881,386.439992067,25137.9994051,116,114,0,0,30,0.0002985,seven_point_per_channel
3,40002,0,1,1,13,13,1,5376.864098,413.604930615,23034.3204977,118,115,0,0,26,0.0002618,seven_point_per_channel
3,40003,0,1,1,11,11,1,5080.997505,461.908864091,21389.9875326,125,123,0,0,22,0.0002552,seven_point_per_channel
3,40004,0,1,1,11,11,1,5080.997505,461.908864091,21389.9875326,125,123,0,0,22,0.0002224,seven_point_per_channel
3,40005,0,1,1,16,16,1,6042.593848,377.6621155,26402.9692472,114,112,0,0,32,0.0002911,upper_bound_16
3,40006,0,1,1,16,16,1,6041.593848,377.5996155,26402.9692472,114,111,0,0,32,0.0002889,upper_bound_16
3,40007,0,1,1,15,15,1,5796.599881,386.439992067,25137.9994051,116,114,0,0,30,0.0002767,seven_point_per_channel
3,40008,0,1,1,10,10,1,4536.174405,453.6174405,18695.8720448,125,122,0,0,20,0.0001831,seven_point_per_channel
3,40009,0,1,1,13,13,1,5376.864098,413.604930615,23034.3204977,118,115,0,0,26,0.0002383,seven_point_per_channel
3,40010,0,1,1,13,13,1,5376.864098,413.604930615,23034.3204977,118,115,0,0,26,0.0002368,seven_point_per_channel
3,40011,0,1,1,11,11,1,5080.997505,461.908864091,21389.9875326,125,123,0,0,22,0.0002064,seven_point_per_channel
3,40012,0,1,1,10,10,1,4537.174405,453.7174405,18695.8720448,125,123,0,0,20,0.000187,seven_point_per_channel
3,40013,0,1,1,11,11,1,5078.997505,461.727045909,21389.9875326,125,121,0,0,22,0.0002049,seven_point_per_channel
3,40014,0,1,1,16,16,1,6042.593848,377.6621155,26402.9692472,114,112,0,0,32,0.0003077,upper_bound_16
3,40015,0,1,1,11,11,1,5079.997505,461.817955,21389.9875326,125,122,0,0,22,0.0002268,seven_point_per_channel
3,40016,0,1,1,15,15,1,5793.599881,386.239992067,25137.9994051,116,111,0,0,30,0.0002787,seven_point_per_channel
3,40017,0,1,1,15,15,1,5795.599881,386.3733254,25137.9994051,116,113,0,0,30,0.0002726,seven_point_per_channel
3,40018,0,1,1,11,11,1,5078.997505,461.727045909,21389.9875326,125,121,0,0,22,0.000208,seven_point_per_channel
3,40019,0,1,1,14,14,1,5507.300646,393.378617571,23681.5032384,117,113,1,0,29,0.0002638,seven_point_per_channel
3,40020,0,1,1,15,15,1,5796.599881,386.439992067,25137.9994051,116,114,0,0,30,0.0002724,seven_point_per_channel
3,40021,0,1,1,13,13,1,5376.864098,413.604930615,23034.3204977,118,115,0,0,26,0.000245,seven_point_per_channel
3,40022,0,1,1,13,13,1,5374.864098,413.451084462,23034.3204977,118,113,0,0,26,0.0002407,seven_point_per_channel
3,40023,0,1,1,10,10,1,4537.174405,453.7174405,18695.8720448,125,123,0,0,20,0.0001829,seven_point_per_channel
3,40024,0,1,1,10,10,1,4536.174405,453.6174405,18695.8720448,125,122,0,0,20,0.0001809,seven_point_per_channel
3,40025,0,1,1,13,13,1,5377.864098,413.681853692,23034.3204977,118,116,0,0,26,0.0002392,seven_point_per_channel
3,40026,0,1,1,15,15,1,5796.599881,386.439992067,25137.9994051,116,114,0,0,30,0.0002744,seven_point_per_channel
3,40027,0,1,1,14,14,1,5508.300646,393.450046143,23681.5032384,117,114,1,0,29,0.0002651,seven_point_per_channel
3,40028,0,1,1,14,14,1,5508.300646,393.450046143,23681.5032384,117,114,1,0,29,0.0002664,seven_point_per_channel
3,40029,0,1,1,14,14,1,5508.300646,393.450046143,23681.5032384,117,114,1,0,29,0.0002622,seven_point_per_channel
3,40030,0,1,1,14,14,1,5508.300646,393.450046143,23681.5032384,117,114,1,0,29,0.0002621,seven_point_per_channel
