problem,seed,variant,stress,error,total,cleared,ratio,time_s,avg_s,move_m,measures,switches,miss,fallbacks,audits,runtime_s,certificate
3,50001,0,2,2,11,11,1,4622.718361,420.247123727,19648.5918056,105,95,6,0,26,0.0002533,seven_point_per_channel
3,50002,0,2,2,13,13,1,4862.923941,374.071072385,21099.6197221,95,85,6,0,30,0.0002712,seven_point_per_channel
3,50003,0,2,2,13,13,1,4980.193147,383.091780538,21685.96575,95,85,6,0,30,0.0002685,seven_point_per_channel
3,50004,0,2,2,10,10,1,4626.079977,462.6079977,19740.3998805,104,96,4,0,24,0.0002177,seven_point_per_channel
3,50005,0,2,2,15,15,1,4977.811172,331.854078133,22004.0558472,83,75,4,0,32,0.0002916,seven_point_per_channel
3,50006,0,2,2,11,11,1,4640.640363,421.876396636,19738.2018098,105,95,6,0,26,0.0002323,seven_point_per_channel
3,50007,0,2,2,16,16,1,5469.249072,341.828067,24401.2453477,82,69,10,0,42,0.000372,upper_bound_16
3,50008,0,2,2,12,12,1,5256.140226,438.0116855,22830.7011313,103,91,8,0,32,0.0002834,seven_point_per_channel
3,50009,0,2,2,14,14,1,5576.242372,398.303026571,24711.2118609,93,81,6,0,36,0.0003206,seven_point_per_channel
3,50010,0,2,2,11,11,1,4763.122948,433.011177091,20350.6147342,105,95,6,0,26,0.0002316,seven_point_per_channel
3,50011,0,2,2,13,13,1,5087.168971,391.320690077,22220.8448713,95,85,6,0,30,0.0002686,seven_point_per_channel
3,50012,0,2,2,15,15,1,5002.233372,333.4822248,22101.1668568,84,75,4,0,33,0.0002979,seven_point_per_channel
3,50013,0,2,2,15,15,1,5032.354206,335.4902804,22276.7710151,83,75,4,0,32,0.000294,seven_point_per_channel
3,50014,0,2,2,12,12,1,4947.050798,412.254233167,21325.253994,102,91,7,0,31,0.0002771,seven_point_per_channel
3,50015,0,2,2,13,13,1,4908.521916,377.578608923,21327.6096039,95,85,6,0,30,0.0002676,seven_point_per_channel
3,50016,0,2,2,10,10,1,4596.136026,459.6136026,19590.6801367,104,96,4,0,24,0.0002161,seven_point_per_channel
3,50017,0,2,2,15,15,1,5231.803786,348.786919067,23274.0189142,83,75,4,0,32,0.0002902,seven_point_per_channel
3,50018,0,2,2,11,11,1,4500.235776,409.112343273,19036.1788812,105,95,6,0,26,0.0002309,seven_point_per_channel
3,50019,0,2,2,12,12,1,5260.646171,438.387180917,22893.230857,102,91,7,0,31,0.0002767,seven_point_per_channel
3,50020,0,2,2,10,10,1,4587.490119,458.7490119,19547.4506048,104,96,4,0,24,0.0002197,seven_point_per_channel
3,50021,0,2,2,16,16,1,5573.943291,348.371455687,24924.716454,82,69,10,0,42,0.000372,upper_bound_16
3,50022,0,2,2,13,13,1,4992.392635,384.030202692,21746.9631973,95,85,6,0,30,0.0002688,seven_point_per_channel
3,50023,0,2,2,11,11,1,4630.004887,420.909535182,19685.0244328,105,95,6,0,26,0.0002306,seven_point_per_channel
3,50024,0,2,2,13,13,1,5043.502709,387.961746846,22007.5135638,95,84,6,0,30,0.0002675,seven_point_per_channel
3,50025,0,2,2,10,10,1,4179.334186,417.9334186,17516.6709316,104,94,4,0,24,0.0002563,seven_point_per_channel
3,50026,0,2,2,11,11,1,4763.122948,433.011177091,20350.6147342,105,95,6,0,26,0.0002346,seven_point_per_channel
