problem,seed,variant,stress,error,total,cleared,ratio,time_s,avg_s,move_m,measures,switches,miss,fallbacks,audits,runtime_s,certificate
3,60001,0,0,3,15,15,1,4841.97124,322.798082667,21039.8561878,94,89,0,0,32,0.000317,seven_point_per_channel
3,60002,0,0,3,14,14,1,4900.620975,350.044355357,21008.1048884,106,99,0,0,30,0.0002743,seven_point_per_channel
3,60003,0,0,3,10,10,1,4265.89018,426.589018,17809.4509109,109,103,2,0,24,0.0002145,seven_point_per_channel
3,60004,0,0,3,15,15,1,4587.151336,305.810089067,20070.7566907,84,78,0,0,33,0.0002953,seven_point_per_channel
3,60005,0,0,3,15,15,1,5370.443,358.029533333,23722.2150089,93,86,0,0,34,0.0003024,seven_point_per_channel
3,60006,0,0,3,15,15,1,5099.137252,339.942483467,22300.6862602,95,89,0,0,33,0.0003011,seven_point_per_channel
3,60007,0,0,3,14,14,1,4357.107564,311.221968857,19170.537825,77,68,0,0,28,0.00026,seven_point_per_channel
3,60008,0,0,3,13,13,1,4403.010234,338.693094923,19175.0511598,85,78,0,0,29,0.0002584,seven_point_per_channel
3,60009,0,0,3,12,12,1,4330.844925,360.90374375,18214.224627,105,100,1,0,27,0.0002406,seven_point_per_channel
3,60010,0,0,3,13,13,1,4573.945785,351.841983462,19859.7289248,91,82,0,0,30,0.0002652,seven_point_per_channel
3,60011,0,0,3,12,12,1,4176.058171,348.004847583,17515.2908481,103,98,0,0,25,0.0002256,seven_point_per_channel
3,60012,0,0,3,13,13,1,4546.670721,349.743901615,19373.3536184,102,97,0,0,28,0.0002501,seven_point_per_channel
3,60013,0,0,3,11,11,1,4006.997814,364.272528545,16559.9890744,107,102,1,0,25,0.0002258,seven_point_per_channel
3,60014,0,0,3,11,11,1,4233.254738,384.841339818,17731.2736984,106,96,2,0,27,0.0002507,seven_point_per_channel
3,60015,0,0,3,16,16,1,5194.968784,324.685549,22564.8439179,101,91,2,0,35,0.0003276,upper_bound_16
3,60016,0,0,3,15,15,1,5124.71763,341.647842,22293.5881457,99,96,0,0,32,0.0002953,seven_point_per_channel
3,60017,0,0,3,13,13,1,4033.924483,310.301883308,17334.6224098,84,79,1,0,27,0.0002553,seven_point_per_channel
3,60018,0,0,3,11,11,1,4250.066035,386.369639545,17945.3301706,102,96,0,0,25,0.0002292,seven_point_per_channel
3,60019,0,0,3,16,16,1,4086.74306,255.42144125,18163.715298,63,53,2,0,37,0.0003806,upper_bound_16
3,60020,0,0,3,13,13,1,4935.148448,379.626803692,21435.7422457,98,93,0,0,28,0.0002547,seven_point_per_channel
3,60021,0,0,3,15,15,1,4682.230105,312.148673667,20361.150525,90,85,0,0,31,0.0002822,seven_point_per_channel
3,60022,0,0,3,10,10,1,4049.372238,404.9372238,16931.8611902,103,98,0,0,21,0.0001965,seven_point_per_channel
3,60023,0,0,3,10,10,1,4351.016825,435.1016825,18265.084133,109,103,0,0,21,0.0001893,seven_point_per_channel
3,60024,0,0,3,15,15,1,4982.900737,332.193382467,21724.5036747,94,90,1,0,32,0.0002865,seven_point_per_channel
3,60025,0,0,3,10,10,1,4022.704553,402.2704553,16528.5227639,112,107,0,0,21,0.0001909,seven_point_per_channel
3,60026,0,0,3,10,10,1,4418.197064,441.8197064,18295.9853312,118,113,2,0,23,0.0002058,seven_point_per_channel
3,60027,0,0,3,14,14,1,5057.425692,361.244692286,21982.1284767,100,91,0,0,32,0.0002825,seven_point_per_channel
3,60028,0,0,3,15,15,1,5139.038342,342.602556133,22510.1917257,94,86,2,0,34,0.0003092,seven_point_per_channel
3,60029,0,0,3,12,12,1,4008.048212,334.004017667,16450.2410617,110,105,1,0,25,0.0002495,seven_point_per_channel
3,60030,0,0,3,11,11,1,4207.253781,382.477616455,17791.2689192,100,94,0,0,25,0.0002258,seven_point_per_channel
3,60031,0,0,3,16,16,1,5285.610153,330.350634562,23443.0507668,87,79,1,0,35,0.0003154,upper_bound_16
3,60032,0,0,3,15,15,1,4479.676058,298.645070533,19448.3803143,86,85,0,0,30,0.0002751,seven_point_per_channel
3,60033,0,0,3,10,10,1,3535.333633,353.5333633,14316.6681561,104,99,1,0,21,0.000192,seven_point_per_channel
3,60034,0,0,3,15,15,1,4917.313124,327.820874933,21116.5656445,103,98,2,0,33,0.0003046,seven_point_per_channel
3,60035,0,0,3,14,14,1,4413.307209,315.236229214,19271.5360612,82,73,2,0,33,0.0003013,seven_point_per_channel
3,60036,0,0,3,15,15,1,4092.186581,272.812438733,17290.9329044,94,89,0,0,32,0.0002919,seven_point_per_channel
3,60037,0,0,3,13,13,1,4517.415879,347.493529154,19212.0794021,102,97,1,0,28,0.000251,seven_point_per_channel
3,60038,0,0,3,15,15,1,4800.479501,320.031966733,20797.3975032,95,85,2,0,36,0.0003477,seven_point_per_channel
3,60039,0,0,3,13,13,1,4358.238301,335.249100077,18391.1915027,103,100,0,0,27,0.0002629,seven_point_per_channel
3,60040,0,0,3,12,12,1,5010.135155,417.511262917,21685.675781,103,98,0,0,27,0.0002494,seven_point_per_channel
3,60041,0,0,3,16,16,1,4123.93704,257.746065,17899.6851977,78,68,2,0,38,0.000343,upper_bound_16
3,60042,0,0,3,10,10,1,4289.727171,428.9727171,18073.6358549,105,100,0,0,22,0.0002024,seven_point_per_channel
3,60043,0,0,3,13,13,1,4439.522611,341.501739308,19217.6130617,89,83,1,0,28,0.0002579,seven_point_per_channel
3,60044,0,0,3,14,14,1,4295.082964,306.791640286,18445.4148229,90,83,1,0,32,0.0002819,seven_point_per_channel
3,60045,0,0,3,10,10,1,4367.7173,436.77173,18098.5865142,117,110,1,0,23,0.0002044,seven_point_per_channel
3,60046,0,0,3,16,16,1,5191.307824,324.456739,23071.5391099,84,74,1,0,37,0.0003294,upper_bound_16
3,60047,0,0,3,14,14,1,4787.696632,341.978330857,20578.483165,101,94,1,0,33,0.0002917,seven_point_per_channel
3,60048,0,0,3,16,16,1,4651.551391,290.721961937,20337.7569611,85,76,1,0,36,0.0003227,upper_bound_16
3,60049,0,0,3,16,16,1,5127.904235,320.494014687,22469.5211733,93,86,1,0,37,0.0003293,upper_bound_16
3,60050,0,0,3,11,11,1,3891.365564,353.760505818,16081.8278125,104,97,1,0,26,0.0002319,seven_point_per_channel
3,60051,0,0,3,13,13,1,4319.536994,332.272076462,18092.6849727,106,100,2,0,28,0.0002484,seven_point_per_channel
3,60052,0,0,3,14,14,1,4254.818198,303.915585571,17939.090994,100,94,1,0,32,0.0002788,seven_point_per_channel
3,60053,0,0,3,10,10,1,3730.3374,373.03374,15351.6869937,102,97,1,0,22,0.0001971,seven_point_per_channel
3,60054,0,0,3,15,15,1,4875.29274,325.019516,21071.4636997,98,90,2,0,34,0.0003004,seven_point_per_channel
3,60055,0,0,3,10,10,1,4141.15438,414.115438,17330.7719167,105,100,0,0,22,0.0001966,seven_point_per_channel
3,60056,0,0,3,16,16,1,4967.681002,310.480062625,21498.4050112,98,92,2,0,35,0.0003109,upper_bound_16
3,60057,0,0,3,13,13,1,4371.347856,336.257527385,18826.7392876,91,86,0,0,28,0.0002505,seven_point_per_channel
3,60058,0,0,3,12,12,1,4614.756505,384.563042083,19688.7825183,103,96,2,0,28,0.0002482,seven_point_per_channel
3,60059,0,0,3,15,15,1,4651.785913,310.119060867,20128.9295864,93,86,0,0,34,0.0003049,seven_point_per_channel
3,60060,0,0,3,14,14,1,4781.873372,341.562383714,20534.3668675,101,94,2,0,32,0.000288,seven_point_per_channel
3,60061,0,0,3,10,10,1,3810.332617,381.0332617,15606.6630981,107,104,0,0,20,0.0001852,seven_point_per_channel
