problem,seed,variant,stress,error,total,cleared,ratio,time_s,avg_s,move_m,measures,switches,miss,fallbacks,audits,runtime_s,certificate
3,80001,0,3,1,14,14,1,4450.822517,317.915894071,20014.1125935,64,58,0,0,16,0.0001632,seven_point_per_channel
3,80002,0,3,1,16,16,1,3136.17379,196.010861875,14415.8689571,29,28,0,0,18,0.0001631,upper_bound_16
3,80003,0,3,1,11,11,1,3890.337719,353.667065364,16806.6886017,80,74,0,0,12,0.0001101,seven_point_per_channel
3,80004,0,3,1,11,11,1,3890.403827,353.673075182,16807.0191415,80,74,0,0,12,0.0001097,seven_point_per_channel
3,80005,0,3,1,13,13,1,4155.581007,319.660077462,18412.9050458,69,63,0,0,14,0.0001271,seven_point_per_channel
3,80006,0,3,1,13,13,1,4155.514899,319.654992231,18412.574506,69,63,0,0,14,0.0001264,seven_point_per_channel
3,80007,0,3,1,15,15,1,4745.073531,316.3382354,21610.3676644,59,53,0,0,18,0.0001644,seven_point_per_channel
3,80008,0,3,1,13,13,1,4155.581007,319.660077462,18412.9050458,69,63,0,0,14,0.0001251,seven_point_per_channel
3,80009,0,3,1,13,13,1,4155.514899,319.654992231,18412.574506,69,63,0,0,14,0.0001248,seven_point_per_channel
3,80010,0,3,1,15,15,1,4745.073531,316.3382354,21610.3676644,59,53,0,0,18,0.000161,seven_point_per_channel
3,80011,0,3,1,14,14,1,4450.756409,317.911172071,20013.7820537,64,58,0,0,16,0.0001424,seven_point_per_channel
3,80012,0,3,1,10,10,1,3921.403827,392.1403827,16807.0191415,86,80,0,0,12,0.0001074,seven_point_per_channel
3,80013,0,3,1,11,11,1,3890.403827,353.673075182,16807.0191415,80,74,0,0,12,0.000107,seven_point_per_channel
3,80014,0,3,1,14,14,1,4450.756409,317.911172071,20013.7820537,64,58,0,0,16,0.0001444,seven_point_per_channel
3,80015,0,3,1,14,14,1,4450.822517,317.915894071,20014.1125935,64,58,0,0,16,0.0001423,seven_point_per_channel
3,80016,0,3,1,13,13,1,4155.547859,319.657527615,18412.7393056,69,63,0,0,14,0.0001247,seven_point_per_channel
3,80017,0,3,1,11,11,1,3890.337719,353.667065364,16806.6886017,80,74,0,0,12,0.0001074,seven_point_per_channel
3,80018,0,3,1,12,12,1,3859.370679,321.61422325,16806.8534013,74,68,0,0,12,0.0001083,seven_point_per_channel
3,80019,0,3,1,16,16,1,3136.17379,196.010861875,14415.8689571,29,28,0,0,18,0.000164,upper_bound_16
3,80020,0,3,1,15,15,1,4745.106491,316.340432733,21610.532464,59,53,0,0,18,0.000162,seven_point_per_channel
3,80021,0,3,1,12,12,1,3859.370679,321.61422325,16806.8534013,74,68,0,0,12,0.0001116,seven_point_per_channel
3,80022,0,3,1,11,11,1,3890.370679,353.670061727,16806.8534013,80,74,0,0,12,0.0001091,seven_point_per_channel
3,80023,0,3,1,16,16,1,3137.103819,196.068988687,14420.5191039,29,28,0,0,18,0.0001609,upper_bound_16
3,80024,0,3,1,13,13,1,4155.581007,319.660077462,18412.9050458,69,63,0,0,14,0.0001263,seven_point_per_channel
3,80025,0,3,1,10,10,1,3921.403827,392.1403827,16807.0191415,86,80,0,0,12,0.0001084,seven_point_per_channel
3,80026,0,3,1,10,10,1,3921.403827,392.1403827,16807.0191415,86,80,0,0,12,0.0001093,seven_point_per_channel
3,80027,0,3,1,14,14,1,4450.789369,317.913526357,20013.9468533,64,58,0,0,16,0.0001446,seven_point_per_channel
3,80028,0,3,1,16,16,1,3137.103819,196.068988687,14420.5191039,29,28,0,0,18,0.0001615,upper_bound_16
3,80029,0,3,1,10,10,1,3921.403827,392.1403827,16807.0191415,86,80,0,0,12,0.0001857,seven_point_per_channel
3,80030,0,3,1,14,14,1,4450.789369,317.913526357,20013.9468533,64,58,0,0,16,0.0001441,seven_point_per_channel
3,80031,0,3,1,12,12,1,3859.403827,321.616985583,16807.0191415,74,68,0,0,12,0.0001087,seven_point_per_channel
