problem,seed,variant,stress,error,total,cleared,ratio,time_s,avg_s,move_m,measures,switches,miss,fallbacks,audits,runtime_s,certificate
3,70001,0,0,4,15,15,1,4506.20585,300.413723333,19676.029246,83,75,2,0,36,0.0003417,seven_point_per_channel
3,70002,0,0,4,15,15,1,4477.400193,298.4933462,19357.0009834,89,83,1,0,34,0.0003063,seven_point_per_channel
3,70003,0,0,4,10,10,1,4469.408753,446.9408753,18577.0437802,116,109,5,0,26,0.0002292,seven_point_per_channel
3,70004,0,0,4,10,10,1,3470.89028,347.089028,14019.4514034,103,96,2,0,24,0.0002144,seven_point_per_channel
3,70005,0,0,4,11,11,1,3932.425932,357.493266545,16207.1296623,106,97,3,0,28,0.0002454,seven_point_per_channel
3,70006,0,0,4,14,14,1,4487.458563,320.5327545,18982.2928184,104,95,2,0,34,0.0003062,seven_point_per_channel
3,70007,0,0,4,13,13,1,4302.396109,330.953546846,18091.9805456,103,92,4,0,32,0.0002828,seven_point_per_channel
3,70008,0,0,4,12,12,1,4452.511694,371.042641167,19152.5584598,93,82,5,0,31,0.000269,seven_point_per_channel
3,70009,0,0,4,15,15,1,4904.653184,326.976878933,21623.2659225,84,70,5,0,40,0.0003501,seven_point_per_channel
3,70010,0,0,4,16,16,1,4946.030271,309.126891937,21845.1513666,83,79,1,0,34,0.0003066,upper_bound_16
3,70011,0,0,4,15,15,1,4866.332146,324.422143067,20881.6607389,102,93,4,0,37,0.0003295,seven_point_per_channel
3,70012,0,0,4,15,15,1,4434.956601,295.6637734,19154.7830002,88,77,4,0,38,0.0003452,seven_point_per_channel
3,70013,0,0,4,16,16,1,4806.304544,300.394034,20906.522726,91,84,2,0,37,0.0003314,upper_bound_16
3,70014,0,0,4,11,11,1,3732.100653,339.281877545,15630.503256,92,82,3,0,27,0.0002391,seven_point_per_channel
3,70015,0,0,4,10,10,1,3999.50537,399.950537,16302.5268608,115,108,2,0,24,0.0002126,seven_point_per_channel
3,70016,0,0,4,11,11,1,4250.942696,386.449336,17434.7134762,118,107,4,0,30,0.0002656,seven_point_per_channel
3,70017,0,0,4,10,10,1,4158.098955,415.8098955,17245.4947873,110,100,3,0,27,0.0002345,seven_point_per_channel
