kind,channel,x,y,result,angle,time
measure,1,0,0,0,0,5
measure,2,0,0,0,0,11
measure,3,0,0,0,0,17
measure,4,0,0,2,333.87,23
measure,5,0,0,0,0,29
measure,6,0,0,0,0,35
measure,7,0,0,2,161.89,41
measure,8,0,0,2,334.67,47
measure,9,0,0,0,0,53
measure,10,0,0,0,0,59
measure,11,0,0,0,0,65
measure,12,0,0,2,307.25,71
measure,13,0,0,2,65.92,77
measure,14,0,0,0,0,83
measure,15,0,0,2,190.61,89
measure,16,0,0,0,0,95
measure,17,0,0,0,0,101
measure,18,0,0,0,0,107
measure,19,0,0,0,0,113
measure,20,0,0,0,0,119
measure,7,-806.09881677,-52.0067072736,2,105.67,286.554944
clear,7,-904.180645337,296.053390372,1,0,363.878074
measure,15,-792.414292176,156.77879179,2,245.87,405.59313
clear,15,-942.353260145,-176.874397354,1,0,483.752174
measure,12,215.169890272,-778.589698314,2,350.37,750.667574
measure,12,649.233673083,-852.87614239,2,189.51,843.742506
clear,12,638.530317755,-854.476724481,1,0,850.90698
measure,4,541.225031095,-599.646117069,2,106.71,911.462257
clear,4,423.322370525,-207.999518676,1,0,998.263992
measure,8,549.544641875,-592.030984481,2,52.95,1085.112549
clear,8,734.491771004,-347.499296832,1,0,1151.431775
measure,13,579.901843955,562.328952996,2,106.47,1342.005391
measure,13,449.235512219,1006.72900491,2,266.09,1439.647735
clear,13,448.594241237,994.091954521,1,0,1447.178397
measure,14,600,1039.23048454,0,0,1484.776619
measure,16,600,1039.23048454,0,0,1490.776619
measure,17,600,1039.23048454,0,0,1496.776619
measure,18,600,1039.23048454,0,0,1502.776619
measure,19,600,1039.23048454,0,0,1508.776619
measure,20,600,1039.23048454,0,0,1514.776619
measure,1,600,1039.23048454,0,0,1520.776619
measure,2,600,1039.23048454,0,0,1526.776619
measure,3,600,1039.23048454,2,129.95,1532.776619
measure,5,600,1039.23048454,0,0,1538.776619
measure,6,600,1039.23048454,0,0,1544.776619
measure,9,600,1039.23048454,0,0,1550.776619
measure,10,600,1039.23048454,0,0,1556.776619
measure,11,600,1039.23048454,0,0,1562.776619
measure,3,-111.570675657,1421.54864203,2,351.09,1730.331563
clear,3,338.729389031,1350.59802256,1,0,1826.502641
measure,5,-600,1039.23048454,2,77.53,2030.306848
measure,6,-600,1039.23048454,0,0,2036.306848
measure,9,-600,1039.23048454,0,0,2042.306848
measure,10,-600,1039.23048454,0,0,2048.306848
measure,11,-600,1039.23048454,0,0,2054.306848
measure,14,-600,1039.23048454,0,0,2060.306848
measure,16,-600,1039.23048454,0,0,2066.306848
measure,17,-600,1039.23048454,0,0,2072.306848
measure,18,-600,1039.23048454,0,0,2078.306848
measure,19,-600,1039.23048454,0,0,2084.306848
measure,20,-600,1039.23048454,0,0,2090.306848
measure,1,-600,1039.23048454,0,0,2096.306848
measure,2,-600,1039.23048454,0,0,2102.306848
measure,5,-730.976462567,1836.31590421,2,317.34,2269.861792
clear,5,-475.999975604,1600.99675693,1,0,2344.255772
measure,6,-1200,1.46952762459e-13,0,0,2701.673851
measure,9,-1200,1.46952762459e-13,0,0,2707.673851
measure,10,-1200,1.46952762459e-13,0,0,2713.673851
measure,11,-1200,1.46952762459e-13,2,254.98,2719.673851
measure,14,-1200,1.46952762459e-13,0,0,2725.673851
measure,16,-1200,1.46952762459e-13,0,0,2731.673851
measure,17,-1200,1.46952762459e-13,0,0,2737.673851
measure,18,-1200,1.46952762459e-13,0,0,2743.673851
measure,19,-1200,1.46952762459e-13,0,0,2749.673851
measure,20,-1200,1.46952762459e-13,0,0,2755.673851
measure,1,-1200,1.46952762459e-13,0,0,2761.673851
measure,2,-1200,1.46952762459e-13,0,0,2767.673851
measure,11,-1104.61652402,-802.123427229,2,114.06,2935.228795
clear,11,-1298.23751041,-367.568571967,1,0,3035.376472
measure,14,-600,-1039.23048454,0,0,3235.145958
measure,16,-600,-1039.23048454,0,0,3241.145958
measure,17,-600,-1039.23048454,0,0,3247.145958
measure,18,-600,-1039.23048454,2,328.28,3253.145958
measure,19,-600,-1039.23048454,0,0,3259.145958
measure,20,-600,-1039.23048454,0,0,3265.145958
measure,1,-600,-1039.23048454,0,0,3271.145958
measure,2,-600,-1039.23048454,0,0,3277.145958
measure,6,-600,-1039.23048454,0,0,3283.145958
measure,9,-600,-1039.23048454,0,0,3289.145958
measure,10,-600,-1039.23048454,2,244.42,3295.145958
measure,10,-653.233203308,-1845.24923498,2,111.1,3461.700902
clear,10,-801.337152527,-1460.54792769,1,0,3549.146005
measure,18,-119.759857408,-1688.74523067,2,8.2,3698.898795
measure,18,344.867764879,-1622.50375056,2,5.76,3797.763967
clear,18,361.047795826,-1621.15787193,1,0,3806.011149
measure,19,600,-1039.23048454,0,0,3937.826512
measure,20,600,-1039.23048454,2,49.38,3943.826512
measure,1,600,-1039.23048454,0,0,3949.826512
measure,2,600,-1039.23048454,0,0,3955.826512
measure,6,600,-1039.23048454,0,0,3961.826512
measure,9,600,-1039.23048454,0,0,3967.826512
measure,14,600,-1039.23048454,0,0,3973.826512
measure,16,600,-1039.23048454,0,0,3979.826512
measure,17,600,-1039.23048454,0,0,3985.826512
measure,20,860.566180565,-274.635647032,2,18.34,4153.381456
measure,20,1415.96275115,-89.4228586159,2,186.52,4275.474432
clear,20,1399.23664248,-91.6323176608,1,0,4283.848714
measure,1,1200,0,0,0,4333.708363
measure,2,1200,0,0,0,4339.708363
measure,6,1200,0,0,0,4345.708363
measure,9,1200,0,0,0,4351.708363
measure,14,1200,0,0,0,4357.708363
measure,16,1200,0,0,0,4363.708363
measure,17,1200,0,0,0,4369.708363
measure,19,1200,0,0,0,4375.708363
