problem,n,nd,nb,geometry,vs25_saving_s,vs25_percent,movement_saving_s,measurement_saving_s,switch_saving_s,failed_clear_saving_s
3,10,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3,10,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
3,10,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
3,10,0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
3,10,0,5,1,0.0,0.0,0.0,0.0,0.0,0.0
3,10,0,5,2,0.0,0.0,0.0,0.0,0.0,0.0
3,10,0,10,0,0.0,0.0,0.0,0.0,0.0,0.0
3,10,0,10,1,0.0,0.0,0.0,0.0,0.0,0.0
3,10,0,10,2,0.0,0.0,0.0,0.0,0.0,0.0
3,13,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3,13,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
3,13,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
3,13,0,7,0,0.0,0.0,0.0,0.0,0.0,0.0
3,13,0,7,1,0.0,0.0,0.0,0.0,0.0,0.0
3,13,0,7,2,0.0,0.0,0.0,0.0,0.0,0.0
3,13,0,13,0,0.0,0.0,0.0,0.0,0.0,0.0
3,13,0,13,1,0.0,0.0,0.0,0.0,0.0,0.0
3,13,0,13,2,0.0,0.0,0.0,0.0,0.0,0.0
3,16,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
3,16,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
3,16,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0
3,16,0,8,0,0.0,0.0,0.0,0.0,0.0,0.0
3,16,0,8,1,0.0,0.0,0.0,0.0,0.0,0.0
3,16,0,8,2,0.0,0.0,0.0,0.0,0.0,0.0
3,16,0,16,0,0.0,0.0,0.0,0.0,0.0,0.0
3,16,0,16,1,0.0,0.0,0.0,0.0,0.0,0.0
3,16,0,16,2,0.0,0.0,0.0,0.0,0.0,0.0
4,10,2,0,0,1403.9002718000002,18.208972669248993,1159.7669363555333,200.5,36.93333333333333,6.7
4,10,2,0,1,1513.0893007000002,18.361363606882858,1160.8892991174666,287.16666666666663,54.13333333333333,10.9
4,10,2,0,2,1212.3119751333331,15.303236014104835,1022.5119793840668,243.66666666666669,44.233333333333334,-98.10000000000001
4,10,2,5,0,1579.8829524666664,19.963828399031293,1267.8496155739333,248.5,46.43333333333333,17.1
4,10,2,5,1,1503.179092533333,18.75940571828819,1142.5124257392,305.0,57.766666666666666,-2.0999999999999996
4,10,2,5,2,1464.9297935333336,18.96287767867311,1182.3631268522,253.16666666666666,47.4,-18.0
4,10,2,10,0,1353.9927925999998,16.73380368605561,991.3261248070667,308.3333333333333,59.233333333333334,-4.9
4,10,2,10,1,1826.8827077,21.30007502316654,1340.4827075726666,408.1666666666667,77.53333333333333,0.7
4,10,2,10,2,1851.9746375666666,22.05428897593167,1463.1413034105997,327.8333333333333,61.0,0.0
4,10,5,0,0,1327.5992948,16.033808242895716,1047.0326273809335,226.83333333333334,42.333333333333336,11.399999999999999
4,10,5,0,1,1486.6985308333335,16.9732883517127,1188.5318642901998,262.5,48.96666666666667,-13.3
4,10,5,0,2,1331.5600840999998,14.457488630408937,1084.1600850146,313.5,56.8,-122.9
4,10,5,5,0,1408.2882138666669,16.71714603416344,1094.0882148340002,285.5,53.1,-24.4
4,10,5,5,1,1564.2482888999998,18.039311795066823,1138.981620346133,334.5,64.86666666666666,25.9
4,10,5,5,2,1539.0340450666665,18.07154175263504,1206.9340460298667,298.5,54.9,-21.299999999999997
4,10,5,10,0,1070.0465593999998,12.71149995190932,725.1465588228,309.3333333333333,60.36666666666667,-24.800000000000004
4,10,5,10,1,1526.6365301333333,17.290408777128583,1125.7365294270671,346.1666666666667,64.73333333333333,-10.0
4,10,5,10,2,1557.1564345333331,17.996590116807234,1098.0231004172,403.1666666666667,78.36666666666666,-22.4
4,10,8,0,0,1548.7054402666668,16.948783508332504,1224.0387709703998,262.16666666666663,46.7,15.8
4,10,8,0,1,1493.2558783666666,15.959657883054732,1205.8892073762001,222.83333333333334,40.233333333333334,24.299999999999997
4,10,8,0,2,894.0293933333335,8.753738472216952,741.9294191016667,340.0,61.8,-249.7
4,10,8,5,0,1179.2285003666668,13.121222695608797,914.7284988676669,226.16666666666669,39.63333333333333,-1.3
4,10,8,5,1,1355.329543866666,15.12552573987366,1080.196212663,259.83333333333337,46.7,-31.4
4,10,8,5,2,1286.0155137333336,13.96314671403265,948.7155124872663,368.6666666666667,67.93333333333334,-99.30000000000001
4,10,8,10,0,905.8679469333334,10.154042233960258,617.8012796355999,273.3333333333333,52.333333333333336,-37.6
4,10,8,10,1,1276.1803785666664,13.812192346804235,967.3137101671998,274.3333333333333,53.233333333333334,-18.7
4,10,8,10,2,1183.5036816333331,13.277094955775963,892.1370144667333,270.5,51.666666666666664,-30.800000000000004
4,13,3,0,0,1191.3210951,15.02496003047261,982.4544314334,199.0,35.266666666666666,-25.4
4,13,3,0,1,1254.8135541666666,14.842389228949651,1001.1802174853999,211.16666666666669,38.06666666666667,4.3999999999999995
4,13,3,0,2,1503.4291873333334,17.763054057606094,1295.1958461569998,168.66666666666669,29.666666666666668,9.899999999999999
4,13,3,7,0,1298.2721166000001,16.28800065476772,1038.7721157192661,223.0,41.1,-4.6000000000000005
4,13,3,7,1,1652.3823728666669,19.89360237971146,1394.382371690333,211.16666666666669,37.43333333333333,9.4
4,13,3,7,2,1777.6282208666667,21.47694024686247,1451.2282192513999,254.83333333333334,44.96666666666667,26.6
4,13,3,13,0,1145.3094071666665,13.922046047501718,779.5094058234001,331.5,62.1,-27.800000000000004
4,13,3,13,1,1665.4105466333333,18.856858773619912,1226.8105470911332,374.16666666666663,71.53333333333333,-7.1
