problem,axis,level,environments,vs25_saving_s,vs25_percent,ci_low,ci_high
3,源数,10,270,0.0,0.0,0.0,0.0
3,源数,13,270,0.0,0.0,0.0,0.0
3,源数,16,270,0.0,0.0,0.0,0.0
3,定向占比,0,810,0.0,0.0,0.0,0.0
3,边界占比,0%,270,0.0,0.0,0.0,0.0
3,边界占比,约50%,270,0.0,0.0,0.0,0.0
3,边界占比,100%,270,0.0,0.0,0.0,0.0
3,几何模式,均匀角,270,0.0,0.0,0.0,0.0
3,几何模式,近共线,270,0.0,0.0,0.0,0.0
3,几何模式,聚集,270,0.0,0.0,0.0,0.0
3,几何特征值比,≥0.1,383,0.0,0.0,0.0,0.0
3,几何特征值比,<0.01,270,0.0,0.0,0.0,0.0
3,几何特征值比,0.01—0.1,157,0.0,0.0,0.0,0.0
3,接收半径,1000,270,0.0,0.0,0.0,0.0
3,接收半径,1250,270,0.0,0.0,0.0,0.0
3,接收半径,1500,270,0.0,0.0,0.0,0.0
3,误差场,0,162,0.0,0.0,0.0,0.0
3,误差场,1,162,0.0,0.0,0.0,0.0
3,误差场,2,162,0.0,0.0,0.0,0.0
3,误差场,3,162,0.0,0.0,0.0,0.0
3,误差场,4,162,0.0,0.0,0.0,0.0
3,朝向模式,随机,405,0.0,0.0,0.0,0.0
3,朝向模式,向外,405,0.0,0.0,0.0,0.0
4,源数,10,810,1394.2047326938273,16.135902801309914,1333.7135920552275,1454.695873332427
4,源数,13,810,1378.6209248617283,15.269009533562729,1301.9684082008896,1455.273441522567
4,源数,16,810,914.2387760160494,11.696429311550403,794.4566619334864,1034.0208900986124
4,定向占比,低,810,1352.854243739506,17.43828086732202,1281.7919767741744,1423.9165107048377
4,定向占比,中,810,1216.4174026777778,14.327724177445509,1126.194032592144,1306.6407727634116
4,定向占比,高,810,1117.7927871543209,12.100269252450202,1011.6410681997352,1223.9445061089066
4,边界占比,0%,810,1245.3688013555554,14.699899776833318,1145.6744832618938,1345.063119449217
4,边界占比,约50%,810,1254.0043916506172,14.853178333707179,1171.7609532659976,1336.2478300352368
4,边界占比,100%,810,1187.6912405654323,13.857022891377632,1098.9462074630144,1276.4362736678502
4,几何模式,均匀角,810,1156.0761998950618,13.555384507476576,1096.1670787920416,1215.985320998082
4,几何模式,近共线,810,1306.2576759555554,14.974869204775256,1230.0868127504968,1382.428539160614
4,几何模式,聚集,810,1224.7305577209877,14.873838257626941,1101.661236826647,1347.7998786153285
4,几何特征值比,≥0.1,1174,1168.1474872606473,13.85084128203415,1095.0075884105331,1241.2873861107614
4,几何特征值比,<0.01,816,1314.0576908210785,15.05987056760917,1237.786447521552,1390.328934120605
4,几何特征值比,0.01—0.1,440,1233.7408305431816,14.987086233672201,1075.3730222939978,1392.1086387923654
4,接收半径,1000,810,1430.5449240888888,16.271445179616705,1334.9613409194938,1526.128507258284
4,接收半径,1250,810,1225.7165114012346,14.656020633697427,1136.236331730809,1315.19669107166
4,接收半径,1500,810,1030.8029980814815,12.373570024973745,946.734692793073,1114.87130336989
4,误差场,0,486,1105.8966032427984,13.19411552949599,991.7248482138109,1220.0683582717859
4,误差场,1,486,1298.3835027530863,15.141808888935321,1181.5087143300204,1415.2582911761522
4,误差场,2,486,1251.9959895781892,14.695671956755838,1134.5476417123157,1369.4443374440627
4,误差场,3,486,1221.6144426111114,14.49498955720941,1104.9276652032306,1338.3012200189921
4,误差场,4,486,1267.2168511008229,14.782843880818884,1147.9621408752193,1386.4715613264264
4,朝向模式,随机,1215,1287.7044721917696,15.495120901712177,1219.809496968781,1355.599447414758
4,朝向模式,向外,1215,1170.3384835226339,13.483076070051059,1091.0771775543212,1249.5997894909465
