case_id,problem,seed,n,method,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,runtime_s,certificate
310001,3,310001,16,0,16,4706.373856,294.148366,20751.8692935,80,76,0,0,0.0004295,upper_bound_16
310001,3,310001,16,1,16,4125.46763,257.841726875,17432.33815017,95,84,0,0,0.0012732,upper_bound_16
310001,3,310001,16,2,16,4125.46763,257.841726875,17432.33815017,95,84,0,0,0.0013351,upper_bound_16
310002,3,310002,10,0,10,4304.650785,430.4650785,18048.2539451,108,102,1,0,0.0002516,seven_point_per_channel
310002,3,310002,10,1,10,3699.015129,369.9015129,14880.07565652,113,102,2,1,0.0009026,seven_point_per_channel
310002,3,310002,10,2,10,3699.015129,369.9015129,14880.07565652,113,102,2,1,0.0007595,seven_point_per_channel
310003,3,310003,15,0,15,5538.77629,369.2517526667,24573.88143565,92,86,1,0,0.0005511,seven_point_per_channel
310003,3,310003,15,1,15,4338.989848,289.2659898667,18324.94924317,101,91,1,0,0.0010595,seven_point_per_channel
310003,3,310003,15,2,15,4338.989848,289.2659898667,18324.94924317,101,91,1,0,0.0009661,seven_point_per_channel
310004,3,310004,14,0,14,4520.648447,322.9034605,19083.24224223,106,104,0,0,0.0004774,seven_point_per_channel
310004,3,310004,14,1,14,4212.487111,300.8919365,17397.43556249,112,103,0,0,0.0005114,seven_point_per_channel
310004,3,310004,14,2,14,4212.487111,300.8919365,17397.43556249,112,103,0,0,0.0006706,seven_point_per_channel
310005,3,310005,13,0,13,4273.449304,328.7268695385,17962.24653828,104,96,0,0,0.0003171,seven_point_per_channel
310005,3,310005,13,1,13,3896.725247,299.7480959231,16163.62624822,101,91,1,0,0.0007082,seven_point_per_channel
310005,3,310005,13,2,13,3896.725247,299.7480959231,16163.62624822,101,91,1,0,0.0006994,seven_point_per_channel
310006,3,310006,12,0,12,4593.322844,382.7769036667,19696.61422967,100,91,1,0,0.0004842,seven_point_per_channel
310006,3,310006,12,1,12,3516.146433,293.01220275,14315.73217024,100,93,0,0,0.0009205,seven_point_per_channel
310006,3,310006,12,2,12,3516.146433,293.01220275,14315.73217024,100,93,0,0,0.0008134,seven_point_per_channel
310007,3,310007,16,0,16,5334.233243,333.3895776875,23681.16622024,87,83,0,0,0.0004055,upper_bound_16
310007,3,310007,16,1,16,4442.965236,277.68532725,19079.82617372,92,84,1,0,0.0013568,upper_bound_16
310007,3,310007,16,2,16,4442.965236,277.68532725,19079.82617372,92,84,1,0,0.0013905,upper_bound_16
310008,3,310008,15,0,15,4624.629195,308.308613,19783.14599151,100,93,0,0,0.0003711,seven_point_per_channel
310008,3,310008,15,1,15,4213.782527,280.9188351333,17943.91263592,93,85,0,0,0.0011475,seven_point_per_channel
310008,3,310008,15,2,15,4213.782527,280.9188351333,17943.91263592,93,85,0,0,0.001238,seven_point_per_channel
310009,3,310009,13,0,13,4614.74868,354.9806676923,19558.74339952,107,100,1,0,0.0004466,seven_point_per_channel
310009,3,310009,13,1,13,4031.430586,310.1100450769,16547.15293271,111,99,1,0,0.0005323,seven_point_per_channel
310009,3,310009,13,2,13,4031.430586,310.1100450769,16547.15293271,111,99,1,0,0.000558,seven_point_per_channel
310010,3,310010,15,0,15,4526.673837,301.7782558,19708.36917833,86,80,0,0,0.0003584,seven_point_per_channel
310010,3,310010,15,1,15,3301.154053,220.0769368667,13465.77025346,90,83,0,0,0.0012035,seven_point_per_channel
310010,3,310010,15,2,15,3301.154053,220.0769368667,13465.77025346,90,83,0,0,0.0008165,seven_point_per_channel
310011,3,310011,15,0,15,4448.132704,296.5421802667,19390.66351738,84,75,0,0,0.0003776,seven_point_per_channel
310011,3,310011,15,1,15,3670.021346,244.6680897333,15400.10674807,87,77,1,0,0.001443,seven_point_per_channel
310011,3,310011,15,2,15,3670.021346,244.6680897333,15400.10674807,87,77,1,0,0.0015675,seven_point_per_channel
310012,3,310012,16,0,16,4965.892218,310.368263625,21899.46109969,85,78,1,0,0.0003917,upper_bound_16
310012,3,310012,16,1,16,3854.457299,240.9035811875,15987.28647931,96,82,5,0,0.0013608,upper_bound_16
310012,3,310012,16,2,16,3854.457299,240.9035811875,15987.28647931,96,82,5,0,0.0015072,upper_bound_16
310013,3,310013,15,0,15,4322.417487,288.1611658,18412.08745108,95,87,1,0,0.0004072,seven_point_per_channel
