n,ni,no,ri,ro,phase,score
21,8,12,982,1864,0,1001.84
21,8,12,982,1864,1.875,1001.84
21,8,12,982,1864,3.75,1001.84
21,8,12,982,1864,5.625,1001.84
21,8,12,982,1864,7.5,1001.84
21,8,12,982,1867,0,1004.73
21,8,12,982,1867,1.875,1004.73
21,8,12,982,1867,3.75,1004.73
21,8,12,982,1867,5.625,1004.73
21,8,12,982,1867,7.5,1004.73
21,8,12,982,1870,0,1005
21,8,12,982,1870,1.875,1005
21,8,12,982,1870,3.75,1005
21,8,12,982,1870,5.625,1005
21,8,12,982,1870,7.5,1005
21,8,12,982,1873,0,1005
21,8,12,982,1873,1.875,1005
21,8,12,982,1873,3.75,1005
21,8,12,982,1873,5.625,1005
21,8,12,982,1873,7.5,1005
21,8,12,982,1876,0,1005
21,8,12,982,1876,1.875,1005
21,8,12,982,1876,3.75,1005
21,8,12,982,1876,5.625,1005
21,8,12,982,1876,7.5,1005
21,8,12,982,1879,0,1005
21,8,12,982,1879,1.875,1005
21,8,12,982,1879,3.75,1005
21,8,12,982,1879,5.625,1005
21,8,12,982,1879,7.5,1005
21,8,12,982,1882,0,1005
21,8,12,982,1882,1.875,1005
21,8,12,982,1882,3.75,1005
21,8,12,982,1882,5.625,1005
21,8,12,982,1882,7.5,1005
21,8,12,982,1885,0,1005
21,8,12,982,1885,1.875,1005
21,8,12,982,1885,3.75,1005
21,8,12,982,1885,5.625,1005
21,8,12,982,1885,7.5,1005
21,8,12,982,1888,0,1005
21,8,12,982,1888,1.875,1005
21,8,12,982,1888,3.75,1005
21,8,12,982,1888,5.625,1005
21,8,12,982,1888,7.5,1005
21,8,12,982,1891,0,1005
21,8,12,982,1891,3.75,1005
21,8,12,982,1891,7.5,1005
21,8,12,982,1894,0,1005
21,8,12,982,1894,3.75,1005
21,8,12,982,1894,7.5,1005
21,8,12,982,1897,0,1005
21,8,12,982,1897,3.75,1005
21,8,12,982,1897,7.5,1005
21,8,12,982,1900,0,1005
21,8,12,982,1900,3.75,1005
21,8,12,982,1900,7.5,1005
21,8,12,983,1864,0,1001.84
21,8,12,983,1864,1.875,1001.84
21,8,12,983,1864,3.75,1001.84
21,8,12,983,1864,5.625,1001.84
21,8,12,983,1864,7.5,1001.84
21,8,12,983,1867,0,1004.73
21,8,12,983,1867,1.875,1004.73
21,8,12,983,1867,3.75,1004.73
21,8,12,983,1867,5.625,1004.73
21,8,12,983,1867,7.5,1004.73
21,8,12,983,1870,0,1005
21,8,12,983,1870,1.875,1005
21,8,12,983,1870,3.75,1005
21,8,12,983,1870,5.625,1005
21,8,12,983,1870,7.5,1005
21,8,12,983,1873,0,1005
21,8,12,983,1873,1.875,1005
21,8,12,983,1873,3.75,1005
21,8,12,983,1873,5.625,1005
21,8,12,983,1873,7.5,1005
21,8,12,983,1876,0,1005
21,8,12,983,1876,1.875,1005
21,8,12,983,1876,3.75,1005
21,8,12,983,1876,5.625,1005
21,8,12,983,1876,7.5,1005
21,8,12,983,1879,0,1005
21,8,12,983,1879,1.875,1005
21,8,12,983,1879,3.75,1005
21,8,12,983,1879,5.625,1005
21,8,12,983,1879,7.5,1005
21,8,12,983,1882,0,1005
21,8,12,983,1882,1.875,1005
21,8,12,983,1882,3.75,1005
21,8,12,983,1882,5.625,1005
21,8,12,983,1882,7.5,1005
21,8,12,983,1885,0,1005
21,8,12,983,1885,1.875,1005
21,8,12,983,1885,3.75,1005
21,8,12,983,1885,5.625,1005
21,8,12,983,1885,7.5,1005
21,8,12,983,1888,0,1005
21,8,12,983,1888,1.875,1005
21,8,12,983,1888,3.75,1005
21,8,12,983,1888,5.625,1005
21,8,12,983,1888,7.5,1005
21,8,12,983,1891,0,1005
21,8,12,983,1891,3.75,1005
21,8,12,983,1891,7.5,1005
21,8,12,983,1894,0,1005
21,8,12,983,1894,3.75,1005
21,8,12,983,1894,7.5,1005
21,8,12,983,1897,0,1005
21,8,12,983,1897,3.75,1005
21,8,12,983,1897,7.5,1005
21,8,12,983,1900,0,1005
21,8,12,983,1900,3.75,1005
21,8,12,983,1900,7.5,1005
21,8,12,984,1864,0,1001.84
21,8,12,984,1864,1.875,1001.84
21,8,12,984,1864,3.75,1001.84
21,8,12,984,1864,5.625,1001.84
21,8,12,984,1864,7.5,1001.84
21,8,12,984,1867,0,1004.73
21,8,12,984,1867,1.875,1004.73
21,8,12,984,1867,3.75,1004.73
21,8,12,984,1867,5.625,1004.73
21,8,12,984,1867,7.5,1004.73
21,8,12,984,1870,0,1005
21,8,12,984,1870,1.875,1005
21,8,12,984,1870,3.75,1005
21,8,12,984,1870,5.625,1005
21,8,12,984,1870,7.5,1005
21,8,12,984,1873,0,1005
21,8,12,984,1873,1.875,1005
21,8,12,984,1873,3.75,1005
21,8,12,984,1873,5.625,1005
21,8,12,984,1873,7.5,1005
21,8,12,984,1876,0,1005
21,8,12,984,1876,1.875,1005
21,8,12,984,1876,3.75,1005
21,8,12,984,1876,5.625,1005
21,8,12,984,1876,7.5,1005
