x,y
0,0
993,0
702.15703371824179,702.15703371824168
6.0801705467281031e-14,993
-702.15703371824168,702.15703371824179
-993,1.2160341093456206e-13
-702.15703371824191,-702.15703371824168
-1.8240511640184309e-13,-993
702.15703371824156,-702.15703371824191
1864,0
1614.2713526541938,931.99999999999989
932.00000000000023,1614.2713526541936
1.1413331217624556e-13,1864
-931.99999999999955,1614.2713526541938
-1614.2713526541938,931.99999999999989
-1864,2.2826662435249112e-13
-1614.2713526541936,-932.00000000000023
-932.0000000000008,-1614.2713526541932
-3.4239993652873668e-13,-1864
932.00000000000023,-1614.2713526541936
1614.2713526541932,-932.0000000000008
