n,inner,outer,ri,ro,phase,radius
21,8,12,975,1875,0,1005.94482422
21,8,12,975,1875,1.25,1005.94482422
21,8,12,975,1875,2.5,1005.94482422
21,8,12,975,1875,3.75,1005.94482422
21,8,12,975,1875,5,1005.94482422
21,8,12,975,1875,6.25,1005.94482422
21,8,12,975,1875,7.5,1005.94482422
21,8,12,975,1900,0,1030.23681641
21,8,12,975,1900,1.25,1030.23681641
21,8,12,975,1900,2.5,1030.23681641
21,8,12,975,1900,3.75,1030.23681641
21,8,12,975,1900,5,1030.23681641
21,8,12,975,1900,6.25,1030.23681641
21,8,12,975,1900,7.5,1030.23681641
21,8,12,975,1925,0,1054.52880859
21,8,12,975,1925,1.25,1054.52880859
21,8,12,975,1925,2.5,1054.52880859
21,8,12,975,1925,3.75,1054.52880859
21,8,12,975,1925,5,1054.52880859
21,8,12,975,1925,6.25,1054.52880859
21,8,12,975,1925,7.5,1054.52880859
21,8,12,1000,1875,0,998.315429688
21,8,12,1000,1875,1.25,1005.94482422
21,8,12,1000,1875,2.5,1005.94482422
21,8,12,1000,1875,3.75,1005.94482422
21,8,12,1000,1875,5,1005.94482422
21,8,12,1000,1875,6.25,1005.94482422
21,8,12,1000,1875,7.5,1005.94482422
21,8,12,1000,1900,0,1022.72949219
21,8,12,1000,1900,1.25,1030.23681641
21,8,12,1000,1900,2.5,1030.23681641
21,8,12,1000,1900,3.75,1030.23681641
21,8,12,1000,1900,5,1030.23681641
21,8,12,1000,1900,6.25,1030.23681641
21,8,12,1000,1900,7.5,1030.23681641
21,8,12,1000,1925,0,1047.08251953
21,8,12,1000,1925,1.25,1054.52880859
21,8,12,1000,1925,2.5,1054.52880859
21,8,12,1000,1925,3.75,1054.52880859
21,8,12,1000,1925,5,1054.52880859
21,8,12,1000,1925,6.25,1054.52880859
21,8,12,1000,1925,7.5,1054.52880859
21,7,13,1000,1875,0,998.315429688
21,7,13,1000,1875,0.32967032967,997.888183594
21,7,13,1000,1875,0.659340659341,998.071289062
21,7,13,1000,1875,0.989010989011,998.132324219
21,7,13,1000,1875,1.31868131868,997.766113281
21,7,13,1000,1875,1.64835164835,998.193359375
21,7,13,1000,1875,1.97802197802,998.010253906
21,7,13,1000,1900,0,1021.56982422
21,7,13,1000,1900,0.32967032967,1021.56982422
21,7,13,1000,1900,0.659340659341,1021.56982422
21,7,13,1000,1900,0.989010989011,1021.56982422
21,7,13,1000,1900,1.31868131868,1021.56982422
21,7,13,1000,1900,1.64835164835,1021.56982422
21,7,13,1000,1900,1.97802197802,1021.56982422
21,7,13,1000,1925,1.31868131868,1045.98388672
21,7,13,1000,1925,1.64835164835,1045.98388672
21,7,13,1000,1925,1.97802197802,1045.98388672
22,9,12,975,1875,0,1005.94482422
22,9,12,975,1875,0.833333333333,1005.94482422
22,9,12,975,1875,1.66666666667,1005.94482422
22,9,12,975,1875,2.5,1005.94482422
22,9,12,975,1875,3.33333333333,1005.94482422
22,9,12,975,1875,4.16666666667,1005.94482422
22,9,12,975,1875,5,1005.94482422
22,9,12,975,1900,0,1030.23681641
22,9,12,975,1900,0.833333333333,1030.23681641
22,9,12,975,1900,1.66666666667,1030.23681641
22,9,12,975,1900,2.5,1030.23681641
22,9,12,975,1900,3.33333333333,1030.23681641
22,9,12,975,1900,4.16666666667,1030.23681641
22,9,12,975,1900,5,1030.23681641
22,9,12,975,1925,0,1054.52880859
22,9,12,975,1925,0.833333333333,1054.52880859
22,9,12,975,1925,1.66666666667,1054.52880859
22,9,12,975,1925,2.5,1054.52880859
22,9,12,975,1925,3.33333333333,1054.52880859
22,9,12,975,1925,4.16666666667,1054.52880859
22,9,12,975,1925,5,1054.52880859
22,9,12,1000,1875,0,979.760742188
22,9,12,1000,1875,0.833333333333,979.760742188
22,9,12,1000,1875,1.66666666667,979.760742188
22,9,12,1000,1875,2.5,979.760742188
22,9,12,1000,1875,3.33333333333,979.760742188
22,9,12,1000,1875,4.16666666667,979.760742188
22,9,12,1000,1875,5,979.760742188
22,9,12,1000,1900,0,1003.99169922
22,9,12,1000,1900,0.833333333333,1003.99169922
22,9,12,1000,1900,1.66666666667,1003.99169922
22,9,12,1000,1900,2.5,1003.99169922
22,9,12,1000,1900,3.33333333333,1003.99169922
22,9,12,1000,1900,4.16666666667,1003.99169922
22,9,12,1000,1900,5,1003.99169922
22,9,12,1000,1925,0,1028.22265625
22,9,12,1000,1925,0.833333333333,1028.22265625
22,9,12,1000,1925,1.66666666667,1028.22265625
22,9,12,1000,1925,2.5,1028.22265625
22,9,12,1000,1925,3.33333333333,1028.22265625
22,9,12,1000,1925,4.16666666667,1028.22265625
22,9,12,1000,1925,5,1028.22265625
22,8,13,975,1875,0,996.362304688
22,8,13,975,1875,0.288461538462,996.362304688
22,8,13,975,1875,0.576923076923,996.362304688
22,8,13,975,1875,0.865384615385,996.362304688
22,8,13,975,1875,1.15384615385,996.667480469
22,8,13,975,1875,1.44230769231,996.667480469
