case_id,problem,seed,n,nd,nb,geometry,radius,error,outward,eigen_ratio,method,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,runtime_s,certificate
0,3,210001,10,0,0,0,1000,0,0,0.3093051104007,0,10,3732.779732,373.2779732,15263.89866743,105,102,1,0,0.0002961,seven_point_per_channel
0,3,210001,10,0,0,0,1000,0,0,0.3093051104007,1,10,3455.079003,345.5079003,13980.39501888,102,96,1,0,0.0005825,seven_point_per_channel
0,3,210001,10,0,0,0,1000,0,0,0.3093051104007,2,10,3455.079003,345.5079003,13980.39501888,102,96,1,0,0.0005643,seven_point_per_channel
1,3,210002,10,0,0,0,1250,1,1,0.4044935059123,0,10,4373.247192,437.3247192,18251.23596457,111,103,5,0,0.0003017,seven_point_per_channel
1,3,210002,10,0,0,0,1250,1,1,0.4044935059123,1,10,3681.071228,368.1071228,14625.35614341,116,105,7,0,0.0005359,seven_point_per_channel
1,3,210002,10,0,0,0,1250,1,1,0.4044935059123,2,10,3681.071228,368.1071228,14625.35614341,116,105,7,0,0.0006143,seven_point_per_channel
2,3,210003,10,0,0,0,1500,2,0,0.6671810925412,0,10,4286.348944,428.6348944,18211.74473523,100,88,2,0,0.0003296,seven_point_per_channel
2,3,210003,10,0,0,0,1500,2,0,0.6671810925412,1,10,3417.808778,341.7808778,13784.04388754,102,89,4,1,0.0009545,seven_point_per_channel
2,3,210003,10,0,0,0,1500,2,0,0.6671810925412,2,10,3417.808778,341.7808778,13784.04388754,102,89,4,1,0.0009639,seven_point_per_channel
3,3,210004,10,0,0,0,1000,3,1,0.2129801913222,0,10,3828.411349,382.8411349,15757.05675307,105,102,0,0,0.0002515,seven_point_per_channel
3,3,210004,10,0,0,0,1000,3,1,0.2129801913222,1,10,3420.64159,342.064159,13643.20796746,108,102,0,0,0.0004924,seven_point_per_channel
3,3,210004,10,0,0,0,1000,3,1,0.2129801913222,2,10,3420.64159,342.064159,13643.20796746,108,102,0,0,0.0004822,seven_point_per_channel
4,3,210005,10,0,0,0,1250,4,0,0.5580248174663,0,10,3715.359185,371.5359185,15246.79592379,103,95,2,0,0.0002854,seven_point_per_channel
4,3,210005,10,0,0,0,1250,4,0,0.5580248174663,1,10,2947.259349,294.7259349,11241.29674289,107,96,6,1,0.0007885,seven_point_per_channel
4,3,210005,10,0,0,0,1250,4,0,0.5580248174663,2,10,2947.259349,294.7259349,11241.29674289,107,96,6,1,0.0007633,seven_point_per_channel
5,3,210006,10,0,0,0,1500,0,1,0.6191013128892,0,10,4044.453062,404.4453062,16977.26531973,101,91,1,0,0.0002892,seven_point_per_channel
5,3,210006,10,0,0,0,1500,0,1,0.6191013128892,1,10,3148.531413,314.8531413,12542.65707378,100,90,0,0,0.0008067,seven_point_per_channel
5,3,210006,10,0,0,0,1500,0,1,0.6191013128892,2,10,3148.531413,314.8531413,12542.65707378,100,90,0,0,0.0007967,seven_point_per_channel
6,3,210007,10,0,0,0,1000,1,0,0.5930846421768,0,10,3986.219887,398.6219887,16006.09943865,121,115,5,0,0.0002855,seven_point_per_channel
6,3,210007,10,0,0,0,1000,1,0,0.5930846421768,1,10,4296.521133,429.6521133,17537.60567228,122,111,6,0,0.0003846,seven_point_per_channel
6,3,210007,10,0,0,0,1000,1,0,0.5930846421768,2,10,4296.521133,429.6521133,17537.60567228,122,111,6,0,0.0003773,seven_point_per_channel
7,3,210008,10,0,0,0,1250,2,1,0.4040345243462,0,10,3925.502029,392.5502029,16357.51014902,101,90,3,0,0.0002963,seven_point_per_channel
7,3,210008,10,0,0,0,1250,2,1,0.4040345243462,1,10,3010.897113,301.0897113,11644.48557762,103,93,8,0,0.0009157,seven_point_per_channel
7,3,210008,10,0,0,0,1250,2,1,0.4040345243462,2,10,3010.897113,301.0897113,11644.48557762,103,93,8,0,0.0008962,seven_point_per_channel
8,3,210009,10,0,0,0,1500,3,0,0.4510319114666,0,10,3752.980281,375.2980281,15684.90140821,96,86,0,0,0.0002509,seven_point_per_channel
8,3,210009,10,0,0,0,1500,3,0,0.4510319114666,1,10,3120.19529,312.019529,12340.97644928,101,91,2,1,0.0007967,seven_point_per_channel
8,3,210009,10,0,0,0,1500,3,0,0.4510319114666,2,10,3120.19529,312.019529,12340.97644928,101,91,2,1,0.0007859,seven_point_per_channel
9,3,210010,10,0,0,0,1000,4,1,0.4692915588907,0,10,4680.818363,468.0818363,19609.09181641,117,109,5,0,0.0002866,seven_point_per_channel
9,3,210010,10,0,0,0,1000,4,1,0.4692915588907,1,10,3956.010819,395.6010819,15805.05410283,124,116,3,0,0.0003815,seven_point_per_channel
9,3,210010,10,0,0,0,1000,4,1,0.4692915588907,2,10,3956.010819,395.6010819,15805.05410283,124,116,3,0,0.0003759,seven_point_per_channel
10,3,210011,10,0,0,0,1250,0,0,0.2371447790522,0,10,4124.169814,412.4169814,17395.84906751,100,95,0,0,0.0002684,seven_point_per_channel
10,3,210011,10,0,0,0,1250,0,0,0.2371447790522,1,10,3605.257651,360.5257651,14646.28825692,105,95,2,0,0.0007105,seven_point_per_channel
10,3,210011,10,0,0,0,1250,0,0,0.2371447790522,2,10,3605.257651,360.5257651,14646.28825692,105,95,2,0,0.0006928,seven_point_per_channel
11,3,210012,10,0,0,0,1500,1,1,0.4975809144235,0,10,4160.973578,416.0973578,17704.86790796,97,85,0,0,0.0002969,seven_point_per_channel
11,3,210012,10,0,0,0,1500,1,1,0.4975809144235,1,10,3102.960861,310.2960861,12059.80430438,107,91,5,1,0.0008501,seven_point_per_channel
11,3,210012,10,0,0,0,1500,1,1,0.4975809144235,2,10,3102.960861,310.2960861,12059.80430438,107,91,5,1,0.0008234,seven_point_per_channel
12,3,210013,10,0,0,0,1000,2,0,0.7967839987011,0,10,4456.954555,445.6954555,18334.77278543,122,115,5,0,0.0003011,seven_point_per_channel
12,3,210013,10,0,0,0,1000,2,0,0.7967839987011,1,10,3893.783812,389.3783812,15518.91906939,122,115,5,0,0.000388,seven_point_per_channel
12,3,210013,10,0,0,0,1000,2,0,0.7967839987011,2,10,3893.783812,389.3783812,15518.91906939,122,115,5,0,0.0003854,seven_point_per_channel
13,3,210014,10,0,0,0,1250,3,1,0.3152417886209,0,10,3958.996122,395.8996122,16449.98061341,104,99,0,0,0.0002689,seven_point_per_channel
13,3,210014,10,0,0,0,1250,3,1,0.3152417886209,1,10,3137.684763,313.7684763,12218.42382955,108,98,2,0,0.0007482,seven_point_per_channel
13,3,210014,10,0,0,0,1250,3,1,0.3152417886209,2,10,3137.684763,313.7684763,12218.42382955,108,98,2,0,0.0007204,seven_point_per_channel
14,3,210015,10,0,0,0,1500,4,0,0.5041740074992,0,10,4398.901338,439.8901338,18459.50669087,109,97,5,0,0.0003308,seven_point_per_channel
14,3,210015,10,0,0,0,1500,4,0,0.5041740074992,1,10,3468.45431,346.845431,13772.27155102,110,99,5,0,0.0007157,seven_point_per_channel
14,3,210015,10,0,0,0,1500,4,0,0.5041740074992,2,10,3468.45431,346.845431,13772.27155102,110,99,5,0,0.00071,seven_point_per_channel
15,3,210016,10,0,0,0,1000,0,1,0.6979180823997,0,10,3915.085517,391.5085517,15930.42757729,113,111,1,0,0.0002489,seven_point_per_channel
15,3,210016,10,0,0,0,1000,0,1,0.6979180823997,1,10,3734.230237,373.4230237,14966.1511848,115,110,2,0,0.000386,seven_point_per_channel
15,3,210016,10,0,0,0,1000,0,1,0.6979180823997,2,10,3734.230237,373.4230237,14966.1511848,115,110,2,0,0.0003771,seven_point_per_channel
16,3,210017,10,0,0,0,1250,1,0,0.3674226646942,0,10,4011.069543,401.1069543,16790.34771216,101,95,1,0,0.0002619,seven_point_per_channel
16,3,210017,10,0,0,0,1250,1,0,0.3674226646942,1,10,3045.506284,304.5506284,11782.53141086,106,94,5,0,0.0007854,seven_point_per_channel
16,3,210017,10,0,0,0,1250,1,0,0.3674226646942,2,10,3045.506284,304.5506284,11782.53141086,106,94,5,0,0.0007694,seven_point_per_channel
17,3,210018,10,0,0,0,1500,2,1,0.7780721741556,0,10,4271.690555,427.1690555,18048.4527746,103,91,2,0,0.0003158,seven_point_per_channel
17,3,210018,10,0,0,0,1500,2,1,0.7780721741556,1,10,3216.38981,321.638981,12366.94906745,114,96,9,3,0.0009738,seven_point_per_channel
17,3,210018,10,0,0,0,1500,2,1,0.7780721741556,2,10,3216.38981,321.638981,12366.94906745,114,96,9,3,0.0009377,seven_point_per_channel
18,3,210019,10,0,0,0,1000,3,0,0.5205628000068,0,10,4160.200362,416.0200362,17286.00180656,109,105,1,0,0.0002485,seven_point_per_channel
18,3,210019,10,0,0,0,1000,3,0,0.5205628000068,1,10,3568.156407,356.8156407,14340.78203749,108,104,2,0,0.0004833,seven_point_per_channel
18,3,210019,10,0,0,0,1000,3,0,0.5205628000068,2,10,3568.156407,356.8156407,14340.78203749,108,104,2,0,0.0004708,seven_point_per_channel
19,3,210020,10,0,0,0,1250,4,1,0.8149617683505,0,10,4112.352603,411.2352603,17311.76301896,100,91,3,0,0.0003338,seven_point_per_channel
19,3,210020,10,0,0,0,1250,4,1,0.8149617683505,1,10,3586.96881,358.696881,14444.84405644,108,96,4,0,0.0008031,seven_point_per_channel
19,3,210020,10,0,0,0,1250,4,1,0.8149617683505,2,10,3586.96881,358.696881,14444.84405644,108,96,4,0,0.0007971,seven_point_per_channel
20,3,210021,10,0,0,0,1500,0,0,0.3050798972058,0,10,3435.022462,343.5022462,14140.11229327,93,86,2,0,0.000268,seven_point_per_channel
20,3,210021,10,0,0,0,1500,0,0,0.3050798972058,1,10,2629.034072,262.9034072,10095.1703506,94,87,1,0,0.0009368,seven_point_per_channel
20,3,210021,10,0,0,0,1500,0,0,0.3050798972058,2,10,2629.034072,262.9034072,10095.1703506,94,87,1,0,0.0008692,seven_point_per_channel
21,3,210022,10,0,0,0,1000,1,1,0.1729365132434,0,10,3988.269188,398.8269188,15951.34594291,124,116,4,0,0.0002772,seven_point_per_channel
21,3,210022,10,0,0,0,1000,1,1,0.1729365132434,1,10,3645.957999,364.5957999,14204.78999789,126,116,3,1,0.0004595,seven_point_per_channel
21,3,210022,10,0,0,0,1000,1,1,0.1729365132434,2,10,3645.957999,364.5957999,14204.78999789,126,116,3,1,0.0004041,seven_point_per_channel
22,3,210023,10,0,0,0,1250,2,0,0.2795825453549,0,10,4569.845409,456.9845409,19369.22706122,108,97,3,0,0.000322,seven_point_per_channel
22,3,210023,10,0,0,0,1250,2,0,0.2795825453549,1,10,3475.424612,347.5424612,13612.12306794,116,99,8,1,0.0007519,seven_point_per_channel
22,3,210023,10,0,0,0,1250,2,0,0.2795825453549,2,10,3475.424612,347.5424612,13612.12306794,116,99,8,1,0.0007907,seven_point_per_channel
23,3,210024,10,0,0,0,1500,3,1,0.2682922849595,0,10,4149.615944,414.9615944,17458.07970941,103,90,1,0,0.0003181,seven_point_per_channel
23,3,210024,10,0,0,0,1500,3,1,0.2682922849595,1,10,2814.569429,281.4569429,10877.84714844,99,91,1,1,0.0008063,seven_point_per_channel
23,3,210024,10,0,0,0,1500,3,1,0.2682922849595,2,10,2814.569429,281.4569429,10877.84714844,99,91,1,1,0.0008014,seven_point_per_channel
24,3,210025,10,0,0,0,1000,4,0,0.7628674720291,0,10,4261.457188,426.1457188,17722.2859515,110,102,5,0,0.0004054,seven_point_per_channel
24,3,210025,10,0,0,0,1000,4,0,0.7628674720291,1,10,3423.273015,342.3273015,13501.36507743,112,104,3,0,0.0005546,seven_point_per_channel
24,3,210025,10,0,0,0,1000,4,0,0.7628674720291,2,10,3423.273015,342.3273015,13501.36507743,112,104,3,0,0.0004833,seven_point_per_channel
25,3,210026,10,0,0,0,1250,0,1,0.533698537338,0,10,3791.689203,379.1689203,15883.44602236,95,84,2,0,0.0002847,seven_point_per_channel
25,3,210026,10,0,0,0,1250,0,1,0.533698537338,1,10,2550.086912,255.0086912,9730.434557852,93,89,0,0,0.0010594,seven_point_per_channel
25,3,210026,10,0,0,0,1250,0,1,0.533698537338,2,10,2550.086912,255.0086912,9730.434557852,93,89,0,0,0.0010393,seven_point_per_channel
26,3,210027,10,0,0,0,1500,1,0,0.6953291605251,0,10,3574.817097,357.4817097,14854.08548986,94,84,0,0,0.0002837,seven_point_per_channel
26,3,210027,10,0,0,0,1500,1,0,0.6953291605251,1,10,2836.697585,283.6697585,10828.48792442,103,88,6,1,0.0011072,seven_point_per_channel
26,3,210027,10,0,0,0,1500,1,0,0.6953291605251,2,10,2836.697585,283.6697585,10828.48792442,103,88,6,1,0.001221,seven_point_per_channel
27,3,210028,10,0,0,0,1000,2,1,0.7522058614973,0,10,4040.531444,404.0531444,16457.6572345,116,110,3,0,0.0002996,seven_point_per_channel
27,3,210028,10,0,0,0,1000,2,1,0.7522058614973,1,10,3768.097751,376.8097751,15075.4887531,116,105,6,0,0.0005137,seven_point_per_channel
27,3,210028,10,0,0,0,1000,2,1,0.7522058614973,2,10,3768.097751,376.8097751,15075.4887531,116,105,6,0,0.0005086,seven_point_per_channel
28,3,210029,10,0,0,0,1250,3,0,0.6802798064734,0,10,4116.637432,411.6637432,16963.18715766,113,109,0,0,0.0002594,seven_point_per_channel
28,3,210029,10,0,0,0,1250,3,0,0.6802798064734,1,10,3116.636905,311.6636905,12288.18453142,102,99,0,0,0.0005249,seven_point_per_channel
28,3,210029,10,0,0,0,1250,3,0,0.6802798064734,2,10,3116.636905,311.6636905,12288.18453142,102,99,0,0,0.00054,seven_point_per_channel
29,3,210030,10,0,0,0,1500,4,1,0.3146402096223,0,10,3700.569998,370.0569998,15387.84998882,96,84,3,0,0.0002963,seven_point_per_channel
29,3,210030,10,0,0,0,1500,4,1,0.3146402096223,1,10,3114.978139,311.4978139,12259.89068768,102,88,5,2,0.0012854,seven_point_per_channel
29,3,210030,10,0,0,0,1500,4,1,0.3146402096223,2,10,3114.978139,311.4978139,12259.89068768,102,88,5,2,0.0013172,seven_point_per_channel
30,3,210031,10,0,0,1,1000,0,0,0.0007499055834125,0,10,3442.086139,344.2086139,14225.43070231,92,87,0,0,0.00024,seven_point_per_channel
30,3,210031,10,0,0,1,1000,0,0,0.0007499055834125,1,10,3214.400262,321.4400262,13087.00131717,92,87,0,0,0.0008673,seven_point_per_channel
30,3,210031,10,0,0,1,1000,0,0,0.0007499055834125,2,10,3214.400262,321.4400262,13087.00131717,92,87,0,0,0.0008775,seven_point_per_channel
31,3,210032,10,0,0,1,1250,1,1,3.133791754075e-05,0,10,4106.734522,410.6734522,17143.67260987,106,95,1,0,0.0003345,seven_point_per_channel
31,3,210032,10,0,0,1,1250,1,1,3.133791754075e-05,1,10,3392.553608,339.2553608,13732.76804487,99,89,4,1,0.0009384,seven_point_per_channel
31,3,210032,10,0,0,1,1250,1,1,3.133791754075e-05,2,10,3392.553608,339.2553608,13732.76804487,99,89,4,1,0.0010009,seven_point_per_channel
32,3,210033,10,0,0,1,1500,2,0,0.0001688951698917,0,10,4669.967051,466.9967051,20204.83526439,99,84,0,0,0.00038,seven_point_per_channel
32,3,210033,10,0,0,1,1500,2,0,0.0001688951698917,1,10,3818.535943,381.8535943,15937.67972584,99,86,0,0,0.000914,seven_point_per_channel
32,3,210033,10,0,0,1,1500,2,0,0.0001688951698917,2,10,3818.535943,381.8535943,15937.67972584,99,86,0,0,0.0008606,seven_point_per_channel
33,3,210034,10,0,0,1,1000,3,1,3.509801002884e-05,0,10,4635.21178,463.521178,19886.0589012,102,98,0,0,0.0002456,seven_point_per_channel
