problem,seed,method,stress,n,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,dp_calls,dp_actions,dp_fallbacks,dp_expanded,dp_budget_hits,runtime_s,certificate
3,1910001,0,0,10,10,3297.427758,329.7427758,12997.13878587,109,103,0,1,0,0,0,0,0,0.0025444,seven_point_per_channel
3,1910001,1,0,10,10,3036.891502,303.6891502,11669.45751209,110,103,0,1,0,0,0,0,0,0.0027848,seven_point_per_channel
3,1910001,2,0,10,10,2977.916115,297.7916115,11384.58057174,109,103,1,0,22,17,5,22,0,0.0060749,seven_point_per_channel
3,1910001,3,0,10,10,2961.65989,296.165989,11313.29944285,108,103,2,0,23,21,2,4635,0,0.0194205,seven_point_per_channel
3,1910002,0,0,13,13,3417.718636,262.9014335385,13963.59318877,94,90,0,0,0,0,0,0,0,0.0049835,seven_point_per_channel
3,1910002,1,0,13,13,3194.885119,245.7603937692,12799.42560432,96,90,0,0,0,0,0,0,0,0.0052164,seven_point_per_channel
3,1910002,2,0,13,13,3192.660532,245.5892716923,12808.30266066,94,90,2,0,28,23,5,28,0,0.0096028,seven_point_per_channel
3,1910002,3,0,13,13,3203.696214,246.4381703077,12818.4810646,94,90,5,0,31,28,3,6232,0,0.0273867,seven_point_per_channel
4,1910001,0,0,10,10,6132.461044,613.2461044,22677.30525787,254,232,15,1,0,0,0,0,0,0.0219189,convex_mesh_per_channel
4,1910001,1,0,10,10,6132.461044,613.2461044,22677.30525787,254,232,15,1,0,0,0,0,0,0.0214464,convex_mesh_per_channel
4,1910001,2,0,10,10,5780.334914,578.0334914,21211.67457027,250,232,2,0,25,22,3,25,0,0.0310607,convex_mesh_per_channel
4,1910001,3,0,10,10,6071.044148,607.1044148,22270.2207381,255,232,20,1,27,25,2,5132,0,0.0469222,convex_mesh_per_channel
4,1910002,0,0,13,13,6871.568244,528.5821726154,26417.84121488,239,220,36,1,0,0,0,0,0,0.0173987,convex_mesh_per_channel
4,1910002,1,0,13,13,6871.568244,528.5821726154,26417.84121488,239,220,36,1,0,0,0,0,0,0.0173128,convex_mesh_per_channel
4,1910002,2,0,13,13,6671.08227,513.1601746154,25100.41133502,248,220,42,3,29,24,5,29,0,0.0291672,convex_mesh_per_channel
4,1910002,3,0,13,13,6592.458197,507.112169,24637.29098185,246,220,50,3,35,32,4,5665,0,0.1010155,convex_mesh_per_channel
