problem,seed,method,stress,n,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,dp_calls,dp_actions,dp_fallbacks,dp_expanded,dp_budget_hits,aux_calls,aux_positive,joint_steps,runtime_s,certificate
3,1,55,0,12,12,2843.161622,236.9301351667,10430.80810441,115,110,4,0,76,20,2,15699,0,13,13,29,0.0664097,seven_point_per_channel
3,1,56,0,12,12,2843.161622,236.9301351667,10430.80810441,115,110,4,0,76,20,2,15699,0,13,13,29,0.06413,seven_point_per_channel
3,1,57,0,12,12,2843.161622,236.9301351667,10430.80810441,115,110,4,0,76,20,2,15699,0,13,13,29,0.0645961,seven_point_per_channel
3,2,55,0,11,11,2586.555447,235.1414042727,9287.777234955,113,106,1,0,94,14,1,21004,0,24,24,22,0.084506,seven_point_per_channel
3,2,56,0,11,11,2586.555447,235.1414042727,9287.777234955,113,106,1,0,94,14,1,21004,0,24,24,22,0.0838827,seven_point_per_channel
3,2,57,0,11,11,2586.555447,235.1414042727,9287.777234955,113,106,1,0,94,14,1,21004,0,24,24,22,0.0834512,seven_point_per_channel
3,3,55,0,16,16,3300.221705,206.2638565625,12981.10851265,102,96,6,0,193,25,4,37577,0,25,23,35,0.166608,upper_bound_16
3,3,56,0,16,16,3300.221705,206.2638565625,12981.10851265,102,96,6,0,193,25,4,37577,0,25,23,35,0.2117832,upper_bound_16
3,3,57,0,16,16,3300.221705,206.2638565625,12981.10851265,102,96,6,0,193,25,4,37577,0,25,23,35,0.1909043,upper_bound_16
3,4,55,0,11,11,2641.635996,240.1487269091,9323.17997876,116,109,11,0,150,23,2,32267,0,25,25,32,0.1285521,seven_point_per_channel
3,4,56,0,11,11,2641.635996,240.1487269091,9323.17997876,116,109,11,0,150,23,2,32267,0,25,25,32,0.1290898,seven_point_per_channel
3,4,57,0,11,11,2641.635996,240.1487269091,9323.17997876,116,109,11,0,150,23,2,32267,0,25,25,32,0.1302789,seven_point_per_channel
3,5,55,0,15,15,3252.542041,216.8361360667,12422.71020927,115,103,5,0,157,20,4,34350,0,29,29,31,0.1374792,seven_point_per_channel
3,5,56,0,15,15,3252.542041,216.8361360667,12422.71020927,115,103,5,0,157,20,4,34350,0,29,29,31,0.1387909,seven_point_per_channel
3,5,57,0,15,15,3252.542041,216.8361360667,12422.71020927,115,103,5,0,157,20,4,34350,0,29,29,31,0.1391117,seven_point_per_channel
3,6,55,0,10,10,2757.023469,275.7023469,9870.117338019,120,109,8,0,94,18,2,20165,0,21,21,27,0.0799747,seven_point_per_channel
