problem,seed,method,stress,n,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,dp_calls,dp_actions,dp_fallbacks,dp_expanded,dp_budget_hits,aux_calls,aux_positive,joint_steps,runtime_s,certificate
3,1001,55,0,11,11,3006.089301,273.2808455455,11240.44650994,117,112,2,0,103,14,3,20877,0,17,17,24,0.0956536,seven_point_per_channel
3,1001,56,0,11,11,3006.089301,273.2808455455,11240.44650994,117,112,2,0,103,14,3,20877,0,17,17,24,0.0931444,seven_point_per_channel
3,1001,57,0,11,11,3006.089301,273.2808455455,11240.44650994,117,112,2,0,103,14,3,20877,0,17,17,24,0.0910989,seven_point_per_channel
3,1002,55,0,12,12,2916.850145,243.0708454167,10819.25072047,114,108,5,0,94,23,2,19421,0,14,14,32,0.0802054,seven_point_per_channel
3,1002,56,0,12,12,2916.850145,243.0708454167,10819.25072047,114,108,5,0,94,23,2,19421,0,14,14,32,0.0789598,seven_point_per_channel
3,1002,57,0,12,12,2916.850145,243.0708454167,10819.25072047,114,108,5,0,94,23,2,19421,0,14,14,32,0.0794318,seven_point_per_channel
3,1003,55,0,10,10,2773.461815,277.3461815,10457.30907515,106,99,1,0,75,13,2,14195,0,12,12,22,0.0655053,seven_point_per_channel
3,1003,56,0,10,10,2773.461815,277.3461815,10457.30907515,106,99,1,0,75,13,2,14195,0,12,12,22,0.0653563,seven_point_per_channel
3,1003,57,0,10,10,2773.461815,277.3461815,10457.30907515,106,99,1,0,75,13,2,14195,0,12,12,22,0.0685467,seven_point_per_channel
3,1004,55,0,14,14,2861.16358,204.3688271429,10570.81790905,113,103,3,0,135,18,5,30753,0,27,27,30,0.1343558,seven_point_per_channel
3,1004,56,0,14,14,2861.16358,204.3688271429,10570.81790905,113,103,3,0,135,18,5,30753,0,27,27,30,0.1386222,seven_point_per_channel
3,1004,57,0,14,14,2861.16358,204.3688271429,10570.81790905,113,103,3,0,135,18,5,30753,0,27,27,30,0.1321311,seven_point_per_channel
3,1005,55,0,14,14,2731.567866,195.1119904286,10297.83932938,100,93,3,0,167,18,3,35358,0,29,29,28,0.1486496,seven_point_per_channel
3,1005,56,0,14,14,2731.567866,195.1119904286,10297.83932938,100,93,3,0,167,18,3,35358,0,29,29,28,0.2131605,seven_point_per_channel
3,1005,57,0,14,14,2731.567866,195.1119904286,10297.83932938,100,93,3,0,167,18,3,35358,0,29,29,28,0.144201,seven_point_per_channel
3,1006,55,0,16,16,3510.128146,219.383009125,13170.64073846,128,117,13,0,161,30,5,33669,0,25,25,42,0.1448635,upper_bound_16
3,1006,56,0,16,16,3510.128146,219.383009125,13170.64073846,128,117,13,0,161,30,5,33669,0,25,25,42,0.1438538,upper_bound_16
3,1006,57,0,16,16,3510.128146,219.383009125,13170.64073846,128,117,13,0,161,30,5,33669,0,25,25,42,0.135537,upper_bound_16
3,1007,55,0,13,13,2840.405663,218.4927433077,10547.02831891,110,104,4,0,152,21,0,32140,0,28,28,28,0.1327177,seven_point_per_channel
3,1007,56,0,13,13,2840.405663,218.4927433077,10547.02831891,110,104,4,0,152,21,0,32140,0,28,28,28,0.1319146,seven_point_per_channel
3,1007,57,0,13,13,2840.405663,218.4927433077,10547.02831891,110,104,4,0,152,21,0,32140,0,28,28,28,0.1300997,seven_point_per_channel
3,1008,55,0,14,14,2573.713472,183.8366765714,9638.567365645,96,90,2,0,144,17,1,30875,0,26,26,25,0.1293707,seven_point_per_channel
3,1008,56,0,14,14,2573.713472,183.8366765714,9638.567365645,96,90,2,0,144,17,1,30875,0,26,26,25,0.1311866,seven_point_per_channel
3,1008,57,0,14,14,2573.713472,183.8366765714,9638.567365645,96,90,2,0,144,17,1,30875,0,26,26,25,0.133233,seven_point_per_channel
3,1009,55,0,14,14,3331.289696,237.949264,12616.44847742,121,112,7,0,100,22,6,18145,0,21,21,35,0.0759583,seven_point_per_channel
3,1009,56,0,14,14,3331.289696,237.949264,12616.44847742,121,112,7,0,100,22,6,18145,0,21,21,35,0.0739033,seven_point_per_channel
3,1009,57,0,14,14,3331.289696,237.949264,12616.44847742,121,112,7,0,100,22,6,18145,0,21,21,35,0.0774959,seven_point_per_channel
3,1010,55,0,15,15,2909.533587,193.9689058,11112.66793625,101,95,4,0,158,20,3,34667,0,27,27,30,0.1463715,seven_point_per_channel
3,1010,56,0,15,15,2909.533587,193.9689058,11112.66793625,101,95,4,0,158,20,3,34667,0,27,27,30,0.1456433,seven_point_per_channel
3,1010,57,0,15,15,2909.533587,193.9689058,11112.66793625,101,95,4,0,158,20,3,34667,0,27,27,30,0.1996804,seven_point_per_channel
3,1011,55,0,10,10,2678.486238,267.8486238,9902.431178136,108,105,1,0,99,14,2,21613,0,11,10,23,0.0967417,seven_point_per_channel
3,1011,56,0,10,10,2678.486238,267.8486238,9902.431178136,108,105,1,0,99,14,2,21613,0,11,10,23,0.0929097,seven_point_per_channel
3,1011,57,0,10,10,2678.486238,267.8486238,9902.431178136,108,105,1,0,99,14,2,21613,0,11,10,23,0.0945458,seven_point_per_channel
3,1012,55,0,15,15,3220.581372,214.7054248,12497.90686964,106,98,6,0,99,27,2,18100,0,23,22,36,0.0739237,seven_point_per_channel
3,1012,56,0,15,15,3220.581372,214.7054248,12497.90686964,106,98,6,0,99,27,2,18100,0,23,22,36,0.074172,seven_point_per_channel
3,1012,57,0,15,15,3220.581372,214.7054248,12497.90686964,106,98,6,0,99,27,2,18100,0,23,22,36,0.074523,seven_point_per_channel
3,1013,55,0,13,13,2922.670541,224.8208108462,10988.35268034,110,101,3,0,126,18,3,27491,0,21,20,28,0.1125384,seven_point_per_channel
3,1013,56,0,13,13,2922.670541,224.8208108462,10988.35268034,110,101,3,0,126,18,3,27491,0,21,20,28,0.1138154,seven_point_per_channel
3,1013,57,0,13,13,2922.670541,224.8208108462,10988.35268034,110,101,3,0,126,18,3,27491,0,21,20,28,0.1128204,seven_point_per_channel
3,1014,55,0,12,12,2915.606667,242.96722225,11098.03334394,106,100,2,0,99,13,3,20396,0,21,21,23,0.0823709,seven_point_per_channel
3,1014,56,0,12,12,2915.606667,242.96722225,11098.03334394,106,100,2,0,99,13,3,20396,0,21,21,23,0.0812699,seven_point_per_channel
3,1014,57,0,12,12,2915.606667,242.96722225,11098.03334394,106,100,2,0,99,13,3,20396,0,21,21,23,0.082889,seven_point_per_channel
3,1015,55,0,14,14,2853.94448,203.8531771429,10894.72239376,100,93,4,0,122,20,3,17734,0,16,16,30,0.080578,seven_point_per_channel
3,1015,56,0,14,14,2853.94448,203.8531771429,10894.72239376,100,93,4,0,122,20,3,17734,0,16,16,30,0.0864465,seven_point_per_channel
3,1015,57,0,14,14,2853.94448,203.8531771429,10894.72239376,100,93,4,0,122,20,3,17734,0,16,16,30,0.0793979,seven_point_per_channel
3,1016,55,0,15,15,2690.159241,179.3439494,10320.79621057,91,84,4,0,191,18,1,39769,0,34,34,26,0.1629423,seven_point_per_channel
3,1016,56,0,15,15,2690.159241,179.3439494,10320.79621057,91,84,4,0,191,18,1,39769,0,34,34,26,0.1637842,seven_point_per_channel
3,1016,57,0,15,15,2690.159241,179.3439494,10320.79621057,91,84,4,0,191,18,1,39769,0,34,34,26,0.1616674,seven_point_per_channel
3,1017,55,0,15,15,2935.34522,195.6896813333,10836.7260922,115,109,3,0,126,19,4,24622,0,29,25,30,0.0973275,seven_point_per_channel
3,1017,56,0,15,15,2935.34522,195.6896813333,10836.7260922,115,109,3,0,126,19,4,24622,0,29,25,30,0.1587856,seven_point_per_channel
3,1017,57,0,15,15,2935.34522,195.6896813333,10836.7260922,115,109,3,0,126,19,4,24622,0,29,25,30,0.0978749,seven_point_per_channel
3,1018,55,0,11,11,2680.359579,243.6690526364,9946.797889319,106,103,1,0,105,17,0,22961,0,14,14,24,0.1033007,seven_point_per_channel
3,1018,56,0,11,11,2680.359579,243.6690526364,9946.797889319,106,103,1,0,105,17,0,22961,0,14,14,24,0.0945545,seven_point_per_channel
3,1018,57,0,11,11,2680.359579,243.6690526364,9946.797889319,106,103,1,0,105,17,0,22961,0,14,14,24,0.0984205,seven_point_per_channel
3,1019,55,0,11,11,2888.641337,262.6037579091,10773.20668086,113,108,2,0,75,14,4,15983,0,17,17,25,0.0635335,seven_point_per_channel
3,1019,56,0,11,11,2888.641337,262.6037579091,10773.20668086,113,108,2,0,75,14,4,15983,0,17,17,25,0.0625447,seven_point_per_channel
3,1019,57,0,11,11,2888.641337,262.6037579091,10773.20668086,113,108,2,0,75,14,4,15983,0,17,17,25,0.0651443,seven_point_per_channel
3,1020,55,0,15,15,3069.097786,204.6065190667,11450.48893423,116,109,5,0,156,20,5,29146,0,34,33,32,0.1247761,seven_point_per_channel
3,1020,56,0,15,15,3069.097786,204.6065190667,11450.48893423,116,109,5,0,156,20,5,29146,0,34,33,32,0.1246358,seven_point_per_channel
3,1020,57,0,15,15,3069.097786,204.6065190667,11450.48893423,116,109,5,0,156,20,5,29146,0,34,33,32,0.1252866,seven_point_per_channel
3,1021,55,0,15,15,2951.500819,196.7667212667,11282.50410174,102,95,5,0,149,21,3,30169,0,29,29,31,0.1310259,seven_point_per_channel
3,1021,56,0,15,15,2951.500819,196.7667212667,11282.50410174,102,95,5,0,149,21,3,30169,0,29,29,31,0.1359923,seven_point_per_channel
3,1021,57,0,15,15,2951.500819,196.7667212667,11282.50410174,102,95,5,0,149,21,3,30169,0,29,29,31,0.1300127,seven_point_per_channel
3,1022,55,0,15,15,2925.041236,195.0027490667,11225.20618164,102,95,0,0,122,16,3,19304,0,32,32,26,0.0864306,seven_point_per_channel
3,1022,56,0,15,15,2925.041236,195.0027490667,11225.20618164,102,95,0,0,122,16,3,19304,0,32,32,26,0.0901463,seven_point_per_channel
3,1022,57,0,15,15,2925.041236,195.0027490667,11225.20618164,102,95,0,0,122,16,3,19304,0,32,32,26,0.0875631,seven_point_per_channel
3,1023,55,0,16,16,3286.367872,205.397992,12831.83935765,107,96,3,0,121,22,3,25710,0,29,29,32,0.1077314,upper_bound_16
3,1023,56,0,16,16,3286.367872,205.397992,12831.83935765,107,96,3,0,121,22,3,25710,0,29,29,32,0.1071355,upper_bound_16
3,1023,57,0,16,16,3286.367872,205.397992,12831.83935765,107,96,3,0,121,22,3,25710,0,29,29,32,0.163625,upper_bound_16
3,1024,55,0,10,10,2944.932363,294.4932363,11024.66181982,116,107,1,0,84,16,1,17094,0,12,12,24,0.0764486,seven_point_per_channel
3,1024,56,0,10,10,2944.932363,294.4932363,11024.66181982,116,107,1,0,84,16,1,17094,0,12,12,24,0.0693065,seven_point_per_channel
3,1024,57,0,10,10,2944.932363,294.4932363,11024.66181982,116,107,1,0,84,16,1,17094,0,12,12,24,0.0695862,seven_point_per_channel
3,1025,55,0,15,15,2930.313091,195.3542060667,11121.56545526,105,97,3,0,160,19,4,32923,0,31,30,30,0.1375826,seven_point_per_channel
3,1025,56,0,15,15,2930.313091,195.3542060667,11121.56545526,105,97,3,0,160,19,4,32923,0,31,30,30,0.1359639,seven_point_per_channel
3,1025,57,0,15,15,2930.313091,195.3542060667,11121.56545526,105,97,3,0,160,19,4,32923,0,31,30,30,0.1356525,seven_point_per_channel
3,1026,55,0,13,13,3069.116266,236.0858666154,11735.58131547,109,103,3,0,89,18,3,17599,0,19,19,28,0.0765834,seven_point_per_channel
3,1026,56,0,13,13,3069.116266,236.0858666154,11735.58131547,109,103,3,0,89,18,3,17599,0,19,19,28,0.0761787,seven_point_per_channel
3,1026,57,0,13,13,3069.116266,236.0858666154,11735.58131547,109,103,3,0,89,18,3,17599,0,19,19,28,0.0755726,seven_point_per_channel
3,1027,55,0,16,16,2703.61839,168.976149375,10053.09195826,101,93,5,0,159,20,3,32337,0,42,41,28,0.1298768,upper_bound_16
3,1027,56,0,16,16,2703.61839,168.976149375,10053.09195826,101,93,5,0,159,20,3,32337,0,42,41,28,0.1295,upper_bound_16
3,1027,57,0,16,16,2703.61839,168.976149375,10053.09195826,101,93,5,0,159,20,3,32337,0,42,41,28,0.1358344,upper_bound_16
3,1028,55,0,16,16,3428.871703,214.3044814375,13609.35851225,104,95,4,0,126,22,3,23538,0,25,24,31,0.0975974,upper_bound_16
3,1028,56,0,16,16,3428.871703,214.3044814375,13609.35851225,104,95,4,0,126,22,3,23538,0,25,24,31,0.0973643,upper_bound_16
3,1028,57,0,16,16,3428.871703,214.3044814375,13609.35851225,104,95,4,0,126,22,3,23538,0,25,24,31,0.0982751,upper_bound_16
3,1029,55,0,16,16,3192.629776,199.539361,12133.14887839,113,106,5,1,165,24,3,34733,0,27,26,34,0.1415804,upper_bound_16
3,1029,56,0,16,16,3192.629776,199.539361,12133.14887839,113,106,5,1,165,24,3,34733,0,27,26,34,0.1417227,upper_bound_16
3,1029,57,0,16,16,3192.629776,199.539361,12133.14887839,113,106,5,1,165,24,3,34733,0,27,26,34,0.140964,upper_bound_16
3,1030,55,0,12,12,2774.108894,231.1757411667,9950.544473398,121,116,1,0,78,16,2,14711,0,22,20,25,0.1186592,seven_point_per_channel
3,1030,56,0,12,12,2774.108894,231.1757411667,9950.544473398,121,116,1,0,78,16,2,14711,0,22,20,25,0.0660774,seven_point_per_channel
3,1030,57,0,12,12,2774.108894,231.1757411667,9950.544473398,121,116,1,0,78,16,2,14711,0,22,20,25,0.063391,seven_point_per_channel
3,1031,55,0,16,16,3221.297131,201.3310706875,12436.48565264,109,100,3,0,176,20,4,36569,0,33,32,31,0.1458278,upper_bound_16
3,1031,56,0,16,16,3221.297131,201.3310706875,12436.48565264,109,100,3,0,176,20,4,36569,0,33,32,31,0.1458579,upper_bound_16
3,1031,57,0,16,16,3221.297131,201.3310706875,12436.48565264,109,100,3,0,176,20,4,36569,0,33,32,31,0.1651005,upper_bound_16
3,1032,55,0,13,13,3132.683925,240.9756865385,12248.41961723,102,93,5,0,142,22,3,29401,0,12,12,32,0.1420205,seven_point_per_channel
3,1032,56,0,13,13,3132.683925,240.9756865385,12248.41961723,102,93,5,0,142,22,3,29401,0,12,12,32,0.1377877,seven_point_per_channel
3,1032,57,0,13,13,3132.683925,240.9756865385,12248.41961723,102,93,5,0,142,22,3,29401,0,12,12,32,0.1276579,seven_point_per_channel
3,1033,55,0,14,14,3072.034034,219.4310024286,11840.17017249,106,98,2,0,125,20,3,24082,0,26,24,30,0.1034933,seven_point_per_channel
3,1033,56,0,14,14,3072.034034,219.4310024286,11840.17017249,106,98,2,0,125,20,3,24082,0,26,24,30,0.1032236,seven_point_per_channel
3,1033,57,0,14,14,3072.034034,219.4310024286,11840.17017249,106,98,2,0,125,20,3,24082,0,26,24,30,0.1033434,seven_point_per_channel
3,1034,55,0,16,16,2987.498771,186.7186731875,11787.49385985,91,86,3,0,163,23,2,32427,0,24,24,31,0.1406838,upper_bound_16
3,1034,56,0,16,16,2987.498771,186.7186731875,11787.49385985,91,86,3,0,163,23,2,32427,0,24,24,31,0.1432956,upper_bound_16
3,1034,57,0,16,16,2987.498771,186.7186731875,11787.49385985,91,86,3,0,163,23,2,32427,0,24,24,31,0.1421819,upper_bound_16
3,1035,55,0,11,11,3066.271404,278.7519458182,11681.35703209,110,107,6,0,120,19,2,23316,0,16,15,28,0.1440208,seven_point_per_channel
3,1035,56,0,11,11,3066.271404,278.7519458182,11681.35703209,110,107,6,0,120,19,2,23316,0,16,15,28,0.1274706,seven_point_per_channel
3,1035,57,0,11,11,3066.271404,278.7519458182,11681.35703209,110,107,6,0,120,19,2,23316,0,16,15,28,0.1011014,seven_point_per_channel
3,1036,55,0,15,15,3171.30576,211.420384,12011.52879284,115,104,5,0,107,19,6,20654,0,26,26,32,0.0913347,seven_point_per_channel
3,1036,56,0,15,15,3171.30576,211.420384,12011.52879284,115,104,5,0,107,19,6,20654,0,26,26,32,0.0886295,seven_point_per_channel
3,1036,57,0,15,15,3171.30576,211.420384,12011.52879284,115,104,5,0,107,19,6,20654,0,26,26,32,0.0881292,seven_point_per_channel
3,1037,55,0,12,12,2877.356475,239.77970625,10811.78236457,109,101,3,0,121,17,2,26234,0,24,24,26,0.1038854,seven_point_per_channel
3,1037,56,0,12,12,2877.356475,239.77970625,10811.78236457,109,101,3,0,121,17,2,26234,0,24,24,26,0.1057311,seven_point_per_channel
3,1037,57,0,12,12,2877.356475,239.77970625,10811.78236457,109,101,3,0,121,17,2,26234,0,24,24,26,0.1059508,seven_point_per_channel
3,1038,55,0,10,10,3009.18937,300.918937,11155.94684803,120,113,5,0,59,17,4,12841,0,10,10,28,0.0527681,seven_point_per_channel
3,1038,56,0,10,10,3009.18937,300.918937,11155.94684803,120,113,5,0,59,17,4,12841,0,10,10,28,0.050681,seven_point_per_channel
3,1038,57,0,10,10,3009.18937,300.918937,11155.94684803,120,113,5,0,59,17,4,12841,0,10,10,28,0.0514575,seven_point_per_channel
3,1039,55,0,16,16,2481.939381,155.1212113125,9179.696911463,93,86,5,0,147,24,2,27812,0,28,24,32,0.1199173,upper_bound_16
3,1039,56,0,16,16,2481.939381,155.1212113125,9179.696911463,93,86,5,0,147,24,2,27812,0,28,24,32,0.1176021,upper_bound_16
3,1039,57,0,16,16,2481.939381,155.1212113125,9179.696911463,93,86,5,0,147,24,2,27812,0,28,24,32,0.1191257,upper_bound_16
