problem,seed,method,stress,n,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,dp_calls,dp_actions,dp_fallbacks,dp_expanded,dp_budget_hits,aux_calls,aux_positive,joint_steps,runtime_s,certificate
3,1,12,0,12,12,3141.692864,261.8077386667,11803.46431331,112,107,18,4,161,34,4,31907,0,0,0,45,0.1239549,seven_point_per_channel
3,1,13,0,12,12,3141.815482,261.8179568333,11749.07739893,116,110,14,4,106,21,4,19855,0,14,14,32,0.0772312,seven_point_per_channel
3,1,14,0,12,12,2964.601273,247.0501060833,10923.00636072,118,112,6,1,79,20,3,16244,0,13,13,30,0.064466,seven_point_per_channel
3,1,15,0,12,12,2932.985719,244.4154765833,10919.92860872,114,107,4,1,57,17,4,11788,0,9,9,19,0.0467556,seven_point_per_channel
3,1,16,0,12,12,2871.814165,239.3178470833,10649.07082817,109,107,10,4,57,17,4,11779,0,9,9,19,0.0476538,seven_point_per_channel
3,2,12,0,11,11,2610.730473,237.3391339091,9623.652368577,105,100,2,2,216,30,2,45110,0,0,0,39,0.1735081,seven_point_per_channel
3,2,13,0,11,11,2657.810821,241.6191655455,9599.054107203,114,107,2,1,150,20,1,31088,0,21,20,28,0.117354,seven_point_per_channel
3,2,14,0,11,11,2669.246673,242.6587884545,9671.233365241,114,107,1,0,94,14,1,21151,0,25,25,22,0.0804666,seven_point_per_channel
3,2,15,0,11,11,2637.428799,239.7662544545,9877.144000171,102,97,0,0,90,11,3,19764,0,23,23,18,0.0774832,seven_point_per_channel
3,2,16,0,11,11,2635.424964,239.5840876364,9862.124816789,102,98,0,2,90,12,2,19802,0,23,23,18,0.0788591,seven_point_per_channel
3,3,12,0,16,16,3369.755866,210.609741625,13233.77935578,91,86,34,5,316,43,5,66079,0,0,0,54,0.2817533,upper_bound_16
3,3,13,0,16,16,3327.854474,207.990904625,12839.27238303,102,98,24,6,243,32,6,48727,0,24,24,44,0.2054833,upper_bound_16
3,3,14,0,16,16,3338.18635,208.636646875,13035.93173611,106,100,7,0,192,25,4,43593,0,28,28,35,0.1758728,upper_bound_16
3,3,15,0,16,16,3605.230799,225.3269249375,14576.15399961,98,87,11,0,144,30,5,29041,0,16,16,22,0.1193237,upper_bound_16
3,3,16,0,16,16,3618.979369,226.1862105625,14574.89686276,89,86,31,6,145,30,6,29148,0,15,15,22,0.1198443,upper_bound_16
3,4,12,0,11,11,2833.537512,257.5943192727,10517.68757729,100,97,26,3,229,30,3,56287,0,0,0,40,0.2122557,seven_point_per_channel
3,4,13,0,11,11,2798.332051,254.3938228182,10301.66026541,105,101,19,3,164,21,3,35735,0,14,14,31,0.1373293,seven_point_per_channel
3,4,14,0,11,11,2667.705031,242.5186391818,9588.525145648,114,107,6,0,131,19,2,28271,0,24,24,28,0.1100765,seven_point_per_channel
3,4,15,0,11,11,2711.139543,246.4672311818,10060.69770986,105,101,6,0,89,20,2,17610,0,13,13,18,0.0704675,seven_point_per_channel
3,4,16,0,11,11,2745.324224,249.5749294545,10116.62111571,104,102,15,2,90,21,2,18455,0,14,14,18,0.0744539,seven_point_per_channel
3,5,12,0,15,15,3551.032646,236.7355097333,13940.16321296,103,98,25,6,290,43,6,59671,0,0,0,56,0.2414915,seven_point_per_channel
3,5,13,0,15,15,3508.220437,233.8813624667,13646.10218871,114,107,9,5,171,23,5,35969,0,25,25,35,0.1406439,seven_point_per_channel
3,5,14,0,15,15,3375.395554,225.0263702667,13171.97777088,112,103,1,0,150,21,2,33307,0,25,25,30,0.1292851,seven_point_per_channel
3,5,15,0,15,15,3386.998377,225.7998918,13239.99189149,110,102,4,0,112,23,3,23448,0,23,22,22,0.0899941,seven_point_per_channel
3,5,16,0,15,15,3370.802968,224.7201978667,13129.01484324,107,102,11,3,112,23,3,23449,0,23,22,22,0.0917891,seven_point_per_channel
3,6,12,0,10,10,2725.314111,272.5314111,10031.57056189,108,102,9,2,164,33,2,35326,0,0,0,42,0.1403578,seven_point_per_channel
3,6,13,0,10,10,2789.492655,278.9492655,10042.46326762,115,108,16,1,99,20,1,21125,0,21,21,28,0.0821952,seven_point_per_channel
3,6,14,0,10,10,2885.343753,288.5343753,10496.7187737,122,114,4,0,106,18,2,23720,0,19,19,27,0.0909963,seven_point_per_channel
3,6,15,0,10,10,2877.148742,287.7148742,10525.74371612,120,113,3,0,68,18,1,14913,0,18,18,17,0.0570793,seven_point_per_channel
3,6,16,0,10,10,2879.744563,287.9744563,10533.72281589,119,113,5,1,68,18,1,14912,0,18,18,17,0.0573683,seven_point_per_channel
3,7,12,0,11,11,3122.89555,283.8995954545,11659.4777667,111,109,24,4,157,29,4,31880,0,0,0,40,0.1206408,seven_point_per_channel
3,7,13,0,11,11,3142.145323,285.6495748182,11580.7266408,119,116,20,4,128,22,4,24886,0,14,14,33,0.0944265,seven_point_per_channel
3,7,14,0,11,11,2945.543759,267.7767053636,10947.71879918,116,109,4,0,71,18,3,15731,0,13,13,28,0.0573684,seven_point_per_channel
3,7,15,0,11,11,2931.284592,266.4804174545,10931.42297493,113,107,6,0,51,17,5,10989,0,10,10,18,0.040585,seven_point_per_channel
3,7,16,0,11,11,2947.356057,267.9414597273,10966.78029109,108,105,18,5,51,17,5,10994,0,10,10,18,0.040562,seven_point_per_channel
3,8,12,0,16,16,2601.918185,162.6198865625,10144.59092562,79,77,7,5,450,44,5,99486,0,0,0,54,0.3844877,upper_bound_16
3,8,13,0,16,16,2658.703414,166.168963375,10123.51706448,91,87,4,2,287,30,2,59063,0,29,29,37,0.2318844,upper_bound_16
3,8,14,0,16,16,2659.56647,166.222904375,9922.832348957,98,93,4,0,191,24,2,41296,0,38,38,32,0.1567077,upper_bound_16
