problem,seed,method,stress,n,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,dp_calls,dp_actions,dp_fallbacks,dp_expanded,dp_budget_hits,aux_calls,aux_positive,joint_steps,runtime_s,certificate
3,1001,53,0,11,11,3006.089301,273.2808455455,11240.44650994,117,112,2,0,103,14,3,20877,0,17,17,24,0.0893035,seven_point_per_channel
3,1001,54,0,11,11,3006.089301,273.2808455455,11240.44650994,117,112,2,0,103,14,3,20877,0,17,17,24,0.0883422,seven_point_per_channel
3,1002,53,0,12,12,2916.850145,243.0708454167,10819.25072047,114,108,5,0,94,23,2,19421,0,14,14,32,0.0779254,seven_point_per_channel
3,1002,54,0,12,12,2916.850145,243.0708454167,10819.25072047,114,108,5,0,94,23,2,19421,0,14,14,32,0.0781769,seven_point_per_channel
3,1003,53,0,10,10,2773.461815,277.3461815,10457.30907515,106,99,1,0,75,13,2,14195,0,12,12,22,0.0627866,seven_point_per_channel
3,1003,54,0,10,10,2773.461815,277.3461815,10457.30907515,106,99,1,0,75,13,2,14195,0,12,12,22,0.0623277,seven_point_per_channel
3,1004,53,0,14,14,2861.16358,204.3688271429,10570.81790905,113,103,3,0,135,18,5,30753,0,27,27,30,0.1434442,seven_point_per_channel
3,1004,54,0,14,14,2861.16358,204.3688271429,10570.81790905,113,103,3,0,135,18,5,30753,0,27,27,30,0.1195428,seven_point_per_channel
3,1005,53,0,14,14,2731.567866,195.1119904286,10297.83932938,100,93,3,0,167,18,3,35358,0,29,29,28,0.1392583,seven_point_per_channel
3,1005,54,0,14,14,2731.567866,195.1119904286,10297.83932938,100,93,3,0,167,18,3,35358,0,29,29,28,0.1402571,seven_point_per_channel
3,1006,53,0,16,16,3510.128146,219.383009125,13170.64073846,128,117,13,0,161,30,5,33669,0,25,25,42,0.1811693,upper_bound_16
3,1006,54,0,16,16,3510.128146,219.383009125,13170.64073846,128,117,13,0,161,30,5,33669,0,25,25,42,0.1326595,upper_bound_16
3,1007,53,0,13,13,2840.405663,218.4927433077,10547.02831891,110,104,4,0,152,21,0,32140,0,28,28,28,0.1278272,seven_point_per_channel
3,1007,54,0,13,13,2840.405663,218.4927433077,10547.02831891,110,104,4,0,152,21,0,32140,0,28,28,28,0.1281223,seven_point_per_channel
3,1008,53,0,14,14,2573.713472,183.8366765714,9638.567365645,96,90,2,0,144,17,1,30875,0,26,26,25,0.1227898,seven_point_per_channel
3,1008,54,0,14,14,2573.713472,183.8366765714,9638.567365645,96,90,2,0,144,17,1,30875,0,26,26,25,0.1227573,seven_point_per_channel
3,1009,53,0,14,14,3331.289696,237.949264,12616.44847742,121,112,7,0,100,22,6,18145,0,21,21,35,0.0722264,seven_point_per_channel
3,1009,54,0,14,14,3331.289696,237.949264,12616.44847742,121,112,7,0,100,22,6,18145,0,21,21,35,0.0724302,seven_point_per_channel
