problem,seed,method,stress,n,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,dp_calls,dp_actions,dp_fallbacks,dp_expanded,dp_budget_hits,aux_calls,aux_positive,joint_steps,runtime_s,certificate
3,1,34,0,12,12,3120.999897,260.08332475,12089.99949057,108,100,1,0,31,10,4,5097,0,18,18,21,0.0206894,seven_point_per_channel
3,1,35,0,12,12,3459.229644,288.269137,13716.14822201,105,98,11,1,53,17,1,9169,0,18,18,25,0.0346497,seven_point_per_channel
3,1,36,0,12,12,3725.986179,310.49884825,15219.93088369,99,94,11,4,58,17,4,16419,0,7,7,28,0.0934932,seven_point_per_channel
3,1,37,0,12,12,3461.627052,288.468921,13798.13526163,106,97,5,0,54,18,0,9198,0,19,19,25,0.0338812,seven_point_per_channel
3,2,34,0,11,11,2808.009433,255.2735848182,10625.04716606,104,99,3,0,70,14,0,14105,0,26,25,21,0.0560381,seven_point_per_channel
3,2,35,0,11,11,2851.782163,259.2529239091,10938.91081747,102,96,1,1,42,12,1,7391,0,23,22,20,0.0308918,seven_point_per_channel
3,2,36,0,11,11,3246.895949,295.172359,13164.47975481,91,89,5,2,48,14,2,11877,0,11,11,23,0.0809387,seven_point_per_channel
3,2,37,0,11,11,2873.942867,261.2675333636,10989.71434066,104,98,1,0,51,12,1,9794,0,24,23,20,0.0387164,seven_point_per_channel
3,3,34,0,16,16,3856.216328,241.0135205,15961.08164441,96,89,5,0,101,19,4,20130,0,26,26,29,0.0803921,upper_bound_16
3,3,35,0,16,16,4037.83584,252.36474,16599.17922643,92,85,31,3,103,26,3,19499,0,24,24,35,0.0783493,upper_bound_16
3,3,36,0,16,16,4623.003906,288.937744125,19915.01953722,84,80,20,3,171,32,3,47455,0,8,8,41,0.2766464,upper_bound_16
3,3,37,0,16,16,3937.107667,246.0692291875,16310.53834815,96,88,9,0,116,24,3,23502,0,25,25,33,0.0905501,upper_bound_16
3,4,34,0,11,11,2742.120457,249.2836779091,10340.60228171,103,98,2,0,37,12,1,7000,0,20,20,20,0.0271669,seven_point_per_channel
3,4,35,0,11,11,2940.713204,267.337564,11228.56602343,104,99,7,2,50,16,2,7418,0,20,20,25,0.0322597,seven_point_per_channel
3,4,36,0,11,11,3385.942313,307.8129375455,13664.71155947,94,92,12,1,27,14,1,6631,0,9,9,22,0.042073,seven_point_per_channel
3,4,37,0,11,11,2936.152874,266.9229885455,11210.76437194,105,99,5,0,50,16,2,7410,0,21,20,25,0.0307723,seven_point_per_channel
3,5,34,0,15,15,4211.302671,280.7535114,17136.51335433,116,111,6,0,86,20,3,15084,0,33,29,30,0.0607389,seven_point_per_channel
3,5,35,0,15,15,3709.660705,247.3107136667,14863.30351624,108,104,6,3,67,17,3,10109,0,29,27,27,0.0422903,seven_point_per_channel
3,5,36,0,15,15,4461.154694,297.4103129333,19065.7734775,93,90,6,1,55,23,1,14255,0,11,11,31,0.0845123,seven_point_per_channel
3,5,37,0,15,15,3742.648347,249.5098898,14988.24171882,110,105,5,0,73,20,2,10445,0,29,25,29,0.0417926,seven_point_per_channel
3,6,34,0,10,10,3241.201169,324.1201169,12566.00585237,112,106,4,0,39,12,2,6163,0,19,19,21,0.0242037,seven_point_per_channel
3,6,35,0,10,10,3321.603845,332.1603845,13038.01921448,108,103,7,2,35,13,2,5063,0,17,17,22,0.0206674,seven_point_per_channel
3,6,36,0,10,10,3790.154409,379.0154409,15625.77202991,102,99,2,0,24,15,0,5744,0,8,8,22,0.0351966,seven_point_per_channel
3,6,37,0,10,10,3324.944126,332.4944126,13059.7206319,109,103,5,0,35,13,2,5065,0,17,17,22,0.0203486,seven_point_per_channel
3,7,34,0,11,11,3183.089513,289.3717739091,12065.44756614,119,111,3,0,24,12,3,3842,0,16,16,22,0.0149246,seven_point_per_channel
3,7,35,0,11,11,3250.235974,295.4759976364,12461.17986751,116,108,5,3,22,11,3,3704,0,15,15,21,0.0150095,seven_point_per_channel
3,7,36,0,11,11,3841.323837,349.2112579091,15491.6191897,112,107,7,3,56,15,3,16387,0,6,6,25,0.0969057,seven_point_per_channel
3,7,37,0,11,11,3251.339144,295.5762858182,12476.69572185,117,110,2,0,22,11,3,3692,0,14,14,21,0.0145285,seven_point_per_channel
3,8,34,0,16,16,3019.38298,188.71143625,12261.9148954,79,74,6,0,99,22,2,15179,0,28,26,29,0.0634325,upper_bound_16
3,8,35,0,16,16,3032.848839,189.5530524375,12419.24418987,79,74,0,1,81,18,1,13141,0,27,26,24,0.0545416,upper_bound_16
3,8,36,0,16,16,3196.656435,199.7910271875,13478.28216348,67,65,7,1,114,28,1,28839,0,12,12,34,0.1864594,upper_bound_16
3,8,37,0,16,16,3032.956824,189.5598015,12424.78411022,79,73,0,0,74,17,1,11933,0,28,26,23,0.0489271,upper_bound_16
3,9,34,0,11,11,3320.012806,301.819346,12940.06403117,114,107,0,0,35,10,2,5526,0,17,17,19,0.0245232,seven_point_per_channel
3,9,35,0,11,11,3630.839116,330.0762832727,14309.1955762,115,106,11,1,30,16,1,4429,0,16,15,24,0.0179582,seven_point_per_channel
3,9,36,0,11,11,4132.221826,375.6565296364,17061.10913413,110,106,3,1,48,19,1,12942,0,7,6,27,0.0773383,seven_point_per_channel
3,9,37,0,11,11,3634.961147,330.4510133636,14324.80573452,119,108,4,0,31,15,2,4541,0,18,16,24,0.0176983,seven_point_per_channel
3,10,34,0,14,14,3675.62656,262.5447542857,14973.13280071,102,95,2,0,41,16,1,5949,0,21,21,24,0.0248795,seven_point_per_channel
3,10,35,0,14,14,3759.276842,268.5197744286,15401.38420146,102,96,1,1,41,15,1,5991,0,21,21,23,0.0261919,seven_point_per_channel
3,10,36,0,14,14,4024.896826,287.4926304286,16709.4841294,101,99,3,3,38,15,3,10350,0,11,11,25,0.0626889,seven_point_per_channel
3,10,37,0,14,14,3758.289078,268.4492198571,15406.44537865,102,94,1,0,41,15,1,5989,0,21,21,23,0.0263122,seven_point_per_channel
3,11,34,0,10,10,3293.040218,329.3040218,12715.20108793,118,110,0,0,23,5,5,4019,0,16,16,17,0.0154468,seven_point_per_channel
3,11,35,0,10,10,3386.915035,338.6915035,12919.57517,118,109,18,4,35,11,4,6132,0,19,19,22,0.0239298,seven_point_per_channel
3,11,36,0,10,10,3792.728736,379.2728736,15343.64368395,107,103,12,2,32,12,2,7493,0,8,8,21,0.045121,seven_point_per_channel
