problem,seed,method,stress,n,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,dp_calls,dp_actions,dp_fallbacks,dp_expanded,dp_budget_hits,aux_calls,aux_positive,joint_steps,runtime_s,certificate
3,1,27,0,12,12,3266.295674,272.1913061667,12721.47835222,105,101,12,3,176,31,3,48940,0,0,0,41,0.3196295,seven_point_per_channel
3,2,27,0,11,11,2555.461551,232.3146864545,9422.307756155,103,98,1,3,208,28,3,62235,0,0,0,38,0.4211953,seven_point_per_channel
3,3,27,0,16,16,3621.239011,226.3274381875,14421.19506803,106,103,8,3,247,50,3,73090,0,0,0,60,0.4965714,upper_bound_16
3,4,27,0,11,11,2789.401701,253.5819728182,10442.00848672,100,98,16,4,238,31,4,78988,0,0,0,42,0.482963,seven_point_per_channel
3,5,27,0,15,15,3493.042695,232.869513,13770.21348079,104,102,14,4,286,43,4,90913,0,0,0,54,0.5423149,seven_point_per_channel
3,6,27,0,10,10,2745.790702,274.5790702,10183.95350864,107,103,7,2,161,32,2,49347,0,0,0,41,0.3239422,seven_point_per_channel
3,7,27,0,11,11,3022.175208,274.7432007273,11495.87604019,108,104,8,1,156,32,1,53970,0,0,0,40,0.3196193,seven_point_per_channel
3,8,27,0,16,16,2528.200647,158.0125404375,9866.003234657,78,76,3,3,395,44,3,126516,0,0,0,52,0.8166894,upper_bound_16
3,9,27,0,11,11,3126.407378,284.2188525455,11892.03688225,106,103,20,2,123,33,2,35697,0,0,0,42,0.2240034,seven_point_per_channel
3,10,27,0,14,14,2985.471739,213.2479813571,11432.35869789,98,97,14,4,215,33,4,66285,0,0,0,44,0.4211222,seven_point_per_channel
3,11,27,0,10,10,2781.043939,278.1043939,10170.21968187,112,110,9,3,58,24,3,15154,0,0,0,34,0.0877724,seven_point_per_channel
3,12,27,0,13,13,3356.259024,258.1737710769,13046.29511566,105,103,18,4,151,29,4,47796,0,0,0,40,0.2882528,seven_point_per_channel
3,13,27,0,15,15,3184.692784,212.3128522667,12158.46392655,100,97,27,6,316,42,6,90377,0,0,0,55,0.5631408,seven_point_per_channel
3,14,27,0,11,11,2800.841017,254.6219106364,10234.20509508,114,108,7,3,163,31,3,47011,0,0,0,41,0.3067598,seven_point_per_channel
3,15,27,0,14,14,2988.37546,213.45539,11456.87728455,99,93,13,4,297,44,4,92228,0,0,0,55,0.5807244,seven_point_per_channel
3,16,27,0,14,14,3193.317017,228.0940726429,12696.58507478,93,89,10,2,295,40,2,93967,0,0,0,49,0.5643225,seven_point_per_channel
3,17,27,0,14,14,3093.66926,220.9763757143,12218.34629112,96,94,2,0,195,41,0,63816,0,0,0,48,0.3985933,seven_point_per_channel
3,18,27,0,10,10,2849.291802,284.9291802,10531.45901571,110,107,12,3,107,25,3,34775,0,0,0,35,0.2025035,seven_point_per_channel
