problem,seed,method,stress,n,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,dp_calls,dp_actions,dp_fallbacks,dp_expanded,dp_budget_hits,aux_calls,aux_positive,joint_steps,runtime_s,certificate
3,1,23,0,12,12,3119.154852,259.929571,11775.77425912,111,107,14,3,158,34,3,114894,0,0,0,44,0.2979739,seven_point_per_channel
3,1,24,0,12,12,3112.542714,259.3785595,11757.71357299,111,107,13,3,158,34,3,114894,0,0,0,44,0.2993531,seven_point_per_channel
3,1,25,0,12,12,2872.526232,239.377186,10627.63115937,108,105,14,3,97,25,3,81544,0,0,0,35,0.211408,seven_point_per_channel
3,1,26,0,12,12,2874.467703,239.53897525,10662.33851357,107,105,14,3,63,24,3,52039,0,0,0,19,0.1314608,seven_point_per_channel
3,1,27,0,12,12,3266.295674,272.1913061667,12721.47835222,105,101,12,3,176,31,3,48940,0,0,0,41,0.3027267,seven_point_per_channel
3,1,28,0,12,12,3216.858288,268.071524,12504.29141954,104,100,12,3,171,30,3,239719,0,0,0,40,0.8196308,seven_point_per_channel
3,2,23,0,11,11,2610.730473,237.3391339091,9623.652368577,105,100,2,2,216,30,2,164226,0,0,0,39,0.422088,seven_point_per_channel
3,2,24,0,11,11,2603.905205,236.718655,9604.526026894,105,100,1,2,216,30,2,164226,0,0,0,39,0.4224708,seven_point_per_channel
3,2,25,0,11,11,2783.933126,253.0848296364,10604.66563676,99,95,6,4,146,21,4,129317,0,0,0,32,0.3392648,seven_point_per_channel
3,2,26,0,11,11,3014.35544,274.0323127273,12016.77719366,90,85,7,1,107,27,1,90977,0,0,0,18,0.2313688,seven_point_per_channel
3,2,27,0,11,11,2555.461551,232.3146864545,9422.307756155,103,98,1,3,208,28,3,62235,0,0,0,38,0.4113073,seven_point_per_channel
3,2,28,0,11,11,2560.550512,232.7773192727,9422.752560369,104,98,1,2,217,30,2,346172,0,0,0,39,1.2747362,seven_point_per_channel
3,3,23,0,16,16,3369.755866,210.609741625,13233.77935578,91,86,34,5,313,43,5,240396,0,0,0,54,0.6552099,upper_bound_16
3,3,24,0,16,16,3281.455546,205.090971625,12927.27775177,91,86,25,5,313,43,5,240396,0,0,0,54,0.6552531,upper_bound_16
3,3,25,0,16,16,3737.682574,233.605160875,15218.41289584,85,81,36,4,389,47,4,302614,0,0,0,57,0.7608722,upper_bound_16
3,3,26,0,16,16,3502.863237,218.9289523125,13969.31618953,84,80,43,6,146,42,6,116107,0,0,0,22,0.2925469,upper_bound_16
3,3,27,0,16,16,3621.239011,226.3274381875,14421.19506803,106,103,8,3,247,50,3,73090,0,0,0,60,0.490665,upper_bound_16
3,3,28,0,16,16,3584.603541,224.0377213125,14213.01772021,107,100,9,4,256,50,4,375891,0,0,0,61,1.373503,upper_bound_16
3,4,23,0,11,11,2833.537512,257.5943192727,10517.68757729,100,97,26,3,229,30,3,192352,0,0,0,40,0.5217543,seven_point_per_channel
3,4,24,0,11,11,2770.773901,251.8885364545,10308.86952148,100,97,19,3,229,30,3,192352,0,0,0,40,0.5209741,seven_point_per_channel
3,4,25,0,11,11,2768.717857,251.7016233636,10093.58927265,99,95,35,4,202,33,4,165592,0,0,0,44,0.3931064,seven_point_per_channel
3,4,26,0,11,11,2774.841422,252.2583110909,10109.20710679,99,95,36,4,100,34,4,79480,0,0,0,18,0.1871261,seven_point_per_channel
3,4,27,0,11,11,2789.401701,253.5819728182,10442.00848672,100,98,16,4,238,31,4,78988,0,0,0,42,0.4798528,seven_point_per_channel
3,4,28,0,11,11,2795.26636,254.1151236364,10441.33178058,101,99,16,4,246,32,4,417839,0,0,0,43,1.5262148,seven_point_per_channel
3,5,23,0,15,15,3416.298542,227.7532361333,13261.49269743,104,100,23,7,287,41,7,235361,0,0,0,55,0.6315561,seven_point_per_channel
3,5,24,0,15,15,3381.557333,225.4371555333,13147.78665634,104,100,19,7,287,41,7,235361,0,0,0,55,0.6266281,seven_point_per_channel
3,5,25,0,15,15,3522.810908,234.8540605333,14074.05453662,98,92,17,4,255,37,4,218978,0,0,0,48,0.6036088,seven_point_per_channel
3,5,26,0,15,15,3425.508227,228.3672151333,13497.54112731,97,91,25,6,131,37,6,110347,0,0,0,22,0.2838337,seven_point_per_channel
3,5,27,0,15,15,3493.042695,232.869513,13770.21348079,104,102,14,4,286,43,4,90913,0,0,0,54,0.5428505,seven_point_per_channel
3,5,28,0,15,15,3493.042695,232.869513,13770.21348079,104,102,14,4,286,43,4,480016,0,0,0,54,1.7433314,seven_point_per_channel
3,6,23,0,10,10,2725.314111,272.5314111,10031.57056189,108,102,9,2,164,33,2,122660,0,0,0,42,0.3202393,seven_point_per_channel
3,6,24,0,10,10,2725.314111,272.5314111,10031.57056189,108,102,9,2,164,33,2,122660,0,0,0,42,0.3210926,seven_point_per_channel
3,6,25,0,10,10,3040.928278,304.0928278,11474.64137254,104,101,25,3,128,22,3,108885,0,0,0,32,0.271237,seven_point_per_channel
3,6,26,0,10,10,3213.567766,321.3567766,12312.83882174,105,101,25,4,67,22,4,56176,0,0,0,17,0.1380469,seven_point_per_channel
3,6,27,0,10,10,2745.790702,274.5790702,10183.95350864,107,103,7,2,161,32,2,49347,0,0,0,41,0.3217016,seven_point_per_channel
3,6,28,0,10,10,2756.246073,275.6246073,10191.23037193,108,104,8,3,162,31,3,255817,0,0,0,41,0.9342571,seven_point_per_channel
3,7,23,0,11,11,3122.89555,283.8995954545,11659.4777667,111,109,24,4,156,29,4,115072,0,0,0,40,0.289347,seven_point_per_channel
3,7,24,0,11,11,3096.678913,281.5162648182,11573.39458057,111,109,21,4,156,29,4,115072,0,0,0,40,0.2890756,seven_point_per_channel
3,7,25,0,11,11,3059.773582,278.1612347273,11343.86791476,105,103,36,7,100,23,7,84989,0,0,0,37,0.2161337,seven_point_per_channel
3,7,26,0,11,11,3051.088016,277.3716378182,11345.44009659,104,102,35,6,58,23,6,47658,0,0,0,18,0.1171065,seven_point_per_channel
3,7,27,0,11,11,3022.175208,274.7432007273,11495.87604019,108,104,8,1,156,32,1,53970,0,0,0,40,0.3179454,seven_point_per_channel
3,7,28,0,11,11,3034.251922,275.8410838182,11511.25960125,109,105,9,1,164,34,1,260177,0,0,0,42,0.8953957,seven_point_per_channel
3,8,23,0,16,16,2595.422937,162.2139335625,10127.11468305,79,77,6,4,457,46,4,374871,0,0,0,55,0.9895766,upper_bound_16
3,8,24,0,16,16,2587.120659,161.6950411875,10100.60329026,79,77,5,4,457,46,4,374871,0,0,0,55,0.9887618,upper_bound_16
3,8,25,0,16,16,2546.264961,159.1415600625,9926.32480242,76,74,9,1,328,44,1,278306,0,0,0,51,0.6719664,upper_bound_16
3,8,26,0,16,16,2669.678124,166.85488275,10558.39060894,74,69,13,2,155,45,2,125012,0,0,0,22,0.2949753,upper_bound_16
3,8,27,0,16,16,2528.200647,158.0125404375,9866.003234657,78,76,3,3,395,44,3,126516,0,0,0,52,0.812789,upper_bound_16
3,8,28,0,16,16,2587.684814,161.730300875,10158.42408096,77,76,5,4,394,42,4,680779,0,0,0,51,2.5103652,upper_bound_16
3,9,23,0,11,11,3166.092769,287.8266153636,11985.4638479,113,110,13,3,135,33,3,103578,0,0,0,43,0.2594955,seven_point_per_channel
3,9,24,0,11,11,3144.760933,285.8873575455,11908.80466607,113,110,11,3,135,33,3,103578,0,0,0,43,0.2609468,seven_point_per_channel
3,9,25,0,11,11,3181.49193,289.2265390909,11877.45964293,111,106,30,6,136,31,6,109482,0,0,0,44,0.2620223,seven_point_per_channel
3,9,26,0,11,11,3053.505413,277.5914011818,11362.52705757,109,106,25,6,65,26,6,50726,0,0,0,18,0.1163098,seven_point_per_channel
3,9,27,0,11,11,3126.407378,284.2188525455,11892.03688225,106,103,20,2,123,33,2,35697,0,0,0,42,0.2235988,seven_point_per_channel
3,9,28,0,11,11,3090.286959,280.9351780909,11741.43478453,106,103,18,2,113,31,2,156168,0,0,0,40,0.5458134,seven_point_per_channel
3,10,23,0,14,14,3098.676635,221.3340453571,11733.38317386,104,102,20,5,271,39,5,219055,0,0,0,51,0.565039,seven_point_per_channel
3,10,24,0,14,14,3085.638468,220.4027477143,11683.19234073,104,102,19,5,271,39,5,219055,0,0,0,51,0.5669365,seven_point_per_channel
3,10,25,0,14,14,3084.852572,220.3466122857,12229.26287074,90,86,11,3,211,34,3,174943,0,0,0,44,0.4546463,seven_point_per_channel
3,10,26,0,14,14,3210.643321,229.3316657857,12918.21660994,89,85,9,3,112,32,3,90961,0,0,0,21,0.2337023,seven_point_per_channel
3,10,27,0,14,14,2985.471739,213.2479813571,11432.35869789,98,97,14,4,215,33,4,66285,0,0,0,44,0.41807,seven_point_per_channel
3,10,28,0,14,14,3006.580667,214.7557619286,11437.9033392,102,100,13,4,237,36,4,406173,0,0,0,47,1.4326996,seven_point_per_channel
4,1,23,0,12,12,5549.851724,462.4876436667,19874.25862333,246,231,18,3,184,35,3,127639,0,0,0,59,0.4165106,convex_mesh_per_channel
4,1,24,0,12,12,5549.851724,462.4876436667,19874.25862333,246,231,18,3,184,35,3,127639,0,0,0,59,0.4161354,convex_mesh_per_channel
4,1,25,0,12,12,5975.567494,497.9639578333,21487.83746699,251,237,42,6,145,28,6,118515,0,0,0,55,0.3727159,convex_mesh_per_channel
4,1,26,0,12,12,6244.177684,520.3481403333,22175.88849576,247,235,93,6,104,28,6,83117,0,0,0,33,0.2566648,convex_mesh_per_channel
4,1,27,0,12,12,6004.12589,500.3438241667,21555.62945737,257,240,36,5,192,39,5,50074,0,0,0,65,0.4514652,convex_mesh_per_channel
4,1,28,0,12,12,5940.542703,495.04522525,21372.7135268,259,242,23,4,195,41,4,289876,0,0,0,66,1.1944671,convex_mesh_per_channel
4,2,23,0,11,11,5661.378715,514.6707922727,20926.89357935,233,217,13,4,367,41,4,298607,0,0,0,66,0.9353568,convex_mesh_per_channel
4,2,24,0,11,11,5656.052337,514.1865760909,20915.26168306,233,217,12,4,367,41,4,298610,0,0,0,66,0.9360365,convex_mesh_per_channel
4,2,25,0,11,11,6754.34174,614.0310672727,25046.7086921,228,211,113,4,258,25,4,220547,0,0,0,50,0.6227519,convex_mesh_per_channel
4,2,26,0,11,11,6620.830929,601.8937208182,24774.15464272,229,202,88,4,186,37,4,155166,0,0,0,32,0.436095,convex_mesh_per_channel
4,2,27,0,11,11,5743.579205,522.1435640909,21207.89602099,238,224,11,3,432,42,3,123444,0,0,0,66,1.0375724,convex_mesh_per_channel
4,2,28,0,11,11,5659.375744,514.488704,21111.87871796,231,215,4,1,332,40,1,545852,0,0,0,62,2.1777875,convex_mesh_per_channel
4,3,23,0,16,16,4418.786601,276.1741625625,16773.93301185,160,154,10,2,428,54,2,371091,0,0,0,69,1.1760589,upper_bound_16
4,3,24,0,16,16,4413.477845,275.8423653125,16747.38922783,160,154,10,2,428,54,2,369831,0,0,0,69,1.2211171,upper_bound_16
4,3,25,0,16,16,4016.283393,251.0177120625,16436.41696535,100,95,18,3,370,42,3,310366,0,0,0,52,0.915072,upper_bound_16
4,3,26,0,16,16,4346.686252,271.66789075,17348.4312381,121,114,26,3,172,39,3,143544,0,0,0,26,0.4264154,upper_bound_16
4,3,27,0,16,16,4504.83071,281.551919375,18129.15357433,129,127,9,3,454,50,3,126560,0,0,0,63,1.0758079,upper_bound_16
4,3,28,0,16,16,5182.70631,323.919144375,19953.53152058,165,161,42,8,469,51,8,799436,0,0,0,73,3.1599147,upper_bound_16
4,4,23,0,11,11,5666.532844,515.1393494545,20477.66421652,243,229,24,2,277,35,2,216566,0,0,0,58,0.6868843,convex_mesh_per_channel
4,4,24,0,11,11,5573.143945,506.6494495455,20130.71972405,243,229,16,2,277,35,2,216566,0,0,0,58,0.6858994,convex_mesh_per_channel
4,4,25,0,11,11,5442.283109,494.7530099091,19521.41555443,243,223,15,2,279,38,2,224690,0,0,0,61,0.6554644,convex_mesh_per_channel
4,4,26,0,11,11,6572.423548,597.4930498182,23582.11761241,247,227,113,6,133,31,6,102341,0,0,0,32,0.2883009,convex_mesh_per_channel
4,4,27,0,11,11,5591.982013,508.3620011818,20239.91006619,246,232,9,2,281,37,2,83945,0,0,0,60,0.6928715,convex_mesh_per_channel
4,4,28,0,11,11,5632.312291,512.0283900909,20311.56145718,246,231,18,3,303,39,3,492594,0,0,0,63,2.044209,convex_mesh_per_channel
4,5,23,0,15,15,7261.634033,484.1089355333,26953.17010224,242,223,121,6,233,51,6,161268,0,0,0,78,0.6051266,convex_mesh_per_channel
4,5,24,0,15,15,7491.336074,499.4224049333,27831.68039523,242,223,139,6,233,51,6,161268,0,0,0,78,0.6069819,convex_mesh_per_channel
4,5,25,0,15,15,6439.938533,429.3292355333,23884.69263202,241,227,52,4,275,45,4,206576,0,0,0,70,0.6722373,convex_mesh_per_channel
4,5,26,0,15,15,7181.345615,478.7563743333,26671.72789342,242,217,115,5,108,49,5,76750,0,0,0,36,0.247655,convex_mesh_per_channel
4,5,27,0,15,15,6295.235098,419.6823398667,23866.17547494,222,208,43,5,294,42,5,73460,0,0,0,68,0.6564818,convex_mesh_per_channel
4,5,28,0,15,15,6311.720898,420.7813932,23898.60447894,223,210,44,5,314,46,5,422639,0,0,0,72,1.8550852,convex_mesh_per_channel
4,6,23,0,10,10,5859.853386,585.9853386,20129.26693321,296,280,8,2,157,27,2,117103,0,0,0,50,0.4015006,convex_mesh_per_channel
4,6,24,0,10,10,5859.853386,585.9853386,20129.26693321,296,280,8,2,157,27,2,117103,0,0,0,50,0.4015321,convex_mesh_per_channel
4,6,25,0,10,10,5975.256271,597.5256271,20561.2813586,302,288,5,1,121,22,1,100233,0,0,0,44,0.3108597,convex_mesh_per_channel
4,6,26,0,10,10,6054.293273,605.4293273,20791.46635678,302,288,16,2,89,21,2,73829,0,0,0,31,0.2278151,convex_mesh_per_channel
4,6,27,0,10,10,5615.16937,561.516937,20215.8468412,248,231,17,4,196,27,4,60315,0,0,0,52,0.4920906,convex_mesh_per_channel
4,6,28,0,10,10,5867.140605,586.7140605,20140.70303071,296,282,9,2,163,30,2,251222,0,0,0,53,1.0784583,convex_mesh_per_channel
4,7,23,0,11,11,5909.94342,537.2675836364,20979.71712055,260,245,38,6,127,25,6,100333,0,0,0,52,0.3213876,convex_mesh_per_channel
4,7,24,0,11,11,5891.59317,535.5993790909,20917.9658693,260,245,36,6,127,25,6,100333,0,0,0,52,0.3219991,convex_mesh_per_channel
4,7,25,0,11,11,5817.569736,528.869976,20452.84866427,272,258,18,2,85,31,2,66802,0,0,0,54,0.2199402,convex_mesh_per_channel
4,7,26,0,11,11,5947.77115,540.7064681818,20988.85573908,270,255,30,3,66,27,3,49750,0,0,0,32,0.1563779,convex_mesh_per_channel
4,7,27,0,11,11,5762.395009,523.8540917273,20686.97505768,261,247,6,1,130,31,1,26656,0,0,0,53,0.2943658,convex_mesh_per_channel
4,7,28,0,11,11,5762.395009,523.8540917273,20686.97505768,261,247,6,1,130,31,1,173072,0,0,0,53,0.763066,convex_mesh_per_channel
4,8,23,0,16,16,4939.858983,308.7411864375,18589.29491497,186,176,12,5,253,43,5,191053,0,0,0,64,0.6206144,upper_bound_16
4,8,24,0,16,16,4939.858983,308.7411864375,18589.29491497,186,176,12,5,253,43,5,191053,0,0,0,64,0.6204121,upper_bound_16
4,8,25,0,16,16,5021.044701,313.8152938125,19795.22347525,124,113,83,6,339,39,6,244747,0,0,0,55,0.8066711,upper_bound_16
4,8,26,0,16,16,5917.227268,369.82670425,22911.13630339,130,113,164,8,176,41,8,124463,0,0,0,27,0.3969478,upper_bound_16
4,8,27,0,16,16,4802.35675,300.147296875,19176.78375446,142,135,14,5,526,49,5,129111,0,0,0,67,1.1900363,upper_bound_16
4,8,28,0,16,16,5648.687712,353.042982,21648.43855147,199,187,19,5,295,49,5,477634,0,0,0,73,2.0199222,upper_bound_16
4,9,23,0,11,11,5564.991852,505.9083501818,19749.95926782,256,244,12,2,146,31,2,106229,0,0,0,54,0.3616361,convex_mesh_per_channel
4,9,24,0,11,11,5527.508087,502.5007351818,19622.540445,256,244,8,2,146,31,2,106229,0,0,0,54,0.324176,convex_mesh_per_channel
4,9,25,0,11,11,5995.531393,545.0483084545,20832.65695471,283,272,29,2,127,26,2,99876,0,0,0,49,0.2994567,convex_mesh_per_channel
