problem,seed,method,stress,n,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,dp_calls,dp_actions,dp_fallbacks,dp_expanded,dp_budget_hits,aux_calls,aux_positive,joint_steps,runtime_s,certificate
3,1,50,0,12,12,2933.628147,244.46901225,10833.14073671,117,110,4,0,77,20,2,15644,0,15,15,29,0.065373,seven_point_per_channel
3,1,51,0,12,12,2933.628147,244.46901225,10833.14073671,117,110,4,0,77,20,2,15644,0,15,15,29,0.0645032,seven_point_per_channel
3,1,52,0,12,12,2933.628147,244.46901225,10833.14073671,117,110,4,0,77,20,2,15644,0,15,15,29,0.0649669,seven_point_per_channel
3,2,50,0,11,11,2586.555447,235.1414042727,9287.777234955,113,106,1,0,94,14,1,21004,0,24,24,22,0.0820459,seven_point_per_channel
3,2,51,0,11,11,2593.097479,235.7361344545,9320.487392147,113,106,1,0,95,14,1,21141,0,24,24,22,0.0826299,seven_point_per_channel
3,2,52,0,11,11,2628.265005,238.9331822727,9836.325021662,102,96,0,0,117,14,1,24440,0,20,20,22,0.1002982,seven_point_per_channel
3,3,50,0,16,16,3300.221705,206.2638565625,12981.10851265,102,96,6,0,193,25,4,37577,0,25,23,35,0.1619926,upper_bound_16
3,3,51,0,16,16,3436.033943,214.7521214375,13540.16970888,106,100,6,0,205,25,4,43489,0,29,27,35,0.1724386,upper_bound_16
3,3,52,0,16,16,3332.726052,208.29537825,13073.63024598,103,99,8,0,199,27,2,41956,0,30,28,35,0.1731124,upper_bound_16
3,4,50,0,11,11,2641.635996,240.1487269091,9323.17997876,116,109,11,0,150,23,2,32267,0,25,25,32,0.1248066,seven_point_per_channel
3,4,51,0,11,11,2641.635996,240.1487269091,9323.17997876,116,109,11,0,150,23,2,32267,0,25,25,32,0.1248749,seven_point_per_channel
3,4,52,0,11,11,2655.310443,241.3918584545,9371.552219866,116,110,12,0,167,26,1,35879,0,25,25,34,0.1380598,seven_point_per_channel
3,5,50,0,15,15,3252.542041,216.8361360667,12422.71020927,115,103,5,0,157,20,4,34350,0,29,29,31,0.1334753,seven_point_per_channel
3,5,51,0,15,15,3252.542041,216.8361360667,12422.71020927,115,103,5,0,157,20,4,34350,0,29,29,31,0.1333804,seven_point_per_channel
3,5,52,0,15,15,3252.542041,216.8361360667,12422.71020927,115,103,5,0,157,20,4,34350,0,29,29,31,0.1336799,seven_point_per_channel
3,6,50,0,10,10,2757.023469,275.7023469,9870.117338019,120,109,8,0,94,18,2,20165,0,21,21,27,0.0783686,seven_point_per_channel
3,6,51,0,10,10,2757.023469,275.7023469,9870.117338019,120,109,8,0,94,18,2,20165,0,21,21,27,0.0783771,seven_point_per_channel
3,6,52,0,10,10,2757.023469,275.7023469,9870.117338019,120,109,8,0,94,18,2,20165,0,21,21,27,0.078224,seven_point_per_channel
3,7,50,0,11,11,3006.059959,273.2781780909,11135.29980906,120,109,5,0,78,18,4,17122,0,15,15,29,0.0642936,seven_point_per_channel
3,7,51,0,11,11,3058.644505,278.0585913636,11378.22252811,122,112,2,0,70,14,4,15001,0,19,19,25,0.0585839,seven_point_per_channel
3,7,52,0,11,11,3058.644505,278.0585913636,11378.22252811,122,112,2,0,70,14,4,15001,0,19,19,25,0.0585649,seven_point_per_channel
3,8,50,0,16,16,2599.36934,162.46058375,9966.846705063,86,78,6,0,189,23,2,37019,0,36,35,30,0.1522175,upper_bound_16
3,8,51,0,16,16,2599.36934,162.46058375,9966.846705063,86,78,6,0,189,23,2,37019,0,36,35,30,0.1528637,upper_bound_16
3,8,52,0,16,16,2599.36934,162.46058375,9966.846705063,86,78,6,0,189,23,2,37019,0,36,35,30,0.1516666,upper_bound_16
3,9,50,0,11,11,3189.534105,289.9576459091,12062.67051751,121,114,1,0,86,17,1,18495,0,16,16,25,0.0673449,seven_point_per_channel
3,9,51,0,11,11,3189.534105,289.9576459091,12062.67051751,121,114,1,0,86,17,1,18495,0,16,16,25,0.06721,seven_point_per_channel
3,9,52,0,11,11,3189.534105,289.9576459091,12062.67051751,121,114,1,0,86,17,1,18495,0,16,16,25,0.0670781,seven_point_per_channel
3,10,50,0,14,14,3179.171684,227.0836917143,12410.8584166,105,99,1,0,131,16,3,26774,0,27,27,26,0.1460126,seven_point_per_channel
3,10,51,0,14,14,3179.171684,227.0836917143,12410.8584166,105,99,1,0,131,16,3,26774,0,27,27,26,0.1328237,seven_point_per_channel
3,10,52,0,14,14,3178.229918,227.0164227143,12311.14958754,108,103,1,0,91,11,5,19729,0,22,21,23,0.0930992,seven_point_per_channel
3,11,50,0,10,10,2934.461011,293.4461011,10907.30505778,117,109,3,0,75,16,3,15262,0,10,10,26,0.0764796,seven_point_per_channel
3,11,51,0,10,10,2934.461011,293.4461011,10907.30505778,117,109,3,0,75,16,3,15262,0,10,10,26,0.0814349,seven_point_per_channel
3,11,52,0,10,10,2934.461011,293.4461011,10907.30505778,117,109,3,0,75,16,3,15262,0,10,10,26,0.0983392,seven_point_per_channel
3,12,50,0,13,13,3446.819815,265.1399857692,13094.09906068,125,114,8,1,95,20,6,19776,0,19,19,33,0.0927013,seven_point_per_channel
3,12,51,0,13,13,3446.819815,265.1399857692,13094.09906068,125,114,8,1,95,20,6,19776,0,19,19,33,0.0865091,seven_point_per_channel
3,12,52,0,13,13,3446.819815,265.1399857692,13094.09906068,125,114,8,1,95,20,6,19776,0,19,19,33,0.106325,seven_point_per_channel
3,13,50,0,15,15,3042.43926,202.829284,11557.19631192,109,102,3,0,152,21,2,29984,0,29,29,30,0.1555362,seven_point_per_channel
3,13,51,0,15,15,3042.43926,202.829284,11557.19631192,109,102,3,0,152,21,2,29984,0,29,29,30,0.1680889,seven_point_per_channel
3,13,52,0,15,15,3042.43926,202.829284,11557.19631192,109,102,3,0,152,21,2,29984,0,29,29,30,0.1443515,seven_point_per_channel
3,14,50,0,11,11,2979.522354,270.8656685455,11027.61177886,121,114,0,0,71,11,5,14939,0,17,16,23,0.0764771,seven_point_per_channel
3,14,51,0,11,11,3004.979372,273.1799429091,11149.89686315,121,115,0,0,73,10,5,16496,0,18,18,22,0.0962565,seven_point_per_channel
3,14,52,0,11,11,3004.979372,273.1799429091,11149.89686315,121,115,0,0,73,10,5,16496,0,18,18,22,0.0965124,seven_point_per_channel
3,15,50,0,14,14,3193.032591,228.0737565,12270.16294642,111,105,3,0,121,17,4,26325,0,23,23,28,0.1170541,seven_point_per_channel
3,15,51,0,14,14,3339.076554,238.5054681429,12990.38276388,111,104,4,0,119,16,4,25209,0,25,25,27,0.1200117,seven_point_per_channel
3,15,52,0,14,14,3339.076554,238.5054681429,12990.38276388,111,104,4,0,119,16,4,25209,0,25,25,27,0.1139609,seven_point_per_channel
3,16,50,0,14,14,3272.31936,233.7370971429,12836.59678438,104,94,7,0,139,20,4,30405,0,24,24,31,0.1645996,seven_point_per_channel
3,16,51,0,14,14,3272.31936,233.7370971429,12836.59678438,104,94,7,0,139,20,4,30405,0,24,24,31,0.1610908,seven_point_per_channel
3,16,52,0,14,14,3264.561136,233.1829382857,12687.80567523,108,99,6,0,169,20,5,36508,0,25,25,32,0.1760235,seven_point_per_channel
3,17,50,0,14,14,3326.683728,237.6202662857,12858.41863862,113,108,4,0,165,20,4,31000,0,20,20,31,0.173355,seven_point_per_channel
3,17,51,0,14,14,3326.683728,237.6202662857,12858.41863862,113,108,4,0,165,20,4,31000,0,20,20,31,0.1492288,seven_point_per_channel
3,17,52,0,14,14,3326.683728,237.6202662857,12858.41863862,113,108,4,0,165,20,4,31000,0,20,20,31,0.1558385,seven_point_per_channel
3,18,50,0,10,10,2722.216474,272.2216474,9876.082371936,115,110,4,0,68,19,0,10952,0,14,14,26,0.0516318,seven_point_per_channel
3,18,51,0,10,10,2846.770858,284.6770858,10123.85428662,128,120,4,0,62,14,2,12113,0,17,17,23,0.0524273,seven_point_per_channel
3,18,52,0,10,10,2846.770858,284.6770858,10123.85428662,128,120,4,0,62,14,2,12113,0,17,17,23,0.0842313,seven_point_per_channel
3,19,50,0,13,13,2857.997306,219.8459466154,10994.98653624,99,93,2,0,136,15,3,24647,0,17,17,25,0.1269656,seven_point_per_channel
3,19,51,0,13,13,2857.997306,219.8459466154,10994.98653624,99,93,2,0,136,15,3,24647,0,17,17,25,0.1364642,seven_point_per_channel
3,19,52,0,13,13,2857.997306,219.8459466154,10994.98653624,99,93,2,0,136,15,3,24647,0,17,17,25,0.1738363,seven_point_per_channel
3,20,50,0,10,10,2680.598322,268.0598322,9852.991607953,110,107,1,0,93,16,1,18789,0,13,13,24,0.1665281,seven_point_per_channel
3,20,51,0,10,10,2680.598322,268.0598322,9852.991607953,110,107,1,0,93,16,1,18789,0,13,13,24,0.0980969,seven_point_per_channel
3,20,52,0,10,10,2672.699769,267.2699769,9843.498841535,109,106,1,0,95,16,1,19592,0,12,12,24,0.1042563,seven_point_per_channel
3,21,50,0,10,10,2996.957963,299.6957963,11119.78979894,118,112,7,0,105,18,4,21572,0,13,13,29,0.0981703,seven_point_per_channel
3,21,51,0,10,10,2996.957963,299.6957963,11119.78979894,118,112,7,0,105,18,4,21572,0,13,13,29,0.0967912,seven_point_per_channel
3,21,52,0,10,10,2996.957963,299.6957963,11119.78979894,118,112,7,0,105,18,4,21572,0,13,13,29,0.1177422,seven_point_per_channel
3,22,50,0,14,14,2936.563548,209.7545391429,11377.81775167,99,93,1,0,176,21,0,34220,0,31,30,28,0.1835448,seven_point_per_channel
3,22,51,0,14,14,2936.563548,209.7545391429,11377.81775167,99,93,1,0,176,21,0,34220,0,31,30,28,0.1798897,seven_point_per_channel
3,22,52,0,14,14,2962.126747,211.5804819286,11405.63373571,101,94,4,0,206,22,1,40133,0,32,31,30,0.2312526,seven_point_per_channel
3,23,50,0,15,15,3258.988533,217.2659022,12344.9426595,119,111,3,0,90,21,4,19184,0,21,20,32,0.0869956,seven_point_per_channel
