problem,seed,method,stress,n,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,dp_calls,dp_actions,dp_fallbacks,dp_expanded,dp_budget_hits,aux_calls,aux_positive,joint_steps,runtime_s,certificate
3,1001,50,0,11,11,3006.089301,273.2808455455,11240.44650994,117,112,2,0,103,14,3,20877,0,17,17,24,0.0885411,seven_point_per_channel
3,1001,51,0,11,11,3006.089301,273.2808455455,11240.44650994,117,112,2,0,103,14,3,20877,0,17,17,24,0.087479,seven_point_per_channel
3,1001,52,0,11,11,3006.089301,273.2808455455,11240.44650994,117,112,2,0,103,14,3,20877,0,17,17,24,0.0873143,seven_point_per_channel
3,1002,50,0,12,12,2916.850145,243.0708454167,10819.25072047,114,108,5,0,94,23,2,19421,0,14,14,32,0.0779855,seven_point_per_channel
3,1002,51,0,12,12,2972.128755,247.67739625,11045.64376777,114,106,9,0,140,21,4,31536,0,17,17,32,0.1257303,seven_point_per_channel
3,1002,52,0,12,12,2937.984692,244.8320576667,10924.92345662,113,104,8,0,134,18,5,28684,0,17,17,30,0.1189949,seven_point_per_channel
3,1003,50,0,10,10,2773.461815,277.3461815,10457.30907515,106,99,1,0,75,13,2,14195,0,12,12,22,0.0620347,seven_point_per_channel
3,1003,51,0,10,10,2773.461815,277.3461815,10457.30907515,106,99,1,0,75,13,2,14195,0,12,12,22,0.0625638,seven_point_per_channel
3,1003,52,0,10,10,2773.461815,277.3461815,10457.30907515,106,99,1,0,75,13,2,14195,0,12,12,22,0.0625059,seven_point_per_channel
3,1004,50,0,14,14,2861.16358,204.3688271429,10570.81790905,113,103,3,0,135,18,5,30753,0,27,27,30,0.1201586,seven_point_per_channel
3,1004,51,0,14,14,2861.16358,204.3688271429,10570.81790905,113,103,3,0,135,18,5,30753,0,27,27,30,0.1207797,seven_point_per_channel
3,1004,52,0,14,14,2861.16358,204.3688271429,10570.81790905,113,103,3,0,135,18,5,30753,0,27,27,30,0.1198644,seven_point_per_channel
3,1005,50,0,14,14,2731.567866,195.1119904286,10297.83932938,100,93,3,0,167,18,3,35358,0,29,29,28,0.1398481,seven_point_per_channel
3,1005,51,0,14,14,2731.567866,195.1119904286,10297.83932938,100,93,3,0,167,18,3,35358,0,29,29,28,0.1400178,seven_point_per_channel
3,1005,52,0,14,14,2731.567866,195.1119904286,10297.83932938,100,93,3,0,167,18,3,35358,0,29,29,28,0.1394951,seven_point_per_channel
3,1006,50,0,16,16,3510.128146,219.383009125,13170.64073846,128,117,13,0,161,30,5,33669,0,25,25,42,0.1337233,upper_bound_16
3,1006,51,0,16,16,3510.128146,219.383009125,13170.64073846,128,117,13,0,161,30,5,33669,0,25,25,42,0.1330837,upper_bound_16
3,1006,52,0,16,16,3510.128146,219.383009125,13170.64073846,128,117,13,0,161,30,5,33669,0,25,25,42,0.1333259,upper_bound_16
3,1007,50,0,13,13,2840.405663,218.4927433077,10547.02831891,110,104,4,0,152,21,0,32140,0,28,28,28,0.1273228,seven_point_per_channel
3,1007,51,0,13,13,2840.405663,218.4927433077,10547.02831891,110,104,4,0,152,21,0,32140,0,28,28,28,0.1281396,seven_point_per_channel
3,1007,52,0,13,13,2840.405663,218.4927433077,10547.02831891,110,104,4,0,152,21,0,32140,0,28,28,28,0.1283587,seven_point_per_channel
3,1008,50,0,14,14,2573.713472,183.8366765714,9638.567365645,96,90,2,0,144,17,1,30875,0,26,26,25,0.1217326,seven_point_per_channel
3,1008,51,0,14,14,2573.713472,183.8366765714,9638.567365645,96,90,2,0,144,17,1,30875,0,26,26,25,0.1220021,seven_point_per_channel
3,1008,52,0,14,14,2573.713472,183.8366765714,9638.567365645,96,90,2,0,144,17,1,30875,0,26,26,25,0.1222417,seven_point_per_channel
3,1009,50,0,14,14,3331.289696,237.949264,12616.44847742,121,112,7,0,100,22,6,18145,0,21,21,35,0.0821485,seven_point_per_channel
3,1009,51,0,14,14,3331.289696,237.949264,12616.44847742,121,112,7,0,100,22,6,18145,0,21,21,35,0.0716076,seven_point_per_channel
3,1009,52,0,14,14,3339.358464,238.5256045714,12846.79231638,115,98,9,0,115,24,3,21887,0,26,26,34,0.0911625,seven_point_per_channel
3,1010,50,0,15,15,2909.533587,193.9689058,11112.66793625,101,95,4,0,158,20,3,34667,0,27,27,30,0.136615,seven_point_per_channel
3,1010,51,0,15,15,2909.533587,193.9689058,11112.66793625,101,95,4,0,158,20,3,34667,0,27,27,30,0.1365081,seven_point_per_channel
3,1010,52,0,15,15,2909.533587,193.9689058,11112.66793625,101,95,4,0,158,20,3,34667,0,27,27,30,0.1365455,seven_point_per_channel
3,1011,50,0,10,10,2614.582777,261.4582777,9267.91388136,118,115,2,0,65,13,2,13931,0,18,18,22,0.0561246,seven_point_per_channel
3,1011,51,0,10,10,2614.582777,261.4582777,9267.91388136,118,115,2,0,65,13,2,13931,0,18,18,22,0.0558448,seven_point_per_channel
3,1011,52,0,10,10,2614.582777,261.4582777,9267.91388136,118,115,2,0,65,13,2,13931,0,18,18,22,0.0556963,seven_point_per_channel
3,1012,50,0,15,15,3220.581372,214.7054248,12497.90686964,106,98,6,0,99,27,2,18100,0,23,22,36,0.0718291,seven_point_per_channel
3,1012,51,0,15,15,3434.078781,228.9385854,13610.3939067,105,97,5,0,158,22,3,34159,0,23,22,32,0.1337557,seven_point_per_channel
3,1012,52,0,15,15,3441.463336,229.4308890667,13607.3166807,106,97,6,0,160,21,4,34337,0,24,23,32,0.1352064,seven_point_per_channel
3,1013,50,0,13,13,2922.670541,224.8208108462,10988.35268034,110,101,3,0,126,18,3,27491,0,21,20,28,0.1096597,seven_point_per_channel
3,1013,51,0,13,13,2922.670541,224.8208108462,10988.35268034,110,101,3,0,126,18,3,27491,0,21,20,28,0.1105443,seven_point_per_channel
3,1013,52,0,13,13,3023.399354,232.5691810769,11541.99675139,108,101,3,0,122,17,4,22109,0,18,18,28,0.0879116,seven_point_per_channel
3,1014,50,0,12,12,2915.606667,242.96722225,11098.03334394,106,100,2,0,99,13,3,20396,0,21,21,23,0.0804571,seven_point_per_channel
3,1014,51,0,12,12,2915.606667,242.96722225,11098.03334394,106,100,2,0,99,13,3,20396,0,21,21,23,0.0810516,seven_point_per_channel
3,1014,52,0,12,12,2915.606667,242.96722225,11098.03334394,106,100,2,0,99,13,3,20396,0,21,21,23,0.0812506,seven_point_per_channel
3,1015,50,0,14,14,2853.94448,203.8531771429,10894.72239376,100,93,4,0,122,20,3,17734,0,16,16,30,0.0791879,seven_point_per_channel
3,1015,51,0,14,14,2971.778656,212.269904,11463.89327202,100,94,5,0,128,22,2,21567,0,18,18,31,0.0913398,seven_point_per_channel
3,1015,52,0,14,14,2970.294038,212.1638598571,11471.47018401,100,94,4,0,127,21,2,21443,0,18,18,30,0.0910444,seven_point_per_channel
3,1016,50,0,15,15,2690.159241,179.3439494,10320.79621057,91,84,4,0,191,18,1,39769,0,34,34,26,0.1591788,seven_point_per_channel
3,1016,51,0,15,15,2690.159241,179.3439494,10320.79621057,91,84,4,0,191,18,1,39769,0,34,34,26,0.1586902,seven_point_per_channel
3,1016,52,0,15,15,2690.159241,179.3439494,10320.79621057,91,84,4,0,191,18,1,39769,0,34,34,26,0.1597036,seven_point_per_channel
3,1017,50,0,15,15,2935.34522,195.6896813333,10836.7260922,115,109,3,0,126,19,4,24622,0,29,25,30,0.0963204,seven_point_per_channel
3,1017,51,0,15,15,2935.34522,195.6896813333,10836.7260922,115,109,3,0,126,19,4,24622,0,29,25,30,0.0967969,seven_point_per_channel
3,1017,52,0,15,15,2935.34522,195.6896813333,10836.7260922,115,109,3,0,126,19,4,24622,0,29,25,30,0.0965596,seven_point_per_channel
3,1018,50,0,11,11,2681.429738,243.7663398182,9947.148679965,106,104,1,0,98,16,0,21489,0,15,15,23,0.0864856,seven_point_per_channel
3,1018,51,0,11,11,2681.429738,243.7663398182,9947.148679965,106,104,1,0,98,16,0,21489,0,15,15,23,0.0855302,seven_point_per_channel
3,1018,52,0,11,11,2689.214828,244.4740752727,9956.074128585,107,105,1,0,99,16,0,21563,0,16,16,23,0.0863304,seven_point_per_channel
