problem,seed,method,stress,n,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,dp_calls,dp_actions,dp_fallbacks,dp_expanded,dp_budget_hits,aux_calls,aux_positive,joint_steps,runtime_s,certificate
3,1,0,0,12,12,2988.498001,249.0415000833,11407.49000068,106,99,6,0,32,28,4,6222,0,0,0,0,0.0256642,seven_point_per_channel
3,1,1,0,12,12,2866.698596,238.8915496667,10873.49298658,104,100,4,0,27,26,1,4322,0,4,4,0,0.0182612,seven_point_per_channel
3,1,2,0,12,12,3188.171606,265.6809671667,12045.85803078,117,110,8,1,163,35,4,32138,0,0,0,46,0.123518,seven_point_per_channel
3,1,3,0,12,12,3195.749354,266.3124461667,12053.74677106,118,111,8,1,151,33,4,29054,0,3,3,44,0.1134858,seven_point_per_channel
3,1,4,0,12,12,2919.884966,243.3237471667,11144.42483708,104,99,4,0,29,28,1,5450,0,0,0,0,0.0212956,seven_point_per_channel
3,1,5,0,12,12,3194.835179,266.2362649167,12009.17589256,121,113,5,1,109,23,3,20209,0,14,14,33,0.0764539,seven_point_per_channel
3,1,6,0,12,12,2874.200133,239.51667775,11086.00066681,99,96,2,0,18,18,0,2299,0,12,12,0,0.0129108,seven_point_per_channel
3,1,7,0,12,12,3105.488923,258.7907435833,11727.44461762,117,109,2,0,83,14,4,15915,0,19,19,25,0.0632984,seven_point_per_channel
3,1,8,0,12,12,3287.244389,273.9370324167,12651.22194994,113,105,9,1,99,20,3,20468,0,18,18,30,0.0814692,seven_point_per_channel
3,1,9,0,12,12,3330.21988,277.5183233333,12936.09940524,112,105,6,1,95,18,2,20476,0,19,19,27,0.0806079,seven_point_per_channel
3,1,10,0,12,12,3293.154204,274.429517,12550.77102409,119,110,6,1,118,27,3,26934,0,14,14,37,0.1278612,seven_point_per_channel
3,1,11,0,12,12,3287.244389,273.9370324167,12651.22194994,113,105,9,1,99,20,3,24093,0,18,18,30,0.1158315,seven_point_per_channel
3,2,0,0,11,11,2743.53238,249.4120345455,10527.66190442,97,92,2,0,25,25,0,5330,0,0,0,0,0.0223872,seven_point_per_channel
3,2,1,0,11,11,2687.013141,244.2739219091,10185.06571468,100,95,0,0,16,14,2,2915,0,9,9,0,0.0141668,seven_point_per_channel
3,2,2,0,11,11,2606.892181,236.9901982727,9664.460923123,104,99,0,0,206,28,2,43221,0,0,0,37,0.1652225,seven_point_per_channel
3,2,3,0,11,11,2633.433296,239.4030269091,9677.166491868,108,103,0,0,180,23,3,38218,0,7,7,33,0.1462577,seven_point_per_channel
3,2,4,0,11,11,2793.06495,253.9149954545,10925.32476147,91,83,5,0,29,27,2,6310,0,0,0,0,0.025676,seven_point_per_channel
3,2,5,0,11,11,2665.312117,242.3011015455,9636.560587161,115,108,0,0,149,18,2,31309,0,21,20,27,0.1186531,seven_point_per_channel
3,2,6,0,11,11,2749.707843,249.9734402727,10203.53922408,110,104,0,0,16,14,2,2749,0,19,18,0,0.0137267,seven_point_per_channel
3,2,7,0,11,11,2737.730346,248.8845769091,9973.651738861,115,107,2,0,125,18,1,25993,0,24,21,26,0.1019065,seven_point_per_channel
3,2,8,0,11,11,2746.745311,249.7041191818,10323.72654525,104,101,2,0,112,13,1,24169,0,27,27,21,0.092758,seven_point_per_channel
3,2,9,0,11,11,2940.97631,267.3614827273,11534.8815571,97,94,0,0,91,11,0,19292,0,20,20,18,0.0785675,seven_point_per_channel
3,2,10,0,11,11,2665.312117,242.3011015455,9636.560587161,115,108,0,0,149,18,2,37491,0,21,20,27,0.177901,seven_point_per_channel
3,2,11,0,11,11,2746.745311,249.7041191818,10323.72654525,104,101,2,0,112,13,1,29006,0,27,27,21,0.1391878,seven_point_per_channel
3,3,0,0,16,16,3684.694127,230.2933829375,15043.47062234,96,89,9,0,43,40,3,9079,0,0,0,0,0.0390306,upper_bound_16
3,3,1,0,16,16,3711.359763,231.9599851875,15226.79881285,96,91,5,0,32,30,2,6344,0,8,8,0,0.0286746,upper_bound_16
3,3,2,0,16,16,3308.065777,206.7541110625,13080.32887964,100,91,7,0,316,43,5,66078,0,0,0,54,0.2814885,upper_bound_16
3,3,3,0,16,16,3321.398855,207.5874284375,13086.99426971,102,93,7,0,298,41,5,62193,0,4,4,52,0.2638957,upper_bound_16
3,3,4,0,16,16,3627.224507,226.7015316875,14816.12253346,93,80,13,0,47,42,5,9252,0,0,0,0,0.0392885,upper_bound_16
