problem,seed,method,stress,n,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,dp_calls,dp_actions,dp_fallbacks,dp_expanded,dp_budget_hits,aux_calls,aux_positive,joint_steps,runtime_s,certificate
3,1,45,0,12,12,2843.161622,236.9301351667,10430.80810441,115,110,4,0,76,20,2,15699,0,13,13,29,0.064532,seven_point_per_channel
3,1,46,0,12,12,2854.172198,237.8476831667,10685.8609929,108,105,4,0,97,18,2,19646,0,13,13,27,0.0804201,seven_point_per_channel
3,1,47,0,12,12,2900.137913,241.6781594167,10915.68957208,108,105,4,0,92,19,2,19116,0,12,12,28,0.0778999,seven_point_per_channel
3,1,48,0,12,12,2854.172198,237.8476831667,10685.8609929,108,105,4,0,97,18,2,19646,0,13,13,27,0.0793057,seven_point_per_channel
3,1,49,0,12,12,2854.172198,237.8476831667,10685.8609929,108,105,4,0,97,18,2,19646,0,13,13,27,0.0788363,seven_point_per_channel
3,2,45,0,11,11,2586.555447,235.1414042727,9287.777234955,113,106,1,0,94,14,1,21004,0,24,24,22,0.0836123,seven_point_per_channel
3,2,46,0,11,11,2647.045339,240.6404853636,9695.226690317,108,101,4,0,112,18,0,25946,0,27,27,25,0.1042463,seven_point_per_channel
3,2,47,0,11,11,2685.141515,244.1037740909,9885.70756822,108,101,4,0,111,18,0,25738,0,27,27,25,0.1020432,seven_point_per_channel
3,2,48,0,11,11,2647.045339,240.6404853636,9695.226690317,108,101,4,0,112,18,0,25946,0,27,27,25,0.1016406,seven_point_per_channel
3,2,49,0,11,11,2647.045339,240.6404853636,9695.226690317,108,101,4,0,112,18,0,25946,0,27,27,25,0.1005548,seven_point_per_channel
3,3,45,0,16,16,3300.221705,206.2638565625,12981.10851265,102,96,6,0,193,25,4,37577,0,25,23,35,0.1662787,upper_bound_16
3,3,46,0,16,16,3300.221705,206.2638565625,12981.10851265,102,96,6,0,193,25,4,37577,0,25,23,35,0.1661258,upper_bound_16
3,3,47,0,16,16,3300.221705,206.2638565625,12981.10851265,102,96,6,0,193,25,4,37577,0,25,23,35,0.1643854,upper_bound_16
3,3,48,0,16,16,3300.221705,206.2638565625,12981.10851265,102,96,6,0,193,25,4,37577,0,25,23,35,0.1661918,upper_bound_16
3,3,49,0,16,16,3300.221705,206.2638565625,12981.10851265,102,96,6,0,193,25,4,37577,0,25,23,35,0.1659527,upper_bound_16
3,4,45,0,11,11,2641.635996,240.1487269091,9323.17997876,116,109,11,0,150,23,2,32267,0,25,25,32,0.1300098,seven_point_per_channel
3,4,46,0,11,11,2679.424767,243.5840697273,9457.12383789,117,109,13,0,166,25,3,36290,0,24,24,35,0.1433684,seven_point_per_channel
3,4,47,0,11,11,2734.419384,248.5835803636,9722.096919387,117,108,14,0,167,26,3,36299,0,24,24,36,0.1428546,seven_point_per_channel
3,4,48,0,11,11,2679.424767,243.5840697273,9457.12383789,117,109,13,0,166,25,3,36290,0,24,24,35,0.1447788,seven_point_per_channel
3,4,49,0,11,11,2679.424767,243.5840697273,9457.12383789,117,109,13,0,166,25,3,36290,0,24,24,35,0.1426371,seven_point_per_channel
3,5,45,0,15,15,3252.542041,216.8361360667,12422.71020927,115,103,5,0,157,20,4,34350,0,29,29,31,0.1375693,seven_point_per_channel
3,5,46,0,15,15,3252.542041,216.8361360667,12422.71020927,115,103,5,0,157,20,4,34350,0,29,29,31,0.1363819,seven_point_per_channel
3,5,47,0,15,15,3207.441063,213.8294042,12252.20531697,114,100,4,1,146,19,5,33008,0,24,24,31,0.1331634,seven_point_per_channel
3,5,48,0,15,15,3252.542041,216.8361360667,12422.71020927,115,103,5,0,157,20,4,34350,0,29,29,31,0.1393551,seven_point_per_channel
3,5,49,0,15,15,3252.542041,216.8361360667,12422.71020927,115,103,5,0,157,20,4,34350,0,29,29,31,0.1400564,seven_point_per_channel
3,6,45,0,10,10,2757.023469,275.7023469,9870.117338019,120,109,8,0,94,18,2,20165,0,21,21,27,0.0823041,seven_point_per_channel
3,6,46,0,10,10,2757.023469,275.7023469,9870.117338019,120,109,8,0,94,18,2,20165,0,21,21,27,0.0818239,seven_point_per_channel
3,6,47,0,10,10,2757.023469,275.7023469,9870.117338019,120,109,8,0,94,18,2,20165,0,21,21,27,0.081682,seven_point_per_channel
3,6,48,0,10,10,2757.023469,275.7023469,9870.117338019,120,109,8,0,94,18,2,20165,0,21,21,27,0.0815161,seven_point_per_channel
3,6,49,0,10,10,2757.023469,275.7023469,9870.117338019,120,109,8,0,94,18,2,20165,0,21,21,27,0.0814993,seven_point_per_channel
3,7,45,0,11,11,3006.059959,273.2781780909,11135.29980906,120,109,5,0,78,18,4,17122,0,15,15,29,0.0664404,seven_point_per_channel
3,7,46,0,11,11,3006.059959,273.2781780909,11135.29980906,120,109,5,0,78,18,4,17122,0,15,15,29,0.0669746,seven_point_per_channel
3,7,47,0,11,11,2986.605565,271.5095968182,11038.02783798,120,109,5,0,72,18,4,16382,0,15,15,29,0.062475,seven_point_per_channel
3,7,48,0,11,11,3006.059959,273.2781780909,11135.29980906,120,109,5,0,78,18,4,17122,0,15,15,29,0.0670572,seven_point_per_channel
3,7,49,0,11,11,3006.059959,273.2781780909,11135.29980906,120,109,5,0,78,18,4,17122,0,15,15,29,0.0671236,seven_point_per_channel
3,8,45,0,16,16,2599.36934,162.46058375,9966.846705063,86,78,6,0,189,23,2,37019,0,36,35,30,0.1609615,upper_bound_16
3,8,46,0,16,16,2601.503427,162.5939641875,10052.51714182,83,75,7,0,194,24,2,37729,0,33,32,31,0.1643149,upper_bound_16
3,8,47,0,16,16,2601.503427,162.5939641875,10052.51714182,83,75,7,0,194,24,2,37729,0,33,32,31,0.1637097,upper_bound_16
3,8,48,0,16,16,2601.503427,162.5939641875,10052.51714182,83,75,7,0,194,24,2,37729,0,33,32,31,0.1635817,upper_bound_16
3,8,49,0,16,16,2601.503427,162.5939641875,10052.51714182,83,75,7,0,194,24,2,37729,0,33,32,31,0.1625288,upper_bound_16
3,9,45,0,11,11,3012.153901,273.8321728182,11190.76949161,120,116,1,0,69,13,5,12714,0,13,13,25,0.0528908,seven_point_per_channel
3,9,46,0,11,11,2976.42067,270.5836972727,11052.10334022,119,113,1,0,72,16,4,12684,0,11,11,27,0.05614,seven_point_per_channel
3,9,47,0,11,11,2976.42067,270.5836972727,11052.10334022,119,113,1,0,72,16,4,12684,0,11,11,27,0.0544679,seven_point_per_channel
3,9,48,0,11,11,2976.42067,270.5836972727,11052.10334022,119,113,1,0,72,16,4,12684,0,11,11,27,0.0541862,seven_point_per_channel
3,9,49,0,11,11,2976.42067,270.5836972727,11052.10334022,119,113,1,0,72,16,4,12684,0,11,11,27,0.0544084,seven_point_per_channel
3,10,45,0,14,14,3036.097514,216.8641081429,11780.48756318,101,99,2,0,124,16,3,27508,0,23,23,26,0.11419,seven_point_per_channel
