problem,seed,method,stress,n,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,dp_calls,dp_actions,dp_fallbacks,dp_expanded,dp_budget_hits,aux_calls,aux_positive,joint_steps,runtime_s,certificate
3,1001,45,0,11,11,3013.12212,273.9201927273,11250.6106024,118,112,2,0,108,15,3,21910,0,17,17,25,0.0944199,seven_point_per_channel
3,1001,46,0,11,11,2943.384671,267.5804246364,10911.92335362,116,111,5,0,115,18,3,23564,0,15,15,28,0.0988124,seven_point_per_channel
3,1001,47,0,11,11,2893.066983,263.0060893636,10845.33491664,111,108,2,0,70,17,2,14958,0,16,16,26,0.0643636,seven_point_per_channel
3,1001,48,0,11,11,2943.384671,267.5804246364,10911.92335362,116,111,5,0,115,18,3,23564,0,15,15,28,0.0983117,seven_point_per_channel
3,1001,49,0,11,11,2943.384671,267.5804246364,10911.92335362,116,111,5,0,115,18,3,23564,0,15,15,28,0.0971335,seven_point_per_channel
3,1002,45,0,12,12,2916.850145,243.0708454167,10819.25072047,114,108,5,0,94,23,2,19421,0,14,14,32,0.0763064,seven_point_per_channel
3,1002,46,0,12,12,2916.850145,243.0708454167,10819.25072047,114,108,5,0,94,23,2,19421,0,14,14,32,0.0764038,seven_point_per_channel
3,1002,47,0,12,12,3055.181411,254.5984509167,11540.9070484,113,107,5,0,92,24,1,19187,0,13,13,32,0.07532,seven_point_per_channel
3,1002,48,0,12,12,2916.850145,243.0708454167,10819.25072047,114,108,5,0,94,23,2,19421,0,14,14,32,0.0766211,seven_point_per_channel
3,1002,49,0,12,12,2916.850145,243.0708454167,10819.25072047,114,108,5,0,94,23,2,19421,0,14,14,32,0.0768974,seven_point_per_channel
3,1003,45,0,10,10,2773.461815,277.3461815,10457.30907515,106,99,1,0,75,13,2,14195,0,12,12,22,0.0618624,seven_point_per_channel
3,1003,46,0,10,10,2773.461815,277.3461815,10457.30907515,106,99,1,0,75,13,2,14195,0,12,12,22,0.062141,seven_point_per_channel
3,1003,47,0,10,10,2920.700933,292.0700933,10963.50465544,112,103,5,0,80,20,1,15731,0,12,12,28,0.0649127,seven_point_per_channel
3,1003,48,0,10,10,2773.461815,277.3461815,10457.30907515,106,99,1,0,75,13,2,14195,0,12,12,22,0.0620731,seven_point_per_channel
3,1003,49,0,10,10,2773.461815,277.3461815,10457.30907515,106,99,1,0,75,13,2,14195,0,12,12,22,0.0618096,seven_point_per_channel
3,1004,45,0,14,14,2904.338065,207.4527189286,10701.69032357,114,103,7,0,157,20,5,36051,0,28,28,32,0.1404336,seven_point_per_channel
3,1004,46,0,14,14,2904.338065,207.4527189286,10701.69032357,114,103,7,0,157,20,5,36051,0,28,28,32,0.1412107,seven_point_per_channel
3,1004,47,0,14,14,2904.338065,207.4527189286,10701.69032357,114,103,7,0,157,20,5,36051,0,28,28,32,0.1409008,seven_point_per_channel
3,1004,48,0,14,14,2904.338065,207.4527189286,10701.69032357,114,103,7,0,157,20,5,36051,0,28,28,32,0.1412701,seven_point_per_channel
3,1004,49,0,14,14,2904.338065,207.4527189286,10701.69032357,114,103,7,0,157,20,5,36051,0,28,28,32,0.1396836,seven_point_per_channel
3,1005,45,0,14,14,2731.567866,195.1119904286,10297.83932938,100,93,3,0,167,18,3,35358,0,29,29,28,0.1381854,seven_point_per_channel
3,1005,46,0,14,14,2770.308074,197.8791481429,10491.54036338,101,91,2,0,147,15,4,31183,0,28,28,26,0.1223347,seven_point_per_channel
