problem,seed,method,stress,n,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,dp_calls,dp_actions,dp_fallbacks,dp_expanded,dp_budget_hits,aux_calls,aux_positive,joint_steps,runtime_s,certificate
3,1,32,0,12,12,2843.161622,236.9301351667,10430.80810441,115,110,4,0,76,20,2,15699,0,13,13,29,0.0663731,seven_point_per_channel
3,1,33,0,12,12,3265.08613,272.0905108333,12715.43063147,105,101,12,3,176,31,3,48941,0,0,0,41,0.3345551,seven_point_per_channel
3,2,32,0,11,11,2586.555447,235.1414042727,9287.777234955,113,106,1,0,94,14,1,21004,0,24,24,22,0.0893833,seven_point_per_channel
3,2,33,0,11,11,2550.703655,231.8821504545,9398.518274764,103,98,1,3,208,28,3,62233,0,0,0,38,0.4573393,seven_point_per_channel
3,3,32,0,16,16,3300.221705,206.2638565625,12981.10851265,102,96,6,0,193,25,4,37577,0,25,23,35,0.1931457,upper_bound_16
3,3,33,0,16,16,3620.027492,226.25171825,14415.13746854,106,103,8,3,247,50,3,73090,0,0,0,60,0.5450082,upper_bound_16
3,4,32,0,11,11,2641.635996,240.1487269091,9323.17997876,116,109,11,0,150,23,2,32267,0,25,25,32,0.1262136,seven_point_per_channel
3,4,33,0,11,11,2785.419278,253.2199343636,10422.0963679,100,98,16,4,238,31,4,78988,0,0,0,42,0.5016839,seven_point_per_channel
3,5,32,0,15,15,3252.542041,216.8361360667,12422.71020927,115,103,5,0,157,20,4,34350,0,29,29,31,0.1347458,seven_point_per_channel
3,5,33,0,15,15,3489.774206,232.6516137333,13753.87104037,104,102,14,4,286,43,4,90913,0,0,0,54,0.5547436,seven_point_per_channel
3,6,32,0,10,10,2757.023469,275.7023469,9870.117338019,120,109,8,0,94,18,2,20165,0,21,21,27,0.0805063,seven_point_per_channel
3,6,33,0,10,10,2743.132831,274.3132831,10155.66414736,107,103,8,3,166,32,3,51370,0,0,0,42,0.3536045,seven_point_per_channel
3,7,32,0,11,11,3006.059959,273.2781780909,11135.29980906,120,109,5,0,78,18,4,17122,0,15,15,29,0.0664837,seven_point_per_channel
3,7,33,0,11,11,3025.517726,275.047066,11512.58862749,108,104,8,1,155,32,1,53806,0,0,0,40,0.3300998,seven_point_per_channel
3,8,32,0,16,16,2599.36934,162.46058375,9966.846705063,86,78,6,0,189,23,2,37019,0,36,35,30,0.158712,upper_bound_16
3,8,33,0,16,16,2522.64514,157.66532125,9838.225700356,78,76,3,3,395,44,3,126682,0,0,0,52,0.8548184,upper_bound_16
3,9,32,0,11,11,3189.534105,289.9576459091,12062.67051751,121,114,1,0,86,17,1,18495,0,16,16,25,0.0934324,seven_point_per_channel
3,9,33,0,11,11,3122.85614,283.8960127273,11874.28069872,106,103,20,2,123,33,2,35719,0,0,0,42,0.2760494,seven_point_per_channel
3,10,32,0,14,14,3179.171684,227.0836917143,12410.8584166,105,99,1,0,131,16,3,26774,0,27,27,26,0.1187107,seven_point_per_channel
3,10,33,0,14,14,2985.471739,213.2479813571,11432.35869789,98,97,14,4,215,33,4,66285,0,0,0,44,0.4526437,seven_point_per_channel
