problem,seed,method,stress,n,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,dp_calls,dp_actions,dp_fallbacks,dp_expanded,dp_budget_hits,aux_calls,aux_positive,joint_steps,runtime_s,certificate
3,1001,32,0,11,11,3006.089301,273.2808455455,11240.44650994,117,112,2,0,103,14,3,20877,0,17,17,24,0.0890379,seven_point_per_channel
3,1001,33,0,11,11,3016.734359,274.2485780909,11568.6717897,107,104,3,4,154,22,4,45731,0,0,0,33,0.3370945,seven_point_per_channel
3,1002,32,0,12,12,2916.850145,243.0708454167,10819.25072047,114,108,5,0,94,23,2,19421,0,14,14,32,0.0773928,seven_point_per_channel
3,1002,33,0,12,12,2943.524391,245.29369925,10922.62193921,113,110,8,3,139,34,3,45069,0,0,0,44,0.2704503,seven_point_per_channel
3,1003,32,0,10,10,2773.461815,277.3461815,10457.30907515,106,99,1,0,75,13,2,14195,0,12,12,22,0.0619473,seven_point_per_channel
3,1003,33,0,10,10,2976.489309,297.6489309,11112.44653051,103,99,30,4,159,28,4,49715,0,0,0,39,0.3111005,seven_point_per_channel
3,1004,32,0,14,14,2861.16358,204.3688271429,10570.81790905,113,103,3,0,135,18,5,30753,0,27,27,30,0.1196617,seven_point_per_channel
3,1004,33,0,14,14,3017.625567,215.5446833571,11383.12782337,101,97,23,5,316,42,5,102021,0,0,0,54,0.6246201,seven_point_per_channel
3,1005,32,0,14,14,2731.567866,195.1119904286,10297.83932938,100,93,3,0,167,18,3,35358,0,29,29,28,0.1393538,seven_point_per_channel
3,1005,33,0,14,14,2639.512142,188.5365815714,10087.56070376,91,88,3,0,389,46,0,120379,0,0,0,53,0.7840179,seven_point_per_channel
3,1006,32,0,16,16,3510.128146,219.383009125,13170.64073846,128,117,13,0,161,30,5,33669,0,25,25,42,0.1323956,upper_bound_16
3,1006,33,0,16,16,3665.469322,229.091832625,14737.34660491,96,92,22,7,308,41,7,83825,0,0,0,54,0.5510667,upper_bound_16
3,1007,32,0,13,13,2840.405663,218.4927433077,10547.02831891,110,104,4,0,152,21,0,32140,0,28,28,28,0.1309963,seven_point_per_channel
3,1007,33,0,13,13,2997.684065,230.5910819231,11653.4203211,99,95,4,2,246,35,2,74251,0,0,0,44,0.4875717,seven_point_per_channel
3,1008,32,0,14,14,2573.713472,183.8366765714,9638.567365645,96,90,2,0,144,17,1,30875,0,26,26,25,0.1269808,seven_point_per_channel
3,1008,33,0,14,14,2551.158753,182.2256252143,9625.793768499,91,89,4,1,322,39,1,98189,0,0,0,47,0.6729196,seven_point_per_channel
3,1009,32,0,14,14,3331.289696,237.949264,12616.44847742,121,112,7,0,100,22,6,18145,0,21,21,35,0.0748087,seven_point_per_channel
3,1009,33,0,14,14,3230.035575,230.7168267857,12695.17787064,101,98,6,2,150,36,2,43977,0,0,0,45,0.2923075,seven_point_per_channel
3,1010,32,0,15,15,2909.533587,193.9689058,11112.66793625,101,95,4,0,158,20,3,34667,0,27,27,30,0.1401279,seven_point_per_channel
3,1010,33,0,15,15,3008.21665,200.5477766667,11716.08324631,94,93,9,2,324,43,2,95565,0,0,0,52,0.641526,seven_point_per_channel
3,1011,32,0,10,10,2678.486238,267.8486238,9902.431178136,108,105,1,0,99,14,2,21613,0,11,10,23,0.0917991,seven_point_per_channel
3,1011,33,0,10,10,2781.215581,278.1215581,10436.07789321,106,105,3,3,144,23,3,44438,0,0,0,33,0.30845,seven_point_per_channel
3,1012,32,0,15,15,3220.581372,214.7054248,12497.90686964,106,98,6,0,99,27,2,18100,0,23,22,36,0.0747605,seven_point_per_channel
3,1012,33,0,15,15,3228.740924,215.2493949333,12558.70460043,96,93,23,5,153,36,5,47676,0,0,0,48,0.2952209,seven_point_per_channel
3,1013,32,0,13,13,2922.670541,224.8208108462,10988.35268034,110,101,3,0,126,18,3,27491,0,21,20,28,0.114544,seven_point_per_channel
3,1013,33,0,13,13,3024.530978,232.6562290769,11417.65489485,109,107,8,2,188,36,2,60346,0,0,0,45,0.382589,seven_point_per_channel
3,1014,32,0,12,12,2915.606667,242.96722225,11098.03334394,106,100,2,0,99,13,3,20396,0,21,21,23,0.0832589,seven_point_per_channel
