problem,seed,method,stress,n,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,dp_calls,dp_actions,dp_fallbacks,dp_expanded,dp_budget_hits,aux_calls,aux_positive,joint_steps,runtime_s,certificate
3,1,17,0,12,12,3135.080726,261.2567271667,11785.40362719,112,107,17,4,161,34,4,31907,0,0,0,45,0.1220697,seven_point_per_channel
3,1,18,0,12,12,3134.569361,261.2141134167,12067.84681928,108,103,6,3,154,36,3,38339,0,0,0,46,0.1836549,seven_point_per_channel
3,1,19,0,12,12,2890.181382,240.8484485,11075.90691193,102,96,3,0,19,17,2,2454,0,15,15,0,0.013229,seven_point_per_channel
3,1,20,0,12,12,3195.343461,266.27862175,12006.71730045,121,114,5,1,107,22,3,19975,0,15,15,32,0.0742665,seven_point_per_channel
3,1,21,0,12,12,3143.746143,261.97884525,11743.7307042,116,110,15,4,106,21,4,19927,0,14,14,32,0.0751404,seven_point_per_channel
3,1,22,0,12,12,2895.880398,241.3233665,10629.40199302,117,110,5,1,21,16,5,3419,0,13,13,0,0.0147539,seven_point_per_channel
3,2,17,0,11,11,2603.905205,236.718655,9604.526026894,105,100,1,2,216,30,2,45110,0,0,0,39,0.1713748,seven_point_per_channel
3,2,18,0,11,11,2610.730473,237.3391339091,9623.652368577,105,100,2,2,216,30,2,54168,0,0,0,39,0.2573159,seven_point_per_channel
3,2,19,0,11,11,2685.922145,244.1747404545,9814.610722593,112,105,1,0,15,12,3,2396,0,25,25,0,0.012473,seven_point_per_channel
3,2,20,0,11,11,2669.30304,242.6639127273,9636.515204798,116,107,0,0,149,18,2,31251,0,22,21,27,0.1209163,seven_point_per_channel
3,2,21,0,11,11,2673.424213,243.0385648182,9622.121076702,116,105,3,1,150,20,1,30956,0,23,23,28,0.1639337,seven_point_per_channel
3,2,22,0,11,11,2688.263833,244.3876211818,9826.319165586,112,105,1,0,15,13,2,2371,0,25,25,0,0.0125081,seven_point_per_channel
3,3,17,0,16,16,3281.455546,205.090971625,12927.27775177,91,86,25,5,316,43,5,66079,0,0,0,54,0.2822079,upper_bound_16
3,3,18,0,16,16,3367.6487,210.47804375,13223.24352728,91,86,34,5,316,43,5,77216,0,0,0,54,0.4037097,upper_bound_16
3,3,19,0,16,16,3716.339989,232.2712493125,14931.69994573,107,103,4,0,25,22,3,4459,0,25,25,0,0.0219978,upper_bound_16
3,3,20,0,16,16,3363.167902,210.197993875,13005.83950053,110,102,10,0,243,32,6,48929,0,24,24,44,0.2046732,upper_bound_16
3,3,21,0,16,16,3399.079862,212.442491375,13120.39932534,101,97,31,6,245,32,6,49395,0,22,22,44,0.2084458,upper_bound_16
3,3,22,0,16,16,3772.891455,235.8057159375,15219.45727864,107,102,4,0,26,23,3,4681,0,24,24,0,0.0232692,upper_bound_16
3,4,17,0,11,11,2770.773901,251.8885364545,10308.86952148,100,97,19,3,229,30,3,56287,0,0,0,40,0.2086608,seven_point_per_channel
3,4,18,0,11,11,2830.602228,257.3274752727,10508.01115837,101,97,24,3,222,29,3,66980,0,0,0,39,0.2993381,seven_point_per_channel
3,4,19,0,11,11,2745.596415,249.5996740909,10292.98208423,103,99,6,0,20,19,1,2700,0,20,20,0,0.0137947,seven_point_per_channel
3,4,20,0,11,11,2757.334045,250.6667313636,10231.67021589,108,104,4,0,164,21,3,35789,0,14,14,31,0.1367453,seven_point_per_channel
3,4,21,0,11,11,2885.25819,262.2961990909,10571.29095684,105,101,30,4,171,21,4,37370,0,14,14,32,0.1428646,seven_point_per_channel
3,4,22,0,11,11,2745.596415,249.5996740909,10292.98208423,103,99,6,0,20,19,1,2700,0,20,20,0,0.0140921,seven_point_per_channel
3,5,17,0,15,15,3516.291437,234.4194291333,13826.45717187,103,98,21,6,290,43,6,59671,0,0,0,56,0.2353927,seven_point_per_channel
3,5,18,0,15,15,3358.517797,223.9011864667,13077.58898205,105,98,15,3,281,46,3,71378,0,0,0,56,0.3433344,seven_point_per_channel
3,5,19,0,15,15,3275.701755,218.380117,13048.50878244,100,91,0,0,18,17,1,3043,0,29,28,0,0.016976,seven_point_per_channel
3,5,20,0,15,15,3392.875858,226.1917238667,13099.37929461,117,110,1,0,168,22,6,35978,0,25,25,35,0.1363459,seven_point_per_channel
3,5,21,0,15,15,3531.458427,235.4305618,13702.29212806,115,108,11,5,171,23,5,36024,0,26,26,35,0.1382843,seven_point_per_channel
3,5,22,0,15,15,3269.701755,217.980117,13048.50878244,99,90,0,0,18,17,1,3056,0,28,28,0,0.0172011,seven_point_per_channel
3,6,17,0,10,10,2725.314111,272.5314111,10031.57056189,108,102,9,2,164,33,2,35326,0,0,0,42,0.1387639,seven_point_per_channel
3,6,18,0,10,10,2731.173022,273.1173022,10040.86512184,107,102,12,3,162,32,3,41976,0,0,0,42,0.1997545,seven_point_per_channel
3,6,19,0,10,10,2996.035288,299.6035288,11435.17644746,111,104,0,0,13,10,3,2318,0,14,14,0,0.0125788,seven_point_per_channel
3,6,20,0,10,10,2757.317558,275.7317558,9996.587793426,117,108,5,0,99,20,1,21125,0,21,21,28,0.0821178,seven_point_per_channel
3,6,21,0,10,10,2752.642604,275.2642604,9963.213031888,117,107,6,0,109,24,0,21082,0,21,21,31,0.0829481,seven_point_per_channel
3,6,22,0,10,10,2996.035288,299.6035288,11435.17644746,111,104,0,0,13,10,3,2318,0,14,14,0,0.0130338,seven_point_per_channel
3,7,17,0,11,11,3096.678913,281.5162648182,11573.39458057,111,109,21,4,157,29,4,31880,0,0,0,40,0.1201874,seven_point_per_channel
3,7,18,0,11,11,3056.431471,277.8574064545,11492.1573654,112,110,11,2,150,33,2,39782,0,0,0,42,0.1818413,seven_point_per_channel
3,7,19,0,11,11,3125.442018,284.1310925455,11627.21008773,124,113,4,0,19,17,2,3212,0,17,17,0,0.0131554,seven_point_per_channel
3,7,20,0,11,11,3098.928546,281.7207769091,11474.64272753,123,119,5,0,132,23,4,25486,0,14,14,34,0.0974046,seven_point_per_channel
3,7,21,0,11,11,3137.467392,285.2243083636,11527.33697591,119,113,23,4,127,23,4,23262,0,14,14,34,0.0891353,seven_point_per_channel
3,7,22,0,11,11,3125.442018,284.1310925455,11627.21008773,124,113,4,0,19,17,2,3212,0,17,17,0,0.0138228,seven_point_per_channel
3,8,17,0,16,16,2593.615907,162.1009941875,10118.07953283,79,77,6,5,450,44,5,99486,0,0,0,54,0.3834592,upper_bound_16
3,8,18,0,16,16,2635.656261,164.7285163125,10208.28132088,82,77,9,7,466,44,7,126014,0,0,0,56,0.5861845,upper_bound_16
3,8,19,0,16,16,3091.693347,193.2308341875,12493.46674152,84,78,5,0,27,24,3,4436,0,26,24,0,0.0230468,upper_bound_16
3,8,20,0,16,16,2666.129079,166.6330674375,10190.64539464,91,87,2,0,286,29,2,58963,0,28,28,36,0.2316727,upper_bound_16
3,8,21,0,16,16,2657.703414,166.106463375,10123.51706448,91,86,4,2,293,31,2,60005,0,28,28,38,0.2376405,upper_bound_16
3,8,22,0,16,16,3085.693347,192.8558341875,12493.46674152,83,77,5,0,27,24,3,4436,0,25,24,0,0.0234837,upper_bound_16
3,9,17,0,11,11,3138.760933,285.341903,11908.80466607,112,109,11,3,131,32,3,29109,0,0,0,42,0.1023368,seven_point_per_channel
3,9,18,0,11,11,3175.790541,288.708231,11993.95271373,108,104,26,5,114,30,5,27295,0,0,0,42,0.1221073,seven_point_per_channel
3,9,19,0,11,11,3150.526672,286.4115156364,11857.63336337,120,112,4,0,21,18,3,3431,0,12,12,0,0.0130635,seven_point_per_channel
3,9,20,0,11,11,3180.447411,289.1315828182,12007.23705049,120,115,3,0,96,23,3,20254,0,11,10,33,0.0701765,seven_point_per_channel
3,9,21,0,11,11,3215.411918,292.3101743636,12052.05959008,118,112,16,3,100,24,3,21565,0,11,11,34,0.0750752,seven_point_per_channel
3,9,22,0,11,11,3150.526672,286.4115156364,11857.63336337,120,112,4,0,21,18,3,3431,0,12,12,0,0.0132009,seven_point_per_channel
3,10,17,0,14,14,3384.104381,241.7217415,13295.52191227,104,102,11,5,221,34,5,43974,0,0,0,46,0.1807708,seven_point_per_channel
3,10,18,0,14,14,3183.584751,227.3989107857,12267.92376648,105,102,11,6,209,32,6,51217,0,0,0,45,0.2543269,seven_point_per_channel
3,10,19,0,14,14,3564.417786,254.6012704286,13932.08891883,118,109,3,0,22,19,3,3667,0,24,22,0,0.0174163,seven_point_per_channel
3,10,20,0,14,14,3483.196976,248.799784,13380.98489262,121,114,6,0,152,22,6,26405,0,28,27,35,0.1100957,seven_point_per_channel
3,10,21,0,14,14,3482.829599,248.7735427857,13364.14800259,119,112,11,6,157,23,6,27174,0,28,27,36,0.1135519,seven_point_per_channel
3,10,22,0,14,14,3559.417786,254.2441275714,13932.08891883,117,109,3,0,22,19,3,3667,0,23,22,0,0.017914,seven_point_per_channel
