problem,seed,method,stress,n,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,dp_calls,dp_actions,dp_fallbacks,dp_expanded,dp_budget_hits,aux_calls,aux_positive,joint_steps,runtime_s,certificate
3,1,29,0,12,12,2846.519355,237.20994625,10447.59677047,115,110,4,0,76,20,2,15698,0,13,13,29,0.0612585,seven_point_per_channel
3,1,30,0,12,12,3071.236681,255.9363900833,11541.18339521,113,108,10,2,163,36,2,119357,0,0,0,45,0.3108234,seven_point_per_channel
3,1,31,0,12,12,2865.577887,238.79815725,10502.88943867,116,113,4,0,79,19,3,16251,0,13,13,29,0.0628325,seven_point_per_channel
3,2,29,0,11,11,2587.816566,235.2560514545,9294.08282704,113,106,1,0,94,14,1,21118,0,24,24,22,0.0802594,seven_point_per_channel
3,2,30,0,11,11,2577.973522,234.3612292727,9469.867605469,105,101,1,3,216,29,3,164357,0,0,0,39,0.4252518,seven_point_per_channel
3,2,31,0,11,11,2624.769191,238.615381,9433.845952204,114,107,2,0,97,15,1,21515,0,25,25,23,0.0805638,seven_point_per_channel
3,3,29,0,16,16,3309.809697,206.8631060625,13019.04847865,103,96,5,0,193,23,6,37427,0,25,23,35,0.1584632,upper_bound_16
3,3,30,0,16,16,3351.637628,209.47735175,13038.18816872,91,86,41,6,317,43,6,230849,0,0,0,55,0.6328202,upper_bound_16
3,3,31,0,16,16,3287.158941,205.4474338125,12885.79470014,103,97,6,0,205,29,2,47762,0,26,26,37,0.1917111,upper_bound_16
3,4,29,0,11,11,2604.580128,236.7800116364,9212.900633552,115,108,8,0,142,21,2,30995,0,25,25,30,0.1183844,seven_point_per_channel
3,4,30,0,11,11,2631.619572,239.2381429091,9778.09785398,99,96,10,1,266,33,1,207390,0,0,0,41,0.5420867,seven_point_per_channel
3,4,31,0,11,11,2620.834454,238.2576776364,9359.172258683,113,108,7,0,147,21,2,32511,0,22,22,30,0.1249121,seven_point_per_channel
3,5,29,0,15,15,3231.533064,215.4355376,12407.66533528,113,101,3,0,145,17,5,32631,0,27,27,29,0.124376,seven_point_per_channel
3,5,30,0,15,15,3345.075598,223.0050398667,12990.37802656,103,100,19,3,287,40,3,232412,0,0,0,50,0.635295,seven_point_per_channel
3,5,31,0,15,15,3270.730859,218.0487239333,12593.65429075,112,102,5,0,142,21,3,31113,0,26,26,31,0.1184464,seven_point_per_channel
3,6,29,0,10,10,2754.73253,275.473253,9873.662642509,120,109,7,0,92,17,2,19914,0,21,21,26,0.0762299,seven_point_per_channel
3,6,30,0,10,10,2773.4243,277.34243,10037.12149985,114,107,13,3,153,29,3,123236,0,0,0,39,0.339464,seven_point_per_channel
3,6,31,0,10,10,2900.277901,290.0277901,10486.38950678,125,116,4,0,100,15,4,21499,0,20,20,26,0.0832218,seven_point_per_channel
3,7,29,0,11,11,3036.97843,276.0889481818,11219.89216516,121,109,8,0,81,20,5,17283,0,15,15,32,0.0636993,seven_point_per_channel
