problem,seed,method,stress,n,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,dp_calls,dp_actions,dp_fallbacks,dp_expanded,dp_budget_hits,aux_calls,aux_positive,joint_steps,runtime_s,certificate
3,1,40,0,12,12,2843.161622,236.9301351667,10430.80810441,115,110,4,0,76,20,2,15699,0,13,13,29,0.0634539,seven_point_per_channel
3,1,41,0,12,12,2843.161622,236.9301351667,10430.80810441,115,110,4,0,76,20,2,15699,0,13,13,29,0.0631055,seven_point_per_channel
3,1,42,0,12,12,2843.161622,236.9301351667,10430.80810441,115,110,4,0,76,20,2,15699,0,13,13,29,0.0636027,seven_point_per_channel
3,1,43,0,12,12,2843.161622,236.9301351667,10430.80810441,115,110,4,0,76,20,2,15699,0,13,13,29,0.0625797,seven_point_per_channel
3,1,44,0,12,12,2843.161622,236.9301351667,10430.80810441,115,110,4,0,76,20,2,15699,0,13,13,29,0.0621467,seven_point_per_channel
3,2,40,0,11,11,2586.555447,235.1414042727,9287.777234955,113,106,1,0,94,14,1,21004,0,24,24,22,0.0833919,seven_point_per_channel
3,2,41,0,11,11,2586.555447,235.1414042727,9287.777234955,113,106,1,0,94,14,1,21004,0,24,24,22,0.0840696,seven_point_per_channel
3,2,42,0,11,11,2586.555447,235.1414042727,9287.777234955,113,106,1,0,94,14,1,21004,0,24,24,22,0.0832332,seven_point_per_channel
3,2,43,0,11,11,2586.555447,235.1414042727,9287.777234955,113,106,1,0,94,14,1,21004,0,24,24,22,0.0835243,seven_point_per_channel
3,2,44,0,11,11,2586.555447,235.1414042727,9287.777234955,113,106,1,0,94,14,1,21004,0,24,24,22,0.0840392,seven_point_per_channel
3,3,40,0,16,16,3300.221705,206.2638565625,12981.10851265,102,96,6,0,193,25,4,37577,0,25,23,35,0.1633579,upper_bound_16
3,3,41,0,16,16,3300.221705,206.2638565625,12981.10851265,102,96,6,0,193,25,4,37577,0,25,23,35,0.1641936,upper_bound_16
3,3,42,0,16,16,3300.221705,206.2638565625,12981.10851265,102,96,6,0,193,25,4,37577,0,25,23,35,0.1636734,upper_bound_16
3,3,43,0,16,16,3300.221705,206.2638565625,12981.10851265,102,96,6,0,193,25,4,37577,0,25,23,35,0.1620291,upper_bound_16
3,3,44,0,16,16,3300.221705,206.2638565625,12981.10851265,102,96,6,0,193,25,4,37577,0,25,23,35,0.1625507,upper_bound_16
3,4,40,0,11,11,2641.635996,240.1487269091,9323.17997876,116,109,11,0,150,23,2,32267,0,25,25,32,0.1271077,seven_point_per_channel
3,4,41,0,11,11,2641.635996,240.1487269091,9323.17997876,116,109,11,0,150,23,2,32267,0,25,25,32,0.1265919,seven_point_per_channel
3,4,42,0,11,11,2641.635996,240.1487269091,9323.17997876,116,109,11,0,150,23,2,32267,0,25,25,32,0.1258441,seven_point_per_channel
3,4,43,0,11,11,2641.635996,240.1487269091,9323.17997876,116,109,11,0,150,23,2,32267,0,25,25,32,0.1263472,seven_point_per_channel
3,4,44,0,11,11,2641.635996,240.1487269091,9323.17997876,116,109,11,0,150,23,2,32267,0,25,25,32,0.1267869,seven_point_per_channel
