problem,seed,method,stress,n,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,dp_calls,dp_actions,dp_fallbacks,dp_expanded,dp_budget_hits,aux_calls,aux_positive,joint_steps,runtime_s,certificate
3,1001,40,0,11,11,3006.089301,273.2808455455,11240.44650994,117,112,2,0,103,14,3,20877,0,17,17,24,0.0893454,seven_point_per_channel
3,1001,41,0,11,11,3006.089301,273.2808455455,11240.44650994,117,112,2,0,103,14,3,20877,0,17,17,24,0.0899582,seven_point_per_channel
3,1001,42,0,11,11,3006.089301,273.2808455455,11240.44650994,117,112,2,0,103,14,3,20877,0,17,17,24,0.0897793,seven_point_per_channel
3,1001,43,0,11,11,3006.089301,273.2808455455,11240.44650994,117,112,2,0,103,14,3,20877,0,17,17,24,0.0882086,seven_point_per_channel
3,1001,44,0,11,11,3006.089301,273.2808455455,11240.44650994,117,112,2,0,103,14,3,20877,0,17,17,24,0.0899149,seven_point_per_channel
3,1002,40,0,12,12,2916.850145,243.0708454167,10819.25072047,114,108,5,0,94,23,2,19421,0,14,14,32,0.0788882,seven_point_per_channel
3,1002,41,0,12,12,2916.850145,243.0708454167,10819.25072047,114,108,5,0,94,23,2,19421,0,14,14,32,0.0778864,seven_point_per_channel
3,1002,42,0,12,12,2916.850145,243.0708454167,10819.25072047,114,108,5,0,94,23,2,19421,0,14,14,32,0.0784321,seven_point_per_channel
3,1002,43,0,12,12,2916.850145,243.0708454167,10819.25072047,114,108,5,0,94,23,2,19421,0,14,14,32,0.0775528,seven_point_per_channel
3,1002,44,0,12,12,2916.850145,243.0708454167,10819.25072047,114,108,5,0,94,23,2,19421,0,14,14,32,0.079429,seven_point_per_channel
3,1003,40,0,10,10,2773.461815,277.3461815,10457.30907515,106,99,1,0,75,13,2,14195,0,12,12,22,0.0629971,seven_point_per_channel
3,1003,41,0,10,10,2773.461815,277.3461815,10457.30907515,106,99,1,0,75,13,2,14195,0,12,12,22,0.0638209,seven_point_per_channel
3,1003,42,0,10,10,2773.461815,277.3461815,10457.30907515,106,99,1,0,75,13,2,14195,0,12,12,22,0.0647906,seven_point_per_channel
3,1003,43,0,10,10,2773.461815,277.3461815,10457.30907515,106,99,1,0,75,13,2,14195,0,12,12,22,0.0633393,seven_point_per_channel
3,1003,44,0,10,10,2773.461815,277.3461815,10457.30907515,106,99,1,0,75,13,2,14195,0,12,12,22,0.0635569,seven_point_per_channel
3,1004,40,0,14,14,2861.16358,204.3688271429,10570.81790905,113,103,3,0,135,18,5,30753,0,27,27,30,0.1213354,seven_point_per_channel
3,1004,41,0,14,14,2861.16358,204.3688271429,10570.81790905,113,103,3,0,135,18,5,30753,0,27,27,30,0.1216043,seven_point_per_channel
