problem,seed,method,stress,n,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,dp_calls,dp_actions,dp_fallbacks,dp_expanded,dp_budget_hits,aux_calls,aux_positive,joint_steps,runtime_s,certificate
3,1001,12,0,11,11,3129.08996,284.4627236364,12125.44979733,105,103,7,4,181,30,4,36398,0,0,0,41,0.1498361,seven_point_per_channel
3,1002,12,0,12,12,3020.124043,251.6770035833,11225.62022822,113,111,13,2,157,38,2,35068,0,0,0,47,0.1317321,seven_point_per_channel
3,1003,12,0,10,10,2910.458545,291.0458545,10987.29270622,105,102,12,2,157,27,2,34662,0,0,0,36,0.138225,seven_point_per_channel
3,1004,12,0,14,14,3173.57753,226.6841092857,12282.88766432,98,94,21,6,320,39,6,66026,0,0,0,52,0.2491065,seven_point_per_channel
3,1005,12,0,14,14,2780.066987,198.5762133571,10430.33495778,87,84,35,4,387,42,4,82513,0,0,0,53,0.3163594,seven_point_per_channel
3,1006,12,0,16,16,3339.875731,208.7422331875,13229.37864852,90,86,26,8,329,45,8,66174,0,0,0,59,0.2543291,upper_bound_16
3,1007,12,0,13,13,2770.132415,213.0871088462,10600.66207529,97,91,3,3,244,34,3,55650,0,0,0,44,0.2068653,seven_point_per_channel
3,1008,12,0,14,14,2558.094278,182.7210198571,9600.471406279,93,91,4,1,354,41,1,67751,0,0,0,49,0.2778088,seven_point_per_channel
3,1009,12,0,14,14,3226.185213,230.4418009286,12515.92603774,102,98,15,4,173,37,4,35846,0,0,0,48,0.1421499,seven_point_per_channel
3,1010,12,0,15,15,3194.972514,212.9981676,12669.8625675,94,92,8,1,319,45,1,68219,0,0,0,53,0.2647172,seven_point_per_channel
3,1011,12,0,10,10,2852.128599,285.2128599,10800.64298678,105,102,5,2,156,24,2,33941,0,0,0,33,0.1348028,seven_point_per_channel
3,1012,12,0,15,15,3302.637119,220.1758079333,13088.18558574,98,93,9,3,155,38,3,33606,0,0,0,48,0.127152,seven_point_per_channel
3,1013,12,0,13,13,2855.013305,219.6164080769,10595.06652733,110,106,5,5,188,33,5,41045,0,0,0,45,0.1565094,seven_point_per_channel
3,1014,12,0,12,12,3138.110134,261.5091778333,12190.55067884,100,98,14,4,241,31,4,51825,0,0,0,42,0.1896601,seven_point_per_channel
3,1015,12,0,14,14,2980.048595,212.8606139286,11205.24298119,106,103,12,3,302,38,3,59910,0,0,0,48,0.2308433,seven_point_per_channel
3,1016,12,0,15,15,2669.162212,177.9441474667,10475.81105396,83,75,3,2,459,46,2,96767,0,0,0,55,0.5176926,seven_point_per_channel
3,1017,12,0,15,15,3079.528336,205.3018890667,11562.64167864,110,106,12,5,217,44,5,42444,0,0,0,56,0.2375558,seven_point_per_channel
3,1018,12,0,11,11,2765.808056,251.437096,10339.04027661,99,97,17,4,166,27,4,38924,0,0,0,38,0.1918488,seven_point_per_channel
3,1019,12,0,11,11,2896.715188,263.3377443636,11013.57593836,104,101,6,2,145,28,2,29548,0,0,0,37,0.1603235,seven_point_per_channel
3,1020,12,0,15,15,3126.146328,208.4097552,12000.73165359,97,94,24,6,305,38,6,66226,0,0,0,51,0.3001529,seven_point_per_channel
3,1021,12,0,15,15,3425.18244,228.345496,13330.91217485,105,99,20,8,257,42,8,49855,0,0,0,57,0.2264903,seven_point_per_channel
3,1022,12,0,15,15,2897.479289,193.1652859333,11422.39646435,89,81,4,3,362,38,3,72546,0,0,0,48,0.3640501,seven_point_per_channel
3,1023,12,0,16,16,3269.811138,204.363196125,12894.05568389,96,92,13,4,305,45,4,67432,0,0,0,56,0.3556833,upper_bound_16
3,1024,12,0,10,10,3134.563717,313.4563717,11812.81859002,117,113,8,3,133,29,3,30500,0,0,0,39,0.1256486,seven_point_per_channel
3,1025,12,0,15,15,2746.167149,183.0778099333,10630.83575257,89,85,5,4,361,38,4,81789,0,0,0,49,0.4690157,seven_point_per_channel
3,1026,12,0,13,13,3034.8509,233.4500692308,11369.25450857,109,106,15,4,189,32,4,41130,0,0,0,43,0.2560267,seven_point_per_channel
3,1027,12,0,16,16,2653.157482,165.822342625,10380.78741571,81,77,5,4,314,42,4,64462,0,0,0,51,0.5362556,upper_bound_16
3,1028,12,0,16,16,3584.243589,224.0152243125,14346.21794229,94,93,24,5,322,46,5,72735,0,0,0,57,0.547963,upper_bound_16
3,1029,12,0,16,16,3183.154846,198.947177875,12100.7742314,107,103,15,5,278,46,5,59720,0,0,0,58,0.34906,upper_bound_16
