problem,seed,method,stress,n,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,dp_calls,dp_actions,dp_fallbacks,dp_expanded,dp_budget_hits,aux_calls,aux_positive,joint_steps,runtime_s,certificate
3,1,39,0,12,12,2843.161622,236.9301351667,10430.80810441,115,110,4,0,76,20,2,15699,0,13,13,29,0.0629459,seven_point_per_channel
3,2,39,0,11,11,2586.555447,235.1414042727,9287.777234955,113,106,1,0,94,14,1,21004,0,24,24,22,0.0829382,seven_point_per_channel
3,3,39,0,16,16,3300.221705,206.2638565625,12981.10851265,102,96,6,0,193,25,4,37577,0,25,23,35,0.162853,upper_bound_16
3,4,39,0,11,11,2641.635996,240.1487269091,9323.17997876,116,109,11,0,150,23,2,32267,0,25,25,32,0.1268067,seven_point_per_channel
3,5,39,0,15,15,3252.542041,216.8361360667,12422.71020927,115,103,5,0,157,20,4,34350,0,29,29,31,0.1339448,seven_point_per_channel
3,6,39,0,10,10,2757.023469,275.7023469,9870.117338019,120,109,8,0,94,18,2,20165,0,21,21,27,0.0777132,seven_point_per_channel
3,7,39,0,11,11,3006.059959,273.2781780909,11135.29980906,120,109,5,0,78,18,4,17122,0,15,15,29,0.0639802,seven_point_per_channel
3,8,39,0,16,16,2599.36934,162.46058375,9966.846705063,86,78,6,0,189,23,2,37019,0,36,35,30,0.1526664,upper_bound_16
3,9,39,0,11,11,3189.534105,289.9576459091,12062.67051751,121,114,1,0,86,17,1,18495,0,16,16,25,0.067002,seven_point_per_channel
3,10,39,0,14,14,3179.171684,227.0836917143,12410.8584166,105,99,1,0,131,16,3,26774,0,27,27,26,0.1097753,seven_point_per_channel
3,11,39,0,10,10,3007.391544,300.7391544,11261.95771135,117,111,3,0,32,16,3,6296,0,9,9,26,0.0240083,seven_point_per_channel
3,12,39,0,13,13,3238.336537,249.1028105385,12161.68267394,121,112,8,0,95,24,4,17346,0,20,19,35,0.0698267,seven_point_per_channel
3,13,39,0,15,15,3042.43926,202.829284,11557.19631192,109,102,3,0,152,21,2,29984,0,29,29,30,0.1192961,seven_point_per_channel
3,14,39,0,11,11,2979.522354,270.8656685455,11027.61177886,121,114,0,0,71,11,5,14939,0,17,16,23,0.0568298,seven_point_per_channel
3,15,39,0,14,14,3193.032591,228.0737565,12270.16294642,111,105,3,0,121,17,4,26325,0,23,23,28,0.1003899,seven_point_per_channel
3,16,39,0,14,14,3198.798255,228.4855896429,12583.99127033,101,92,5,0,126,19,4,28384,0,22,22,30,0.1106407,seven_point_per_channel
3,17,39,0,14,14,3153.561609,225.2544006429,12362.80805148,102,95,2,0,131,17,3,29386,0,25,25,27,0.1067535,seven_point_per_channel
3,18,39,0,10,10,2722.216474,272.2216474,9876.082371936,115,110,4,0,68,19,0,10952,0,14,14,26,0.0429289,seven_point_per_channel
3,19,39,0,13,13,2857.997306,219.8459466154,10994.98653624,99,93,2,0,136,15,3,24647,0,17,17,25,0.1087334,seven_point_per_channel
3,20,39,0,10,10,2689.589137,268.9589137,9897.945677944,110,107,1,0,90,16,1,18191,0,13,13,24,0.0748441,seven_point_per_channel
3,21,39,0,10,10,2996.957963,299.6957963,11119.78979894,118,112,7,0,105,18,4,21572,0,13,13,29,0.0797623,seven_point_per_channel
3,22,39,0,14,14,2936.563548,209.7545391429,11377.81775167,99,93,1,0,176,21,0,34220,0,31,30,28,0.1375681,seven_point_per_channel
3,23,39,0,15,15,3258.988533,217.2659022,12344.9426595,119,111,3,0,90,21,4,19184,0,21,20,32,0.0714357,seven_point_per_channel
3,24,39,0,15,15,3136.04402,209.0696013333,12050.22009191,108,102,3,0,201,21,4,41200,0,30,30,32,0.165603,seven_point_per_channel
3,25,39,0,14,14,2947.893044,210.5637888571,10879.46523449,114,105,9,0,134,24,1,26844,0,29,27,32,0.1082304,seven_point_per_channel
3,26,39,0,10,10,2888.695511,288.8695511,10653.47754179,118,115,1,0,47,16,2,9676,0,8,7,25,0.0357041,seven_point_per_channel
3,27,39,0,14,14,2935.837413,209.7026723571,11119.18708087,107,101,2,0,101,18,3,22983,0,24,23,28,0.0869486,seven_point_per_channel
3,28,39,0,12,12,2645.648128,220.4706773333,9788.240639912,105,100,1,0,112,15,1,23383,0,22,21,23,0.0919824,seven_point_per_channel
3,29,39,0,15,15,3041.56149,202.770766,11397.80745432,114,108,3,0,99,20,4,19984,0,21,21,31,0.0781794,seven_point_per_channel
3,30,39,0,14,14,3266.808714,233.3434795714,12329.04356657,120,110,7,0,177,25,3,33474,0,25,24,35,0.1298847,seven_point_per_channel
3,31,39,0,15,15,3095.751234,206.3834156,11978.75617358,104,96,3,0,159,18,3,29943,0,31,30,28,0.1191649,seven_point_per_channel
3,32,39,0,15,15,3212.003116,214.1335410667,12780.01557744,96,89,4,0,222,20,1,42797,0,31,31,28,0.1711156,seven_point_per_channel
