problem,seed,method,stress,n,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,dp_calls,dp_actions,dp_fallbacks,dp_expanded,dp_budget_hits,aux_calls,aux_positive,joint_steps,runtime_s,certificate
3,1710001,0,0,10,10,3012.214511,301.2214511,11651.07255853,106,99,1,0,22,18,4,4819,0,0,0,0,0.0211229,seven_point_per_channel
3,1710002,0,0,14,14,3624.210985,258.8722132143,14456.05491636,107,101,9,0,36,34,2,6093,0,0,0,0,0.0247441,seven_point_per_channel
3,1710003,0,0,14,14,2868.178614,204.869901,11185.89306614,91,88,6,0,34,33,1,6351,0,0,0,0,0.0279195,seven_point_per_channel
3,1710004,0,0,13,13,2987.537003,229.8105386923,11532.68501223,101,93,6,0,34,32,2,6518,0,0,0,0,0.0289389,seven_point_per_channel
3,1710005,0,0,14,14,3438.742945,245.6244960714,13703.71472641,103,95,6,0,37,33,4,7163,0,0,0,0,0.027241,seven_point_per_channel
3,1710006,0,0,13,13,3359.969764,258.4592126154,13254.84882005,107,97,4,0,31,25,6,6654,0,0,0,0,0.0266688,seven_point_per_channel
3,1710007,0,0,14,14,3163.032174,225.9308695714,12665.1608765,88,84,12,0,41,39,2,7690,0,0,0,0,0.0311762,seven_point_per_channel
3,1710008,0,0,12,12,3833.428728,319.452394,15182.14364461,122,109,6,0,33,30,3,6160,0,0,0,0,0.0233557,seven_point_per_channel
3,1710009,0,0,10,10,2786.623372,278.6623372,10643.11685873,101,97,2,0,23,21,2,4499,0,0,0,0,0.0204589,seven_point_per_channel
3,1710010,0,0,12,12,3301.411982,275.1176651667,12897.05990939,108,104,6,0,30,30,0,5142,0,0,0,0,0.0213959,seven_point_per_channel
3,1710011,0,0,14,14,3074.754799,219.6253427857,12148.7739995,94,84,7,0,37,32,5,7424,0,0,0,0,0.0344636,seven_point_per_channel
3,1710012,0,0,15,15,3273.03413,218.2022753333,13025.17064579,93,86,14,0,46,41,5,8419,0,0,0,0,0.0333995,seven_point_per_channel
3,1710013,0,0,12,12,3239.003073,269.91692275,12380.01536883,113,105,11,0,38,35,3,6636,0,0,0,0,0.0263217,seven_point_per_channel
3,1710014,0,0,15,15,3917.317457,261.1544971333,16026.58729017,103,95,9,0,40,37,3,7419,0,0,0,0,0.0309298,seven_point_per_channel
3,1710015,0,0,14,14,3926.736191,280.4811565,15728.6809482,114,105,12,0,42,38,4,8383,0,0,0,0,0.0305958,seven_point_per_channel
3,1710016,0,0,11,11,3289.605356,299.0550323636,12648.02677024,118,112,1,0,22,20,2,4299,0,0,0,0,0.0169612,seven_point_per_channel
3,1710017,0,0,16,16,3462.069603,216.3793501875,14555.34799626,78,72,3,0,37,35,2,7510,0,0,0,0,0.0333327,upper_bound_16
3,1710018,0,0,14,14,2792.864945,199.4903532143,11159.3247252,80,76,5,0,33,31,2,6916,0,0,0,0,0.0299545,seven_point_per_channel
3,1710019,0,0,10,10,2807.94209,280.794209,10134.71045102,120,113,6,0,28,27,1,6028,0,0,0,0,0.0209524,seven_point_per_channel
