problem,seed,method,stress,n,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,dp_calls,dp_actions,dp_fallbacks,dp_expanded,dp_budget_hits,aux_calls,aux_positive,joint_steps,runtime_s,certificate
3,1910001,56,0,10,10,2700.744305,270.0744305,9913.721523208,111,104,3,0,98,14,3,21507,0,15,15,24,0.0911682,seven_point_per_channel
3,1910002,56,0,13,13,2918.347245,224.4882496154,11031.73624555,108,104,1,0,98,15,3,20134,0,24,24,25,0.086036,seven_point_per_channel
3,1910003,56,0,12,12,3141.80998,261.8174983333,12099.04988972,109,102,5,0,163,18,4,32061,0,19,15,29,0.136884,seven_point_per_channel
3,1910004,56,0,12,12,2617.871792,218.1559826667,9619.358971617,106,101,1,0,111,16,2,22904,0,18,17,25,0.0941053,seven_point_per_channel
3,1910005,56,0,12,12,2731.14622,227.5955183333,9780.731096172,116,108,9,0,105,20,5,18642,0,18,17,32,0.0725283,seven_point_per_channel
3,1910006,56,0,14,14,3256.363209,232.5973720714,12606.816046,111,104,2,0,143,19,4,31816,0,22,21,30,0.1847716,seven_point_per_channel
3,1910007,56,0,15,15,3145.858548,209.7239032,12404.2927402,99,92,1,0,100,19,2,20645,0,21,20,28,0.0860067,seven_point_per_channel
3,1910008,56,0,11,11,2874.303739,261.3003399091,10551.51870053,116,111,6,0,92,18,3,17238,0,19,19,28,0.0723999,seven_point_per_channel
3,1910009,56,0,11,11,2746.476002,249.6796365455,9867.380003083,120,112,2,0,81,14,4,17856,0,15,14,25,0.0667878,seven_point_per_channel
3,1910010,56,0,12,12,3086.859753,257.23831275,11449.29877281,120,110,9,0,112,22,4,25044,0,18,18,33,0.092828,seven_point_per_channel
3,1910011,56,0,14,14,3435.562358,245.3973112857,13647.81179278,104,95,7,0,156,20,4,30201,0,22,22,31,0.1221279,seven_point_per_channel
3,1910012,56,0,14,14,3213.318708,229.5227648571,12486.59353627,106,95,7,0,185,21,5,40180,0,20,19,33,0.1654446,seven_point_per_channel
3,1910013,56,0,14,14,3121.518289,222.9655920714,11962.59144581,110,100,3,0,122,19,5,23910,0,22,22,31,0.0986398,seven_point_per_channel
3,1910014,56,0,12,12,3120.667164,260.055597,12038.33581802,107,103,5,0,130,16,4,22181,0,18,18,27,0.0967632,seven_point_per_channel
3,1910015,56,0,11,11,2899.360942,263.5782674545,10976.80471583,106,104,5,0,117,19,2,25596,0,15,15,28,0.1032399,seven_point_per_channel
3,1910016,56,0,11,11,3013.590123,273.9627384545,10947.95060433,127,119,5,1,86,16,4,18283,0,16,16,27,0.0736081,seven_point_per_channel
3,1910017,56,0,13,13,3170.879978,243.9138444615,12144.3998781,110,103,8,0,121,22,4,25113,0,22,22,33,0.1026345,seven_point_per_channel
3,1910018,56,0,13,13,3274.519588,251.8861221538,12622.59794527,114,106,3,0,106,15,6,21985,0,21,21,28,0.0878017,seven_point_per_channel
3,1910019,56,0,11,11,3117.605015,283.4186377273,11773.02505777,118,112,2,0,73,17,2,15359,0,11,11,26,0.0603173,seven_point_per_channel
3,1910020,56,0,12,12,3076.95603,256.4130025,11409.78016484,121,112,6,0,82,18,4,18760,0,16,16,29,0.0703897,seven_point_per_channel
3,1910021,56,0,13,13,2917.034582,224.3872755385,10780.17289357,115,106,5,0,182,23,4,40160,0,26,26,34,0.156885,seven_point_per_channel
3,1910022,56,0,10,10,2848.293013,284.8293013,10396.4650573,119,112,4,0,101,15,3,21450,0,14,14,25,0.0792062,seven_point_per_channel
3,1910023,56,0,15,15,3338.305367,222.5536911333,13046.52682345,108,105,3,0,154,19,5,33394,0,25,25,31,0.127913,seven_point_per_channel
3,1910024,56,0,16,16,2900.061593,181.2538495625,10870.30796294,107,99,4,0,151,21,5,32672,0,29,28,32,0.132945,upper_bound_16
3,1910025,56,0,14,14,3367.606464,240.5433188571,12953.03231251,117,107,5,0,163,27,3,35087,0,21,21,37,0.196082,seven_point_per_channel
3,1910026,56,0,11,11,2965.796605,269.6178731818,11043.98302792,117,111,2,0,88,15,4,17539,0,15,15,26,0.0740197,seven_point_per_channel
3,1910027,56,0,12,12,2926.078631,243.8398859167,10915.39315119,112,108,5,0,139,20,3,25936,0,22,18,30,0.1088201,seven_point_per_channel
3,1910028,56,0,11,11,2776.003994,252.3639994545,10245.0199712,112,103,3,0,111,17,3,26045,0,20,19,27,0.1002652,seven_point_per_channel
3,1910029,56,0,14,14,2869.130736,204.9379097143,10475.65368283,117,110,3,0,139,17,3,25912,0,28,27,27,0.1059588,seven_point_per_channel
3,1910030,56,0,11,11,3007.242366,273.3856696364,11276.21181721,115,107,5,0,97,16,4,20820,0,19,19,27,0.081369,seven_point_per_channel
3,1910031,56,0,12,12,3064.636248,255.386354,11803.18124816,105,101,6,0,141,18,3,27431,0,21,18,28,0.1155208,seven_point_per_channel
3,1910032,56,0,16,16,2859.771589,178.7357243125,10873.85794795,101,94,2,0,191,22,1,32981,0,34,33,29,0.1404979,upper_bound_16
3,1910033,56,0,11,11,2631.826859,239.2569871818,9289.134281963,120,113,2,0,94,15,2,18272,0,23,21,24,0.0730427,seven_point_per_channel
3,1910034,56,0,14,14,3118.549148,222.7535105714,11572.74571699,122,115,3,0,85,19,3,18234,0,22,22,29,0.0735553,seven_point_per_channel
3,1910035,56,0,14,14,3558.4766,254.1769,14067.38300177,111,105,5,0,115,21,6,22873,0,17,17,34,0.0951564,seven_point_per_channel
3,1910036,56,0,14,14,3338.08479,238.4346278571,12670.42395527,121,114,5,0,69,22,2,13235,0,23,21,31,0.0501045,seven_point_per_channel
3,1910037,56,0,15,15,3224.999963,214.9999975333,12259.99981641,116,106,4,0,124,20,3,27037,0,30,29,30,0.1049322,seven_point_per_channel
3,1910038,56,0,15,15,3491.995226,232.7996817333,13734.97613973,110,102,6,0,125,25,4,19038,0,23,23,36,0.0882302,seven_point_per_channel
3,1910039,56,0,12,12,2940.501035,245.0417529167,11092.50517162,110,103,3,0,98,18,2,19722,0,20,19,27,0.0835101,seven_point_per_channel
3,1910040,56,0,10,10,3035.089031,303.5089031,11260.44515164,120,112,7,0,65,18,5,13530,0,13,13,30,0.0506128,seven_point_per_channel
3,1910041,56,0,14,14,2983.632549,213.1166106429,11128.16273854,113,108,5,0,96,22,3,20729,0,20,20,32,0.0856576,seven_point_per_channel
3,1910042,56,0,16,16,3483.368715,217.7105446875,13601.84356726,112,105,6,0,165,29,2,31321,0,21,21,38,0.1312012,upper_bound_16
3,1910043,56,0,16,16,3071.067596,191.94172475,12310.33798854,88,80,3,0,237,21,2,47843,0,28,28,28,0.2348321,upper_bound_16
3,1910044,56,0,11,11,2860.304783,260.0277075455,10686.52389934,111,104,3,0,111,14,3,23386,0,20,20,24,0.0910143,seven_point_per_channel
3,1910045,56,0,13,13,3167.350876,243.6423750769,12171.75437269,109,105,6,0,165,21,3,33468,0,21,21,31,0.1328663,seven_point_per_channel
3,1910046,56,0,16,16,3027.346341,189.2091463125,11536.73169667,105,97,6,0,190,20,6,41102,0,34,33,32,0.1631849,upper_bound_16
3,1910047,56,0,14,14,2815.41952,201.1013942857,10352.09760603,112,106,3,0,140,19,2,29268,0,28,27,28,0.1166508,seven_point_per_channel
3,1910048,56,0,11,11,2613.72476,237.6113418182,9133.623810913,121,109,6,0,53,17,2,10621,0,25,25,26,0.0410449,seven_point_per_channel
