problem,seed,method,stress,n,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,dp_calls,dp_actions,dp_fallbacks,dp_expanded,dp_budget_hits,aux_calls,aux_positive,joint_steps,runtime_s,certificate
3,1510001,0,0,16,16,3853.219237,240.8262023125,16261.09619229,84,77,8,0,43,41,2,8086,0,0,0,0,0.0360421,upper_bound_16
3,1510002,0,0,13,13,3202.152138,246.3193952308,12585.76069063,103,96,3,0,31,28,3,6379,0,0,0,0,0.027188,seven_point_per_channel
3,1510003,0,0,15,15,2822.689519,188.1793012667,11478.44759036,76,72,0,0,31,30,1,6617,0,0,0,0,0.0298267,seven_point_per_channel
3,1510004,0,0,15,15,3813.453297,254.2302198,15797.26648919,96,87,4,0,35,32,3,7358,0,0,0,0,0.031911,seven_point_per_channel
3,1510005,0,0,15,15,3402.542986,226.8361990667,13857.71491287,91,86,5,0,36,33,3,7243,0,0,0,0,0.0322069,seven_point_per_channel
3,1510006,0,0,16,16,4068.234729,254.2646705625,16961.17365284,97,90,7,0,40,36,4,7856,0,0,0,0,0.0313508,upper_bound_16
3,1510007,0,0,13,13,3445.766456,265.0589581538,14053.83228038,93,84,7,0,35,33,2,7201,0,0,0,0,0.0315183,seven_point_per_channel
3,1510008,0,0,16,16,3281.380083,205.0862551875,13431.90041934,84,80,5,0,39,37,2,7551,0,0,0,0,0.031808,upper_bound_16
3,1510009,0,0,16,16,3539.983454,221.248965875,14604.91728598,85,81,11,0,45,45,0,7862,0,0,0,0,0.0342803,upper_bound_16
3,1510010,0,0,14,14,2958.841552,211.3458251429,11914.20776028,84,80,2,0,32,32,0,6735,0,0,0,0,0.0286806,seven_point_per_channel
3,1510011,0,0,16,16,3490.010796,218.12567475,14370.05399205,87,77,8,0,44,41,3,8964,0,0,0,0,0.0368352,upper_bound_16
3,1510012,0,0,14,14,3098.611019,221.3293585,12388.05509525,90,86,5,0,36,36,0,7249,0,0,0,0,0.0305056,seven_point_per_channel
3,1510013,0,0,11,11,3073.210832,279.3828029091,12051.05415578,99,92,7,0,28,24,4,5875,0,0,0,0,0.024487,seven_point_per_channel
3,1510014,0,0,14,14,3530.067236,252.1476597143,14420.33618092,94,85,7,0,38,34,4,8062,0,0,0,0,0.0331484,seven_point_per_channel
3,1510015,0,0,14,14,2968.232496,212.0166068571,11661.16247689,88,81,15,0,43,39,4,7241,0,0,0,0,0.031601,seven_point_per_channel
3,1510016,0,0,10,10,2802.999725,280.2999725,10729.9986293,101,96,2,0,22,20,2,4590,0,0,0,0,0.0217923,seven_point_per_channel
3,1510017,0,0,13,13,3356.938323,258.2260248462,13579.69161153,94,88,6,0,32,29,3,6659,0,0,0,0,0.0290514,seven_point_per_channel
3,1510018,0,0,16,16,3156.42092,197.2763075,13027.10459413,78,75,2,0,35,33,2,7628,0,0,0,0,0.0353735,upper_bound_16
3,1510019,0,0,15,15,3645.907714,243.0605142667,15159.53857105,88,81,6,0,37,32,5,7491,0,0,0,0,0.0331997,seven_point_per_channel
3,1510020,0,0,10,10,3290.072926,329.0072926,12570.36462524,120,114,4,0,24,22,2,4859,0,0,0,0,0.0196479,seven_point_per_channel
3,1510021,0,0,13,13,3307.178748,254.3983652308,13190.89374451,100,95,3,0,30,28,2,5871,0,0,0,0,0.026051,seven_point_per_channel
3,1510022,0,0,10,10,3189.127596,318.9127596,12330.63798415,112,104,3,0,25,21,4,5155,0,0,0,0,0.0213926,seven_point_per_channel
3,1510023,0,0,12,12,3616.33725,301.3614375,13976.68624769,125,118,6,0,31,27,4,5674,0,0,0,0,0.0222948,seven_point_per_channel
3,1510024,0,0,16,16,3155.399521,197.2124700625,13136.99760577,73,71,4,0,36,36,0,7296,0,0,0,0,0.0344189,upper_bound_16
3,1510025,0,0,11,11,3099.593825,281.7812568182,11542.96912509,119,105,12,0,35,30,5,6520,0,0,0,0,0.0257996,seven_point_per_channel
3,1510026,0,0,10,10,3168.503157,316.8503157,12147.51579632,115,105,3,0,25,21,4,4783,0,0,0,0,0.0188121,seven_point_per_channel
3,1510027,0,0,15,15,3230.804877,215.3869918,12874.02438932,95,85,7,0,40,36,4,8304,0,0,0,0,0.0355244,seven_point_per_channel
3,1510028,0,0,15,15,3521.632395,234.775493,14293.16197774,96,87,7,0,38,35,3,7402,0,0,0,0,0.0312773,seven_point_per_channel
3,1510029,0,0,12,12,3376.670626,281.3892188333,13403.3531347,104,95,7,0,32,27,5,6718,0,0,0,0,0.0276162,seven_point_per_channel
3,1510030,0,0,11,11,3327.870851,302.5337137273,12999.35426243,112,107,2,0,25,23,2,4989,0,0,0,0,0.0195586,seven_point_per_channel
3,1510031,0,0,14,14,3277.390641,234.0993315,13381.95319222,87,81,5,0,34,31,3,6936,0,0,0,0,0.030216,seven_point_per_channel
3,1510032,0,0,14,14,3115.260964,222.5186402857,12521.30480059,88,83,6,0,36,34,2,7526,0,0,0,0,0.0319685,seven_point_per_channel
3,1510033,0,0,15,15,3430.934036,228.7289357333,13684.67015991,99,91,11,0,42,38,4,8209,0,0,0,0,0.0350583,seven_point_per_channel
3,1510034,0,0,13,13,3365.316349,258.8704883846,13366.58173844,104,98,3,0,28,25,3,5122,0,0,0,0,0.0231096,seven_point_per_channel
3,1510035,0,0,11,11,3348.728097,304.429827,13168.64050312,110,101,3,0,25,21,4,4966,0,0,0,0,0.0207415,seven_point_per_channel
3,1510036,0,0,16,16,3944.963552,246.560222,16679.81776433,87,70,8,0,46,40,6,9679,0,0,0,0,0.0397542,upper_bound_16
3,1510037,0,0,13,13,3154.093129,242.6225483846,12565.4656448,95,86,5,0,33,29,4,6368,0,0,0,0,0.0274502,seven_point_per_channel
3,1510038,0,0,15,15,3179.118065,211.9412043333,12160.59031566,111,108,3,0,33,31,2,6210,0,0,0,0,0.0239216,seven_point_per_channel
3,1510039,0,0,14,14,3158.868009,225.6334292143,12819.34004898,85,79,7,0,37,36,1,6701,0,0,0,0,0.0294105,seven_point_per_channel
3,1510040,0,0,12,12,2995.649639,249.6374699167,11723.24819721,99,90,2,1,28,23,5,5801,0,0,0,0,0.0242519,seven_point_per_channel
3,1510041,0,0,14,14,3451.394908,246.5282077143,14026.97454499,94,85,7,0,36,31,5,7559,0,0,0,0,0.0320695,seven_point_per_channel
3,1510042,0,0,14,14,3146.655591,224.7611136429,12693.27795324,88,86,4,0,32,32,0,6069,0,0,0,0,0.028404,seven_point_per_channel
3,1510043,0,0,10,10,2995.155773,299.5155773,11555.77887718,106,95,3,0,25,21,4,5389,0,0,0,0,0.0231813,seven_point_per_channel
3,1510044,0,0,10,10,2820.098301,282.0098301,10550.49151229,109,103,4,0,24,21,3,4783,0,0,0,0,0.0182945,seven_point_per_channel
3,1510045,0,0,14,14,3362.017322,240.1440944286,13530.08661158,97,89,4,0,35,30,5,6873,0,0,0,0,0.0297152,seven_point_per_channel
3,1510046,0,0,16,16,3787.978557,236.7486598125,15709.89278022,91,84,9,0,42,39,3,7989,0,0,0,0,0.0337001,upper_bound_16
3,1510047,0,0,11,11,3065.775229,278.706839,11598.87614862,114,109,4,0,26,25,1,4609,0,0,0,0,0.0181452,seven_point_per_channel
3,1510048,0,0,10,10,3281.607972,328.1607972,12683.03985246,114,101,8,0,31,26,5,6630,0,0,0,0,0.0257431,seven_point_per_channel
3,1510049,0,0,10,10,2526.205217,252.6205217,9506.026086824,94,90,5,0,26,26,0,5150,0,0,0,0,0.0214124,seven_point_per_channel
3,1510050,0,0,14,14,2896.965761,206.9261257857,11289.82880478,93,86,6,0,36,33,3,7245,0,0,0,0,0.0310723,seven_point_per_channel
3,1510051,0,0,13,13,3070.910095,236.2238534615,11934.55046165,102,97,4,0,30,25,5,6180,0,0,0,0,0.0252292,seven_point_per_channel
3,1510052,0,0,13,13,3164.563478,243.4279598462,12592.81739747,95,88,6,0,32,29,3,6722,0,0,0,0,0.0275256,seven_point_per_channel
3,1510053,0,0,12,12,3282.267037,273.5222530833,12966.3351771,103,96,6,0,32,29,3,6113,0,0,0,0,0.0248829,seven_point_per_channel
3,1510054,0,0,12,12,3186.580326,265.5483605,12652.90162451,98,94,4,0,27,25,2,5436,0,0,0,0,0.0221738,seven_point_per_channel
3,1510055,0,0,11,11,3214.02576,292.18416,12470.12878517,109,102,6,0,31,30,1,5494,0,0,0,0,0.022165,seven_point_per_channel
3,1510056,0,0,15,15,3687.429548,245.8286365333,15372.1477187,89,81,4,0,37,35,2,7861,0,0,0,0,0.0339419,seven_point_per_channel
3,1510057,0,0,14,14,3295.749961,235.4107115,13138.74980302,96,88,10,0,36,29,7,6837,0,0,0,0,0.029208,seven_point_per_channel
3,1510058,0,0,16,16,3288.673813,205.5421133125,13703.36906212,76,70,6,0,38,33,5,7415,0,0,0,0,0.0323951,upper_bound_16
3,1510059,0,0,14,14,3260.559865,232.8971332143,13477.79933423,79,76,8,0,37,37,0,6843,0,0,0,0,0.0306933,seven_point_per_channel
3,1510060,0,0,15,15,3366.449859,224.4299906,13587.24930215,93,85,8,1,38,36,2,7543,0,0,0,0,0.0324194,seven_point_per_channel
3,1510061,0,0,12,12,2755.45727,229.6214391667,10442.28635139,101,99,1,0,26,26,0,5194,0,0,0,0,0.0213835,seven_point_per_channel
3,1510062,0,0,13,13,3100.640934,238.5108410769,12353.20465402,93,88,4,0,31,28,3,6626,0,0,0,0,0.0275713,seven_point_per_channel
3,1510063,0,0,10,10,2999.687097,299.9687097,11463.43547421,110,101,2,0,24,20,4,4978,0,0,0,0,0.0209161,seven_point_per_channel
3,1510064,0,0,10,10,3260.156843,326.0156843,12675.78419528,111,102,6,0,28,26,2,5318,0,0,0,0,0.0222945,seven_point_per_channel
3,1510065,0,0,16,16,2975.337048,185.9585655,11881.68524583,85,79,5,0,39,37,2,7758,0,0,0,0,0.0333692,upper_bound_16
3,1510066,0,0,10,10,2938.895902,293.8895902,11269.47951044,106,102,1,0,22,22,0,4287,0,0,0,0,0.0191606,seven_point_per_channel
3,1510067,0,0,14,14,3030.948164,216.4962974286,12099.74082236,86,81,10,0,38,35,3,7494,0,0,0,0,0.0311389,seven_point_per_channel
3,1510068,0,0,15,15,3628.907873,241.9271915333,14964.53936085,93,87,3,0,34,32,2,6308,0,0,0,0,0.0278676,seven_point_per_channel
3,1510069,0,0,14,14,3473.891165,248.1350832143,14079.4558304,97,88,5,0,36,31,5,7735,0,0,0,0,0.0316381,seven_point_per_channel
3,1510070,0,0,16,16,3437.177753,214.8236095625,14250.88876538,80,71,12,0,45,40,5,8509,0,0,0,0,0.0381586,upper_bound_16
3,1510071,0,0,12,12,3267.946301,272.3288584167,12664.73150866,107,101,13,0,35,32,3,5580,0,0,0,0,0.023313,seven_point_per_channel
3,1510072,0,0,16,16,2924.931559,182.8082224375,11749.65780048,76,64,17,0,50,43,7,9138,0,0,0,0,0.0360901,upper_bound_16
3,1510073,0,0,15,15,3084.713103,205.6475402,12303.56552571,88,85,8,0,38,36,2,7609,0,0,0,0,0.0316026,seven_point_per_channel
3,1510074,0,0,15,15,3508.094992,233.8729994667,14560.4749626,87,80,2,0,33,29,4,6947,0,0,0,0,0.0304256,seven_point_per_channel
3,1510075,0,0,11,11,3146.643307,286.0584824545,12338.21654003,105,99,0,0,24,21,3,4913,0,0,0,0,0.0225724,seven_point_per_channel
3,1510076,0,0,14,14,3262.352784,233.0251988571,13261.76392219,89,83,4,0,33,31,2,6802,0,0,0,0,0.0287793,seven_point_per_channel
3,1510077,0,0,10,10,2795.994746,279.5994746,10404.97373627,107,100,10,0,33,32,1,5938,0,0,0,0,0.0238923,seven_point_per_channel
3,1510078,0,0,15,15,2878.589483,191.9059655333,11587.94741147,80,77,3,0,34,32,2,6504,0,0,0,0,0.0286596,seven_point_per_channel
3,1510079,0,0,13,13,2929.382199,225.3370922308,11006.91099301,109,103,5,0,31,27,4,5999,0,0,0,0,0.0232179,seven_point_per_channel
3,1510080,0,0,14,14,3736.151989,266.8679992143,15250.75993379,100,92,8,0,36,30,6,7069,0,0,0,0,0.0293551,seven_point_per_channel
3,1510081,0,0,16,16,3871.353787,241.9596116875,16061.76894469,94,73,12,0,51,43,8,10317,0,0,0,0,0.0411322,upper_bound_16
3,1510082,0,0,14,14,3165.24546,226.0889614286,12746.22729094,89,83,6,0,36,33,3,7285,0,0,0,0,0.0302677,seven_point_per_channel
3,1510083,0,0,10,10,2991.208358,299.1208358,11506.04178622,106,101,3,0,23,22,1,5038,0,0,0,0,0.0212736,seven_point_per_channel
3,1510084,0,0,11,11,3251.69485,295.6086227273,12488.47423616,114,108,7,0,33,32,1,5928,0,0,0,0,0.0226644,seven_point_per_channel
3,1510085,0,0,16,16,3794.146902,237.134181375,16020.7345036,83,74,7,0,42,39,3,8199,0,0,0,0,0.0344235,upper_bound_16
3,1510086,0,0,16,16,3615.878586,225.992411625,15389.39292928,76,72,2,0,35,34,1,7330,0,0,0,0,0.032963,upper_bound_16
3,1510087,0,0,12,12,2778.88814,231.5740116667,10579.44070741,101,98,0,0,25,24,1,4989,0,0,0,0,0.021696,seven_point_per_channel
3,1510088,0,0,16,16,3377.120241,211.0700150625,13745.60121015,90,83,5,0,39,37,2,7484,0,0,0,0,0.0329316,upper_bound_16
3,1510089,0,0,10,10,2869.107484,286.9107484,11145.53742386,98,94,2,0,23,23,0,4746,0,0,0,0,0.0206561,seven_point_per_channel
3,1510090,0,0,11,11,3098.548209,281.6862008182,11972.74103782,108,103,2,0,25,24,1,5064,0,0,0,0,0.0197913,seven_point_per_channel
3,1510091,0,0,14,14,3394.299719,242.4499799286,13881.4985902,91,87,2,0,32,31,1,6443,0,0,0,0,0.0271179,seven_point_per_channel
3,1510092,0,0,15,15,3204.960074,213.6640049333,12649.80038482,101,95,0,0,33,32,1,6454,0,0,0,0,0.0263842,seven_point_per_channel
