problem,seed,method,stress,n,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,dp_calls,dp_actions,dp_fallbacks,dp_expanded,dp_budget_hits,aux_calls,aux_positive,joint_steps,runtime_s,certificate
3,1510001,38,0,16,16,3478.817048,217.4260655,13674.08524199,111,103,2,0,140,21,5,25928,0,26,21,32,0.1184666,upper_bound_16
3,1510002,38,0,13,13,3164.094069,243.3918514615,11760.47035683,124,112,5,0,96,23,3,20554,0,20,19,33,0.0828275,seven_point_per_channel
3,1510003,38,0,15,15,2931.145565,195.4097043333,11520.72782024,91,85,4,0,230,21,1,46694,0,30,28,29,0.1901826,seven_point_per_channel
3,1510004,38,0,15,15,3135.66576,209.044384,12013.32879868,110,102,2,0,124,22,3,21690,0,27,24,32,0.0896867,seven_point_per_channel
3,1510005,38,0,15,15,2798.802559,186.5868372667,10419.01278852,104,96,8,0,172,22,3,36705,0,40,37,32,0.1485803,seven_point_per_channel
3,1510006,38,0,16,16,3386.769421,211.6730888125,13183.84710932,109,101,8,0,187,28,4,37484,0,25,25,38,0.1461745,upper_bound_16
3,1510007,38,0,13,13,3205.021876,246.5401443077,12215.10939341,114,103,8,0,170,21,5,37050,0,21,20,33,0.1461702,seven_point_per_channel
3,1510008,38,0,16,16,3060.179291,191.2612056875,11840.89645671,100,94,6,0,179,25,3,33846,0,30,29,34,0.1376462,upper_bound_16
3,1510009,38,0,16,16,3235.540167,202.2212604375,12552.70084212,105,99,7,0,215,24,4,39445,0,29,25,35,0.167078,upper_bound_16
3,1510010,38,0,14,14,2771.241655,197.9458325,10236.20826842,107,98,7,0,186,28,0,38689,0,29,29,35,0.1572139,seven_point_per_channel
3,1510011,38,0,16,16,2970.70755,185.669221875,11188.53774185,109,102,2,0,130,18,4,24008,0,30,28,29,0.0972787,upper_bound_16
3,1510012,38,0,14,14,3034.242594,216.7316138571,11576.21297084,107,102,4,0,136,15,6,27071,0,23,23,28,0.1111896,seven_point_per_channel
3,1510013,38,0,11,11,2968.361036,269.8510032727,11081.80517394,116,111,2,0,108,13,4,21825,0,21,20,24,0.0870174,seven_point_per_channel
3,1510014,38,0,14,14,3093.966968,220.9976405714,11634.83484542,116,105,4,0,170,23,4,36534,0,30,28,34,0.1445498,seven_point_per_channel
3,1510015,38,0,14,14,3090.153341,220.7252386429,11550.76669727,118,111,3,0,106,18,3,21267,0,27,27,28,0.0852418,seven_point_per_channel
3,1510016,38,0,10,10,2675.674468,267.5674468,9493.372344194,120,112,5,1,113,18,2,22882,0,21,21,27,0.0978119,seven_point_per_channel
3,1510017,38,0,13,13,3145.205837,241.9389105385,12096.02919036,109,101,5,0,161,19,4,36465,0,23,23,30,0.143847,seven_point_per_channel
3,1510018,38,0,16,16,2888.859506,180.553719125,11044.29751174,99,93,4,0,230,26,1,40963,0,34,34,33,0.1662717,upper_bound_16
3,1510019,38,0,15,15,3349.865614,223.3243742667,12669.32807322,122,113,6,1,124,19,6,27539,0,33,33,32,0.1051626,seven_point_per_channel
3,1510020,38,0,10,10,3262.197238,326.2197238,12340.98618298,122,113,7,0,74,14,7,12836,0,9,8,28,0.0497143,seven_point_per_channel
3,1510021,38,0,13,13,3181.52366,244.7325892308,11882.61829699,122,112,6,0,92,25,2,17723,0,20,20,34,0.0700622,seven_point_per_channel
3,1510022,38,0,10,10,3242.269115,324.2269115,12356.34556192,120,112,3,0,79,17,3,16777,0,11,11,27,0.0669318,seven_point_per_channel
3,1510023,38,0,12,12,3568.255619,297.3546349167,13661.27810195,129,125,2,0,39,17,3,7501,0,12,11,27,0.0274867,seven_point_per_channel
3,1510024,38,0,16,16,2811.882709,175.7426693125,11189.41354971,82,78,2,0,189,21,1,41689,0,34,34,26,0.2028515,upper_bound_16
