problem,seed,total,scan,local,optical,scan_move,local_move,optical_move,scan_actions,local_actions,optical_actions
3,1,2988.498001,1240.577611,1747.92039,0,3542.888051444,7864.601949238,0,89,35,0
3,2,2743.53238,1267.712673,1475.819707,0,3803.563366332,6724.098538089,0,85,25,0
3,3,3684.694127,1234.014123,2450.680004,0,3925.07061252,11118.40000982,0,75,46,0
3,4,2852.635622,1099.722948,1752.912674,0,3108.614742854,7969.563374948,0,80,34,0
3,5,3422.474214,1188.961908,2233.512306,0,3944.809538183,10172.56152825,0,67,38,0
3,6,3383.415794,1563.706463,1819.709331,0,5223.532319407,8343.546668561,0,87,29,0
3,7,2963.04955,1441.20077,1521.84878,0,4221.003849621,6854.243889384,0,100,30,0
3,8,3199.934118,779.062537,2420.871581,0,2160.312688997,10869.35789218,0,58,51,0
3,9,3243.48761,1418.406025,1825.081585,0,4132.030124102,8295.407937345,0,99,33,0
3,10,3641.022764,1607.087905,2033.934859,0,5495.439518122,9214.674288276,0,85,37,0
3,11,3060.526946,1533.640733,1526.886213,0,4768.203670704,6894.431062142,0,97,29,0
3,12,3403.373627,1501.927695,1901.445932,0,4819.638480694,8567.229658658,0,90,38,0
3,13,3226.65219,901.122309,2325.529881,0,2380.61154686,10602.64940814,0,71,40,0
3,14,3105.144167,1497.337688,1607.806479,0,4706.688442443,7279.032398198,0,93,31,0
3,15,3025.44831,1108.29597,1917.15234,0,3326.47984986,8605.761704193,0,74,40,0
3,16,3327.936056,1103.535819,2224.400237,0,3302.679095656,10217.00117791,0,74,35,0
3,17,3632.934213,1703.932612,1929.001601,0,6399.663059121,8615.007997077,0,71,42,0
3,18,2789.2443,1593.721154,1195.523146,0,4803.605768564,5292.615726652,0,106,27,0
3,19,3367.355878,1537.576628,1829.77925,0,5417.883135997,8228.896248769,0,76,37,0
3,20,3131.978101,1436.234956,1695.743145,0,4491.174778052,7848.715724554,0,90,24,0
3,21,3003.283282,1575.35254,1427.930742,0,4831.762697492,6424.653711813,0,102,29,0
3,22,3367.268034,1191.313628,2175.954406,0,3896.568141965,9814.772033027,0,69,45,0
3,23,3342.01136,1345.789738,1996.221622,0,4338.948687067,9001.108112529,0,80,37,0
3,24,3245.242984,1117.654018,2127.588966,0,3523.270087891,9567.944834379,0,69,41,0
3,25,3359.696455,1441.118768,1918.577687,0,4275.593843161,8642.888437452,0,98,38,0
3,26,3242.007922,1579.031422,1662.9765,0,5030.157114174,7659.88250381,0,96,25,0
3,27,3483.2935,1235.801587,2247.491913,0,3849.007931839,10307.45956153,0,78,36,0
3,28,2851.62109,1323.595698,1528.025392,0,4197.978489493,6695.126957914,0,81,39,0
3,29,3720.52376,1630.313471,2090.210289,0,5761.567350822,9556.051437625,0,80,34,0
3,30,3539.471141,1353.124215,2186.346926,0,4100.621081619,9961.734631598,0,89,38,0
3,31,3270.303528,1080.754063,2189.549465,0,3403.770320248,9897.747329692,0,67,42,0
3,32,3477.34559,1159.624298,2317.721292,0,3343.121490035,10548.60645632,0,82,41,0
3,33,3107.238453,1313.832508,1793.405945,0,3824.162540564,8292.029719469,0,92,26,0
3,34,3400.253999,1718.684992,1681.569007,0,5638.424965135,7612.845028316,0,99,31,0
3,35,3695.794125,1243.534266,2452.259859,0,4157.671331201,11151.2993054,0,69,43,0
3,36,2856.273554,1276.897194,1579.37636,0,3569.485976651,7256.881790475,0,94,24,0
3,37,2937.325849,1579.890744,1357.435105,0,5149.453720441,6102.175530813,0,92,27,0
3,38,2911.285596,1332.767115,1578.518481,0,3888.835572624,7007.592401375,0,93,39,0
3,39,2976.694299,1165.177444,1811.516855,0,3040.887217378,8292.584278707,0,93,30,0
3,40,3450.712461,1402.079359,2048.633102,0,4625.396799661,9273.165518788,0,80,40,0
4,1,5763.981221,4384.785965,1379.195256,0,15063.92983722,6035.976279334,0,231,33,0
4,2,6108.764587,4316.667785,1792.096802,0,15163.33891999,7940.484012909,0,216,41,0
4,3,5076.507734,2454.499144,2622.00859,0,8482.495717353,11925.04294296,0,127,47,0
4,4,5439.151656,4175.808592,1263.343064,0,14164.04296683,5606.715317476,0,226,27,0
4,5,8456.943791,4226.14823,2831.129125,1399.666436,14680.74115282,12870.6456164,5213.332007597,217,50,117
4,6,6552.705836,4420.674018,1868.119459,263.912359,14938.37009105,8665.597289898,1114.561788277,241,25,13
4,7,6096.212372,4190.51812,1905.694252,0,13787.59060394,8653.471262103,0,241,34,0
4,8,6505.175891,3591.861725,2370.066038,543.248128,13489.30862608,10620.33019346,2016.240609753,151,48,46
4,9,6554.142209,4698.150513,1626.615523,229.376173,15155.75256784,7368.077611756,971.8808454212,280,30,11
4,10,5866.776767,3960.460075,1906.316692,0,13982.30037486,8521.583451037,0,196,40,0
4,11,7199.537787,5092.535164,1846.41551,260.587113,17102.6758317,8212.077552384,1102.935558902,281,40,12
4,12,7001.34349,4005.810897,2267.043041,728.489552,13109.05447962,10190.21521171,2637.44770827,232,46,65
4,13,5893.863562,3772.790387,2121.073175,0,13848.95194192,9610.365886918,0,169,38,0
4,14,6792.701548,4398.665248,2282.666035,111.370265,13953.32624187,10028.33017301,416.8513273313,270,56,8
4,15,5729.73739,3794.762799,1934.974591,0,13138.81399688,8644.872939913,0,196,42,0
4,16,6181.054042,4037.369313,2143.684729,0,14211.84656934,9718.423646446,0,201,38,0
4,17,7056.677405,4051.886264,2017.691367,987.099774,13989.43131921,9158.456842899,3440.498866993,211,36,99
4,18,6725.725954,4791.218284,1815.079361,119.428309,15476.09142559,8045.396811427,467.1415594025,285,41,8
4,19,6008.250862,4216.096909,1792.153953,0,15170.48455139,8125.769762078,0,199,32,0
4,20,5670.394472,4330.928548,1339.465924,0,14424.64273851,6057.329619278,0,243,24,0
4,21,5957.590024,4403.83098,1553.759044,0,14394.15490226,6968.795220834,0,256,32,0
4,22,6555.408151,4151.343185,2115.217904,288.847062,15256.71592868,9191.089533731,1199.235296116,185,55,15
4,23,6707.066071,3851.610006,2433.553418,421.902647,13548.05003598,10992.76709114,1654.513258448,192,46,29
4,24,7168.764709,4222.689818,2513.978507,432.096384,16223.44909587,11294.89253784,1655.481849857,165,50,33
4,25,9206.661313,4288.777836,2779.493968,2138.389509,14788.88918574,12622.46983978,7911.947399064,224,50,182
4,26,6846.614488,4677.044145,1712.213016,457.357327,15355.22073497,7811.065083635,1756.786635746,270,30,34
4,27,6704.441979,4260.711844,2144.196335,299.5338,14678.5592231,9650.98167393,1232.668976298,223,42,17
4,28,5947.348432,4257.282469,1690.065963,0,14291.41235085,7480.329814074,0,235,38,0
4,29,8510.868481,3873.252164,2831.682457,1805.93386,13676.26081807,12613.41227836,6344.669302181,191,62,177
4,30,7850.685375,3894.488268,2835.428491,1120.768616,12822.4413496,12837.14246257,3938.843136072,223,52,109
4,31,6478.986404,3715.8661,1858.125891,904.994413,14254.33050249,8305.629458729,3179.97206233,146,38,89
4,32,6362.901006,3735.197007,2406.048767,221.655232,13470.98503782,10795.24383042,773.2761481912,175,48,21
4,33,6598.16514,4264.976516,1800.842003,532.346621,13774.88258191,8214.210015603,1901.733019548,254,31,50
4,34,5697.837656,4217.781855,1480.055801,0,14628.90926916,6605.279001371,0,217,31,0
4,35,8092.074646,3996.955504,2856.968393,1238.150749,14519.77752233,12964.84195549,4520.753560149,184,51,110
4,36,6223.115003,4624.530734,1598.584269,0,15057.65367679,7297.9213416,0,271,27,0
4,37,6938.583922,4661.292788,1929.285354,348.00578,14701.46394133,8846.426771436,1385.028899037,289,32,23
4,38,6999.921933,4748.67756,1692.410308,558.834065,15653.38779729,7562.051525762,2054.170292008,272,38,48
4,39,5895.581521,4251.860486,1643.721035,0,14364.3024301,7168.605177508,0,232,45,0
4,40,5829.083425,4201.30236,1627.781065,0,15216.51180519,7338.905320581,0,195,31,0
