problem,seed,method,stress,n,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,dp_calls,dp_actions,dp_fallbacks,dp_expanded,dp_budget_hits,aux_calls,aux_positive,joint_steps,runtime_s,certificate
3,1760001,39,5,14,14,2793.445189,199.5317992143,10287.22595162,110,101,5,0,178,24,2,34677,0,25,23,33,0.1540685,seven_point_per_channel
3,1760002,39,5,14,14,3407.702888,243.4073491429,13068.51442993,115,104,15,0,172,23,7,26807,0,31,30,37,0.12335,seven_point_per_channel
3,1760003,39,5,16,16,2943.330262,183.958141375,11166.65129917,102,93,9,0,181,26,2,33701,0,31,29,34,0.1439031,upper_bound_16
3,1760004,39,5,10,10,2879.239001,287.9239001,10531.19499384,119,116,4,0,88,18,2,20523,0,10,10,27,0.0753899,seven_point_per_channel
3,1760005,39,5,15,15,3064.692822,204.3128548,11883.46410307,99,88,10,1,216,21,6,42742,0,24,24,34,0.1798361,seven_point_per_channel
3,1760006,39,5,10,10,2805.439551,280.5439551,10192.19775275,117,111,7,0,99,18,2,18090,0,17,17,27,0.0810448,seven_point_per_channel
3,1760007,39,5,15,15,2986.094889,199.0729926,11710.47445992,93,86,6,0,206,19,2,39320,0,34,33,28,0.1779844,seven_point_per_channel
3,1760008,39,5,15,15,3746.031821,249.7354547333,14775.15911622,113,103,16,0,180,26,7,35782,0,25,25,40,0.16014,seven_point_per_channel
3,1760009,39,5,15,15,3144.713668,209.6475778667,11753.56835742,115,108,12,0,135,33,3,28817,0,24,24,43,0.1203048,seven_point_per_channel
3,1760010,39,5,13,13,2685.05999,206.5430761538,9925.299952435,103,96,8,0,190,20,2,39376,0,33,32,29,0.1596429,seven_point_per_channel
3,1760011,39,5,14,14,3326.883096,237.6345068571,12664.4154846,116,102,14,0,198,24,6,39248,0,33,32,37,0.1683742,seven_point_per_channel
3,1760012,39,5,10,10,2901.807873,290.1807873,10564.0393618,117,112,14,0,134,22,4,27749,0,19,19,33,0.1148965,seven_point_per_channel
3,1760013,39,5,15,15,3113.98075,207.5987166667,11879.90376324,107,95,11,0,203,27,2,44434,0,37,37,36,0.176744,seven_point_per_channel
3,1760014,39,5,11,11,2982.92977,271.1754336364,10594.64886003,129,116,16,0,112,23,6,23614,0,18,18,36,0.090572,seven_point_per_channel
