problem,seed,method,stress,n,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,dp_calls,dp_actions,dp_fallbacks,dp_expanded,dp_budget_hits,aux_calls,aux_positive,joint_steps,runtime_s,certificate
3,1550001,38,4,12,12,2724.419078,227.0349231667,10072.09539871,108,101,3,0,107,16,2,22997,0,21,21,25,0.0993086,seven_point_per_channel
3,1550002,38,4,10,10,2856.941698,285.6941698,10704.70849338,111,108,1,0,109,13,3,22180,0,17,17,23,0.1049813,seven_point_per_channel
3,1550003,38,4,13,13,3300.518719,253.8860553077,12737.59359638,114,109,3,0,100,21,5,22578,0,16,14,33,0.0889986,seven_point_per_channel
3,1550004,38,4,14,14,2929.620257,209.2585897857,11213.10129519,103,96,2,0,152,23,2,29065,0,16,16,32,0.1244014,seven_point_per_channel
3,1550005,38,4,11,11,3087.286437,280.6624033636,11561.4321826,118,112,6,0,59,16,5,13236,0,13,13,28,0.0534682,seven_point_per_channel
3,1550006,38,4,10,10,2753.419148,275.3419148,9862.095747698,120,119,4,0,64,16,1,12818,0,13,13,24,0.0566701,seven_point_per_channel
3,1550007,38,4,11,11,2842.43535,258.4032136364,10592.17675764,110,107,4,0,121,19,1,23772,0,21,19,27,0.1007007,seven_point_per_channel
3,1550008,38,4,16,16,3201.467546,200.091721625,12242.33770165,112,104,3,0,120,23,2,26562,0,27,27,32,0.1111455,upper_bound_16
3,1550009,38,4,13,13,3232.081373,248.6216440769,12545.40686197,109,104,3,0,95,17,4,17565,0,15,15,28,0.076058,seven_point_per_channel
3,1550010,38,4,12,12,3020.876832,251.739736,11369.38416392,113,107,5,0,121,22,3,25932,0,18,18,32,0.111055,seven_point_per_channel
3,1550011,38,4,14,14,3183.061171,227.3615122143,12070.3058634,115,109,5,0,126,19,5,24254,0,20,19,31,0.1047956,seven_point_per_channel
3,1550012,38,4,10,10,2619.022694,261.9022694,9380.113467656,114,108,5,0,83,16,2,18785,0,16,16,25,0.0828389,seven_point_per_channel
3,1550013,38,4,13,13,3153.752773,242.5963671538,11953.76386179,116,109,3,0,128,18,2,24104,0,29,26,27,0.1069866,seven_point_per_channel
3,1550014,38,4,13,13,3029.671697,233.051669,11318.35848408,117,107,3,0,89,19,2,18356,0,27,25,28,0.0771935,seven_point_per_channel
3,1550015,38,4,12,12,2441.149135,203.4290945833,8855.74567288,101,96,3,0,126,15,3,27605,0,25,24,25,0.1175297,seven_point_per_channel
3,1550016,38,4,16,16,2833.241233,177.0775770625,10771.20617298,98,91,6,0,193,27,1,39390,0,34,33,34,0.1718054,upper_bound_16
3,1550017,38,4,10,10,2477.003425,247.7003425,8810.017132667,111,104,2,0,87,17,1,18392,0,15,14,25,0.0808533,seven_point_per_channel
3,1550018,38,4,11,11,2585.989397,235.0899451818,9379.946968511,109,101,3,0,112,18,2,26263,0,17,17,27,0.1139507,seven_point_per_channel
3,1550019,38,4,14,14,2834.456992,202.4612137143,10692.28497499,104,97,3,0,159,19,2,35185,0,30,30,28,0.1499812,seven_point_per_channel
3,1550020,38,4,12,12,3185.960665,265.4967220833,12204.8033184,114,109,2,0,83,15,4,16297,0,18,18,26,0.0725333,seven_point_per_channel
3,1550021,38,4,13,13,3118.893009,239.9148468462,11929.46506515,110,103,5,0,118,17,5,25720,0,22,22,29,0.115209,seven_point_per_channel
3,1550022,38,4,16,16,3127.527223,195.4704514375,12282.63612087,97,91,5,0,233,24,2,48546,0,38,37,31,0.2122763,upper_bound_16
