problem,seed,method,stress,n,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,dp_calls,dp_actions,dp_fallbacks,dp_expanded,dp_budget_hits,aux_calls,aux_positive,joint_steps,runtime_s,certificate,shortcuts,shortcut_saved_m
3,2110001,78,0,11,11,2884.033495,262.1848631818,10580.16748264,118,111,4,0,77,16,5,17581,0,15,14,28,0.064308,seven_point_per_channel,1,0.4530360938734
3,2110002,78,0,12,12,3140.555361,261.71294675,11687.77679026,122,112,7,0,108,20,5,23178,0,17,16,32,0.0888808,seven_point_per_channel,3,3.629679448939
3,2110003,78,0,14,14,3321.03057,237.2164692857,12875.1528461,111,106,5,0,153,25,3,27716,0,15,15,35,0.1236209,seven_point_per_channel,5,11.74278016953
3,2110004,78,0,11,11,2639.997728,239.9997934545,9494.988646024,114,107,3,0,96,14,3,20080,0,22,20,24,0.0845798,seven_point_per_channel,4,2.011257034766
3,2110005,78,0,14,14,3029.828405,216.4163146429,11464.1420246,111,103,3,0,111,21,2,22698,0,20,20,30,0.0877771,seven_point_per_channel,4,6.16633449837
4,2110001,78,0,11,11,5531.077062,502.8251874545,19680.38531897,252,241,13,5,176,27,5,46643,0,0,0,53,0.425031,convex_mesh_per_channel,1,0.07714126400242
4,2110002,78,0,12,12,5859.969365,488.3307804167,21059.84682117,261,250,11,6,194,31,6,51274,0,0,0,58,0.4874967,convex_mesh_per_channel,0,0
4,2110003,78,0,14,14,5518.472121,394.1765800714,20642.36062108,218,206,8,5,232,38,5,64649,0,0,0,64,0.5872251,convex_mesh_per_channel,2,7.402428745143
4,2110004,78,0,11,11,5730.931838,520.9938034545,21069.65918733,245,231,2,1,220,35,1,59530,0,0,0,57,0.5336574,convex_mesh_per_channel,1,0
4,2110005,78,0,14,14,5591.066481,399.3618915,20980.33240015,219,209,7,4,350,42,4,100291,0,0,0,67,0.8623162,convex_mesh_per_channel,1,1.537752692577
