problem,seed,method,stress,n,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,dp_calls,dp_actions,dp_fallbacks,dp_expanded,dp_budget_hits,aux_calls,aux_positive,joint_steps,runtime_s,certificate,shortcuts,shortcut_saved_m
3,2310101,78,0,14,14,3027.815024,216.2725017143,11119.07510684,119,109,10,0,120,30,1,24677,0,26,25,38,0.1141741,seven_point_per_channel,4,0.05022198639927
3,2310102,78,0,13,13,3130.422247,240.8017113077,11942.11123844,114,107,0,0,65,14,3,12990,0,22,22,24,0.0625982,seven_point_per_channel,3,9.808055788066
3,2310103,78,0,16,16,3261.761637,203.8601023125,12868.80819405,100,96,4,0,179,20,3,35183,0,29,28,30,0.1617838,upper_bound_16,7,22.1385160848
3,2310104,78,0,11,11,2744.493286,249.4993896364,9822.466426667,121,111,3,0,103,15,3,20155,0,24,24,25,0.0936895,seven_point_per_channel,4,3.992260332141
3,2310105,78,0,13,13,3384.463697,260.3433613077,13237.31848647,111,105,4,0,142,21,3,26103,0,15,15,31,0.1326528,seven_point_per_channel,4,6.088484575739
3,2310106,78,0,15,15,3010.123491,200.6748994,11655.61745988,101,96,1,0,175,14,3,35047,0,31,31,24,0.1680795,seven_point_per_channel,4,3.591762981154
3,2310107,78,0,16,16,2946.373233,184.1483270625,11316.8661714,100,94,3,0,154,18,4,28751,0,27,27,28,0.1361184,upper_bound_16,9,16.23295776792
3,2310108,78,0,10,10,2631.335702,263.1335702,9541.678505602,111,106,4,0,95,14,2,21176,0,18,18,23,0.094553,seven_point_per_channel,3,6.003753038971
3,2310109,78,0,11,11,2722.368664,247.4880603636,10081.84332654,110,101,0,0,82,14,2,18297,0,15,15,23,0.0792654,seven_point_per_channel,3,1.055894531468
3,2310110,78,0,15,15,3195.588833,213.0392555333,12197.94416507,112,106,5,0,180,23,2,34023,0,32,32,32,0.1575001,seven_point_per_channel,3,1.022596643963
3,2310111,78,0,16,16,3093.534565,193.3459103125,11702.67282292,112,104,3,0,118,18,4,21052,0,37,37,28,0.0994449,upper_bound_16,8,5.345726147416
