problem,seed,method,stress,n,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,dp_calls,dp_actions,dp_fallbacks,dp_expanded,dp_budget_hits,aux_calls,aux_positive,joint_steps,runtime_s,certificate,shortcuts,shortcut_saved_m
3,2320001,78,1,12,12,4192.751458,349.3959548333,16398.75728051,136,128,15,0,51,25,6,7575,0,13,13,38,0.0308807,seven_point_per_channel,6,16.56585701631
3,2320002,78,1,16,16,4719.610995,294.9756871875,19033.05498144,135,122,12,1,70,29,4,10909,0,22,18,40,0.0446188,upper_bound_16,4,20.48877304162
3,2320003,78,1,11,11,4464.793578,405.8903252727,17718.96788974,141,128,11,1,43,21,5,6322,0,10,7,33,0.0262887,seven_point_per_channel,6,65.02017936092
3,2320004,78,1,14,14,4942.990669,353.0707620714,19934.9533517,145,131,10,2,46,20,6,7608,0,16,15,33,0.0305033,seven_point_per_channel,7,11.6220643774
3,2320005,78,1,13,13,4677.693354,359.8225656923,18548.46676807,145,130,16,0,52,24,6,8536,0,18,17,37,0.0342692,seven_point_per_channel,6,72.2933671901
3,2320006,78,1,12,12,4097.371671,341.44763925,16216.85835623,131,124,5,0,34,19,2,5338,0,11,11,28,0.0213653,seven_point_per_channel,7,0.3187450783589
3,2320007,78,1,11,11,4580.988677,416.4535160909,18054.94338285,147,132,16,0,43,19,8,7000,0,12,10,34,0.0269311,seven_point_per_channel,8,109.1518078371
3,2320008,78,1,11,11,4485.332273,407.7574793636,17646.66137549,147,130,12,1,42,20,6,6892,0,14,11,33,0.0263626,seven_point_per_channel,4,39.38408406516
3,2320009,78,1,16,16,4799.77624,299.986015,19248.88119579,139,127,16,1,71,28,7,10073,0,21,15,42,0.0416017,upper_bound_16,9,124.9136595133
3,2320010,78,1,10,10,4322.861744,432.2861744,16844.30869555,142,131,21,0,45,21,10,8237,0,4,4,38,0.0324616,seven_point_per_channel,9,129.1151225911
3,2320011,78,1,10,10,4199.979046,419.9979046,16504.89521657,136,127,14,0,38,20,6,6853,0,4,4,33,0.0264101,seven_point_per_channel,6,73.4663093118
3,2320012,78,1,10,10,4280.655393,428.0655393,16688.27696739,140,130,21,1,46,26,7,8110,0,5,5,40,0.0318378,seven_point_per_channel,7,145.5623840307
3,2320013,78,1,11,11,4545.131867,413.1938060909,17840.65933985,147,130,19,1,55,28,5,8467,0,17,16,40,0.0337696,seven_point_per_channel,7,64.84153334611
3,2320014,78,1,11,11,4587.92025,417.0836590909,18094.60124585,147,131,16,2,42,20,7,5740,0,11,7,34,0.021712,seven_point_per_channel,8,131.5713374813
3,2320015,78,1,11,11,4517.313673,410.6648793636,17811.56836934,146,131,13,1,39,18,7,6413,0,10,8,32,0.0254555,seven_point_per_channel,5,113.8365053251
3,2320016,78,1,13,13,4721.303068,363.1771590769,18671.51534292,148,131,17,2,55,24,8,8906,0,20,19,39,0.0355578,seven_point_per_channel,8,13.22910949458
3,2320017,78,1,12,12,4220.321699,351.6934749167,16451.60850067,140,128,14,0,44,23,5,6952,0,15,15,35,0.0273753,seven_point_per_channel,5,3.263693890982
3,2320018,78,1,13,13,4722.269169,363.2514745385,18716.34584941,144,131,21,0,67,29,7,10098,0,19,18,43,0.0411215,seven_point_per_channel,7,34.88632193713
3,2320019,78,1,12,12,4282.326,356.8605,16616.63002227,143,127,19,0,51,27,5,8010,0,17,17,39,0.0319263,seven_point_per_channel,5,38.3567351353
3,2320020,78,1,15,15,4636.856912,309.1237941333,18474.28455672,140,131,12,0,60,25,6,10507,0,18,18,38,0.0417575,seven_point_per_channel,5,15.07339009345
3,2320021,78,1,13,13,4657.822997,358.2940766923,18519.11496956,143,129,15,1,58,26,6,9259,0,17,16,39,0.0390038,seven_point_per_channel,7,33.45820239515
3,2320022,78,1,10,10,4271.385552,427.1385552,16636.92774891,142,130,18,0,43,21,9,7298,0,6,4,37,0.0289696,seven_point_per_channel,8,77.31117134213
3,2320023,78,1,16,16,4801.365431,300.0853394375,19231.82715795,140,127,16,1,75,29,6,12038,0,23,18,42,0.0517517,upper_bound_16,7,141.4040051034
