problem,seed,method,n,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,plans,exact_plans,local_plans,nonlocal_plans,max_route_gap_m,mean_route_gap_m,skipped,runtime_s,certificate
3,1,0,12,12,3523.976596,293.6647163333,14149.8829826,107,99,0,1,0,0,0,0,0,0,0,0.0006965,seven_point_per_channel
3,1,1,12,12,3704.049639,308.67080325,15100.24821528,105,99,0,1,0,0,0,0,0,0,0,0.0006178,seven_point_per_channel
3,1,2,12,12,3894.528974,324.5440811667,16052.64487611,105,99,0,1,0,0,0,0,0,0,0,0.0006159,seven_point_per_channel
3,1,3,12,12,3523.976596,293.6647163333,14149.8829826,107,99,0,1,0,0,0,0,0,0,0,0.000649,seven_point_per_channel
3,1,4,12,12,3523.976596,293.6647163333,14149.8829826,107,99,0,1,19,19,19,0,0,0,0,0.0024115,seven_point_per_channel
3,1,5,12,12,3422.47491,285.2062425,13692.37455471,105,99,0,0,19,19,19,0,0,0,0,0.0029707,seven_point_per_channel
3,2,0,11,11,3199.288848,290.8444407273,12906.44425797,96,83,0,0,0,0,0,0,0,0,0,0.0011375,seven_point_per_channel
3,2,1,11,11,3382.746803,307.5224366364,13783.7340274,97,83,1,1,0,0,0,0,0,0,0,0.0009619,seven_point_per_channel
3,2,2,11,11,3485.03894,316.8217218182,14295.19471826,97,83,1,1,0,0,0,0,0,0,0,0.0009519,seven_point_per_channel
3,2,3,11,11,3199.288848,290.8444407273,12906.44425797,96,83,0,0,0,0,0,0,0,0,0,0.0009269,seven_point_per_channel
3,2,4,11,11,3199.288848,290.8444407273,12906.44425797,96,83,0,0,18,13,18,0,891.3484659152,141.9641027856,0,0.0038032,seven_point_per_channel
3,2,5,11,11,3277.810973,297.9828157273,13109.05487432,101,93,1,0,18,15,18,0,796.5743711149,98.7330914131,0,0.0032985,seven_point_per_channel
3,3,0,16,16,4274.792428,267.17452675,18173.96215229,94,84,2,0,0,0,0,0,0,0,0,0.0011297,upper_bound_16
