problem,seed,method,n,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,plans,exact_plans,local_plans,nonlocal_plans,max_route_gap_m,mean_route_gap_m,weighted_gap_ratio,max_relative_gap,skipped,runtime_s,certificate
3,510001,0,14,14,3833.002069,273.7858620714,15980.01035032,96,87,0,0,0,0,0,0,0,0,0,0,0,0.0010051,seven_point_per_channel
3,510001,1,14,14,4052.42896,289.4592114286,17077.14480663,96,87,0,0,0,0,0,0,0,0,0,0,0,0.0009314,seven_point_per_channel
3,510001,2,14,14,4280.941356,305.7815254286,18179.70677988,97,87,1,0,0,0,0,0,0,0,0,0,0,0.0009156,seven_point_per_channel
3,510001,3,14,14,3833.002069,273.7858620714,15980.01035032,96,87,0,0,0,0,0,0,0,0,0,0,0,0.0009086,seven_point_per_channel
3,510001,4,14,14,3833.002069,273.7858620714,15980.01035032,96,87,0,0,21,19,21,0,1009.635968831,62.83864294246,0.01367079249158,0.1285738624393,0,0.0050882,seven_point_per_channel
3,510001,5,14,14,3967.424069,283.3874335,16657.12035419,96,86,0,1,21,17,21,0,1167.101085076,206.5632427499,0.0311366762613,0.1210503434594,0,0.0052707,seven_point_per_channel
3,510002,0,15,15,3985.25993,265.6839953333,16681.29965854,97,89,0,0,0,0,0,0,0,0,0,0,0,0.0007923,seven_point_per_channel
3,510002,1,15,15,4233.539403,282.2359602,17972.69701779,95,89,0,0,0,0,0,0,0,0,0,0,0,0.0007527,seven_point_per_channel
3,510002,2,15,15,4543.765854,302.9177236,19498.82927233,96,89,0,0,0,0,0,0,0,0,0,0,0,0.000873,seven_point_per_channel
3,510002,3,15,15,3985.25993,265.6839953333,16681.29965854,97,89,0,0,0,0,0,0,0,0,0,0,0,0.0007785,seven_point_per_channel
3,510002,4,15,15,3985.25993,265.6839953333,16681.29965854,97,89,0,0,22,21,22,0,658.875015761,29.94886435277,0.006680197845587,0.08510006486646,0,0.0045423,seven_point_per_channel
3,510002,5,15,15,3958.132019,263.8754679333,16855.66008152,86,82,0,0,22,21,22,0,1023.042915157,46.50195068895,0.007106697968744,0.1088846893892,0,0.0054524,seven_point_per_channel
3,510003,0,11,11,3010.526192,273.6841992727,11637.63095252,105,100,1,0,0,0,0,0,0,0,0,0,0,0.000605,seven_point_per_channel
3,510003,1,11,11,3106.40691,282.4006281818,12157.03454648,104,100,0,0,0,0,0,0,0,0,0,0,0,0.0005799,seven_point_per_channel
3,510003,2,11,11,3217.734213,292.5212920909,12713.67106322,104,100,0,0,0,0,0,0,0,0,0,0,0,0.0005793,seven_point_per_channel
3,510003,3,11,11,3010.526192,273.6841992727,11637.63095252,105,100,1,0,0,0,0,0,0,0,0,0,0,0.0005794,seven_point_per_channel
3,510003,4,11,11,3010.526192,273.6841992727,11637.63095252,105,100,1,0,18,17,18,0,745.0285565351,41.39047536306,0.009446875940599,0.09403453713338,0,0.0028542,seven_point_per_channel
3,510003,5,11,11,2842.15287,258.3775336364,10950.76435676,100,94,1,0,18,15,18,0,540.0766842827,81.15703579967,0.01478307841429,0.06041352800069,0,0.0032014,seven_point_per_channel
3,510004,0,14,14,3541.307645,252.9505460714,14686.5382271,91,76,1,1,0,0,0,0,0,0,0,0,0,0.0014175,seven_point_per_channel
3,510004,1,14,14,3713.407513,265.2433937857,15637.03758226,88,76,0,0,0,0,0,0,0,0,0,0,0,0.0013678,seven_point_per_channel
3,510004,2,14,14,3852.12398,275.1517128571,16305.61990511,89,76,0,0,0,0,0,0,0,0,0,0,0,0.0013923,seven_point_per_channel
3,510004,3,14,14,3541.307645,252.9505460714,14686.5382271,91,76,1,1,0,0,0,0,0,0,0,0,0,0.0013943,seven_point_per_channel
3,510004,4,14,14,3541.307645,252.9505460714,14686.5382271,91,76,1,1,21,15,21,0,965.7518222765,178.8025254606,0.03488515952572,0.1208336824742,0,0.0047164,seven_point_per_channel
3,510004,5,14,14,3437.722469,245.5516049286,14053.61234097,94,81,2,1,21,15,21,0,470.316377099,107.2782958671,0.01955584707937,0.05291782330156,0,0.0053725,seven_point_per_channel
3,510005,0,16,16,3624.473091,226.5295681875,14967.36546718,93,86,0,0,0,0,0,0,0,0,0,0,0,0.0008866,upper_bound_16
3,510005,1,16,16,3889.910505,243.1194065625,16279.55253457,93,86,1,0,0,0,0,0,0,0,0,0,0,0.0008671,upper_bound_16
3,510005,2,16,16,4063.730183,253.9831364375,17188.65091949,92,86,0,0,0,0,0,0,0,0,0,0,0,0.0008532,upper_bound_16
3,510005,3,16,16,3558.565692,222.41035575,14662.82846665,92,86,0,0,0,0,0,0,0,0,0,0,1,0.0008373,upper_bound_16
3,510005,4,16,16,3558.565692,222.41035575,14662.82846665,92,86,0,0,22,20,22,0,745.6731510819,54.09963496143,0.01109201920718,0.09252271469025,1,0.0035075,upper_bound_16
3,510005,5,16,16,3904.679866,244.042491625,16238.39932752,98,87,0,0,22,21,22,0,455.437913073,20.7017233215,0.00374168657059,0.04822462066873,1,0.0059716,upper_bound_16
3,510006,0,16,16,3941.297284,246.33108025,16686.48641906,88,78,2,0,0,0,0,0,0,0,0,0,0,0.0011658,upper_bound_16
3,510006,1,16,16,4213.774941,263.3609338125,18088.87469603,87,78,1,0,0,0,0,0,0,0,0,0,0,0.0011342,upper_bound_16
3,510006,2,16,16,4449.671418,278.104463625,19268.35708605,87,78,1,0,0,0,0,0,0,0,0,0,0,0.0011253,upper_bound_16
3,510006,3,16,16,3941.297284,246.33108025,16686.48641906,88,78,2,0,0,0,0,0,0,0,0,0,0,0.0011225,upper_bound_16
3,510006,4,16,16,3941.297284,246.33108025,16686.48641906,88,78,2,0,23,20,23,0,669.4030152523,56.40041931164,0.01025819830967,0.08507325463767,0,0.006818,upper_bound_16
3,510006,5,16,16,3904.085942,244.005371375,16105.42970593,101,92,2,0,23,19,23,0,593.8885293053,77.80694845543,0.01398522784674,0.06539286562963,0,0.0035685,upper_bound_16
3,510007,0,11,11,3745.00132,340.4546654545,15170.0066034,110,106,0,0,0,0,0,0,0,0,0,0,0,0.0004533,seven_point_per_channel
3,510007,1,11,11,4020.691319,365.5173926364,16523.45659895,111,106,0,0,0,0,0,0,0,0,0,0,0,0.0004526,seven_point_per_channel
3,510007,2,11,11,4182.447581,380.2225073636,17357.23791561,110,106,0,0,0,0,0,0,0,0,0,0,0,0.0004343,seven_point_per_channel
3,510007,3,11,11,3745.00132,340.4546654545,15170.0066034,110,106,0,0,0,0,0,0,0,0,0,0,0,0.0004355,seven_point_per_channel
3,510007,4,11,11,3745.00132,340.4546654545,15170.0066034,110,106,0,0,18,18,18,0,0,0,0,0,0,0.0015662,seven_point_per_channel
3,510007,5,11,11,3784.826624,344.0751476364,15519.13312667,105,101,0,0,18,18,18,0,0,0,0,0,0,0.0030106,seven_point_per_channel
3,510008,0,13,13,3717.526177,285.9635520769,15542.63088965,92,81,1,1,0,0,0,0,0,0,0,0,0,0.0014282,seven_point_per_channel
