case_id,problem,seed,n,nd,nb,geometry,radius,error,outward,eigen_ratio,method,cleared,time_s,avg_s,move_m,measures,switches,miss,fallbacks,runtime_s,certificate
0,3,710001,10,0,0,0,1000,0,0,0.6326084074353,0,10,3201.043049,320.1043049,12675.21525949,104,96,0,1,0.0006305,seven_point_per_channel
0,3,710001,10,0,0,0,1000,0,0,0.6326084074353,5,10,3380.215384,338.0215384,13201.07693581,116,110,0,1,0.0005637,seven_point_per_channel
1,3,710002,10,0,0,0,1250,1,1,0.549592005477,0,10,3431.487275,343.1487275,13422.43637848,115,101,7,1,0.0005494,seven_point_per_channel
1,3,710002,10,0,0,0,1250,1,1,0.549592005477,5,10,3145.561197,314.5561197,12112.80598585,111,100,6,0,0.004065,seven_point_per_channel
2,3,710003,10,0,0,0,1500,2,0,0.05396707613543,0,10,3393.93728,339.393728,13629.68641334,103,88,5,1,0.0010208,seven_point_per_channel
2,3,710003,10,0,0,0,1500,2,0,0.05396707613543,5,10,3238.217285,323.8217285,12711.08642892,106,92,8,0,0.0034751,seven_point_per_channel
3,3,710004,10,0,0,0,1000,3,1,0.7338767349972,0,10,3980.348584,398.0348584,15991.74292286,123,117,0,0,0.0002862,seven_point_per_channel
3,3,710004,10,0,0,0,1000,3,1,0.7338767349972,5,10,3905.803494,390.5803494,15709.01747529,119,113,2,0,0.0005304,seven_point_per_channel
4,3,710005,10,0,0,0,1250,4,0,0.6963526050572,0,10,2972.287268,297.2287268,11411.43634405,106,101,3,0,0.0004991,seven_point_per_channel
4,3,710005,10,0,0,0,1250,4,0,0.6963526050572,5,10,2956.464488,295.6464488,11427.32244273,103,97,3,0,0.0042902,seven_point_per_channel
5,3,710006,10,0,0,0,1500,0,1,0.6448701113959,0,10,2838.587266,283.8587266,10947.93633204,100,93,2,0,0.0008358,seven_point_per_channel
5,3,710006,10,0,0,0,1500,0,1,0.6448701113959,5,10,2750.787157,275.0787157,10583.93578275,98,91,1,0,0.0033187,seven_point_per_channel
6,3,710007,10,0,0,0,1000,1,0,0.5059156006044,0,10,3315.597167,331.5597167,13152.98583728,106,96,3,0,0.0006342,seven_point_per_channel
6,3,710007,10,0,0,0,1000,1,0,0.5059156006044,5,10,3239.444219,323.9444219,12797.22109695,105,96,3,0,0.003983,seven_point_per_channel
7,3,710008,10,0,0,0,1250,2,1,0.4343230046055,0,10,3087.540827,308.7540827,12062.70414276,103,95,5,0,0.0006223,seven_point_per_channel
7,3,710008,10,0,0,0,1250,2,1,0.4343230046055,5,10,2992.094691,299.2094691,11090.47344662,119,105,8,2,0.0026236,seven_point_per_channel
8,3,710009,10,0,0,0,1500,3,0,0.4728592350419,0,10,2387.495817,238.7495817,8822.479089302,97,88,0,0,0.0010088,seven_point_per_channel
8,3,710009,10,0,0,0,1500,3,0,0.4728592350419,5,10,2494.57735,249.457735,9402.88676071,95,89,0,0,0.0038173,seven_point_per_channel
9,3,710010,10,0,0,0,1000,4,1,0.3820569010483,0,10,3557.132864,355.7132864,14135.66432763,113,106,3,0,0.0004222,seven_point_per_channel
9,3,710010,10,0,0,0,1000,4,1,0.3820569010483,5,10,3555.765269,355.5765269,14063.82636124,115,106,4,0,0.0010531,seven_point_per_channel
10,3,710011,10,0,0,0,1250,0,0,0.4199180751159,0,10,2687.847064,268.7847064,10249.23532,99,93,0,0,0.0009167,seven_point_per_channel
10,3,710011,10,0,0,0,1250,0,0,0.4199180751159,5,10,2692.308553,269.2308553,10466.54277268,92,89,0,0,0.0037875,seven_point_per_channel
11,3,710012,10,0,0,0,1500,1,1,0.4293456956145,0,10,3190.134122,319.0134122,12485.67062433,106,95,6,0,0.0006414,seven_point_per_channel
11,3,710012,10,0,0,0,1500,1,1,0.4293456956145,5,10,3205.46333,320.546333,12447.31666571,108,96,10,0,0.0038411,seven_point_per_channel
12,3,710013,10,0,0,0,1000,2,0,0.5027409059887,0,10,2966.392928,296.6392928,11281.96464048,109,100,5,1,0.0006045,seven_point_per_channel
12,3,710013,10,0,0,0,1000,2,0,0.5027409059887,5,10,2899.330071,289.9330071,11086.65035235,104,94,6,0,0.0031771,seven_point_per_channel
13,3,710014,10,0,0,0,1250,3,1,0.428180998498,0,10,3044.810993,304.4810993,11894.05497855,104,96,0,0,0.0005751,seven_point_per_channel
13,3,710014,10,0,0,0,1250,3,1,0.428180998498,5,10,3080.802605,308.0802605,12009.01303758,106,96,1,0,0.0033935,seven_point_per_channel
14,3,710015,10,0,0,0,1500,4,0,0.3815010781838,0,10,2832.537635,283.2537635,10837.68818815,102,90,5,0,0.0008968,seven_point_per_channel
14,3,710015,10,0,0,0,1500,4,0,0.3815010781838,5,10,2953.917491,295.3917491,11149.58746162,110,94,10,1,0.003061,seven_point_per_channel
15,3,710016,10,0,0,0,1000,0,1,0.3969039149108,0,10,3409.815251,340.9815251,13519.07624957,110,106,0,0,0.0004244,seven_point_per_channel
15,3,710016,10,0,0,0,1000,0,1,0.3969039149108,5,10,3622.527632,362.2527632,14607.63815549,109,106,0,0,0.0013043,seven_point_per_channel
16,3,710017,10,0,0,0,1250,1,0,0.4167762821667,0,10,3554.56042,355.456042,14297.80210324,107,98,4,0,0.0005391,seven_point_per_channel
16,3,710017,10,0,0,0,1250,1,0,0.4167762821667,5,10,2889.303207,288.9303207,10881.51603652,110,101,4,0,0.0034729,seven_point_per_channel
17,3,710018,10,0,0,0,1500,2,1,0.6898388896456,0,10,2941.432691,294.1432691,11437.1634649,100,89,5,0,0.0008782,seven_point_per_channel
17,3,710018,10,0,0,0,1500,2,1,0.6898388896456,5,10,3022.68966,302.268966,11878.44829879,98,89,6,0,0.0037972,seven_point_per_channel
18,3,710019,10,0,0,0,1000,3,0,0.4585680081168,0,10,3932.415766,393.2415766,15992.07885067,115,109,0,0,0.0003853,seven_point_per_channel
18,3,710019,10,0,0,0,1000,3,0,0.4585680081168,5,10,4029.534871,402.9534871,16187.67437441,125,117,0,0,0.0005094,seven_point_per_channel
19,3,710020,10,0,0,0,1250,4,1,0.2662659992584,0,10,3387.75213,338.775213,13453.76064121,107,97,5,0,0.0006847,seven_point_per_channel
19,3,710020,10,0,0,0,1250,4,1,0.2662659992584,5,10,2872.263168,287.2263168,10801.3158226,110,100,4,0,0.0028364,seven_point_per_channel
20,3,710021,10,0,0,0,1500,0,0,0.5060887066123,0,10,2651.945559,265.1945559,10169.72778451,96,88,0,0,0.0009085,seven_point_per_channel
20,3,710021,10,0,0,0,1500,0,0,0.5060887066123,5,10,2629.384553,262.9384553,10111.92277075,94,87,0,0,0.003479,seven_point_per_channel
21,3,710022,10,0,0,0,1000,1,1,0.3598352584465,0,10,3759.942662,375.9942662,14834.71332267,123,113,5,0,0.0004285,seven_point_per_channel
21,3,710022,10,0,0,0,1000,1,1,0.3598352584465,5,10,3608.439411,360.8439411,14352.19706463,114,103,5,0,0.0020839,seven_point_per_channel
22,3,710023,10,0,0,0,1250,2,0,0.430398878296,0,10,3100.11429,310.011429,11790.57144615,114,101,7,2,0.0005382,seven_point_per_channel
22,3,710023,10,0,0,0,1250,2,0,0.430398878296,5,10,3579.379509,357.9379509,14181.89753813,113,101,9,1,0.0031706,seven_point_per_channel
23,3,710024,10,0,0,0,1500,3,1,0.6152077467785,0,10,3031.816497,303.1816497,12014.08248894,97,91,1,0,0.0008274,seven_point_per_channel
23,3,710024,10,0,0,0,1500,3,1,0.6152077467785,5,10,2696.498488,269.6498488,10367.49244876,96,90,1,0,0.0033267,seven_point_per_channel
24,3,710025,10,0,0,0,1000,4,0,0.6165358890197,0,10,3749.585087,374.9585087,14957.92543281,117,111,4,0,0.0003822,seven_point_per_channel
24,3,710025,10,0,0,0,1000,4,0,0.6165358890197,5,10,3826.191691,382.6191691,15290.95845897,119,111,4,0,0.000574,seven_point_per_channel
25,3,710026,10,0,0,0,1250,0,1,0.4963842964084,0,10,3545.28636,354.528636,13856.43180931,122,114,0,0,0.0003624,seven_point_per_channel
25,3,710026,10,0,0,0,1250,0,1,0.4963842964084,5,10,3226.875292,322.6875292,12764.37645734,105,99,0,0,0.0028177,seven_point_per_channel
26,3,710027,10,0,0,0,1500,1,0,0.5706719798844,0,10,2820.597551,282.0597551,10862.98775821,100,89,3,0,0.0010232,seven_point_per_channel
26,3,710027,10,0,0,0,1500,1,0,0.5706719798844,5,10,2790.445339,279.0445339,10517.22667442,105,94,6,0,0.0032205,seven_point_per_channel
27,3,710028,10,0,0,0,1000,2,1,0.5639329911322,0,10,3189.926064,318.9926064,12344.63032659,112,102,3,0,0.0004436,seven_point_per_channel
27,3,710028,10,0,0,0,1000,2,1,0.5639329911322,5,10,3349.613907,334.9613907,13078.06954538,113,107,4,0,0.0016446,seven_point_per_channel
28,3,710029,10,0,0,0,1250,3,0,0.6480374724581,0,10,3290.975852,329.0975852,13134.87926438,104,91,1,1,0.0007189,seven_point_per_channel
28,3,710029,10,0,0,0,1250,3,0,0.6480374724581,5,10,3310.94695,331.094695,13039.73474874,109,102,2,0,0.002881,seven_point_per_channel
29,3,710030,10,0,0,0,1500,4,1,0.8451681654915,0,10,3071.738704,307.1738704,11718.69352576,111,96,9,1,0.0007553,seven_point_per_channel
29,3,710030,10,0,0,0,1500,4,1,0.8451681654915,5,10,2942.533403,294.2533403,11047.6670181,112,96,9,1,0.0029902,seven_point_per_channel
30,3,710031,10,0,0,1,1000,0,0,7.255336603033e-05,0,10,3623.977547,362.3977547,14964.88774113,98,91,0,1,0.0007054,seven_point_per_channel
30,3,710031,10,0,0,1,1000,0,0,7.255336603033e-05,5,10,3952.952634,395.2952634,16014.76317106,117,112,1,0,0.001196,seven_point_per_channel
31,3,710032,10,0,0,1,1250,1,1,4.57655208805e-05,0,10,3402.026319,340.2026319,13510.13159911,109,102,1,0,0.0004469,seven_point_per_channel
31,3,710032,10,0,0,1,1250,1,1,4.57655208805e-05,5,10,3032.086886,303.2086886,11620.43443159,109,101,4,0,0.0029251,seven_point_per_channel
32,3,710033,10,0,0,1,1500,2,0,1.421657896788e-05,0,10,3736.509957,373.6509957,15412.54977692,101,90,3,0,0.0007126,seven_point_per_channel
32,3,710033,10,0,0,1,1500,2,0,1.421657896788e-05,5,10,3566.727931,356.6727931,14493.63964254,103,91,4,0,0.0034776,seven_point_per_channel
33,3,710034,10,0,0,1,1000,3,1,5.293614034625e-05,0,10,3453.154165,345.3154165,13655.77082794,113,107,0,0,0.0004331,seven_point_per_channel
33,3,710034,10,0,0,1,1000,3,1,5.293614034625e-05,5,10,3370.464238,337.0464238,13442.32119495,106,102,0,0,0.0026336,seven_point_per_channel
34,3,710035,10,0,0,1,1250,4,0,7.500523244265e-05,0,10,3560.157541,356.0157541,14565.78769744,100,94,1,0,0.0004611,seven_point_per_channel
34,3,710035,10,0,0,1,1250,4,0,7.500523244265e-05,5,10,3304.9119,330.49119,12949.55949701,110,100,5,0,0.0026202,seven_point_per_channel
35,3,710036,10,0,0,1,1500,0,1,7.380018267416e-05,0,10,3404.330489,340.4330489,13966.65245339,94,91,0,0,0.0006221,seven_point_per_channel
35,3,710036,10,0,0,1,1500,0,1,7.380018267416e-05,5,10,3357.922695,335.7922695,13589.61348367,99,95,0,0,0.0029177,seven_point_per_channel
36,3,710037,10,0,0,1,1000,1,0,8.781963805203e-05,0,10,3543.431853,354.3431853,14307.15927056,105,98,3,0,0.0004081,seven_point_per_channel
36,3,710037,10,0,0,1,1000,1,0,8.781963805203e-05,5,10,4101.622945,410.1622945,16498.1147156,124,111,7,1,0.0008943,seven_point_per_channel
37,3,710038,10,0,0,1,1250,2,1,8.262871034818e-05,0,10,3757.33708,375.733708,15021.68539277,116,102,7,1,0.0005359,seven_point_per_channel
37,3,710038,10,0,0,1,1250,2,1,8.262871034818e-05,5,10,3022.293065,302.2293065,11791.46532608,101,91,6,0,0.0054702,seven_point_per_channel
38,3,710039,10,0,0,1,1500,3,0,5.701718783647e-05,0,10,3770.619052,377.0619052,15763.09526289,96,88,0,0,0.0007105,seven_point_per_channel
38,3,710039,10,0,0,1,1500,3,0,5.701718783647e-05,5,10,3553.487364,355.3487364,14617.43683112,98,90,0,0,0.0040054,seven_point_per_channel
39,3,710040,10,0,0,1,1000,4,1,8.16102069509e-05,0,10,3531.487121,353.1487121,14147.43560209,109,101,2,0,0.0004137,seven_point_per_channel
39,3,710040,10,0,0,1,1000,4,1,8.16102069509e-05,5,10,3358.547931,335.8547931,13132.73965618,114,109,1,0,0.0008053,seven_point_per_channel
40,3,710041,10,0,0,1,1250,0,0,5.473954776647e-05,0,10,3524.973176,352.4973176,14224.86588814,106,100,0,0,0.0004625,seven_point_per_channel
40,3,710041,10,0,0,1,1250,0,0,5.473954776647e-05,5,10,2937.32927,293.732927,11276.64634048,106,102,0,0,0.0033118,seven_point_per_channel
41,3,710042,10,0,0,1,1500,1,1,6.172054699702e-05,0,10,4266.532724,426.6532724,18212.66363887,97,86,1,0,0.0008504,seven_point_per_channel
41,3,710042,10,0,0,1,1500,1,1,6.172054699702e-05,5,10,3869.56469,386.956469,16017.82345632,103,92,3,0,0.0038624,seven_point_per_channel
42,3,710043,10,0,0,1,1000,2,0,3.758784489882e-05,0,10,3568.844546,356.8844546,14464.22273975,104,97,3,0,0.000505,seven_point_per_channel
42,3,710043,10,0,0,1,1000,2,0,3.758784489882e-05,5,10,3424.631776,342.4631776,13308.15889649,118,108,5,0,0.0015204,seven_point_per_channel
43,3,710044,10,0,0,1,1250,3,1,6.579664707738e-05,0,10,3494.444339,349.4444339,13912.22168094,111,107,0,0,0.0003904,seven_point_per_channel
43,3,710044,10,0,0,1,1250,3,1,6.579664707738e-05,5,10,2915.014752,291.5014752,11160.07375688,106,103,0,0,0.0025602,seven_point_per_channel
44,3,710045,10,0,0,1,1500,4,0,0.0001119773743342,0,10,3731.800499,373.1800499,15509.00249138,97,86,3,0,0.000729,seven_point_per_channel
44,3,710045,10,0,0,1,1500,4,0,0.0001119773743342,5,10,3563.999027,356.3999027,14604.99514523,98,88,5,0,0.004075,seven_point_per_channel
45,3,710046,10,0,0,1,1000,0,1,0.0001297118302101,0,10,3842.502308,384.2502308,15412.51154527,119,115,0,0,0.0003507,seven_point_per_channel
45,3,710046,10,0,0,1,1000,0,1,0.0001297118302101,5,10,3523.063401,352.3063401,14120.31700241,109,104,0,0,0.0023842,seven_point_per_channel
46,3,710047,10,0,0,1,1250,1,0,6.392304525647e-05,0,10,2889.149697,288.9149697,10940.74849156,109,103,1,0,0.0003816,seven_point_per_channel
46,3,710047,10,0,0,1,1250,1,0,6.392304525647e-05,5,10,2936.782935,293.6782935,11173.914676,109,104,1,0,0.000822,seven_point_per_channel
47,3,710048,10,0,0,1,1500,2,1,7.612433456728e-05,0,10,3801.015406,380.1015406,15760.07703323,100,90,3,1,0.0006894,seven_point_per_channel
47,3,710048,10,0,0,1,1500,2,1,7.612433456728e-05,5,10,3419.791256,341.9791256,13943.95627275,98,88,1,0,0.0042563,seven_point_per_channel
48,3,710049,10,0,0,1,1000,3,0,8.716668349429e-05,0,10,3721.895963,372.1895963,15379.47980892,100,96,0,0,0.000526,seven_point_per_channel
48,3,710049,10,0,0,1,1000,3,0,8.716668349429e-05,5,10,3909.739446,390.9739446,16048.69722784,109,105,0,0,0.0027159,seven_point_per_channel
49,3,710050,10,0,0,1,1250,4,1,0.0001882878217,0,10,3338.858279,333.8858279,13439.29139759,101,93,1,0,0.0005757,seven_point_per_channel
49,3,710050,10,0,0,1,1250,4,1,0.0001882878217,5,10,3082.986453,308.2986453,11709.93226799,115,107,3,0,0.0015147,seven_point_per_channel
50,3,710051,10,0,0,1,1500,0,0,9.544569556369e-05,0,10,4154.607659,415.4607659,17413.03829192,104,90,4,0,0.0006526,seven_point_per_channel
50,3,710051,10,0,0,1,1500,0,0,9.544569556369e-05,5,10,3703.889911,370.3889911,15204.4495538,102,88,5,0,0.0046144,seven_point_per_channel
51,3,710052,10,0,0,1,1000,1,1,5.182722876994e-05,0,10,4114.53833,411.453833,16792.69165225,116,105,7,0,0.0004076,seven_point_per_channel
51,3,710052,10,0,0,1,1000,1,1,5.182722876994e-05,5,10,3819.572693,381.9572693,15002.86347387,127,116,6,0,0.000682,seven_point_per_channel
52,3,710053,10,0,0,1,1250,2,0,0.0001576120299851,0,10,2943.662662,294.3662662,11548.31331083,98,91,1,0,0.0008092,seven_point_per_channel
52,3,710053,10,0,0,1,1250,2,0,0.0001576120299851,5,10,2733.245302,273.3245302,10356.22650845,101,92,5,0,0.0037008,seven_point_per_channel
53,3,710054,10,0,0,1,1500,3,1,8.007596339797e-05,0,10,3950.560377,395.0560377,16672.80188215,96,86,0,0,0.0010224,seven_point_per_channel
53,3,710054,10,0,0,1,1500,3,1,8.007596339797e-05,5,10,3906.506214,390.6506214,16442.53108322,96,88,0,0,0.0041662,seven_point_per_channel
54,3,710055,10,0,0,1,1000,4,0,4.522494589992e-05,0,10,3378.001216,337.8001216,13710.00607791,98,93,1,0,0.0004575,seven_point_per_channel
54,3,710055,10,0,0,1,1000,4,0,4.522494589992e-05,5,10,3112.852222,311.2852222,12189.26111008,104,96,3,0,0.0043499,seven_point_per_channel
55,3,710056,10,0,0,1,1250,0,1,3.340080691255e-05,0,10,3849.433662,384.9433662,16097.1683124,98,90,0,0,0.0006191,seven_point_per_channel
55,3,710056,10,0,0,1,1250,0,1,3.340080691255e-05,5,10,3413.933167,341.3933167,13914.66583597,98,91,0,0,0.0033519,seven_point_per_channel
56,3,710057,10,0,0,1,1500,1,0,9.714448332125e-05,0,10,3952.527015,395.2527015,16502.6350687,101,91,2,0,0.0006882,seven_point_per_channel
56,3,710057,10,0,0,1,1500,1,0,9.714448332125e-05,5,10,3483.317724,348.3317724,14206.588614,100,89,1,0,0.0039147,seven_point_per_channel
57,3,710058,10,0,0,1,1000,2,1,5.503470663918e-05,0,10,3954.856543,395.4856543,16134.28273446,112,103,5,0,0.0003947,seven_point_per_channel
57,3,710058,10,0,0,1,1000,2,1,5.503470663918e-05,5,10,4324.89429,432.489429,17444.47146642,130,118,6,0,0.0004336,seven_point_per_channel
58,3,710059,10,0,0,1,1250,3,0,7.019204919548e-05,0,10,3890.719169,389.0719169,16253.59584624,99,95,0,0,0.0004988,seven_point_per_channel
58,3,710059,10,0,0,1,1250,3,0,7.019204919548e-05,5,10,3693.602825,369.3602825,15123.01412909,103,98,2,0,0.0027933,seven_point_per_channel
59,3,710060,10,0,0,1,1500,4,1,5.29777707404e-05,0,10,3958.991123,395.8991123,16604.95561723,99,90,1,0,0.0005881,seven_point_per_channel
