日期,baseline,common_mpc,affine_feedback,affine_mpc,affine_saa_mpc,affine_sdp,总费用_元,按当日权重计算的专家费用_元,凸组合节省_元
2025-02-01,0.0,0.0,0.0,0.0,1.0,0.0,23686.783688960135,23686.783688960135,0.0
2025-02-02,0.0,0.0,0.0,0.0,1.0,0.0,58113.209630159574,58113.20963015957,-7.275957614183426e-12
2025-02-03,0.0,0.0,0.0,0.0,1.0,0.0,57064.47665437027,57064.476654370264,-7.275957614183426e-12
2025-02-04,0.0,0.0,9.24098582903897e-15,0.0,0.9999999999999908,0.0,57530.45602749129,57530.45602749127,-1.4551915228366852e-11
2025-02-05,0.0,5.272714515004909e-16,0.0,0.0,0.9999999999999987,8.25495700790243e-16,56388.97563449162,56388.97563449161,-7.275957614183426e-12
2025-02-06,0.0,7.817325096377793e-16,0.0,0.0,0.9999999999999991,0.0,57381.846947365535,57381.84694736548,-5.820766091346741e-11
2025-02-07,0.0,0.0,4.945970886658522e-15,0.0,0.9999999999999951,0.0,22753.138847467868,22753.13884746786,-7.275957614183426e-12
2025-02-08,0.0,0.0,0.0,0.0,1.0,0.0,20553.723776907114,20553.723776907114,0.0
2025-02-09,0.0,0.0,0.0,0.0,1.0,0.0,53601.9249867061,53601.9249867061,0.0
2025-02-10,0.0,0.0,7.81388191756979e-15,0.0,0.9999999999999922,0.0,54333.97714271009,54333.9771427101,7.275957614183426e-12
2025-02-11,0.0,0.0,5.031197193218029e-16,0.0,0.9999999999999996,0.0,53086.33477578784,53086.33477578779,-4.3655745685100555e-11
2025-02-12,0.0,7.294671542597307e-15,0.0,0.0,0.9999999999999882,4.34285762358675e-15,52647.72809977367,52647.72809977365,-1.4551915228366852e-11
2025-02-13,0.0,0.0,1.824102954256531e-15,0.0,0.9999999999999982,0.0,52269.675766925226,52269.6757669252,-2.9103830456733704e-11
2025-02-14,0.0,0.0,0.0,0.0,1.0,0.0,19299.19746803981,19299.19746803981,0.0
2025-02-15,0.0,0.0,0.0,0.0,0.9999999999999963,3.770022662558265e-15,19064.85473236634,19064.854732366315,-2.546585164964199e-11
2025-02-16,0.0,1.7766139911470822e-15,0.0,0.0,0.9999999999999931,5.070489300392587e-15,50436.508697353995,50436.50869735395,-4.3655745685100555e-11
2025-02-17,0.0,0.0,1.3532009726979396e-15,0.0,0.9999999999999952,3.515692880850652e-15,49860.57492169093,49860.5749216909,-2.9103830456733704e-11
2025-02-18,0.0,0.0,1.1033366442137126e-14,0.0,0.9999999999999645,2.452097787127649e-14,49685.52524602258,49685.52524602257,-1.4551915228366852e-11
