日期,1月固定候选,在线候选,在线当日费用_元,历史窗口内各候选费用_JSON
2025-02-01,affine_saa_mpc,affine_saa_mpc,23686.783688960135,"[504131.1368275381, 554344.7766897635, 510003.71021068556, 546063.497646013, 495308.31898919144, 505911.38784933364]"
2025-02-02,affine_saa_mpc,affine_saa_mpc,58113.20963015957,"[528954.8275337759, 581558.8792029405, 533925.0311041921, 572229.0941353474, 518995.10267815157, 529599.1029366271]"
2025-02-03,affine_saa_mpc,affine_saa_mpc,57064.476654370264,"[587970.9576100792, 641090.4634059817, 592223.1516515429, 630645.9330076692, 577108.3123083111, 587735.6432688901]"
2025-02-04,affine_saa_mpc,affine_saa_mpc,57530.456027491266,"[645902.9859398331, 701465.6492156531, 649287.6283059131, 690562.4148357419, 634172.7889626814, 644832.1341928036]"
2025-02-05,affine_saa_mpc,affine_saa_mpc,56388.9756344916,"[704362.2220943553, 766506.8728009821, 707579.822403505, 754935.835515386, 691703.2449901727, 702384.1177902628]"
2025-02-06,affine_saa_mpc,affine_saa_mpc,57381.846947365484,"[761365.1115492063, 827768.5907866495, 764158.3675134083, 815317.5458346462, 748092.2206246643, 758858.2276587079]"
2025-02-07,affine_saa_mpc,affine_saa_mpc,22753.13884746786,"[819472.7797814808, 886651.2772068579, 821570.778192358, 874407.8681487947, 805474.0675720298, 816257.4028365443]"
2025-02-08,affine_saa_mpc,affine_saa_mpc,20553.723776907114,"[843297.596305384, 912008.3398047629, 844373.5576055812, 898978.5746697555, 828227.2064194976, 839046.1664791283]"
2025-02-09,affine_saa_mpc,affine_saa_mpc,53601.9249867061,"[864895.0781723143, 940752.3029244496, 865335.3754038068, 927060.1158209259, 848780.9301964047, 859792.3076007972]"
2025-02-10,affine_saa_mpc,affine_saa_mpc,54333.97714271009,"[919423.7073842271, 1001784.408014521, 921434.3266188117, 987666.047282456, 902382.8551831108, 915146.8722032944]"
2025-02-11,affine_saa_mpc,affine_saa_mpc,53086.334775787785,"[974510.9542891216, 1058991.8587374294, 976069.5378018351, 1043829.8782720746, 956716.8323258209, 969707.6209404175]"
2025-02-12,affine_saa_mpc,affine_saa_mpc,52647.72809977361,"[1028236.2641975469, 1116291.0016569686, 1029996.0062250197, 1100786.9870344421, 1009803.1671016087, 1023586.3136981012]"
2025-02-13,affine_saa_mpc,affine_saa_mpc,52269.6757669252,"[1081668.3290847845, 1175661.0258624486, 1082972.3678734608, 1160181.5797776273, 1062450.8952013822, 1076442.4712064767]"
2025-02-14,affine_saa_mpc,affine_saa_mpc,19299.19746803981,"[1134737.3097923393, 1231538.0044703924, 1135864.8839699908, 1215528.3690267773, 1114720.5709683073, 1128874.4437465451]"
2025-02-15,affine_saa_mpc,affine_saa_mpc,19064.854732366308,"[1154556.497238089, 1255602.8211302324, 1156531.970619582, 1239248.652816222, 1134019.7684363474, 1148468.0982079252]"
2025-02-16,affine_saa_mpc,affine_saa_mpc,50436.50869735393,"[1174109.88695858, 1280512.394414099, 1176830.1717791012, 1264180.840426788, 1153084.6231687136, 1168328.9556735693]"
2025-02-17,affine_saa_mpc,affine_saa_mpc,49860.5749216909,"[1225380.9968864506, 1340433.478024075, 1229453.2378426143, 1324263.031346062, 1203521.1318660676, 1220504.2564920564]"
2025-02-18,affine_saa_mpc,affine_saa_mpc,49685.52524602256,"[1275991.657455562, 1394282.3364048954, 1279803.9270675315, 1377982.277702782, 1253381.7067877585, 1270603.3645384652]"
2025-02-19,affine_saa_mpc,affine_saa_mpc,49515.92544168726,"[1326459.9549304512, 1450411.8383866455, 1329846.3538312549, 1432713.183475366, 1303067.232033781, 1320418.2423099226]"
2025-02-20,affine_saa_mpc,affine_saa_mpc,48911.71389364341,"[1314831.1659537742, 1443204.8341902196, 1318060.3574620232, 1424796.1745485824, 1291758.8218363076, 1308433.2046079517]"
