日期,发布时间,交易时间段,购电量_kWh
2025-02-01,00:00,00:00-00:10,1241.9097272848817
2025-02-01,00:00,00:10-00:20,1243.8608251313751
2025-02-01,00:00,00:20-00:30,1241.8068737858212
2025-02-01,00:00,00:30-00:40,1007.5639897849437
2025-02-01,00:00,00:40-00:50,1264.000221352396
2025-02-01,00:00,00:50-01:00,544.9322874459048
2025-02-01,00:00,01:00-01:10,554.9344320922764
2025-02-01,00:00,01:10-01:20,535.2022934826634
2025-02-01,00:00,01:20-01:30,505.9179354247062
2025-02-01,00:00,01:30-01:40,532.0884988803879
2025-02-01,00:00,01:40-01:50,530.703501215263
2025-02-01,00:00,01:50-02:00,563.5649999999999
2025-02-01,00:00,02:00-02:10,538.9520296286008
2025-02-01,00:00,02:10-02:20,554.9007084137995
2025-02-01,00:00,02:20-02:30,534.1223444312287
2025-02-01,00:00,02:30-02:40,517.8839418350224
2025-02-01,00:00,02:40-02:50,534.3900119473652
2025-02-01,00:00,02:50-03:00,566.3122835070736
2025-02-01,00:00,03:00-03:10,541.517579859746
2025-02-01,00:00,03:10-03:20,534.5612376575036
2025-02-01,00:00,03:20-03:30,538.7504366413899
2025-02-01,00:00,03:30-03:40,529.8240942946402
2025-02-01,00:00,03:40-03:50,559.5232166666666
2025-02-01,00:00,03:50-04:00,560.6082415808279
2025-02-01,00:00,04:00-04:10,546.8438621791745
2025-02-01,00:00,04:10-04:20,552.561050030489
2025-02-01,00:00,04:20-04:30,572.2124551100417
2025-02-01,00:00,04:30-04:40,564.7600023177788
2025-02-01,00:00,04:40-04:50,578.3202010704288
2025-02-01,00:00,04:50-05:00,575.9939111320691
2025-02-01,00:00,05:00-05:10,568.2264468387075
2025-02-01,00:00,05:10-05:20,565.3207395471406
2025-02-01,00:00,05:20-05:30,573.8833333333333
2025-02-01,00:00,05:30-05:40,1376.7780092905357
2025-02-01,00:00,05:40-05:50,576.7833166666666
2025-02-01,00:00,05:50-06:00,0.0
2025-02-01,00:00,06:00-06:10,0.0
2025-02-01,00:00,06:10-06:20,0.0
2025-02-01,00:00,06:20-06:30,0.0
2025-02-01,00:00,06:30-06:40,0.0
2025-02-01,00:00,06:40-06:50,0.0
2025-02-01,00:00,06:50-07:00,0.0
2025-02-01,00:00,07:00-07:10,0.0
2025-02-01,00:00,07:10-07:20,0.0
2025-02-01,00:00,07:20-07:30,0.0
2025-02-01,00:00,07:30-07:40,0.0
2025-02-01,00:00,07:40-07:50,0.0
2025-02-01,00:00,07:50-08:00,0.0
2025-02-01,00:00,08:00-08:10,0.0
2025-02-01,00:00,08:10-08:20,0.0
2025-02-01,00:00,08:20-08:30,0.0
2025-02-01,00:00,08:30-08:40,0.0
2025-02-01,00:00,08:40-08:50,0.0
2025-02-01,00:00,08:50-09:00,0.0
2025-02-01,00:00,09:00-09:10,0.0
2025-02-01,00:00,09:10-09:20,0.0
2025-02-01,00:00,09:20-09:30,0.0
2025-02-01,00:00,09:30-09:40,0.0
2025-02-01,00:00,09:40-09:50,0.0
2025-02-01,00:00,09:50-10:00,0.0
2025-02-01,00:00,10:00-10:10,0.0
2025-02-01,00:00,10:10-10:20,0.0
2025-02-01,00:00,10:20-10:30,0.0
2025-02-01,00:00,10:30-10:40,0.0
2025-02-01,00:00,10:40-10:50,0.0
2025-02-01,00:00,10:50-11:00,0.0
2025-02-01,00:00,11:00-11:10,37.62769362901179
2025-02-01,00:00,11:10-11:20,0.0
2025-02-01,00:00,11:20-11:30,0.0
2025-02-01,00:00,11:30-11:40,0.0
2025-02-01,00:00,11:40-11:50,0.0
2025-02-01,00:00,11:50-12:00,383.35079627418446
2025-02-01,00:00,12:00-12:10,480.57360239358513
2025-02-01,00:00,12:10-12:20,429.8300953220286
2025-02-01,00:00,12:20-12:30,423.05273809523794
2025-02-01,00:00,12:30-12:40,428.7622976132319
2025-02-01,00:00,12:40-12:50,0.0
2025-02-01,00:00,12:50-13:00,0.0
2025-02-01,00:00,13:00-13:10,0.0
2025-02-01,00:00,13:10-13:20,0.0
2025-02-01,00:00,13:20-13:30,0.0
2025-02-01,00:00,13:30-13:40,0.0
2025-02-01,00:00,13:40-13:50,0.0
2025-02-01,00:00,13:50-14:00,0.0
2025-02-01,00:00,14:00-14:10,0.0
2025-02-01,00:00,14:10-14:20,0.0
2025-02-01,00:00,14:20-14:30,0.0
2025-02-01,00:00,14:30-14:40,0.0
2025-02-01,00:00,14:40-14:50,0.0
2025-02-01,00:00,14:50-15:00,0.0
2025-02-01,00:00,15:00-15:10,46.92766472339349
2025-02-01,00:00,15:10-15:20,103.47711586125445
2025-02-01,00:00,15:20-15:30,129.1661293449832
2025-02-01,00:00,15:30-15:40,160.00402396455732
2025-02-01,00:00,15:40-15:50,226.6827412499535
2025-02-01,00:00,15:50-16:00,281.05663278462094
2025-02-01,00:00,16:00-16:10,311.6245595238096
2025-02-01,00:00,16:10-16:20,364.7325846244548
2025-02-01,00:00,16:20-16:30,428.35591192092386
2025-02-01,00:00,16:30-16:40,459.3505628039864
2025-02-01,00:00,16:40-16:50,437.386742673212
2025-02-01,00:00,16:50-17:00,435.2918518439736
2025-02-01,00:00,17:00-17:10,473.25533236136613
2025-02-01,00:00,17:10-17:20,478.27806339663283
2025-02-01,00:00,17:20-17:30,461.0699091970794
2025-02-01,00:00,17:30-17:40,492.9853581806712
2025-02-01,00:00,17:40-17:50,484.7734926288236
2025-02-01,00:00,17:50-18:00,0.0
2025-02-01,00:00,18:00-18:10,0.0
2025-02-01,00:00,18:10-18:20,0.0
2025-02-01,00:00,18:20-18:30,0.0
2025-02-01,00:00,18:30-18:40,0.0
2025-02-01,00:00,18:40-18:50,0.0
2025-02-01,00:00,18:50-19:00,0.0
2025-02-01,00:00,19:00-19:10,0.0
2025-02-01,00:00,19:10-19:20,0.0
2025-02-01,00:00,19:20-19:30,0.0
2025-02-01,00:00,19:30-19:40,0.0
2025-02-01,00:00,19:40-19:50,0.0
2025-02-01,00:00,19:50-20:00,0.0
2025-02-01,00:00,20:00-20:10,0.0
2025-02-01,00:00,20:10-20:20,0.0
2025-02-01,00:00,20:20-20:30,0.0
2025-02-01,00:00,20:30-20:40,0.0
2025-02-01,00:00,20:40-20:50,78.3118896177038
2025-02-01,00:00,20:50-21:00,501.7004145709017
2025-02-01,00:00,21:00-21:10,496.82581431810456
2025-02-01,00:00,21:10-21:20,475.36575975334705
2025-02-01,00:00,21:20-21:30,470.1293034509908
2025-02-01,00:00,21:30-21:40,463.11353333333335
2025-02-01,00:00,21:40-21:50,534.6606180151874
2025-02-01,00:00,21:50-22:00,1218.4123980310655
2025-02-01,00:00,22:00-22:10,1173.7788004518072
2025-02-01,00:00,22:10-22:20,455.75405050053865
2025-02-01,00:00,22:20-22:30,1222.0020394208034
2025-02-01,00:00,22:30-22:40,1246.074304816117
2025-02-01,00:00,22:40-22:50,449.1940819171642
2025-02-01,00:00,22:50-23:00,1158.665555467719
2025-02-01,00:00,23:00-23:10,422.3996285630557
2025-02-01,00:00,23:10-23:20,468.3051865279121
2025-02-01,00:00,23:20-23:30,1186.0402869008406
2025-02-01,00:00,23:30-23:40,931.274505049343
2025-02-01,00:00,23:40-23:50,498.4095934793062
2025-02-01,00:00,23:50-24:00,568.3963538836208
2025-02-02,00:00,00:00-00:10,1393.2495500823948
2025-02-02,00:00,00:10-00:20,1404.9053141214706
2025-02-02,00:00,00:20-00:30,1400.5600779051829
2025-02-02,00:00,00:30-00:40,983.9633798501554
2025-02-02,00:00,00:40-00:50,1386.057114383636
2025-02-02,00:00,00:50-01:00,701.7862063758473
