date,planned_cost,increase_cost,reduction_net_cost,emergency_cost,total_cost,emergency_energy,planned_energy,adjusted_energy,spill_energy,projection_count,projection_total_kwh,projection_max_kwh
2025-02-01,23686.783688960088,0.0,0.0,4.7183803530970186e-11,23686.783688960135,1.3063328196949442e-11,45305.94505834069,45305.94505834069,7437.615538650658,0,0.0,0.0
2025-02-02,58113.20963015953,0.0,0.0,3.920305502447263e-11,58113.20963015957,1.0885514711844735e-11,91224.71343114873,91224.71343114873,8822.35593178972,0,0.0,0.0
2025-02-03,57064.476654370206,0.0,0.0,6.267099417200938e-11,57064.476654370264,1.5986323376182554e-11,89801.6220365158,89801.6220365158,5399.831750785357,0,0.0,0.0
2025-02-04,57530.45602749122,0.0,0.0,4.672429554375413e-11,57530.456027491266,1.2192913345643319e-11,90456.1026054446,90456.1026054446,4913.66619945704,0,0.0,0.0
2025-02-05,56388.97563449155,0.0,0.0,5.4824887074644825e-11,56388.9756344916,1.4286793970086364e-11,88922.49834637856,88922.49834637856,3810.2609610966942,0,0.0,0.0
2025-02-06,57381.84694736543,0.0,0.0,4.6595332037213666e-11,57381.846947365484,1.2329692822277138e-11,89939.36062395904,89939.36062395904,5530.362075173822,0,0.0,0.0
2025-02-07,22753.13884746783,0.0,0.0,2.8596929269042447e-11,22753.13884746786,9.36495325731812e-12,43710.408784516825,43710.408784516825,8245.944611014253,0,0.0,0.0
2025-02-08,20553.723776907078,0.0,0.0,3.5384541519079e-11,20553.723776907114,1.0514256132410083e-11,39424.65304708763,39424.65304708763,4284.844338256199,0,0.0,0.0
2025-02-09,53601.92498670602,0.0,0.0,7.683954095227818e-11,53601.9249867061,2.4130031306413002e-11,84816.59847322528,84816.59847322528,815.2921955357954,0,0.0,0.0
2025-02-10,54333.977142710035,0.0,0.0,5.207992259670391e-11,54333.97714271009,1.6349588349839905e-11,85819.26010138745,85819.26010138745,7680.91144033978,0,0.0,0.0
2025-02-11,52953.67112125276,0.0,0.0,132.6636545350292,53086.334775787785,26.87947614933894,84076.81103036823,84076.81103036823,4694.999301364704,0,0.0,0.0
2025-02-12,52647.728099773536,0.0,0.0,7.583174621572652e-11,52647.72809977361,2.0449419935175683e-11,83653.18883492978,83653.18883492978,4200.751557109465,0,0.0,0.0
2025-02-13,52269.67576692514,0.0,0.0,6.434718247128046e-11,52269.6757669252,1.8200996265704816e-11,83094.26187920729,83094.26187920729,8019.663155681736,0,0.0,0.0
2025-02-14,19299.197468039765,0.0,0.0,4.528989805407945e-11,19299.19746803981,1.2221335055073723e-11,36825.43200615118,36825.43200615118,3539.820263003423,0,0.0,0.0
2025-02-15,19064.85473236626,0.0,0.0,4.6192658587074225e-11,19064.854732366308,1.241673430740775e-11,36436.80576196811,36436.80576196811,3716.790099664088,0,0.0,0.0
2025-02-16,50436.50869735385,0.0,0.0,7.381002831152727e-11,50436.50869735393,2.0163426484032243e-11,80551.55752709937,80551.55752709937,886.0178008344255,0,0.0,0.0
2025-02-17,49860.574921690844,0.0,0.0,5.560148896854855e-11,49860.5749216909,1.5085266369396777e-11,79893.75798693727,79893.75798693727,4936.747628156595,0,0.0,0.0
2025-02-18,49685.52524602251,0.0,0.0,4.923709973070345e-11,49685.52524602256,1.2864376230936614e-11,79463.593437316,79463.593437316,3462.1475024364026,0,0.0,0.0
2025-02-19,49321.75704893969,0.0,0.0,194.16839274756322,49515.92544168726,70.06119908047575,78980.98794846817,78980.98794846817,1929.0416068982042,0,0.0,0.0
2025-02-20,48883.021794699474,0.0,0.0,28.692098943935306,48911.71389364341,6.125554855668682,78497.10537454172,78497.10537454172,3499.576036389031,0,0.0,0.0
2025-02-21,18543.30760595929,0.0,0.0,3.3228959472886294e-11,18543.307605959326,8.381517702105157e-12,35554.74779744578,35554.74779744578,6682.049103591508,0,0.0,0.0
2025-02-22,18455.222346278817,0.0,0.0,10.629423333381515,18465.8517696122,4.971666666679482,35351.314668041785,35351.314668041785,4213.709322154935,0,0.0,0.0
2025-02-23,48324.762924454946,0.0,0.0,4.0755461228059175e-11,48324.76292445499,1.3482548411047901e-11,77599.67483603509,77599.67483603509,1960.1635278377635,0,0.0,0.0
2025-02-24,47506.92925899723,0.0,0.0,5.414852388696545e-11,47506.92925899729,1.5415224652315374e-11,76584.80398200947,76584.80398200947,4482.948636549238,0,0.0,0.0
2025-02-25,47583.08174324221,0.0,0.0,3.456490915709764e-11,47583.08174324225,1.1333156635373598e-11,76559.68513122424,76559.68513122424,7032.761425234059,0,0.0,0.0
2025-02-26,47224.9709796856,0.0,0.0,7.795850809344529e-11,47224.97097968568,2.177280578052887e-11,76079.7051196689,76079.7051196689,3371.908477709647,0,0.0,0.0
2025-02-27,46389.640002039174,0.0,0.0,5.535051883498454e-11,46389.64000203922,1.5589307622576598e-11,74931.69720083472,74931.69720083472,3686.030653127672,0,0.0,0.0
2025-02-28,17751.928081460122,0.0,0.0,3.219832933609723e-11,17751.92808146015,9.094947017729282e-12,34343.77414078238,34343.77414078238,7804.622008961394,0,0.0,0.0
2025-03-01,17781.25173084956,0.0,0.0,3.8376078315138784e-11,17781.251730849595,1.0254908033857646e-11,34253.34253994965,34253.34253994965,7488.932497255081,0,0.0,0.0
2025-03-02,45829.49067918768,0.0,0.0,15091.263226881107,60920.753906068785,3625.578003693947,74041.80910789991,74041.80910789991,946.7749241750305,0,0.0,0.0
2025-03-03,46124.1530713701,0.0,0.0,10820.991504576163,56945.144575946266,2528.022377747253,74395.42553138811,74395.42553138811,545.3225217296336,0,0.0,0.0
2025-03-04,47370.02913031129,0.0,0.0,5.104698475033586e-11,47370.02913031134,1.527777904186678e-11,76215.10134020066,76215.10134020066,3034.7287296229283,0,0.0,0.0
2025-03-05,47844.71967122284,0.0,0.0,5.336367525643481e-11,47844.71967122289,1.48947520983711e-11,77028.70681992966,77028.70681992966,7238.39126342486,0,0.0,0.0
2025-03-06,47810.88785587238,0.0,0.0,23.67835000005719,47834.56620587244,11.075000000014825,76620.36021859781,76620.36021859781,7145.368306279795,0,0.0,0.0
2025-03-07,17584.51032458319,0.0,0.0,3.54692879511731e-11,17584.510324583225,9.492850949754938e-12,33833.834469021196,33833.834469021196,9994.426745002806,0,0.0,0.0
2025-03-08,16908.632727576733,0.0,0.0,3.005268922606774e-11,16908.632727576765,9.109157872444484e-12,32175.214310060106,32175.214310060106,9977.416166673776,0,0.0,0.0
2025-03-09,45736.40173571347,0.0,0.0,3.930127245865833e-11,45736.40173571351,1.3230305739853065e-11,73818.25361979294,73818.25361979294,6655.813053921977,0,0.0,0.0
2025-03-10,44790.719754365884,0.0,0.0,744.9119484744306,45535.631702840314,357.21942644556674,72401.86260970913,72401.86260970913,648.1511708340855,0,0.0,0.0
2025-03-11,44432.93544851343,0.0,0.0,8.837022491547942e-11,44432.93544851352,2.4781954266472894e-11,72331.91899865825,72331.91899865825,4609.474687204873,0,0.0,0.0
2025-03-12,44066.42674500635,0.0,0.0,5.94512057361385e-11,44066.42674500642,1.7542856056707024e-11,71566.89160189981,71566.89160189981,5367.222835432886,0,0.0,0.0
2025-03-13,43390.815755531876,0.0,0.0,5025.211492848452,48416.02724838033,1135.2245485972555,70605.93077963797,70605.93077963797,136.91623067829693,0,0.0,0.0
2025-03-14,16132.152147492694,0.0,0.0,3.636088052871856e-11,16132.152147492732,1.0381029369455064e-11,30900.846780841763,30900.846780841763,11829.000417830492,0,0.0,0.0
2025-03-15,16277.440159800086,0.0,0.0,2.617639438540209e-11,16277.440159800113,6.970424237806583e-12,31244.870493401024,31244.870493401024,7274.085327327644,0,0.0,0.0
2025-03-16,43318.56721859685,0.0,0.0,7.461180000058992,43326.02839859691,1.6400000000174817,70547.80927891204,70547.80927891204,3416.190461315447,0,0.0,0.0
2025-03-17,43311.38497891825,0.0,0.0,4.37770353300948e-11,43311.38497891829,1.2853718089900212e-11,70747.0847913994,70747.0847913994,9433.125520929825,0,0.0,0.0
2025-03-18,42073.38726066068,0.0,0.0,6.260398333068905e-11,42073.38726066075,1.978683883407939e-11,68852.25582933758,68852.25582933758,3706.4888474779755,0,0.0,0.0
2025-03-19,42328.74921216489,0.0,0.0,4.794831554022494e-11,42328.74921216494,1.539746108392137e-11,69207.22354271366,69207.22354271366,5878.885002955793,0,0.0,0.0
2025-03-20,42380.47757459196,0.0,0.0,6.510994232655775e-11,42380.477574592034,1.822186845856777e-11,68983.78961937287,68983.78961937287,2941.4507218859494,0,0.0,0.0
2025-03-21,15807.030314824993,0.0,0.0,2.7337206276456526e-11,15807.03031482502,9.155343150268891e-12,30448.502209697275,30448.502209697275,15402.410719516143,0,0.0,0.0
2025-03-22,16259.583433646709,0.0,0.0,3.564283801438251e-11,16259.583433646747,1.0409451078885468e-11,31194.48192621878,31194.48192621878,12499.281107318388,0,0.0,0.0
2025-03-23,40859.40473534308,0.0,0.0,5.6025129424597255e-11,40859.40473534313,2.0463630789890885e-11,67008.55579043723,67008.55579043723,4392.350191357088,0,0.0,0.0
2025-03-24,40436.807443205566,0.0,0.0,5.51218235500528e-11,40436.80744320562,1.6200374375330284e-11,66153.14599877538,66153.14599877538,4348.9790628380215,0,0.0,0.0
2025-03-25,40190.020492796066,0.0,0.0,7.511795274695032e-11,40190.02049279614,2.1387336346379016e-11,65934.09252696662,65934.09252696662,1041.3245435949657,0,0.0,0.0
2025-03-26,40189.515568246214,0.0,0.0,4.569307776591813e-11,40189.51556824626,1.5866419289523037e-11,66073.64220935912,66073.64220935912,6800.39228305811,0,0.0,0.0
2025-03-27,40167.17254492191,0.0,0.0,5.55841248583988e-11,40167.17254492197,1.666755622409255e-11,65812.31987535069,65812.31987535069,3392.874641566859,0,0.0,0.0
2025-03-28,15483.338962440504,0.0,0.0,1.9815274754364512e-11,15483.338962440528,6.366462912410498e-12,30178.58603716675,30178.58603716675,16479.864343777917,0,0.0,0.0
2025-03-29,15200.331609752287,0.0,0.0,4.604697068089081e-11,15200.331609752333,1.1098677532572765e-11,29859.9260355654,29859.9260355654,19276.74792127377,0,0.0,0.0
2025-03-30,39082.327403217765,0.0,0.0,4.7325364960215675e-11,39082.327403217816,1.509903313490213e-11,64124.1520115515,64124.1520115515,5096.195819065207,0,0.0,0.0
2025-03-31,38158.095924262714,0.0,0.0,9.268498857295525e-11,38158.0959242628,2.5771385026018834e-11,62841.95114646471,62841.95114646471,2317.2951317134443,0,0.0,0.0
2025-04-01,38306.06114932457,0.0,0.0,5728.755692537816,44034.81684186238,1050.3972085248374,62986.85361233678,62986.85361233678,317.6884831067867,0,0.0,0.0
2025-04-02,38094.07910598281,0.0,0.0,7977.481877309516,46071.56098329234,1891.1297511222235,63000.428850188924,63000.428850188924,504.82474303248324,0,0.0,0.0
2025-04-03,38961.05759168316,0.0,0.0,4.3564526208683676e-11,38961.05759168319,1.5262457964126952e-11,64477.79275192215,64477.79275192215,4765.967218337045,0,0.0,0.0
2025-04-04,14831.74892271915,0.0,0.0,3.02104439242612e-11,14831.748922719182,8.064660050877137e-12,29239.293850354356,29239.293850354356,19955.853493704784,0,0.0,0.0
2025-04-05,14986.76896756838,0.0,0.0,5.448131901175657e-11,14986.768967568436,1.454480980100925e-11,29490.900179661796,29490.900179661796,14594.591587960163,0,0.0,0.0
2025-04-06,38689.57530802706,0.0,0.0,3.3209587968485726e-11,38689.575308027095,1.0956568985420745e-11,64392.42302353373,64392.42302353373,6288.633795632223,0,0.0,0.0
2025-04-07,38060.567451694056,0.0,0.0,5.526193547211733e-11,38060.56745169411,1.503508428868372e-11,63478.76719369326,63478.76719369326,6614.149293761937,0,0.0,0.0
2025-04-08,38217.11943843789,0.0,0.0,5.596268604080024e-11,38217.11943843795,1.3055945213835685e-11,63525.07822644346,63525.07822644346,5273.9543269940505,0,0.0,0.0
2025-04-09,37913.54878233437,0.0,0.0,3072.0895294241463,40985.63831175852,534.3172299258199,62782.577498543855,62782.577498543855,518.9618735142858,0,0.0,0.0
2025-04-10,38042.078177057054,0.0,0.0,5.6963189720704575e-11,38042.078177057105,1.4663825709249068e-11,63269.84338001572,63269.84338001572,4965.86554792938,0,0.0,0.0
2025-04-11,14327.704082939106,0.0,0.0,1.7580561006980134e-11,14327.704082939123,4.789058039023075e-12,28560.87985419148,28560.87985419148,20387.93970735507,0,0.0,0.0
2025-04-12,14628.439808188308,0.0,0.0,2.8836964816036925e-11,14628.439808188336,7.361222742474638e-12,29028.014362537688,29028.014362537688,17307.82402676595,0,0.0,0.0
2025-04-13,36716.89884217347,0.0,0.0,6.093196081025098e-11,36716.898842173534,1.751665479332587e-11,61153.60479258928,61153.60479258928,3101.8305378971845,0,0.0,0.0
2025-04-14,36371.93678837584,0.0,0.0,4.135426934226416e-11,36371.936788375875,1.2853718089900212e-11,60951.51945679767,60951.51945679767,4660.011473434488,0,0.0,0.0
2025-04-15,36951.120879652655,0.0,0.0,4.3425663065477235e-11,36951.1208796527,1.2038370300615497e-11,61419.8044375283,61419.8044375283,7806.113557744455,0,0.0,0.0
2025-04-16,36549.2255353135,0.0,0.0,6.221382931048681e-11,36549.22553531356,1.904193469570714e-11,60935.78336252694,60935.78336252694,1425.3837241843153,0,0.0,0.0
2025-04-17,36469.1388126183,0.0,0.0,4.110080226160661e-11,36469.13881261834,1.0506373548935244e-11,60791.71322638061,60791.71322638061,4236.156881597405,0,0.0,0.0
2025-04-18,14141.187649021915,0.0,0.0,2.3804759052836745e-11,14141.18764902194,6.52278231427772e-12,28372.144789505088,28372.144789505088,19206.899284635503,0,0.0,0.0
2025-04-19,13795.627888585765,0.0,0.0,1.5879777492955328e-11,13795.627888585777,5.4001247917767614e-12,27719.11018687454,27719.11018687454,18076.21673030897,0,0.0,0.0
2025-04-20,35966.25525528287,0.0,0.0,62.90708666671302,36029.16234194957,29.423333333347554,60207.56559693714,60207.56559693714,4535.101479403561,0,0.0,0.0
2025-04-21,36122.10144486137,0.0,0.0,5.03727548561983e-11,36122.10144486142,1.3351098004932282e-11,60572.12916096687,60572.12916096687,8571.169688556196,0,0.0,0.0
2025-04-22,35463.77254014398,0.0,0.0,21.775530000069846,35485.548070144054,10.185000000019079,59021.03409599762,59021.03409599762,3306.0258226106557,0,0.0,0.0
2025-04-23,35677.99402056622,0.0,0.0,4.6978826162558106e-11,35677.994020566264,1.3386625141720288e-11,59813.75008826924,59813.75008826924,4923.85382204131,0,0.0,0.0
2025-04-24,35226.268072876126,0.0,0.0,5.038342010266205e-11,35226.26807287618,1.4239276424632408e-11,58799.71411196084,58799.71411196084,8261.648917596927,0,0.0,0.0
2025-04-25,13063.351980614203,0.0,0.0,2.8494682169366573e-11,13063.351980614232,7.65965069149388e-12,26786.858815240917,26786.858815240917,21968.07845802072,0,0.0,0.0
2025-04-26,13086.558727493659,0.0,0.0,3.9610398516742866e-11,13086.558727493697,9.269029987990507e-12,26867.65022262725,26867.65022262725,23881.881716963617,0,0.0,0.0
2025-04-27,33242.63521574366,0.0,0.0,1567.5315587231537,34810.16677446682,240.56055800683237,56050.08286453912,56050.08286453912,3920.147554782864,0,0.0,0.0
2025-04-28,34075.06302859023,0.0,0.0,13624.059404455395,47699.122433045624,3960.43697487692,57002.05363249126,57002.05363249126,651.0656718543305,0,0.0,0.0
2025-04-29,34572.94921982064,0.0,0.0,5.0252207728362924e-11,34572.9492198207,1.3486101124726702e-11,58013.8109164019,58013.8109164019,7269.565613713463,0,0.0,0.0
2025-04-30,34242.1074304079,0.0,0.0,5.397247804239669e-11,34242.10743040795,1.3962164757685969e-11,57274.84270890366,57274.84270890366,5629.46352550628,0,0.0,0.0
2025-05-01,33818.93359443465,0.0,0.0,10844.449153860067,44663.38274829471,2242.8723727363767,56096.5073075009,56096.5073075009,3525.8371124538235,0,0.0,0.0
2025-05-02,13409.616075011421,0.0,0.0,12515.387778915228,25925.00385392665,2568.168146870947,26823.327376810408,26823.327376810408,12071.453854761916,0,0.0,0.0
2025-05-03,13690.01357328448,0.0,0.0,6744.944392548066,20434.957965832546,1440.3036775916844,27406.855859423806,27406.855859423806,17001.120154793833,0,0.0,0.0
2025-05-04,35568.577100103386,0.0,0.0,7344.9317417737075,42913.5088418771,1698.1673178445617,59105.779074706144,59105.779074706144,5796.8671376586135,0,0.0,0.0
2025-05-05,35770.99364961697,0.0,0.0,7824.959636093999,43595.95328571097,1674.0056585038706,59741.293936147005,59741.293936147005,2482.8443426662066,0,0.0,0.0
2025-05-06,35781.25535704974,0.0,0.0,6264.816834067303,42046.07219111705,1551.8509448613133,59519.860288134194,59519.860288134194,4416.036994882728,0,0.0,0.0
2025-05-07,36613.01749149861,0.0,0.0,6480.02174891222,43093.039240410835,1173.336908820255,60875.98095391139,60875.98095391139,3262.405795052384,0,0.0,0.0
2025-05-08,39973.142198666894,0.0,0.0,243.22893262507282,40216.37113129197,35.99925000002241,63908.43968076014,63908.43968076014,4666.2647353392595,0,0.0,0.0
2025-05-09,17094.130207292335,0.0,0.0,3.0336437362166174e-11,17094.130207292365,7.51754214434186e-12,31368.02766673648,31368.02766673648,20160.565542521203,0,0.0,0.0
2025-05-10,17114.0005882598,0.0,0.0,2.7649807776697348e-11,17114.00058825983,8.762768288761436e-12,31222.802896565147,31222.802896565147,16456.148276549757,0,0.0,0.0
2025-05-11,40477.9139112156,0.0,0.0,127.70453307224174,40605.618444287844,18.94304428870321,65269.678622913525,65269.678622913525,6492.230876939613,0,0.0,0.0
2025-05-12,40644.5614539986,0.0,0.0,4.043843304657457e-11,40644.56145399864,1.3578471680375515e-11,65726.90544304076,65726.90544304076,10893.952918403975,0,0.0,0.0
2025-05-13,40635.654110869626,0.0,0.0,4.198328795723682e-11,40635.65411086967,1.2772005675287801e-11,65863.54926191224,65863.54926191224,9428.577133644823,0,0.0,0.0
2025-05-14,40914.11118236242,0.0,0.0,4.6146709564709455e-11,40914.11118236247,1.3528733688872308e-11,66098.50909629723,66098.50909629723,9922.105113767253,0,0.0,0.0
2025-05-15,40268.592990640005,0.0,0.0,3.5939597076151133e-11,40268.59299064004,1.0084377777275222e-11,64981.03268348783,64981.03268348783,9011.992023017743,0,0.0,0.0
2025-05-16,16412.132862462826,0.0,0.0,136.982733481157,16549.115595943986,64.07050209595451,30156.502338997772,30156.502338997772,24890.799049770925,0,0.0,0.0
2025-05-17,16562.141724359873,0.0,0.0,2.8689267350667792e-11,16562.1417243599,7.944811475368851e-12,30550.24525263897,30550.24525263897,17317.43443106009,0,0.0,0.0
2025-05-18,39878.546642681446,0.0,0.0,3.8638307664484726e-11,39878.54664268148,1.1747047778953856e-11,64030.45706070927,64030.45706070927,7127.023256357529,0,0.0,0.0
2025-05-19,39353.40689352447,0.0,0.0,356.6997704124208,39710.10666393689,52.887503953215074,63702.46356970681,63702.46356970681,13126.057013587088,0,0.0,0.0
2025-05-20,39029.31180048304,0.0,0.0,6.796719986823518e-11,39029.311800483105,1.9902302028640406e-11,62907.133192504276,62907.133192504276,5196.802771052809,0,0.0,0.0
2025-05-21,39307.2711239121,0.0,0.0,5.595424568127782e-11,39307.271123912156,1.8175683180743363e-11,63491.70167112461,63491.70167112461,9145.993825232483,0,0.0,0.0
2025-05-22,38585.05149654926,0.0,0.0,4.723382573956769e-11,38585.051496549306,1.4665602066088468e-11,62373.7938532362,62373.7938532362,8404.376297123868,0,0.0,0.0
2025-05-23,16218.261282467041,0.0,0.0,2.5612393983465152e-11,16218.261282467067,6.835421118012164e-12,29978.127065846733,29978.127065846733,20777.450002418107,0,0.0,0.0
2025-05-24,16730.65097738745,0.0,0.0,2.9155064140695687e-11,16730.65097738748,7.414513447656645e-12,30591.22949560271,30591.22949560271,24209.101720535647,0,0.0,0.0
2025-05-25,38736.398015763,0.0,0.0,3.233907719391027e-11,38736.398015763036,9.698908343125368e-12,62832.500007959214,62832.500007959214,11319.998533594382,0,0.0,0.0
2025-05-26,38221.70914225854,0.0,0.0,7.195867368636754e-11,38221.709142258616,1.9689139207912376e-11,61395.61303347557,61395.61303347557,3558.542010806594,0,0.0,0.0
2025-05-27,38975.968424974664,0.0,0.0,3.7235711403127426e-11,38975.9684249747,1.1439738045737613e-11,62672.91647202833,62672.91647202833,10290.167819035882,0,0.0,0.0
2025-05-28,38369.21131085254,0.0,0.0,5.022892679562574e-11,38369.21131085258,1.4786394331167685e-11,61817.077406733806,61817.077406733806,6297.946384408183,0,0.0,0.0
2025-05-29,38091.90075431389,0.0,0.0,5.089600918495307e-11,38091.90075431394,1.4530598946294049e-11,61626.32474290895,61626.32474290895,4082.6515910909234,0,0.0,0.0
2025-05-30,15910.09101749236,0.0,0.0,4.616133963963875e-11,15910.091017492407,1.0945910844384343e-11,29650.761888943223,29650.761888943223,20354.411830596684,0,0.0,0.0
2025-05-31,15824.205461981386,0.0,0.0,154.2424466666942,15978.447908648079,72.14333333334068,29593.264524021648,29593.264524021648,18434.466310425265,0,0.0,0.0
2025-06-01,37919.147750403106,0.0,0.0,53230.51001941846,91149.65776982156,13124.415119155216,61868.48957015838,61868.48957015838,1.0629719326971099e-11,0,0.0,0.0
2025-06-02,38840.25507606923,0.0,0.0,38965.45116991848,77805.7062459877,9224.593162012228,63572.63840885474,63572.63840885474,236.17038818559212,0,0.0,0.0
2025-06-03,39879.82855051833,0.0,0.0,31812.76514803477,71692.5936985531,6708.364287452383,65197.24477748489,65197.24477748489,1.5223378113660146e-11,0,0.0,0.0
2025-06-04,41018.0903216613,0.0,0.0,28407.083603456507,69425.17392511781,6200.62968158308,67122.53094993139,67122.53094993139,1.0200951194860863e-11,0,0.0,0.0
2025-06-05,42836.33302574396,0.0,0.0,25737.140738288726,68573.47376403268,5589.936494399371,69332.07739326994,69332.07739326994,1.5610845949254326e-11,0,0.0,0.0
2025-06-06,16836.257542111693,0.0,0.0,23508.61950958744,40344.877051699135,5014.722496435508,31187.658461968822,31187.658461968822,2275.9320309523937,0,0.0,0.0
2025-06-07,18365.24856430416,0.0,0.0,9722.509929702046,28087.758494006208,1723.0487623380625,33556.18142109031,33556.18142109031,1135.5235702508223,0,0.0,0.0
2025-06-08,56719.52546755366,0.0,0.0,2.856076974921962e-11,56719.5254675537,6.87805368215777e-12,88560.83659071886,88560.83659071886,20591.814831995143,0,0.0,0.0
